strategy,segment,start,end,avg_risky_weight,avg_turnover,cagr,vol,sharpe,maxdd,final_nav
mix_40_10__60_20__120_40,rebound_2023_now,2023-01-03,2026-04-24,0.5790386958090461,0.17914609809936033,0.21152126560933837,0.1730887255851115,1.201951735414281,-0.154786740282574,1.8852744646716595
mix_45_15__60_20__90_30,last_5y,2021-04-23,2026-04-24,0.6283566422020901,0.16318393795137343,0.14172288758431661,0.17329133748740427,0.8563695070333533,-0.23637737536240044,1.9405361191819581
mix_45_15__60_20__90_30,last_10y,2016-04-25,2026-04-24,0.631363442296299,0.16373441985448417,0.13120327917138663,0.17154602794092288,0.8069635996134991,-0.3306222454175557,3.429151514667375
mix_45_15__60_20__90_30,full_common,2010-08-27,2026-04-24,0.5774712949722921,0.15530058627913565,0.16293339394314543,0.17318088677321922,0.9626946088783459,-0.3306222454175566,10.627779699587004
mix_45_15__60_20__90_30,bull_2019_2021,2019-01-02,2021-12-31,0.6902333396969401,0.1566729108653286,0.30608392326950007,0.1995079796194002,1.4403072157839283,-0.17959304371807927,2.2251413583168387
mix_45_15__60_20__90_30,bear_2022,2022-01-04,2022-12-30,0.5810240753014815,0.13745764162103283,0.04040334047961225,0.15544117003113475,0.33022911219212475,-0.11884266356668216,1.0398111857369787
mix_45_15__60_20__90_30,rebound_2023_now,2023-01-03,2026-04-24,0.581362171745141,0.16374324056738435,0.1774774305572302,0.1770725230645286,1.01780230088075,-0.21882585615803207,1.7158089679462099
mix_50_15__60_20__70_25,last_5y,2021-04-23,2026-04-24,0.6363954494464165,0.1602726009285196,0.16341748030158554,0.18188448074769054,0.9281326003438471,-0.21757407349966862,2.1321261883008784
mix_50_15__60_20__70_25,last_10y,2016-04-25,2026-04-24,0.6318984134819279,0.16381234994100569,0.1516170959940919,0.1795220518121242,0.8788659101562902,-0.29137248116462344,4.100428616857773
mix_50_15__60_20__70_25,full_common,2010-09-03,2026-04-24,0.5838299409253522,0.15501237160617506,0.18890310274300504,0.1825688795462999,1.0440351779992472,-0.29137248116462267,14.968756174700507
mix_50_15__60_20__70_25,bull_2019_2021,2019-01-02,2021-12-31,0.6820292644679641,0.16261030777132252,0.3175662271664572,0.2069243402642609,1.438726037142486,-0.18860561712649526,2.284249318434624
mix_50_15__60_20__70_25,bear_2022,2022-01-04,2022-12-30,0.5743454069882,0.1335218105053031,0.09500771764636817,0.16083950027673574,0.6404700550087126,-0.12031253607638959,1.09358012518977
mix_50_15__60_20__70_25,rebound_2023_now,2023-01-03,2026-04-24,0.6004671697253182,0.16289083211014116,0.17032273660923813,0.18871662756325497,0.933108231959217,-0.21757407349966584,1.681596763710666
mix_55_15__60_20__80_25,last_5y,2021-04-23,2026-04-24,0.6392532788978333,0.15922891791767033,0.15049277502870773,0.18595842504221874,0.8514401125704332,-0.1843819172133061,2.0162505400326385
mix_55_15__60_20__80_25,last_10y,2016-04-25,2026-04-24,0.6363077912769527,0.16330779949031718,0.14077405032482448,0.1813514537095465,0.8195387655701889,-0.2858301855031299,3.7304517682789418
mix_55_15__60_20__80_25,full_common,2010-09-10,2026-04-24,0.5846482302736704,0.15555310616164952,0.17602086243339832,0.18388749944645272,0.9784641569805059,-0.28583018550313055,12.584709270461628
mix_55_15__60_20__80_25,bull_2019_2021,2019-01-02,2021-12-31,0.6902412626133189,0.1671639335825405,0.30387206745677653,0.20671048534479056,1.3893973082773814,-0.18855500851411344,2.213873626339379
mix_55_15__60_20__80_25,bear_2022,2022-01-04,2022-12-30,0.5984634784221619,0.13141322209188827,0.0793821226251239,0.16715523877419608,0.5369860742030228,-0.12646888210948704,1.0781976216959985
mix_55_15__60_20__80_25,rebound_2023_now,2023-01-03,2026-04-24,0.5925790319541417,0.16003089006786198,0.16687085400005075,0.1921123421401452,0.9046668152926818,-0.18438191721330655,1.6652620084894258
mix_60_20__90_30__120_40,last_5y,2021-04-23,2026-04-24,0.6016170510022355,0.11276183795654471,0.1284554956362396,0.16931814535306158,0.8031659789332469,-0.2073614590433457,1.8303323282104071
mix_60_20__90_30__120_40,last_10y,2016-04-25,2026-04-24,0.6044212832696794,0.12095679473868257,0.1037913465899265,0.16937108003163193,0.6701309572750525,-0.31071975512659356,2.6834513291952606
mix_60_20__90_30__120_40,full_common,2010-09-29,2026-04-24,0.5606878602128137,0.11773978541081387,0.1450978767403439,0.17137291957318995,0.8801757565645079,-0.31071975512659433,8.241904715589762
mix_60_20__90_30__120_40,bull_2019_2021,2019-01-02,2021-12-31,0.6754517599142449,0.12506637104775048,0.26099348863596816,0.2054023294192104,1.2341438757893781,-0.1599887246455528,2.002884901887187
mix_60_20__90_30__120_40,bear_2022,2022-01-04,2022-12-30,0.5829930555866274,0.09187991000022001,0.018040102629366173,0.1577519894089037,0.19101166430827501,-0.15690584735753577,1.0177785079315342
mix_60_20__90_30__120_40,rebound_2023_now,2023-01-03,2026-04-24,0.5400648170555884,0.1127709915917945,0.15033004442929276,0.16728623739761084,0.9270479060940306,-0.19297286248206102,1.5885213392425137
