bias_n,mom_day,window,cagr,vol,sharpe,maxdd,final_nav
55,22,full_common,0.24967108149856565,0.19969411119925728,1.2218592974279765,-0.27654068676992527,32.283430979577275
55,25,last_3y,0.1355505242899948,0.19312411146843286,0.7582328405474409,-0.2772335395202016,1.4643914117158363
55,25,last_5y,0.16356997735185974,0.19060004905476952,0.895004778032666,-0.32638692171403294,2.1335244903564323
55,25,last_10y,0.14474516082715705,0.19097401755479462,0.805962855459126,-0.3263869217140323,3.8623093829349044
55,25,full_common,0.2163260117246777,0.19906319988970694,1.0880896478140925,-0.3263869217140324,21.086715973331188
60,15,last_3y,0.11361592956244326,0.2079150632408741,0.6238707499066494,-0.30551995999961334,1.381141873781237
60,15,last_5y,0.06810180845785885,0.19940113306671509,0.43163994279455925,-0.3998300495580269,1.3903431606325867
60,15,last_10y,0.08827756931887265,0.19225075851888562,0.5375036867847536,-0.4308335807377113,2.3294097976376835
60,15,full_common,0.12361274645801013,0.19910374979455367,0.6879859793042272,-0.43083358073770894,6.160751784274163
60,18,last_3y,0.2918809459445453,0.19977381276629746,1.3899548682280072,-0.14448183492778788,2.1564709204811967
60,18,last_5y,0.25137917776249874,0.18954522867037482,1.2855839998644976,-0.15033586858091597,3.070043991880621
60,18,last_10y,0.1812913988920819,0.1895817086899317,0.9768067836843656,-0.2829207731426687,5.287778615127509
60,18,full_common,0.21264530316427055,0.19747372828840623,1.0795443184076254,-0.3575762200092174,20.13620050959704
60,20,last_3y,0.3341588377460327,0.1986191695240784,1.5601803019539497,-0.12784006987892382,2.3752444507641632
60,20,last_5y,0.2850603041201545,0.1925783912188541,1.407206235940726,-0.15869216109890472,3.5062364787017293
60,20,last_10y,0.23372177832855234,0.19100411505409412,1.1991628159936327,-0.23241213351948864,8.162020914686757
60,20,full_common,0.2846800410686432,0.1992530526807252,1.3627954792120294,-0.2324121335194883,49.39205020130369
60,22,last_3y,0.32379651927266107,0.20135528007728443,1.5026438171324883,-0.12063082033255301,2.320315742727664
60,22,last_5y,0.26790983124965684,0.19485246624504873,1.3235448572799637,-0.15458262233818887,3.2783364852973174
60,22,last_10y,0.19533677238886193,0.1921750010897529,1.0279055367127359,-0.31575373525014616,5.950926204579034
60,22,full_common,0.2661562570741933,0.20030234533314606,1.2825993435333207,-0.31575373525014516,39.16855335449843
60,25,last_3y,0.169457650965968,0.1931849885904412,0.9113537647113239,-0.20998338554209472,1.5995581443472697
60,25,last_5y,0.1640749839474136,0.19211563984934427,0.8916708599804333,-0.26790140223191894,2.1381603221792047
60,25,last_10y,0.1641341686591642,0.1917488025197094,0.8913831136153885,-0.27130125373073666,4.56834931920127
60,25,full_common,0.22188634968326926,0.2008083115949741,1.1020504958010815,-0.2713012537307353,22.46514884125423
65,15,last_3y,0.09873261445662607,0.20663088138302835,0.5608760001773838,-0.29270519057338495,1.3264901749316944
65,15,last_5y,0.0725670043838118,0.19734712604365467,0.45537666494883494,-0.34437029262638796,1.4196609476980162
65,15,last_10y,0.07629368642604328,0.191061303825218,0.4815400152440592,-0.39426401193703464,2.0853396188250213
65,15,full_common,0.10702792757140678,0.19855204526087306,0.6136999640547333,-0.3942640119370342,4.868947581260131
65,18,last_3y,0.22606668979588873,0.20546109176717428,1.1007530516960062,-0.17183241456482223,1.8433290405047005
65,18,last_5y,0.1776601020067885,0.19386842985711125,0.945714025656384,-0.17183241456482246,2.2659255720306986
65,18,last_10y,0.16662398344661877,0.19311726194382706,0.8974557816605602,-0.2806903221398511,4.666960593660694
65,18,full_common,0.17570652645086193,0.1996886487748402,0.9131940743411274,-0.35862950397229887,12.361276128987662
65,20,last_3y,0.3254060149030711,0.19884755885263924,1.5252421429589034,-0.13646282786257813,2.328791218368812
65,20,last_5y,0.25230923739981814,0.19215604096904387,1.2744670414165125,-0.16535720656602793,3.0814743723171225
65,20,last_10y,0.2044665112795614,0.19172706770225306,1.0697089267783957,-0.2634256142108895,6.421189529797589
65,20,full_common,0.252626070580102,0.19964386545129054,1.2320778379672066,-0.2634256142108877,33.04288896322876
65,22,last_3y,0.2909244239334281,0.20266607096746012,1.3691785241890349,-0.15618438309451244,2.1516833552392822
65,22,last_5y,0.24426392763009463,0.19646659030052363,1.2177467297253584,-0.17183123371053088,2.9837157428379517
65,22,last_10y,0.19152274281873072,0.1927553765957783,1.0087035911888456,-0.35112852672604966,5.763825538450019
65,22,full_common,0.23880402975510773,0.20116621749271063,1.1689789316640944,-0.35112852672605077,27.780279199640653
65,25,last_3y,0.19943730313080166,0.19598961387204367,1.0311861471254764,-0.1923107662014787,1.725785086508611
65,25,last_5y,0.19226698238989792,0.19311864929072842,1.0128403107871267,-0.22002203637962836,2.4100408849825103
65,25,last_10y,0.18040170576771009,0.19177148388283527,0.9639160589554471,-0.30735521323309356,5.24810449603878
65,25,full_common,0.21976362813502126,0.19989724601310124,1.097464969906624,-0.30735521323309345,21.783581596682513
70,15,last_3y,0.11027280605401057,0.2056954106055747,0.6136312650164258,-0.2958828506950911,1.3687376172447279
70,15,last_5y,0.06758083601319576,0.19577649232881403,0.4334584448505635,-0.36439433377143626,1.3869543402236812
70,15,last_10y,0.07647936073689099,0.19046031224171772,0.4833153138431371,-0.4118090102901255,2.0889384083432323
70,15,full_common,0.09895716079994044,0.19937244922865383,0.5745807103806703,-0.4118090102901265,4.329063404309435
70,18,last_3y,0.20529761576350203,0.20247558366799512,1.02889807926782,-0.16498263952581327,1.7512106850858806
70,18,last_5y,0.1558964388955102,0.1914422461240505,0.8570693365439335,-0.1649826395258126,2.0640671676516615
70,18,last_10y,0.14887742499407963,0.1919603076934014,0.821576692499416,-0.29657107363806157,4.00395720876132
70,18,full_common,0.16222228820863083,0.19893188716973356,0.8577891403849363,-0.35687220468701564,10.303578319601183
70,20,last_3y,0.2833601427349761,0.2010494815859672,1.3490309185677685,-0.12875331828945902,2.1140721374048006
70,20,last_5y,0.2174861593259272,0.19450250662322707,1.1152621634374165,-0.16217739747828175,2.6760588172413513
70,20,last_10y,0.17851771981446718,0.19391695795894073,0.9469849883479392,-0.3056572686455965,5.1649747979041045
70,20,full_common,0.21079254672520387,0.2013664421941064,1.0539420703566578,-0.30565726864559717,19.426984606251693
70,22,last_3y,0.31032097361061695,0.2036358048382047,1.4374984796479797,-0.15136011480991307,2.250160094645751
70,22,last_5y,0.21841748454398502,0.19738153185637736,1.1058757593603883,-0.1840252344565919,2.6863140632311144
70,22,last_10y,0.1859981528844319,0.19616410067171988,0.9708256292560906,-0.36733235639309614,5.502193759371326
70,22,full_common,0.22405387613370165,0.2037127005253078,1.0980114197666933,-0.367332356393096,22.977294695468014
70,25,last_3y,0.16175500992595926,0.19787584668443614,0.8606984801387905,-0.22969972975863384,1.5681522678848367
70,25,last_5y,0.13998044642872043,0.1949384724159299,0.7734344567677564,-0.2541030213869251,1.9257674558878874
70,25,last_10y,0.14165272461738465,0.19385475035749483,0.7827476023126173,-0.34867953978722976,3.7592732581243054
70,25,full_common,0.1916398817169367,0.2007564669863737,0.9770525490398826,-0.34867953978723065,15.119741350300059
