rank,symbol,name,rt_price,market_cap,target_weight,change_date,今开,最高,最低,成交额,signal_date,effective_date
18,300929,华骐环保,13.47,1779830917.3200002,0.01,2025-06-30,13.01,13.92,12.99,118282867.25,2026-03-05,2026-03-06
19,600476,湘邮科技,11.08,1784655600.0,0.01,2025-06-30,10.69,11.12,10.6,35324105.0,2026-03-05,2026-03-06
20,688078,龙软科技,24.52,1787336360.0,0.01,2025-06-30,23.99,24.65,23.95,18223868.0,2026-03-05,2026-03-06
21,688067,爱威科技,26.63,1810840000.0,0.01,2025-06-30,26.8,27.1,26.08,37958153.0,2026-03-05,2026-03-06
22,301372,科净源,26.42,1811657180.6000001,0.01,2025-06-30,26.19,26.59,25.8,23242035.0,2026-03-05,2026-03-06
23,688528,秦川物联,10.87,1826159999.9999998,0.01,2025-06-30,10.64,10.89,10.56,21684894.0,2026-03-05,2026-03-06
24,301167,建研设计,16.36,1832320000.0,0.01,2025-06-30,16.01,16.44,15.94,41321372.0,2026-03-05,2026-03-06
25,300295,三六五网,9.82,1862006671.48,0.01,2025-06-30,9.7,9.86,9.53,32583714.0,2026-03-05,2026-03-06
26,300405,科隆股份,6.56,1865484721.76,0.01,2025-06-30,6.45,6.62,6.36,55326017.0,2026-03-05,2026-03-06
27,688329,艾隆科技,24.49,1890627999.9999998,0.01,2025-06-30,23.88,24.69,23.88,39384143.0,2026-03-05,2026-03-06
28,300635,中达安,13.58,1901390120.0,0.01,2026-01-21,13.57,13.78,13.36,47697511.0,2026-03-05,2026-03-06
29,688573,信宇人,19.57,1913053373.16,0.01,2025-08-18,19.55,19.96,19.21,25964634.0,2026-03-05,2026-03-06
30,600561,江西长运,6.73,1914528864.0000002,0.01,2025-06-30,6.63,6.74,6.45,37415875.0,2026-03-05,2026-03-06
31,300649,杭州园林,14.46,1914744166.14,0.01,2025-06-30,14.35,14.54,14.08,29372118.0,2026-03-05,2026-03-06
32,300500,启迪设计,11.05,1922422302.45,0.01,2025-06-30,10.75,11.08,10.62,64548640.8,2026-03-05,2026-03-06
33,600883,博闻科技,8.18,1931199840.0,0.01,2025-06-30,7.98,8.2,7.86,32950477.0,2026-03-05,2026-03-06
34,600697,欧亚集团,12.18,1937692753.5,0.01,2025-06-30,11.98,12.22,11.81,32452206.0,2026-03-05,2026-03-06
35,688681,科汇股份,18.79,1966749300.0,0.01,2025-11-24,18.36,18.88,18.29,33598027.0,2026-03-05,2026-03-06
36,603717,天域生物,6.87,1993304668.8,0.01,2025-06-30,6.7,6.9,6.6,38924944.0,2026-03-05,2026-03-06
37,688021,奥福科技,26.1,1994398013.7,0.01,2025-06-30,26.65,27.08,25.96,72557202.0,2026-03-05,2026-03-06
38,688565,力源科技,13.39,2004884700.0,0.01,2025-06-30,13.37,13.48,13.08,30806812.0,2026-03-05,2026-03-06
39,600493,凤竹纺织,7.51,2042720000.0,0.01,2025-06-30,7.23,7.53,7.23,45870718.0,2026-03-05,2026-03-06
40,600778,友好集团,6.6,2055842923.1999998,0.01,2025-06-30,6.52,6.61,6.41,37244958.0,2026-03-05,2026-03-06
41,002494,华斯股份,5.45,2056343413.1000001,0.01,2025-06-30,5.28,5.47,5.28,75654344.0,2026-03-05,2026-03-06
42,688193,仁度生物,51.39,2059190619.3,0.01,2025-09-30,51.3,51.75,50.0,18609698.0,2026-03-05,2026-03-06
43,001211,双枪科技,28.66,2063520000.0,0.01,2025-06-30,28.52,29.06,28.0,53355795.0,2026-03-05,2026-03-06
44,300670,大烨智能,6.53,2069490727.8700001,0.01,2025-06-30,6.5,6.6,6.31,45983573.5,2026-03-05,2026-03-06
45,603879,永悦科技,5.76,2069823974.4000003,0.01,2025-06-30,5.69,5.79,5.64,35761023.0,2026-03-05,2026-03-06
46,301336,趣睡科技,51.77,2070800000.0000002,0.01,2025-08-12,51.41,52.8,51.11,37454352.53,2026-03-05,2026-03-06
47,301037,保立佳,14.92,2074352755.12,0.01,2025-08-04,14.84,15.0,14.58,32259550.9,2026-03-05,2026-03-06
48,688695,中创股份,24.44,2078655678.3200002,0.01,2026-03-13,23.98,24.55,23.7,20820741.0,2026-03-05,2026-03-06
49,603880,南卫股份,7.2,2081102400.0,0.01,2025-06-30,7.09,7.39,7.07,59253957.0,2026-03-05,2026-03-06
50,300169,天晟新材,6.4,2086299776.0,0.01,2025-06-30,6.26,6.4,6.18,46030796.0,2026-03-05,2026-03-06
51,688096,京源环保,8.87,2093713863.4799998,0.01,2025-12-31,9.12,9.16,8.6,94143991.0,2026-03-05,2026-03-06
52,600847,万里股份,13.66,2093905884.0,0.01,2025-06-30,13.88,13.96,13.54,48049670.0,2026-03-05,2026-03-06
53,603860,中公高科,31.6,2107088000.0,0.01,2025-12-31,30.72,31.75,30.7,40999786.0,2026-03-05,2026-03-06
54,300838,浙江力诺,15.3,2111063400.0,0.01,2025-06-30,15.0,15.35,14.9,28599437.0,2026-03-05,2026-03-06
55,688793,倍轻松,24.59,2113397853.21,0.01,2025-06-30,27.6,27.7,23.61,135417461.0,2026-03-05,2026-03-06
56,300535,达威股份,19.75,2113642294.25,0.01,2026-01-15,19.46,20.0,19.3,45960678.0,2026-03-05,2026-03-06
57,688058,宝兰德,27.88,2114322846.72,0.01,2026-01-09,27.62,28.03,27.15,39951437.0,2026-03-05,2026-03-06
