序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比
31,000015,红利指数,3292.28,1.05,34.19,35582408,34648198026.0,1.02,3298.1,3264.87,3264.87,3258.09,0.88
32,000908,300能源,2843.24,1.03,28.89,7940276,11858751971.0,1.66,2869.73,2823.07,2852.19,2814.35,0.81
33,000922,中证红利,5797.74,0.96,55.29,51126650,57145570487.0,1.17,5801.46,5734.41,5741.85,5742.45,0.89
34,000863,CS精准医,2671.26,0.93,24.65,4815265,21732481667.0,2.79,2697.64,2623.86,2624.31,2646.61,1.26
35,000152,上央红利,2966.29,0.91,26.8,29455170,27421978050.0,1.13,2968.61,2935.51,2936.91,2939.49,0.87
36,000813,细分化工,4130.68,0.9,36.69,19697299,45821726463.0,1.84,4137.59,4062.18,4089.02,4093.99,0.95
37,000991,全指医药,8575.11,0.82,69.54,15738002,47395656132.2,1.87,8600.72,8441.32,8443.53,8505.57,1.19
38,000994,全指通信,11922.3,0.79,93.71,29774518,100495972959.0,2.9,11991.26,11648.79,11648.79,11828.59,0.92
39,000824,国企红利,2227.33,0.78,17.21,47058179,47892468052.0,1.27,2228.67,2200.6,2209.25,2210.12,0.85
40,000121,医药主题,7715.97,0.75,57.22,5994384,23296841280.0,2.11,7750.2,7588.86,7588.86,7658.75,1.23
41,000149,180红利,4228.4,0.73,30.56,28174418,30891480919.0,0.99,4237.97,4196.5,4197.42,4197.84,0.81
42,000933,中证医药,7984.41,0.73,57.99,10028941,35712942848.7,1.74,8003.8,7866.14,7867.63,7926.42,1.07
43,000808,医药生物,8124.01,0.72,57.76,14038372,43031984998.0,1.83,8148.03,8000.73,8004.06,8066.25,1.19
44,000151,上国红利,1640.37,0.7,11.42,18694849,18163628700.0,1.2,1642.49,1622.96,1630.2,1628.95,0.85
45,000074,消费等权,6698.01,0.69,46.12,4686129,13419503858.0,2.07,6729.03,6591.64,6602.9,6651.89,1.37
46,000065,上证龙头,3588.86,0.69,24.74,72334964,124516950292.0,1.68,3594.14,3534.39,3534.39,3564.12,0.93
47,000936,800通信,10702.97,0.68,72.76,25224656,82067239049.0,2.76,10767.89,10474.78,10474.78,10630.21,0.93
48,000147,优势消费,6414.95,0.67,42.85,6317880,23807997033.0,1.89,6446.38,6326.07,6328.66,6372.1,1.26
49,000036,上证消费,10415.79,0.66,68.09,4686129,13419503858.0,1.95,10466.93,10265.38,10288.4,10347.7,1.37
50,000109,380医药,9440.43,0.63,58.74,3786237,10209129198.0,1.97,9488.7,9304.08,9304.08,9381.69,1.25
51,000825,央企红利,3612.5,0.61,21.96,41739288,40216199043.0,1.15,3616.41,3575.12,3585.88,3590.54,0.9
52,000807,食品饮料,17350.12,0.61,104.93,6219858,16350503861.0,1.92,17435.35,17105.03,17136.7,17245.19,1.05
53,000693,科创机械,1457.29,0.59,8.52,2696172,13366170307.0,2.46,1458.48,1422.91,1433.47,1448.77,1.02
54,000134,上证银行,989.25,0.56,5.48,21678264,16857754638.0,1.38,991.95,978.37,979.39,983.77,0.8
55,000032,上证能源,2420.19,0.56,13.54,23634488,23943321657.0,1.95,2446.48,2399.44,2439.55,2406.65,0.79
56,000815,细分食品,17799.38,0.56,99.32,6801552,16561091310.0,1.86,17886.75,17557.21,17588.74,17700.06,1.07
57,000841,800医药,8281.3,0.55,45.14,6956315,25951946060.0,1.71,8310.39,8169.91,8172.15,8236.16,1.15
58,000814,细分医药,8271.96,0.52,43.01,6360932,25131118061.2,1.69,8303.34,8164.25,8165.73,8228.95,1.18
59,000006,地产指数,4106.4,0.5,20.51,7200779,3947613589.0,2.12,4113.3,4026.85,4060.11,4085.89,0.83
60,000138,380低贝,8720.1,0.48,41.95,26818206,31047245487.0,1.23,8734.04,8627.51,8637.07,8678.15,0.94
61,000928,中证能源,3556.01,0.47,16.56,15909399,20178129684.5,1.91,3586.01,3518.42,3573.14,3539.45,0.83
62,000037,上证医药,6180.46,0.45,27.71,6630442,23110789003.0,1.74,6206.48,6099.71,6099.71,6152.75,1.36
63,000689,科创材料,1282.52,0.44,5.6,4122662,19968127592.0,2.14,1283.81,1256.54,1271.48,1276.92,0.96
64,000128,380基本,9413.13,0.44,41.16,116503755,185586562762.0,1.86,9430.7,9256.06,9310.56,9371.97,0.93
65,000821,300红利,6846.21,0.43,29.12,37241069,44147515723.0,0.83,6858.54,6802.19,6808.63,6817.09,0.81
66,000141,380动态,3963.88,0.41,16.03,42757645,106876305020.0,2.15,3971.27,3886.53,3894.0,3947.85,0.91
67,000802,500沪市,7802.05,0.4,31.46,98336668,146265350302.0,1.99,7817.32,7662.81,7681.37,7770.59,0.9
68,000119,380R成长,4442.44,0.38,16.89,63377785,149647042663.0,2.09,4452.43,4360.01,4369.04,4425.55,0.94
69,000687,科创高装,1312.64,0.38,4.95,3264687,17054424340.0,2.38,1314.79,1283.61,1290.68,1307.69,0.96
70,000160,沪新丝路,2324.55,0.38,8.84,70771685,84356847788.0,1.88,2327.22,2283.63,2292.5,2315.71,0.83
71,000913,300医药,7925.16,0.36,28.58,3823287,15999474078.4,1.5,7948.49,7830.16,7837.36,7896.58,1.05
72,000009,上证380,6819.33,0.36,24.58,116594666,187009448648.0,1.93,6832.69,6701.67,6724.52,6794.75,0.93
73,000120,380R价值,10273.56,0.33,34.08,106344470,146827858018.0,1.78,10288.69,10106.73,10161.42,10239.48,0.94
74,000004,工业指数,3676.88,0.31,11.37,331764845,586344847331.8,1.48,3680.49,3626.18,3638.59,3665.51,0.96
75,000027,180运输,791.08,0.3,2.4,6158397,6041013140.0,1.44,792.77,781.39,783.04,788.68,0.7
76,000055,上证地企,1515.1,0.29,4.36,23836249,48628177746.0,1.29,1517.05,1497.61,1498.99,1510.74,0.77
77,000132,上证100,5884.98,0.29,17.17,11733088,39071493987.0,1.74,5895.62,5793.48,5807.8,5867.81,0.99
78,000125,180稳定,11697.64,0.27,31.12,64658772,83170871063.0,0.96,11711.33,11598.78,11612.38,11666.52,0.85
79,000966,基本400,9255.37,0.26,23.89,172881915,288374606825.0,1.83,9267.99,9098.85,9166.88,9231.48,0.9
80,000045,上证小盘,5900.33,0.26,15.3,114127058,191711022964.0,1.94,5913.44,5799.02,5815.73,5885.03,0.9
81,000063,上证周期,3776.1,0.26,9.91,50937157,69053673251.0,0.95,3778.99,3743.03,3747.4,3766.19,0.86
82,000005,商业指数,2675.8,0.23,6.21,26423873,28425008741.0,1.19,2677.45,2645.71,2647.79,2669.59,0.81
83,000056,上证国企,1228.57,0.22,2.68,67737118,103463232642.0,1.05,1230.05,1217.21,1219.8,1225.89,0.88
84,000133,上证150,6969.02,0.21,14.34,17918093,37735956598.0,2.2,6982.43,6829.3,6844.01,6954.68,0.93
85,000008,综合指数,3363.66,0.21,7.19,97150017,87367949550.2,1.2,3369.23,3329.1,3332.1,3356.47,0.86
86,000136,180低贝,12997.11,0.2,26.08,46550896,44883536806.0,0.95,13022.79,12899.31,12937.6,12971.03,0.81
87,000905,中证500,7753.18,0.2,15.57,176985700,325211742132.8,2.01,7766.11,7610.55,7655.15,7737.61,0.89
88,000852,中证1000,7760.75,0.19,14.44,234341963,369556074585.6,2.01,7774.85,7618.96,7664.64,7746.31,0.9
89,000057,全指成长,3710.03,0.19,7.19,47878624,136226954252.0,1.59,3717.21,3658.23,3669.21,3702.84,0.95
90,000851,百发100,21459.78,0.19,39.97,24166422,66195144912.0,1.68,21476.79,21117.9,21278.88,21419.81,0.84
91,000888,上证综合全收益,4497.55,0.19,8.75,533699406,753593457176.7,1.31,4500.67,4441.84,4455.03,4488.8,0.91
92,000926,中证央企,2370.02,0.19,4.61,201881562,235085152162.0,1.38,2372.45,2339.69,2349.52,2365.41,0.88
93,000001,上证指数,3921.22,0.19,7.5,533944165,753993978872.9,1.31,3924.07,3872.78,3884.28,3913.72,0.91
94,000002,Ａ股指数,4111.65,0.19,7.92,533368106,753155205749.0,1.31,4114.67,4060.81,4072.82,4103.73,0.91
95,000017,新综指,3314.36,0.19,6.32,524864834,741168184331.0,1.31,3316.79,3273.4,3283.12,3308.04,0.91
96,000099,上证F300,9261.64,0.19,17.88,100143306,136697754459.0,1.9,9276.47,9100.62,9160.5,9243.76,0.9
97,000103,沪消费品,7479.64,0.18,13.74,4886788,24861605268.0,1.54,7514.26,7399.4,7400.37,7465.9,1.15
98,000100,上证F500,6131.33,0.17,10.56,264346396,321465844090.0,1.26,6136.47,6059.2,6083.37,6120.77,0.88
99,000118,380价值,10572.59,0.17,17.76,63225619,48797401756.0,1.54,10587.87,10425.15,10508.18,10554.83,0.93
100,000052,50基本,2845.39,0.17,4.96,43836770,92253374955.0,1.03,2848.3,2819.12,2826.3,2840.43,0.8
101,000986,全指能源,2874.89,0.16,4.69,37496792,35775534318.3,2.15,2908.12,2846.39,2899.23,2870.2,0.83
102,000098,上证F200,5397.65,0.16,8.89,164203090,184768089631.0,1.15,5402.53,5340.34,5359.11,5388.76,0.87
103,000029,180价值,4233.22,0.16,6.76,62571464,61955851190.0,0.86,4241.06,4204.89,4212.09,4226.46,0.9
104,000003,Ｂ股指数,264.24,0.16,0.43,427114,169519246.9,0.61,264.71,263.09,264.05,263.81,1.35
105,000042,上证央企,1739.76,0.16,2.74,67700670,65762354185.0,1.01,1742.48,1724.94,1729.69,1737.02,0.84
106,000091,沪财中小,15256.7,0.16,24.89,30559068,48756867720.0,1.74,15277.82,15013.5,15105.83,15231.81,0.89
107,000820,煤炭指数,5154.72,0.15,7.84,25259050,14628686886.0,2.38,5226.23,5103.83,5191.92,5146.88,0.85
108,000115,380等权,8983.6,0.15,13.72,116579865,186982457053.0,1.84,8998.9,8833.89,8890.16,8969.88,0.93
109,000021,180治理,1050.97,0.15,1.53,69369177,103526563381.0,1.03,1051.73,1040.89,1042.76,1049.44,0.94
110,000096,上证下游,3971.97,0.14,5.46,31291934,62942790487.0,1.33,3982.39,3929.5,3933.9,3966.51,1.0
111,000865,上海国企,1413.39,0.14,2.04,13023746,21427094390.0,1.85,1415.22,1389.04,1397.89,1411.35,0.91
112,000847,腾讯济安,3590.29,0.14,5.12,32334902,70414038602.0,1.65,3599.72,3540.51,3550.91,3585.17,0.96
113,000046,上证中小,5160.99,0.12,6.37,196610098,300911143134.0,1.54,5168.53,5089.27,5103.39,5154.62,0.88
114,000111,380信息,10149.51,0.12,11.95,4697822,30968409097.0,2.82,10183.19,9897.76,9928.72,10137.56,0.84
115,000019,治理指数,1208.16,0.11,1.33,90238206,138660111210.0,1.06,1208.9,1196.07,1198.39,1206.83,0.95
116,000901,小康指数,6317.78,0.11,6.72,91408307,105196535941.0,1.24,6322.24,6244.05,6276.91,6311.06,0.83
117,000927,央企100,1979.67,0.1,1.91,96812380,108967042652.0,1.11,1982.57,1960.7,1968.5,1977.76,0.86
118,000982,500等权,9368.2,0.1,9.19,176985700,325211742132.8,1.96,9380.98,9197.75,9263.63,9359.01,0.89
119,000925,基本面50,4395.84,0.1,4.4,48742127,70204563768.0,1.04,4400.74,4354.98,4364.69,4391.44,0.8
120,000860,结构调整,1240.92,0.09,1.07,70694195,89694324161.0,1.47,1241.98,1223.76,1230.49,1239.85,0.88
121,000061,沪企债30,178.37,0.08,0.15,1490600,1503885015.0,0.08,178.4,178.25,178.25,178.22,1.41
122,000110,380金融,3934.53,0.08,3.11,5971318,3835658568.0,1.6,3938.23,3875.26,3894.25,3931.42,0.8
123,000053,180基本,12189.79,0.08,9.19,126332327,201477935003.0,1.08,12203.65,12072.39,12109.91,12180.6,0.83
124,000990,全指消费,12114.46,0.08,9.45,9121652,21914866608.0,1.51,12191.9,12008.73,12026.54,12105.01,1.07
125,000162,沪互联+,3315.99,0.07,2.39,14232886,26986604605.0,1.97,3324.18,3258.81,3272.41,3313.6,0.91
126,000090,上证流通,1431.77,0.07,0.97,524864834,741168184331.0,1.45,1433.26,1412.57,1417.53,1430.8,0.91
127,000945,内地运输,1482.46,0.07,1.01,15788888,12919378537.0,1.35,1486.65,1466.63,1468.72,1481.45,0.77
128,000020,中型综指,1681.99,0.07,1.13,71590267,176980911141.0,1.79,1684.72,1654.55,1660.15,1680.86,0.93
129,000967,基本600,6420.1,0.07,4.45,336391670,497839715457.0,1.24,6424.52,6345.11,6373.85,6415.65,0.87
130,000858,500信息,10466.43,0.07,7.76,15246859,65624534090.0,2.56,10486.09,10218.85,10253.49,10458.67,0.85
131,000069,消费80,4538.47,0.06,2.81,14159390,44363993276.0,1.27,4554.42,4496.77,4498.58,4535.66,1.17
132,000102,沪投资品,8023.43,0.06,4.91,40147829,80557240447.0,1.85,8031.97,7883.25,7968.24,8018.52,1.0
133,000058,全指价值,4570.8,0.05,2.25,122779487,116659842490.0,0.95,4577.6,4534.0,4549.4,4568.55,0.89
134,000159,沪股通,3621.01,0.05,1.65,454869254,657078136991.0,1.43,3625.28,3573.68,3585.51,3619.36,0.9
135,000012,国债指数,226.02,0.05,0.12,30195234,29918028505.0,0.04,226.02,225.94,225.95,225.9,0.68
136,000116,信用100,199.55,0.05,0.1,1554800,1562994331.0,0.06,199.58,199.47,199.48,199.45,1.38
137,000970,ESG 40,1807.06,0.04,0.67,30561576,46429234693.0,1.16,1809.16,1788.16,1793.44,1806.39,0.89
138,000148,消费领先,8857.63,0.03,3.02,38487950,81521004466.0,1.33,8880.6,8762.92,8767.54,8854.61,0.97
139,000013,企债指数,304.97,0.03,0.08,7668581,7706686888.0,0.0,304.97,304.96,304.96,304.89,1.01
140,000101,5年信用,253.46,0.02,0.06,1644600,1659246833.0,0.0,253.46,253.45,253.45,253.4,1.41
141,000923,公司债指,255.76,0.02,0.05,6092381,6123370275.0,0.0,255.76,255.76,255.76,255.71,0.94
142,000022,沪公司债,255.34,0.02,0.05,1126121,1128370646.0,0.0,255.34,255.34,255.34,255.29,0.89
143,000059,全R成长,3240.76,0.02,0.59,141960445,309019912755.0,1.62,3246.93,3194.49,3202.26,3240.17,0.87
144,000919,300价值,5110.44,0.01,0.73,98636267,102779916176.0,0.8,5116.59,5075.89,5085.77,5109.71,0.89
145,000907,中证700,6638.72,0.01,0.72,287780351,542342763231.0,1.71,6651.3,6537.91,6571.32,6638.0,0.89
146,000912,300消费,20156.17,0.0,0.85,2459519,13639551772.0,1.68,20307.94,19968.82,20032.14,20155.32,0.98
147,000031,180R价值,3124.77,-0.01,-0.19,111937403,131524276848.0,0.96,3129.01,3098.97,3107.9,3124.96,0.84
148,000932,中证消费,14475.95,-0.01,-0.79,8449775,20170865736.8,1.48,14572.49,14357.6,14385.21,14476.74,1.07
149,000044,上证中盘,4514.55,-0.01,-0.33,82505042,109237890119.0,1.2,4520.13,4466.13,4478.13,4514.88,0.85
150,000047,上证全指,3841.35,-0.01,-0.34,240446869,393164518089.0,1.3,3846.33,3796.55,3806.78,3841.69,0.86
151,000965,基本200,5398.69,-0.01,-0.32,163509756,209465108632.0,1.03,5402.67,5346.86,5364.87,5399.01,0.85
152,000043,超大盘,2454.98,-0.02,-0.53,16956492,51052253494.0,0.95,2457.55,2434.28,2440.71,2455.51,0.82
153,000028,180成长,3718.2,-0.03,-1.08,33944745,90655599683.0,1.41,3724.59,3672.18,3687.2,3719.28,0.96
154,000902,中证流通,6289.3,-0.03,-2.14,1094772098,1694731342132.0,1.53,6297.12,6200.67,6228.47,6291.44,0.91
155,000060,全R价值,4371.69,-0.03,-1.15,216869809,289473541047.0,1.12,4377.0,4328.12,4344.17,4372.84,0.87
156,000093,180分层,12046.16,-0.03,-3.41,126332327,201477935003.0,1.17,12062.82,11921.41,11973.52,12049.57,0.83
157,000985,中证全指,5920.4,-0.03,-1.81,1092064557,1688720326105.0,1.53,5927.86,5837.15,5863.12,5922.21,0.91
158,000142,380稳定,10337.3,-0.04,-4.12,72439011,72430642537.0,1.52,10357.7,10200.27,10283.88,10341.42,0.95
159,000117,380成长,4263.75,-0.04,-1.57,20258933,51616586401.0,1.84,4274.68,4196.07,4219.8,4265.32,0.96
160,000054,上证海外,1496.63,-0.04,-0.53,68338173,87796065081.0,0.88,1497.93,1484.81,1487.43,1497.16,0.91
161,000806,消费服务,7913.6,-0.06,-4.79,37166105,82855870120.0,1.23,7931.66,7834.12,7841.71,7918.39,0.88
162,000062,上证沪企,1996.52,-0.07,-1.39,15139021,34029967101.0,1.48,2001.39,1971.87,1974.96,1997.91,0.86
163,000998,中证TMT,2877.1,-0.08,-2.36,36409931,171368757306.0,2.48,2885.35,2813.91,2825.71,2879.46,0.86
164,000846,ESG 100,1365.74,-0.09,-1.25,57569674,140909986662.0,1.28,1367.56,1350.07,1355.99,1366.99,0.82
165,000076,金融等权,5273.66,-0.1,-5.37,23708036,27983418723.0,0.95,5284.56,5234.38,5241.83,5279.03,0.82
166,000073,可选等权,3089.92,-0.1,-3.02,10164728,19299049284.0,1.51,3101.36,3054.73,3070.51,3092.94,1.06
167,000018,180金融,5345.22,-0.1,-5.23,27811856,30827454563.0,0.97,5354.91,5303.16,5313.47,5350.45,0.82
168,000869,HK银行,4441.84,-0.1,-4.33,10182921,8689623910.9,1.76,4443.69,4365.62,4366.01,4446.17,1.02
169,000107,380可选,4990.56,-0.11,-5.4,5168812,9798805387.0,1.71,5021.39,4935.82,4952.14,4995.96,1.23
170,000916,300通信,5966.77,-0.12,-7.13,8839812,45354254021.0,2.48,6029.06,5881.15,5886.17,5973.9,0.94
171,000038,上证金融,5306.83,-0.12,-6.2,24236740,28116402973.0,0.98,5316.88,5264.87,5275.89,5313.03,0.82
172,000855,央视500,1597.99,-0.13,-2.1,242569430,569616809334.0,1.11,1600.43,1582.72,1587.33,1600.09,0.87
173,000992,全指金融,5419.45,-0.13,-7.32,59958310,55951701639.5,0.96,5427.69,5375.66,5384.78,5426.77,0.8
174,000959,银河99,7736.28,-0.13,-10.23,65286388,206342795168.0,0.83,7741.74,7677.13,7686.35,7746.51,0.88
175,000934,中证金融,5660.55,-0.14,-7.81,49339463,48248295694.0,0.92,5669.38,5617.51,5625.24,5668.36,0.81
176,000155,市值百强,3097.13,-0.14,-4.43,82222001,151957293053.0,1.03,3100.14,3068.17,3075.61,3101.56,0.84
177,000906,中证800,5049.92,-0.14,-7.21,364457517,724507549828.7,1.34,5057.47,4989.84,5008.99,5057.13,0.87
178,000948,内地地产,2308.13,-0.14,-3.24,4648362,2621654281.0,2.29,2322.79,2269.82,2290.07,2311.37,0.97
179,000974,800金融,6356.94,-0.15,-9.25,44675609,45614787850.0,0.89,6367.79,6311.0,6318.19,6366.19,0.79
180,000048,责任指数,1395.6,-0.15,-2.11,33069018,60626745589.0,0.96,1396.62,1383.19,1387.41,1397.71,0.86
181,000510,中证A500,5591.9,-0.15,-8.44,276186000,610352773717.8,1.39,5600.32,5522.39,5547.18,5600.34,0.89
182,000690,科创成长,1923.05,-0.17,-3.22,2770144,30566596143.0,2.17,1929.39,1887.53,1892.21,1926.27,0.94
183,000914,300金融,6041.73,-0.17,-10.22,37119499,40340460422.2,0.88,6051.54,5998.51,6006.86,6051.95,0.81
184,000097,高端装备,12046.05,-0.17,-20.72,26059712,101053803907.0,2.09,12066.17,11813.83,11869.44,12066.77,0.88
185,000010,上证180,9632.15,-0.17,-16.29,126349384,201510094514.0,1.12,9641.41,9533.01,9562.45,9648.44,0.83
186,000949,中证农业,5912.95,-0.18,-10.79,16752512,22094851064.0,1.38,5965.06,5883.37,5888.47,5923.74,1.13
187,000904,中证200,5717.4,-0.18,-10.33,110847967,217211391441.0,1.41,5729.18,5648.32,5674.02,5727.73,0.9
188,000095,上证中游,3920.05,-0.18,-7.21,85910543,199343908009.0,1.93,3927.37,3851.7,3868.84,3927.26,0.83
189,000130,380波动,13952.52,-0.19,-25.86,41118139,31856616760.0,1.54,13958.86,13744.02,13915.09,13978.38,0.97
190,000051,180等权,9215.67,-0.19,-17.95,126332327,201477935003.0,1.18,9227.96,9118.69,9161.12,9233.62,0.83
191,000126,消费50,7400.78,-0.19,-14.11,9949123,26524019418.0,1.39,7431.37,7328.49,7355.08,7414.89,1.15
192,000129,180波动,15121.49,-0.19,-28.88,81508606,81429484657.0,0.99,15143.14,14992.99,15065.96,15150.37,0.81
193,000016,上证50,2831.9,-0.19,-5.41,43836770,92253374955.0,1.05,2835.83,2806.03,2814.83,2837.31,0.8
194,000891,新兴综指,1906.51,-0.2,-3.88,378124102,916554086505.0,1.78,1909.85,1875.88,1885.83,1910.39,0.9
195,000980,中证超大,3222.22,-0.21,-6.64,41569204,104008785049.0,0.98,3225.73,3194.19,3206.73,3228.86,0.79
196,000984,300等权,4595.79,-0.22,-10.12,187410955,399169078823.0,1.23,4601.92,4545.26,4568.35,4605.91,0.85
197,000030,180R成长,2451.07,-0.22,-5.31,83320420,160235695855.0,1.37,2455.55,2421.8,2430.76,2456.38,0.84
198,000077,信息等权,5840.05,-0.23,-13.61,10514678,62053357037.0,2.52,5864.62,5717.07,5735.61,5853.66,0.89
199,000011,基金指数,6750.81,-0.24,-16.41,1108848257,291389874376.0,0.97,6756.03,6690.56,6705.9,6767.22,0.93
200,000698,科创100,1510.82,-0.24,-3.67,8174506,49976889946.0,2.25,1514.07,1479.98,1492.24,1514.49,0.99
201,000695,科长三角,1016.09,-0.25,-2.54,5310855,30388824148.0,2.33,1020.19,996.43,1000.86,1018.63,0.9
202,000106,380工业,6336.42,-0.27,-17.07,25204916,49218265854.0,2.07,6344.62,6212.94,6272.64,6353.49,0.92
203,000680,科创综指,1658.25,-0.27,-4.47,33309182,176337922550.0,1.96,1661.97,1629.39,1639.31,1662.72,0.92
204,000681,科创价格,1600.56,-0.27,-4.31,33309182,176337922550.0,1.96,1604.15,1572.7,1582.28,1604.87,0.92
205,000137,380高贝,6133.6,-0.27,-16.62,13515373,59316435919.0,2.42,6145.13,5996.43,6059.28,6150.22,0.87
206,000300,沪深300,4489.66,-0.29,-12.91,187548253,399501163117.3,1.09,4496.41,4447.14,4461.74,4502.57,0.85
207,000050,50等权,2269.83,-0.31,-7.13,43836770,92253374955.0,1.04,2272.59,2249.01,2259.14,2276.96,0.8
208,000918,300成长,5019.69,-0.31,-15.53,43402825,192226886124.0,1.5,5033.66,4957.92,4985.46,5035.22,0.97
209,000683,科创生物,1034.66,-0.34,-3.5,2558865,13574238510.0,1.87,1047.76,1028.31,1028.31,1038.16,1.19
210,000104,380能源,1583.81,-0.34,-5.45,10041355,8675441264.0,3.35,1617.14,1563.83,1610.96,1589.26,0.89
211,000161,沪中国造,1779.55,-0.34,-6.15,39814220,94187739997.0,1.58,1780.95,1752.73,1764.16,1785.7,0.95
212,000699,科创200,1436.46,-0.34,-4.92,9180951,48160736907.0,1.9,1440.17,1412.85,1421.9,1441.38,0.89
213,000131,上证高新,3611.35,-0.36,-13.09,3452851,28178872178.0,1.72,3633.94,3571.52,3574.24,3624.44,0.89
214,000067,上证新兴,8571.06,-0.39,-33.26,31003989,89185090156.0,1.77,8588.78,8436.61,8479.53,8604.32,0.89
215,000049,上证民企,1974.03,-0.42,-8.38,37413615,83378807062.0,1.69,1979.33,1945.88,1955.76,1982.41,0.85
216,000064,非周期,3477.03,-0.44,-15.39,79143918,141734245801.0,1.28,3482.9,3438.28,3451.07,3492.42,0.81
217,000903,中证A100,4376.4,-0.45,-19.9,83163923,228599014702.2,1.14,4380.81,4330.58,4353.18,4396.3,0.9
218,000853,CSSW丝路,1650.07,-0.47,-7.85,23028945,109733894162.0,1.18,1652.97,1633.33,1647.74,1657.92,0.86
219,000170,50AH优选,5853.18,-0.47,-27.36,30587357,65692209468.8,1.08,5854.59,5791.19,5816.87,5880.54,0.77
220,000135,180高贝,5889.9,-0.48,-28.22,20004947,74679382628.0,1.45,5898.93,5813.24,5839.25,5918.12,0.83
221,000171,新兴成指,1808.67,-0.49,-8.83,30510795,174069713907.0,1.9,1814.99,1780.53,1793.5,1817.5,0.95
222,000971,等权90,3193.25,-0.51,-16.24,64989551,217414114747.0,1.22,3198.7,3159.6,3175.82,3209.49,0.8
