序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
19,301153,中科江南,24.25,10.28,2.26,205160.0,478619354.86,11.87,24.41,21.8,21.87,21.99,4.25,6.23,84.83,4.63,8556626565.0,7983827694.0,-0.08,-0.12,21.19,-1.9
20,002501,利源股份,2.04,10.27,0.19,1324531.0,269147029.92,5.41,2.04,1.94,1.95,1.85,1.86,3.73,-61.42,27.47,7242000000.0,7234797180.0,0.0,0.0,-16.39,-18.07
21,600502,安徽建工,5.12,10.11,0.47,598183.0,305652173.0,2.15,5.12,5.02,5.07,4.65,2.47,3.48,5.76,0.73,8788653763.0,8788653763.0,0.0,0.0,11.79,11.55
22,002578,闽发铝业,4.26,10.08,0.39,189362.0,80668212.0,0.0,4.26,4.26,4.26,3.87,0.72,2.2,-369.63,2.63,3998564580.0,3668552510.0,0.0,0.0,-7.99,-5.12
23,000753,漳州发展,7.21,10.08,0.66,805920.0,560762633.0,13.13,7.21,6.35,6.45,6.55,3.08,8.13,102.98,2.61,7148578522.0,7148578522.0,0.0,0.0,-16.07,-8.39
24,600359,新农开发,7.65,10.07,0.7,201437.0,148808770.0,11.51,7.65,6.85,6.86,6.95,1.98,5.28,203.4,4.36,2918573073.0,2918573073.0,0.0,0.0,6.55,6.99
25,601388,怡球资源,3.94,10.06,0.36,1479351.0,575451860.0,4.19,3.94,3.79,3.94,3.58,3.27,6.72,66.71,1.89,8672817107.0,8672817107.0,0.0,0.0,34.47,30.9
26,600135,乐凯胶片,11.06,10.05,1.01,551206.0,561248928.0,17.51,11.06,9.3,9.5,10.05,1.12,9.96,-61.98,2.57,6119576515.0,6119576515.0,0.0,0.0,23.85,7.17
27,002686,亿利达,7.89,10.04,0.72,342268.0,267357647.0,7.95,7.89,7.32,7.32,7.17,2.6,6.55,93.1,2.72,4467626759.0,4124360277.0,0.0,0.0,19.0,20.64
28,000592,平潭发展,11.62,10.04,1.06,4285385.0,4875864608.15,12.88,11.62,10.26,10.4,10.56,1.96,22.38,539.07,11.7,22447293965.0,22253374257.0,0.0,0.0,-13.86,-24.55
29,600955,维远股份,18.76,10.03,1.71,272501.0,506049147.0,5.28,18.76,17.86,17.88,17.05,4.18,4.95,-43.14,1.23,10318000000.0,10318000000.0,0.0,0.0,25.07,15.8
30,002675,东诚药业,14.48,10.03,1.32,140955.0,204102840.0,0.0,14.48,14.48,14.48,13.16,1.51,1.9,61.03,2.74,11940145808.0,10764200233.0,0.0,0.0,7.82,5.39
31,000048,京基智农,22.61,10.02,2.06,387570.0,864741024.77,10.27,22.61,20.5,20.71,20.55,3.31,7.36,30.19,2.84,11989681673.0,11900989426.0,0.0,0.0,59.23,28.47
32,002160,常铝股份,5.49,10.02,0.5,198445.0,108946305.0,0.0,5.49,5.49,5.49,4.99,0.66,1.93,115.87,1.52,5669968607.0,5658704895.0,0.0,0.0,7.65,5.58
33,603601,再升科技,14.5,10.02,1.32,3618891.0,5035036451.0,13.2,14.5,12.76,13.13,13.18,1.91,31.68,152.89,6.8,16563944080.0,16563944080.0,0.0,0.0,31.46,16.28
34,003042,中农联合,19.77,10.02,1.8,141540.0,275103638.4,6.62,19.77,18.58,18.58,17.97,2.46,11.11,-47.16,2.15,2816829600.0,2518020779.0,0.0,0.0,24.26,23.1
35,603716,塞力医疗,22.75,10.01,2.07,318148.0,698469550.0,12.28,22.75,20.21,20.21,20.68,2.14,15.05,-41.35,4.52,4810527244.0,4810527244.0,0.0,0.0,5.08,10.71
36,002634,棒杰股份,8.13,10.01,0.74,315024.0,249849760.62,10.96,8.13,7.32,7.35,7.39,2.05,7.06,-3.09,-6.15,3734535931.0,3630163194.0,0.0,0.0,52.25,43.89
37,603538,美诺华,43.1,10.01,3.92,83369.0,359133082.0,1.79,43.1,42.4,43.1,39.18,0.33,3.86,74.29,4.23,9501402068.0,9318042600.0,0.0,0.0,117.46,124.01
38,603618,杭电股份,26.71,10.01,2.43,596478.0,1566712624.0,7.13,26.71,24.98,24.98,24.28,0.72,8.63,-63.14,6.81,18466642703.0,18466642703.0,0.0,0.0,211.31,231.39
39,603122,合富中国,16.92,10.01,1.54,507772.0,826361208.0,11.51,16.92,15.15,15.38,15.38,3.48,12.76,-200.19,6.37,6735050550.0,6735050550.0,0.0,0.0,-31.61,-30.66
40,600487,亨通光电,53.85,10.01,4.9,1318010.0,6766838599.0,11.75,53.85,48.1,48.1,48.95,1.08,5.39,41.93,4.32,132815223039.0,131673003581.0,0.0,0.0,99.96,117.75
41,000890,法尔胜,14.83,10.01,1.35,389560.0,563426714.92,6.68,14.83,13.93,13.95,13.48,0.57,9.29,-204.96,-1122.34,6221243845.0,6221052212.0,0.0,0.0,167.69,192.5
42,603358,华达科技,33.33,10.0,3.03,435768.0,1401816141.0,10.07,33.33,30.28,30.29,30.3,2.06,9.57,29.85,4.08,15656536723.0,15171132502.0,0.0,0.0,-25.05,-33.8
43,600513,联环药业,28.17,10.0,2.56,321014.0,890118471.0,7.81,28.17,26.17,26.37,25.61,2.49,11.25,-172.01,6.02,8041303126.0,8041303126.0,0.0,0.0,56.85,53.85
44,001400,江顺科技,164.1,10.0,14.92,25566.0,397984557.52,12.13,164.1,146.0,146.55,149.18,1.12,17.04,112.83,8.0,9846000000.0,2461500000.0,0.0,0.0,142.11,111.03
45,002222,福晶科技,71.94,10.0,6.54,408930.0,2853220502.22,7.71,71.94,66.9,66.92,65.4,1.81,8.73,128.98,19.39,33829785000.0,33678834305.0,0.0,0.0,21.66,27.69
46,601869,长飞光纤,301.69,10.0,27.43,148221.0,4317549251.0,11.82,301.69,269.28,269.28,274.26,0.88,3.65,306.94,18.09,249770692033.0,122588205951.0,0.0,0.0,131.18,159.27
47,600345,长江通信,43.23,10.0,3.93,189873.0,788654888.0,11.81,43.23,38.59,38.68,39.3,1.46,8.97,642.4,4.05,14249132466.0,9145708409.0,0.0,0.0,45.31,24.73
48,600602,云赛智联,23.33,10.0,2.12,1100374.0,2466280570.0,13.34,23.33,20.5,20.77,21.21,1.87,10.24,164.71,6.54,31907821705.0,25063488757.0,0.0,0.0,30.55,24.83
49,000008,神州高铁,2.97,10.0,0.27,1263997.0,369718002.9,11.48,2.97,2.66,2.67,2.7,3.46,4.65,-69.37,2.75,8067641719.0,8067401947.0,0.0,0.0,3.13,4.21
50,603061,金海通,284.67,10.0,25.88,24155.0,657442068.0,12.45,284.67,252.46,255.0,258.79,1.41,4.03,96.76,10.58,17080200000.0,17080200000.0,0.0,0.0,96.76,102.76
51,603256,宏和科技,72.14,10.0,6.56,283563.0,2004029052.0,11.59,72.14,64.54,65.4,65.58,2.2,3.22,352.59,39.98,65256866142.0,63463541850.0,0.0,0.0,89.89,95.98
52,603778,国晟科技,25.3,10.0,2.3,1076031.0,2626417937.0,10.04,25.3,22.99,23.0,23.0,1.12,16.74,-82.49,22.84,16613045636.0,16264285693.0,0.0,0.0,69.0,43.75
53,603897,长城科技,32.89,10.0,2.99,127498.0,399538200.0,12.64,32.89,29.11,30.08,29.9,1.49,6.18,23.69,2.82,6789669548.0,6789669548.0,0.0,0.0,22.72,20.92
54,002980,华盛昌,43.78,10.0,3.98,78474.0,332478559.6,12.01,43.78,39.0,39.8,39.8,0.81,7.74,95.83,7.68,8291982785.0,4438851748.0,0.0,0.0,107.39,107.78
55,002850,科达利,177.32,10.0,16.12,78810.0,1390245057.55,3.1,177.32,172.33,172.33,161.2,1.63,3.96,27.72,3.7,48891715169.0,35296251202.0,0.0,0.0,17.82,12.33
56,605222,起帆电缆,22.36,9.99,2.03,213846.0,461863263.0,13.53,22.36,19.61,20.06,20.33,3.76,5.18,30.99,1.98,9232513271.0,9232513271.0,0.0,0.0,24.29,21.59
57,002432,九安医疗,75.5,9.99,6.86,563600.0,3972406026.04,14.28,75.5,65.7,67.95,68.64,1.55,12.86,16.57,1.58,35105672145.0,33099929104.0,0.0,0.0,85.19,88.56
58,002532,天山铝业,17.73,9.99,1.61,241326.0,427871405.79,0.0,17.73,17.73,17.73,16.12,0.36,0.59,17.03,2.78,82067514368.0,72814582624.0,0.0,0.0,20.94,10.26
59,600343,航天动力,32.58,9.99,2.96,622241.0,2000043420.0,10.43,32.58,29.49,29.58,29.62,2.53,9.75,-142.74,15.33,20792762818.0,20792762818.0,0.0,0.0,-22.06,-33.47
60,002810,山东赫达,22.9,9.99,2.08,265938.0,602914951.09,6.53,22.9,21.54,22.9,20.82,2.05,8.23,53.11,3.63,7989166121.0,7398514504.0,0.0,0.0,44.94,54.42
61,603016,新宏泰,45.02,9.99,4.09,71437.0,306175357.0,14.27,45.02,39.18,40.0,40.93,0.94,4.82,104.63,8.09,6670163200.0,6670163200.0,0.0,0.0,63.23,49.47
62,603239,浙江仙通,23.46,9.99,2.13,97781.0,222439078.0,11.53,23.46,21.0,21.0,21.33,4.14,3.61,31.41,5.06,6351091200.0,6351091200.0,0.0,0.0,12.36,14.38
63,600539,狮头股份,15.63,9.99,1.42,528935.0,810315512.0,10.06,15.63,14.2,14.21,14.21,2.62,23.0,-164.56,11.98,3594900000.0,3594900000.0,0.0,0.0,53.84,53.54
64,600996,贵广网络,11.02,9.98,1.0,999746.0,1064285714.0,9.98,11.02,10.02,10.2,10.02,2.49,8.02,-12.64,5.88,13739734391.0,13739734391.0,0.0,0.0,3.38,9.76
65,600724,宁波富达,6.39,9.98,0.58,253239.0,154276028.0,12.22,6.39,5.68,5.73,5.81,2.56,1.75,40.98,3.24,9235090444.0,9233183623.0,0.0,0.0,13.7,12.3
66,003036,泰坦股份,27.1,9.98,2.46,183709.0,475810424.51,12.18,27.1,24.1,24.19,24.64,1.2,8.49,104.36,4.24,5860942935.0,5860792530.0,0.0,0.0,73.61,75.06
67,601068,中铝国际,6.28,9.98,0.57,207008.0,129812719.0,1.58,6.28,6.19,6.19,5.71,1.34,0.81,72.84,6.26,18763611757.0,16074229389.0,0.0,0.0,5.02,18.71
68,603585,苏利股份,22.81,9.98,2.07,98511.0,219896600.0,6.75,22.81,21.41,22.7,20.74,3.23,5.39,22.97,1.68,4263000293.0,4168224743.0,0.0,0.0,17.46,20.94
69,603017,中衡设计,15.76,9.98,1.43,310903.0,467644844.0,11.3,15.76,14.14,14.2,14.33,1.17,11.26,58.02,2.94,4352759018.0,4352759018.0,0.0,0.0,52.42,42.24
70,002361,神剑股份,15.0,9.97,1.36,2284565.0,3290155009.93,13.12,15.0,13.21,13.37,13.64,2.16,28.24,352.87,6.44,14265524535.0,12136844760.0,0.0,0.0,37.87,4.6
71,600127,金健米业,7.51,9.96,0.68,377492.0,279994836.0,11.13,7.51,6.75,6.75,6.83,1.32,5.88,287.94,7.09,4819791967.0,4819791967.0,0.0,0.0,9.48,11.76
72,002370,亚太药业,7.18,9.95,0.65,776995.0,546318968.66,11.94,7.18,6.4,6.44,6.53,4.21,10.42,41.31,4.78,5353892865.0,5353892865.0,0.0,0.0,-2.05,-1.78
73,600488,津药药业,4.76,9.93,0.43,694393.0,324695902.0,9.93,4.76,4.33,4.33,4.33,4.99,6.36,56.05,1.72,5197380597.0,5197380597.0,0.0,0.0,13.6,16.38
74,002309,中利集团,4.76,9.93,0.43,8712187.0,3920593455.1,13.86,4.76,4.16,4.26,4.33,1.67,36.21,-76.51,7.69,14316487233.0,11453189786.0,0.0,0.0,35.61,40.41
75,301321,翰博高新,21.21,9.67,1.87,63702.0,130072598.65,12.25,21.25,18.88,19.0,19.34,1.91,4.32,-337.51,4.07,3954286350.0,3131026330.0,0.57,0.52,12.46,11.34
76,688272,富吉瑞,45.13,9.59,3.95,53118.0,227840777.0,17.44,46.48,39.3,40.86,41.18,1.36,6.99,-43.38,8.27,3429880000.0,3429880000.0,0.29,0.29,55.3,38.18
77,603272,联翔股份,35.34,9.34,3.02,120127.0,410138351.0,12.81,35.55,31.41,32.32,32.32,1.53,11.59,1251.77,6.56,3662178180.0,3662178180.0,0.43,0.43,88.58,75.73
78,301232,飞沃科技,171.28,9.21,14.44,68501.0,1143585659.1,14.31,176.45,154.0,154.0,156.84,2.55,15.34,209.93,9.12,12873806794.0,7650609149.0,-0.4,-0.65,40.39,1.73
79,301280,珠城科技,55.26,9.12,4.62,38313.0,206277086.06,10.82,55.48,50.0,50.9,50.64,3.41,9.55,35.19,4.05,7558470536.0,2217453386.0,-0.05,-0.05,9.69,3.76
80,000807,云铝股份,31.34,9.08,2.61,1056416.0,3258621448.82,4.77,31.58,30.21,31.02,28.73,2.16,3.05,17.95,3.39,108685785073.0,108684647305.0,-0.1,0.06,4.61,-4.57
81,300920,润阳科技,43.41,9.04,3.6,40317.0,167927096.0,12.61,43.67,38.65,39.9,39.81,2.47,7.28,114.33,3.66,4341000000.0,2404102711.0,0.21,0.12,2.75,-5.77
82,002038,双鹭药业,7.2,8.93,0.59,1532794.0,1106807473.82,4.08,7.27,7.0,7.0,6.61,4.2,17.99,39.32,1.3,7396920000.0,6133776977.0,0.28,0.28,-7.69,-2.31
83,002149,西部材料,53.83,8.86,4.38,975861.0,5014160949.05,12.94,54.4,48.0,48.35,49.45,1.64,19.99,284.61,9.02,26280574369.0,26276537119.0,0.6,0.84,28.17,18.28
84,301018,申菱环境,97.37,8.74,7.83,153041.0,1458600162.01,13.23,99.05,87.2,87.51,89.54,2.17,7.69,129.45,9.76,25905538157.0,19376572941.0,-0.06,-0.33,46.33,53.29
85,600219,南山铝业,6.4,8.47,0.5,4956833.0,3103763411.0,6.1,6.46,6.1,6.27,5.9,2.71,4.32,15.52,1.48,73495689978.0,73495689978.0,-0.16,-0.31,26.73,18.96
86,600105,永鼎股份,27.71,8.45,2.16,1518927.0,4077794362.0,12.13,28.09,24.99,25.0,25.55,1.71,10.39,92.33,12.28,40511875963.0,40511875963.0,-0.14,-0.5,18.72,10.4
87,300585,奥联电子,16.45,8.37,1.27,103314.0,164503124.0,11.73,16.58,14.8,14.81,15.18,2.85,6.04,634.21,3.95,2814777776.0,2814777776.0,0.0,-0.54,-27.47,-7.53
88,300683,海特生物,42.06,8.37,3.25,238865.0,1022141323.48,15.07,45.2,39.35,39.35,38.81,2.3,19.57,-26.12,2.46,5505418085.0,5134038800.0,-0.02,-0.19,49.89,51.68
89,600746,江苏索普,9.09,8.34,0.7,572808.0,510456760.0,8.7,9.23,8.5,8.52,8.39,2.31,4.91,63.23,1.95,10615691816.0,10599688534.0,-0.11,-0.11,33.09,32.12
90,301239,普瑞眼科,36.46,8.16,2.75,42179.0,150705089.5,10.38,36.8,33.3,33.3,33.71,3.23,2.82,250.25,2.57,5455110490.0,5455110490.0,0.3,0.19,16.19,10.85
91,600152,维科技术,11.25,7.97,0.83,1256651.0,1407415840.0,7.39,11.46,10.69,10.69,10.42,1.99,23.75,-75.21,3.5,5952142969.0,5952142969.0,0.36,0.18,61.17,54.11
92,300337,银邦股份,13.15,7.96,0.97,756658.0,985493409.88,6.98,13.47,12.62,12.78,12.18,4.07,10.64,126.77,6.26,10808453548.0,9354904280.0,0.15,-0.15,0.77,-15.22
93,688450,光格科技,35.36,7.9,2.59,18498.0,63039748.0,10.92,35.59,32.01,32.8,32.77,1.31,3.78,-35.95,2.49,2333760000.0,1730188562.0,0.14,0.0,27.19,28.21
94,300301,ST长方,3.83,7.89,0.28,256020.0,94512870.0,8.73,3.85,3.54,3.56,3.55,1.13,3.24,-27.48,19.32,3178397385.0,3025227834.0,-0.26,0.26,58.26,61.6
95,600598,北大荒,17.4,7.87,1.27,933758.0,1636520829.0,9.92,17.74,16.14,16.14,16.13,2.92,5.25,26.52,3.86,30931630417.0,30931630417.0,0.12,-0.11,16.7,16.39
96,688607,康众医疗,61.93,7.85,4.51,32123.0,191805004.0,10.4,62.49,56.52,57.1,57.42,1.6,3.64,-768.73,6.36,5457830642.0,5457830642.0,-0.72,-0.69,45.07,44.7
97,600845,宝信软件,23.83,7.83,1.73,467401.0,1088356233.0,11.22,24.13,21.65,21.71,22.1,2.79,2.19,46.74,6.22,68410658852.0,50854510466.0,0.0,-0.13,18.73,15.07
98,603668,天马科技,12.04,7.79,0.87,234808.0,271868799.0,9.76,12.11,11.02,11.22,11.17,1.17,4.64,64.52,2.61,6088908195.0,6088908195.0,0.0,-0.25,-24.13,-27.73
99,600528,中铁工业,8.36,7.73,0.6,608486.0,504472748.0,11.98,8.54,7.61,7.65,7.76,3.53,2.74,13.59,0.74,18572171276.0,18572171276.0,-0.24,-0.24,3.47,2.2
100,301306,西测测试,162.18,7.61,11.47,106185.0,1705253697.49,15.92,169.99,146.0,146.41,150.71,1.09,18.21,-96.86,14.95,13687992000.0,9455094000.0,0.05,-0.98,51.08,41.82
101,002858,力盛体育,15.85,7.6,1.12,142233.0,219911301.0,9.78,16.05,14.61,14.7,14.73,2.16,9.68,88.5,4.78,2598129432.0,2329608242.0,0.0,-0.19,3.39,5.67
102,300461,田中精机,59.85,7.59,4.22,167248.0,976133250.16,9.64,60.98,55.62,59.02,55.63,1.87,11.64,1493.25,17.68,9399843016.0,8600639931.0,-0.07,0.05,208.03,213.68
103,002788,鹭燕医药,14.75,7.59,1.04,535582.0,781574987.45,11.45,15.08,13.51,13.51,13.71,5.23,14.03,19.57,1.77,5730621856.0,5631458565.0,0.34,0.41,-24.94,-30.36
104,300342,天银机电,53.78,7.56,3.78,569158.0,2986503815.16,11.24,54.51,48.89,48.95,50.0,1.07,13.59,706.37,14.58,22858388377.0,22523002852.0,0.5,0.07,74.72,62.33
105,300457,赢合科技,27.18,7.52,1.9,350559.0,942688779.71,7.32,27.5,25.65,25.76,25.28,3.16,5.53,32.58,2.57,17535976853.0,17225386101.0,0.04,-0.04,0.97,-2.41
106,601000,唐山港,4.59,7.49,0.32,886123.0,402187035.0,7.73,4.64,4.31,4.33,4.27,3.14,1.5,13.61,1.27,27200012338.0,27200012338.0,0.0,0.0,18.91,19.53
107,301226,祥明智能,43.8,7.48,3.05,169032.0,728011294.03,13.01,45.3,40.0,40.5,40.75,1.29,15.54,182.52,5.23,4765440000.0,4765440000.0,-0.07,-0.02,38.17,28.71
108,600988,赤峰黄金,42.77,7.46,2.97,725366.0,3009632647.0,7.89,42.8,39.66,39.81,39.8,1.04,4.36,26.37,6.06,81280586083.0,71165489637.0,-0.05,0.12,31.08,36.91
109,603356,华菱精工,17.67,7.42,1.22,106460.0,189053999.0,9.73,18.1,16.5,16.5,16.45,2.58,7.98,-23.49,6.14,2356117800.0,2356117800.0,-0.06,-0.17,24.61,24.52
110,688409,富创精密,94.86,7.42,6.55,62138.0,573473236.0,8.98,95.75,87.82,88.33,88.31,1.47,2.03,-3109.67,6.47,29047153737.0,29047153737.0,-0.41,-0.29,34.52,40.74
111,301048,金鹰重工,10.88,7.4,0.75,156487.0,172965274.63,18.46,11.85,9.98,10.0,10.13,4.66,2.93,34.76,2.12,5802667392.0,5802667392.0,0.0,-0.18,-5.88,-4.56
112,688309,恒誉环保,65.04,7.33,4.44,31910.0,199319364.0,11.17,65.35,58.58,59.51,60.6,1.06,4.02,143.72,6.68,5164258536.0,5164258536.0,0.74,0.82,173.51,169.54
113,688136,科兴制药,29.15,7.29,1.98,110561.0,322727047.0,13.84,30.85,27.09,27.09,27.17,3.47,5.49,36.8,3.34,5866648838.0,5866648838.0,0.0,-0.14,-10.45,-7.96
114,603639,海利尔,14.35,7.17,0.96,123897.0,175349614.0,11.73,14.66,13.09,13.09,13.39,3.99,3.65,18.1,1.41,5017452187.0,4877254122.0,-0.07,-0.07,12.73,12.99
115,002796,世嘉科技,47.9,7.11,3.18,161010.0,767909505.95,7.69,49.0,45.56,45.56,44.72,1.03,7.07,-177.72,14.12,12088376809.0,10907222924.0,-0.06,0.0,67.89,72.74
116,603023,威帝股份,5.3,7.07,0.35,347594.0,180158099.0,9.29,5.35,4.89,4.9,4.95,2.9,6.23,3143.13,3.84,2958022257.0,2958022257.0,-0.19,-0.38,-3.99,5.37
117,300246,宝莱特,15.31,7.06,1.01,173099.0,256057845.1,10.77,15.54,14.0,14.18,14.3,1.04,8.19,-364.23,3.5,4051105214.0,3235147343.0,0.2,-0.07,88.08,89.01
118,603737,三棵树,52.56,7.03,3.45,51961.0,265700534.0,8.21,52.58,48.55,48.64,49.11,2.02,0.7,39.11,11.94,38779686381.0,38779686381.0,0.31,0.5,18.43,13.59
119,920087,秋乐种业,16.34,7.01,1.07,109053.0,177287228.56,10.35,16.94,15.36,15.37,15.27,2.12,6.65,215.1,4.92,2699368000.0,2680513683.0,0.12,0.25,-5.49,2.45
120,688428,诺诚健华,27.04,6.88,1.74,225197.0,603014251.0,11.86,27.88,24.88,25.0,25.3,1.92,8.39,74.27,6.18,47715972462.0,7256446748.0,-0.15,-0.11,23.75,31.77
121,920942,恒立钻具,26.65,6.86,1.71,19718.0,52530804.42,20.01,29.37,24.38,24.67,24.94,2.57,4.77,76.54,3.28,1634367215.0,1102679781.0,-0.45,-0.52,-15.48,-13.25
122,688383,新益昌,72.06,6.82,4.6,12886.0,89251011.0,9.47,72.4,66.01,66.15,67.46,1.44,1.27,-55.12,5.93,7324646790.0,7324646790.0,0.87,1.28,-4.23,-7.93
123,688630,芯碁微装,197.9,6.81,12.61,65811.0,1253220329.0,9.68,198.94,181.0,184.54,185.29,1.55,5.0,89.92,11.29,26071487696.0,26071487696.0,0.2,0.71,41.39,47.1
124,600522,中天科技,28.89,6.8,1.84,1447721.0,4074960206.0,10.72,29.46,26.56,26.65,27.05,1.33,4.24,31.62,2.69,98600115446.0,98600115446.0,0.0,-0.03,50.31,59.44
125,600867,通化东宝,9.5,6.74,0.6,1054237.0,997805373.0,8.65,9.68,8.91,8.98,8.9,3.5,5.38,11.61,2.61,18606156876.0,18606156876.0,-0.11,0.0,14.05,16.28
126,300936,中英科技,60.29,6.71,3.79,55087.0,328227975.57,11.75,62.0,55.36,55.36,56.5,1.04,11.61,-473.13,4.53,4533808000.0,2861379980.0,0.13,-0.02,61.64,54.59
127,688210,统联精密,42.31,6.65,2.64,52431.0,215254894.0,10.16,42.53,38.5,39.0,39.67,1.26,3.24,-1472.79,5.31,6848246970.0,6848246970.0,-0.09,0.19,-18.02,-23.52
128,688710,益诺思,70.37,6.64,4.38,27070.0,188851626.0,12.0,73.0,65.08,65.6,65.99,2.15,2.98,-325.1,4.27,9920735508.0,6382134247.0,0.53,1.05,54.83,59.39
129,002866,传艺科技,22.78,6.6,1.41,444673.0,1002175434.43,11.79,23.5,20.98,20.99,21.37,2.6,24.53,71.81,3.18,6595316992.0,4129251007.0,0.0,-0.26,28.92,26.49
130,002484,江海股份,29.66,6.58,1.83,386567.0,1133389435.9,11.14,30.38,27.28,27.48,27.83,2.36,4.71,35.37,4.11,25226540090.0,24335207380.0,-0.07,0.03,-4.97,-0.13
131,601952,苏垦农发,10.86,6.58,0.67,685553.0,750379491.0,11.48,11.21,10.04,10.12,10.19,4.15,4.97,27.03,2.13,14965080000.0,14965080000.0,0.09,0.09,19.21,19.08
132,600398,海澜之家,6.49,6.57,0.4,1443458.0,945687140.0,6.24,6.7,6.32,6.33,6.09,4.41,3.01,14.39,1.7,31169979221.0,31169979221.0,0.15,0.15,6.05,7.27
133,603159,上海亚虹,25.58,6.54,1.57,49672.0,127931965.0,12.0,26.41,23.53,23.86,24.01,5.64,3.55,-636.37,7.14,3581200000.0,3581200000.0,-0.12,-0.08,1.11,-0.51
134,300780,德恩精工,21.54,6.53,1.32,79035.0,164424694.0,9.2,21.63,19.77,19.96,20.22,1.41,7.35,-73.0,3.09,3159271800.0,2316304158.0,0.05,-0.14,16.24,11.72
135,603685,晨丰科技,29.5,6.5,1.8,42643.0,121850267.0,10.25,29.84,27.0,27.53,27.7,1.58,2.12,226.91,4.19,7403041756.0,5943239537.0,-0.03,-0.2,50.51,51.36
