rebalance_date,rank,symbol,name,market_cap,target_weight
2026-03-05,83,300823,建科智能,2235875149.89,0.01
2026-03-05,84,301010,晶雪节能,2236680000.0,0.01
2026-03-05,85,688395,正弦电气,2241148993.6,0.01
2026-03-05,86,600303,曙光股份,2242221812.0800004,0.01
2026-03-05,87,688695,中创股份,2244505865.42,0.01
2026-03-05,88,300069,金利华电,2245230000.0000005,0.01
2026-03-05,89,300220,金运激光,2245320000.0,0.01
2026-03-05,90,300106,西部牧业,2248575778.4,0.01
2026-03-05,91,688058,宝兰德,2251586991.36,0.01
2026-03-05,92,002910,庄园牧场,2260434851.32,0.01
2026-03-05,93,002963,豪尔赛,2264420545.8,0.01
2026-03-05,94,600119,长江投资,2264676294.0,0.01
2026-03-05,95,688670,金迪克,2266879999.9999995,0.01
2026-03-05,96,300640,德艺文创,2267142082.83,0.01
2026-03-05,97,300556,丝路视觉,2267193087.45,0.01
2026-03-05,98,002820,桂发祥,2269811733.5000005,0.01
2026-03-05,99,300670,大烨智能,2278658244.01,0.01
2026-03-05,100,688420,美腾科技,2281494000.0,0.01
