candidate,label,source,window,rows,avg_weight,max_weight,active_day_rate_gt_1pct
CN_STAR50,STAR 50 ETF/index proxy,"CN local CNY index close, no FX/execution model",full_common,3840,0.0851791660709438,0.5847964024924288,0.3809895833333333
CN_STAR50,STAR 50 ETF/index proxy,"CN local CNY index close, no FX/execution model",high_inflation_2021_2022,730,0.163048381899048,0.4712384757805947,0.684931506849315
CN_STAR50,STAR 50 ETF/index proxy,"CN local CNY index close, no FX/execution model",inflation_shock_2022,304,0.241520769058691,0.4712384757805947,0.8914473684210527
CN_STAR50,STAR 50 ETF/index proxy,"CN local CNY index close, no FX/execution model",latest_3y,1097,0.0926008858735885,0.5170477175903657,0.398359161349134
CN_STAR50,STAR 50 ETF/index proxy,"CN local CNY index close, no FX/execution model",latest_1y,366,0.0433560456104305,0.2576829926914424,0.2103825136612022
CN_DIVIDEND,A-share dividend/low-vol proxy,"CN local CNY index close, no FX/execution model",full_common,3840,0.0534826111609851,0.5847964024924227,0.2825520833333333
CN_DIVIDEND,A-share dividend/low-vol proxy,"CN local CNY index close, no FX/execution model",high_inflation_2021_2022,730,0.0857290297750823,0.4359894745726801,0.4794520547945205
CN_DIVIDEND,A-share dividend/low-vol proxy,"CN local CNY index close, no FX/execution model",inflation_shock_2022,304,0.1364674444736393,0.4359894745726801,0.6907894736842105
CN_DIVIDEND,A-share dividend/low-vol proxy,"CN local CNY index close, no FX/execution model",latest_3y,1097,0.0552569995995948,0.3595687216334089,0.2771194165907019
CN_DIVIDEND,A-share dividend/low-vol proxy,"CN local CNY index close, no FX/execution model",latest_1y,366,0.0358061245642753,0.3590935661897838,0.1530054644808743
