candidate,label,source,window,first_weight_gt1pct,subb_annual,subb_sharpe,subb_max_dd,subb_delta_annual,subb_delta_sharpe,subb_delta_max_dd,v72_annual,v72_sharpe,v72_max_dd,v72_delta_annual,v72_delta_sharpe,v72_delta_max_dd
CN_CSI300,A-share CSI 300 index proxy,"CN local CNY index close, no FX/execution model",full_common,2015-10-15,0.2215910687830062,1.1375100901837554,-0.1590827475692038,-0.0264477334667918,-0.1044838188656906,-0.0011096937067646,0.2759307787680221,2.2926300553034675,-0.0801714251627782,-0.0111629921759903,-0.0268054976800362,-0.0081170452014432
CN_CSI300,A-share CSI 300 index proxy,"CN local CNY index close, no FX/execution model",high_inflation_2021_2022,2015-10-15,0.0938492231847318,0.5468764259302705,-0.1451215869214364,-0.0040055537945611,-0.0188091947566551,0.0,0.2685487022002444,2.1027944225073822,-0.0463322100477264,0.0116207574381344,0.135883699352427,0.0035580638309712
CN_CSI300,A-share CSI 300 index proxy,"CN local CNY index close, no FX/execution model",inflation_shock_2022,2015-10-15,-0.0428304783086581,-0.2297297786576163,-0.145121586921435,-0.0018309388699454,-0.0120232491730417,1.1102230246251563e-15,0.2312477502607028,1.874896647786764,-0.0463322100477269,0.0216405000159463,0.1369758159429213,0.0035580638309706
CN_CSI300,A-share CSI 300 index proxy,"CN local CNY index close, no FX/execution model",latest_3y,2015-10-15,0.3401035676221762,1.4727394972220462,-0.1173563609186036,-0.0245227884693284,-0.047497506515771,-0.0003642330979618,0.3339268723809074,2.627092657268193,-0.0587009373558421,-0.0107845987082115,0.0233443740147221,-0.0003642700440639
CN_CSI300,A-share CSI 300 index proxy,"CN local CNY index close, no FX/execution model",latest_1y,2015-10-15,0.4466722664452291,1.8046506653930212,-0.1173563609186034,-0.0965274368037598,-0.1997503303793013,-0.0003642330979621,0.3864697229170524,2.9796870094202093,-0.0496374465322213,-0.0423788833252047,-0.0741297701022372,0.0037679090211256
CN_CSI500,A-share CSI 500 index proxy,"CN local CNY index close, no FX/execution model",full_common,2015-10-15,0.2205848703876116,1.119000127021072,-0.1671848024563683,-0.0274539318621864,-0.1229937820283741,-0.0092117485939291,0.275532656738239,2.260249017888179,-0.0880681441161673,-0.0115611142057734,-0.0591865350953249,-0.0160137641548324
CN_CSI500,A-share CSI 500 index proxy,"CN local CNY index close, no FX/execution model",high_inflation_2021_2022,2015-10-15,0.0707184692906073,0.4385961996355195,-0.1490196040327983,-0.0271363076886856,-0.127089421051406,-0.0038980171113619,0.2563067250810666,2.0378299729039746,-0.0462224450769331,-0.0006212196810433,0.0709192497490194,0.0036678288017645
CN_CSI500,A-share CSI 500 index proxy,"CN local CNY index close, no FX/execution model",inflation_shock_2022,2015-10-15,-0.0768173775121716,-0.5035733257086249,-0.1379891705356889,-0.0358178380734589,-0.2858667962240503,0.0071324163857472,0.2125937966984401,1.795331554923116,-0.0462224450769337,0.0029865464536835,0.0574107230792735,0.0036678288017638
CN_CSI500,A-share CSI 500 index proxy,"CN local CNY index close, no FX/execution model",latest_3y,2015-10-15,0.3420017612378205,1.4557617783220984,-0.1401625865129687,-0.022624594853684,-0.0644752254157188,-0.0231704586923269,0.3346092982632302,2.5945970600827466,-0.0600397319006497,-0.0101021728258887,-0.0091512231707242,-0.0017030645888714
CN_CSI500,A-share CSI 500 index proxy,"CN local CNY index close, no FX/execution model",latest_1y,2015-10-15,0.4801274601840211,1.8309165705868689,-0.1401625865129688,-0.0630722430649679,-0.1734844251854541,-0.0231704586923275,0.3977150035646866,2.950274446687128,-0.0564615560562871,-0.0311336026775705,-0.1035423328353184,-0.00305620050294
CN_CSI1000,A-share CSI 1000 index proxy,"CN local CNY index close, no FX/execution model",full_common,2015-10-15,0.218392254701955,1.105276183573192,-0.2098538748922965,-0.0296465475478431,-0.1367177254762541,-0.0518808210298573,0.2746718151438403,2.247134496081125,-0.1153007427053478,-0.0124219558001721,-0.0723010569023787,-0.0432463627440129
CN_CSI1000,A-share CSI 1000 index proxy,"CN local CNY index close, no FX/execution model",high_inflation_2021_2022,2015-10-15,0.0533147959005892,0.3504689615714512,-0.1540549667724812,-0.0445399810787037,-0.2152166591154743,-0.0089333798510448,0.2514284450243302,2.0242129290122155,-0.0459712421977644,-0.0054994997377797,0.0573022058572603,0.0039190316809332
CN_CSI1000,A-share CSI 1000 index proxy,"CN local CNY index close, no FX/execution model",inflation_shock_2022,2015-10-15,-0.0874170350333966,-0.5987610470321154,-0.1327098280699972,-0.0464174955946838,-0.3810545175475409,0.0124117588514389,0.2149475279301744,1.836108530698892,-0.0459712421977643,0.0053402776854178,0.0981876988550491,0.0039190316809332
CN_CSI1000,A-share CSI 1000 index proxy,"CN local CNY index close, no FX/execution model",latest_3y,2015-10-15,0.3584464097995337,1.5303034324873046,-0.1359105362413289,-0.0061799462919709,0.0100664287494873,-0.0189184084206871,0.3404682485307608,2.650575502710317,-0.0605038328215806,-0.0042432225583581,0.0468272194568459,-0.0021671655098024
CN_CSI1000,A-share CSI 1000 index proxy,"CN local CNY index close, no FX/execution model",latest_1y,2015-10-15,0.5061406656056326,1.948662129780796,-0.1359105362413292,-0.0370590376433563,-0.0557388659915265,-0.0189184084206879,0.4057159631570031,3.0419965325354883,-0.0531089246360675,-0.023132643085254,-0.0118202469869581,0.0002964309172794
CN_CHINEXT,A-share ChiNext index proxy,"CN local CNY index close, no FX/execution model",full_common,2015-10-15,0.2376966456191622,1.1686525458220538,-0.2147965061127362,-0.0103421566306358,-0.0733413632273922,-0.056823452250297,0.2825680001814206,2.265767250797321,-0.1158566913193491,-0.0045257707625918,-0.0536683021861832,-0.0438023113580142
CN_CHINEXT,A-share ChiNext index proxy,"CN local CNY index close, no FX/execution model",high_inflation_2021_2022,2015-10-15,0.0528697639963953,0.3397082505572423,-0.1614501486686146,-0.0449850129828977,-0.2259773701296833,-0.0163285617471782,0.2412854389286189,1.8789793537728812,-0.0469967067630696,-0.015642505833491,-0.0879313693820738,0.002893567115628
CN_CHINEXT,A-share ChiNext index proxy,"CN local CNY index close, no FX/execution model",inflation_shock_2022,2015-10-15,-0.0637298750487328,-0.3721818205160457,-0.1614501486686137,-0.0227303356100201,-0.1544752910314712,-0.0163285617471775,0.2148705363647978,1.7704542073381742,-0.0464243837637805,0.0052632861200412,0.0325333754943317,0.003465890114917
CN_CHINEXT,A-share ChiNext index proxy,"CN local CNY index close, no FX/execution model",latest_3y,2015-10-15,0.3925384956785902,1.629821498679452,-0.110217897078616,0.0279121395870856,0.1095844949416349,0.0067742307420257,0.3545551149514669,2.7083445264056727,-0.0596832032244614,0.0098436438623479,0.1045962431522018,-0.0013465359126831
CN_CHINEXT,A-share ChiNext index proxy,"CN local CNY index close, no FX/execution model",latest_1y,2015-10-15,0.6368324414483009,2.2775450625137847,-0.1022476808190112,0.0936327381993118,0.2731440667414619,0.01474444700163,0.4566160871579374,3.2354007498309976,-0.043078309558504,0.0277674809156802,0.1815839703085511,0.010327045994843
CN_STAR50,STAR 50 ETF/index proxy,"CN local CNY index close, no FX/execution model",full_common,2015-10-15,0.2337254478842054,1.2036586038425514,-0.1574886397640338,-0.0143133543655926,-0.0383353052068946,0.0004844140984053,0.2808850482889777,2.3228315197338216,-0.0818721964501417,-0.0062087226550346,0.0033959667503178,-0.0098178164888068
CN_STAR50,STAR 50 ETF/index proxy,"CN local CNY index close, no FX/execution model",high_inflation_2021_2022,2015-10-15,0.086793955815855,0.5356523622153748,-0.1204398261882019,-0.0110608211634379,-0.0300332584715508,0.0246817607332344,0.2595037480223692,2.053472577791509,-0.0411632603528312,0.0025758032602591,0.0865618546365543,0.0087270135258664
CN_STAR50,STAR 50 ETF/index proxy,"CN local CNY index close, no FX/execution model",inflation_shock_2022,2015-10-15,-0.038678484799935,-0.2271258601121971,-0.1204398261882025,0.0023210546387776,-0.0094193306276225,0.0246817607332335,0.226430567005069,1.8858335211227324,-0.0411632603528311,0.0168233167603124,0.14791268927889,0.0087270135258664
CN_STAR50,STAR 50 ETF/index proxy,"CN local CNY index close, no FX/execution model",latest_3y,2015-10-15,0.3582577560376183,1.533934055108454,-0.1169920813179041,-0.0063686000538862,0.0136970513706367,4.6502737660603095e-08,0.341269077573723,2.6438745269587423,-0.0579200894730508,-0.0034423935153959,0.0401262437052714,0.0004165778387273
CN_STAR50,STAR 50 ETF/index proxy,"CN local CNY index close, no FX/execution model",latest_1y,2015-10-15,0.4882376057518176,1.867597282422283,-0.1169920813179042,-0.0549620974971714,-0.1368037133500397,4.650273699446928e-08,0.4040037217419361,3.003667351604578,-0.0511664415294755,-0.024844884500321,-0.0501494279178684,0.0022389140238714
CN_DIVIDEND,A-share dividend/low-vol proxy,"CN local CNY index close, no FX/execution model",full_common,2015-10-15,0.2233211128106476,1.1451917009304584,-0.1844384350566623,-0.0247176894391505,-0.0968022081189876,-0.0264653811942231,0.2766198386521867,2.283608725125781,-0.0818721964501415,-0.0104739322918256,-0.0358268278577229,-0.0098178164888066
CN_DIVIDEND,A-share dividend/low-vol proxy,"CN local CNY index close, no FX/execution model",high_inflation_2021_2022,2015-10-15,0.0396778363400258,0.2787077937617463,-0.1645882179408138,-0.0581769406392671,-0.2869778269251792,-0.0194666310193774,0.2369813245714607,1.871799355083773,-0.0454475639903225,-0.0199466201906493,-0.0951113680711821,0.0044427098883751
