合约编码,合约交易代码,合约简称,标的券名称及代码,类型,行权价,合约单位,期权行权日,行权交收日,到期日,开始日期,trade_month,side
10010329,510300P2606A05000,300ETF沽6月4873A,300ETF(510300),认沽,4.873,10260,2026-06-24,20260625,2026-06-24,2025-10-23,202606,put
10010936,510300P2606M04900,300ETF沽6月4900,300ETF(510300),认沽,4.9,10000,2026-06-24,20260625,2026-06-24,2026-01-19,202606,put
10010937,510300P2606M05000,300ETF沽6月5000,300ETF(510300),认沽,5.0,10000,2026-06-24,20260625,2026-06-24,2026-01-19,202606,put
10010330,510300P2606A05250,300ETF沽6月5117A,300ETF(510300),认沽,5.117,10260,2026-06-24,20260625,2026-06-24,2025-10-23,202606,put
10010938,510300P2606M05250,300ETF沽6月5250,300ETF(510300),认沽,5.25,10000,2026-06-24,20260625,2026-06-24,2026-01-19,202606,put
10010392,510300P2606A05500,300ETF沽6月5361A,300ETF(510300),认沽,5.361,10260,2026-06-24,20260625,2026-06-24,2025-10-27,202606,put
10011068,510300P2606M05500,300ETF沽6月5500,300ETF(510300),认沽,5.5,10000,2026-06-24,20260625,2026-06-24,2026-01-30,202606,put
10010412,510300P2606A05750,300ETF沽6月5604A,300ETF(510300),认沽,5.604,10260,2026-06-24,20260625,2026-06-24,2025-10-30,202606,put
10011267,510300C2606M04000,300ETF购6月4000,300ETF(510300),认购,4.0,10000,2026-06-24,20260625,2026-06-24,2026-03-24,202606,call
10010425,510300C2606A04200,300ETF购6月4094A,300ETF(510300),认购,4.094,10260,2026-06-24,20260625,2026-06-24,2025-11-24,202606,call
10011268,510300C2606M04100,300ETF购6月4100,300ETF(510300),认购,4.1,10000,2026-06-24,20260625,2026-06-24,2026-03-24,202606,call
10010313,510300C2606A04300,300ETF购6月4191A,300ETF(510300),认购,4.191,10260,2026-06-24,20260625,2026-06-24,2025-10-23,202606,call
10011081,510300C2606M04200,300ETF购6月4200,300ETF(510300),认购,4.2,10000,2026-06-24,20260625,2026-06-24,2026-02-03,202606,call
10010314,510300C2606A04400,300ETF购6月4288A,300ETF(510300),认购,4.288,10260,2026-06-24,20260625,2026-06-24,2025-10-23,202606,call
10010921,510300C2606M04300,300ETF购6月4300,300ETF(510300),认购,4.3,10000,2026-06-24,20260625,2026-06-24,2026-01-19,202606,call
10010315,510300C2606A04500,300ETF购6月4386A,300ETF(510300),认购,4.386,10260,2026-06-24,20260625,2026-06-24,2025-10-23,202606,call
10010922,510300C2606M04400,300ETF购6月4400,300ETF(510300),认购,4.4,10000,2026-06-24,20260625,2026-06-24,2026-01-19,202606,call
10010316,510300C2606A04600,300ETF购6月4483A,300ETF(510300),认购,4.483,10260,2026-06-24,20260625,2026-06-24,2025-10-23,202606,call
10010923,510300C2606M04500,300ETF购6月4500,300ETF(510300),认购,4.5,10000,2026-06-24,20260625,2026-06-24,2026-01-19,202606,call
10010317,510300C2606A04700,300ETF购6月4581A,300ETF(510300),认购,4.581,10260,2026-06-24,20260625,2026-06-24,2025-10-23,202606,call
10010924,510300C2606M04600,300ETF购6月4600,300ETF(510300),认购,4.6,10000,2026-06-24,20260625,2026-06-24,2026-01-19,202606,call
10010318,510300C2606A04800,300ETF购6月4678A,300ETF(510300),认购,4.678,10260,2026-06-24,20260625,2026-06-24,2025-10-23,202606,call
10010925,510300C2606M04700,300ETF购6月4700,300ETF(510300),认购,4.7,10000,2026-06-24,20260625,2026-06-24,2026-01-19,202606,call
10010319,510300C2606A04900,300ETF购6月4776A,300ETF(510300),认购,4.776,10260,2026-06-24,20260625,2026-06-24,2025-10-23,202606,call
10010926,510300C2606M04800,300ETF购6月4800,300ETF(510300),认购,4.8,10000,2026-06-24,20260625,2026-06-24,2026-01-19,202606,call
10010320,510300C2606A05000,300ETF购6月4873A,300ETF(510300),认购,4.873,10260,2026-06-24,20260625,2026-06-24,2025-10-23,202606,call
10010927,510300C2606M04900,300ETF购6月4900,300ETF(510300),认购,4.9,10000,2026-06-24,20260625,2026-06-24,2026-01-19,202606,call
10010928,510300C2606M05000,300ETF购6月5000,300ETF(510300),认购,5.0,10000,2026-06-24,20260625,2026-06-24,2026-01-19,202606,call
10010321,510300C2606A05250,300ETF购6月5117A,300ETF(510300),认购,5.117,10260,2026-06-24,20260625,2026-06-24,2025-10-23,202606,call
10010929,510300C2606M05250,300ETF购6月5250,300ETF(510300),认购,5.25,10000,2026-06-24,20260625,2026-06-24,2026-01-19,202606,call
10010391,510300C2606A05500,300ETF购6月5361A,300ETF(510300),认购,5.361,10260,2026-06-24,20260625,2026-06-24,2025-10-27,202606,call
10011067,510300C2606M05500,300ETF购6月5500,300ETF(510300),认购,5.5,10000,2026-06-24,20260625,2026-06-24,2026-01-30,202606,call
10010411,510300C2606A05750,300ETF购6月5604A,300ETF(510300),认购,5.604,10260,2026-06-24,20260625,2026-06-24,2025-10-30,202606,call
10011273,510300P2609M04000,300ETF沽9月4000,300ETF(510300),认沽,4.0,10000,2026-09-23,20260924,2026-09-23,2026-03-24,202609,put
10011274,510300P2609M04100,300ETF沽9月4100,300ETF(510300),认沽,4.1,10000,2026-09-23,20260924,2026-09-23,2026-03-24,202609,put
10011084,510300P2609M04200,300ETF沽9月4200,300ETF(510300),认沽,4.2,10000,2026-09-23,20260924,2026-09-23,2026-02-03,202609,put
10010998,510300P2609M04300,300ETF沽9月4300,300ETF(510300),认沽,4.3,10000,2026-09-23,20260924,2026-09-23,2026-01-29,202609,put
10010999,510300P2609M04400,300ETF沽9月4400,300ETF(510300),认沽,4.4,10000,2026-09-23,20260924,2026-09-23,2026-01-29,202609,put
10011000,510300P2609M04500,300ETF沽9月4500,300ETF(510300),认沽,4.5,10000,2026-09-23,20260924,2026-09-23,2026-01-29,202609,put
10011001,510300P2609M04600,300ETF沽9月4600,300ETF(510300),认沽,4.6,10000,2026-09-23,20260924,2026-09-23,2026-01-29,202609,put
10011002,510300P2609M04700,300ETF沽9月4700,300ETF(510300),认沽,4.7,10000,2026-09-23,20260924,2026-09-23,2026-01-29,202609,put
10011003,510300P2609M04800,300ETF沽9月4800,300ETF(510300),认沽,4.8,10000,2026-09-23,20260924,2026-09-23,2026-01-29,202609,put
10011004,510300P2609M04900,300ETF沽9月4900,300ETF(510300),认沽,4.9,10000,2026-09-23,20260924,2026-09-23,2026-01-29,202609,put
10011005,510300P2609M05000,300ETF沽9月5000,300ETF(510300),认沽,5.0,10000,2026-09-23,20260924,2026-09-23,2026-01-29,202609,put
10011006,510300P2609M05250,300ETF沽9月5250,300ETF(510300),认沽,5.25,10000,2026-09-23,20260924,2026-09-23,2026-01-29,202609,put
10011070,510300P2609M05500,300ETF沽9月5500,300ETF(510300),认沽,5.5,10000,2026-09-23,20260924,2026-09-23,2026-01-30,202609,put
10011271,510300C2609M04000,300ETF购9月4000,300ETF(510300),认购,4.0,10000,2026-09-23,20260924,2026-09-23,2026-03-24,202609,call
10011272,510300C2609M04100,300ETF购9月4100,300ETF(510300),认购,4.1,10000,2026-09-23,20260924,2026-09-23,2026-03-24,202609,call
10011083,510300C2609M04200,300ETF购9月4200,300ETF(510300),认购,4.2,10000,2026-09-23,20260924,2026-09-23,2026-02-03,202609,call
10010989,510300C2609M04300,300ETF购9月4300,300ETF(510300),认购,4.3,10000,2026-09-23,20260924,2026-09-23,2026-01-29,202609,call
10010990,510300C2609M04400,300ETF购9月4400,300ETF(510300),认购,4.4,10000,2026-09-23,20260924,2026-09-23,2026-01-29,202609,call
10010991,510300C2609M04500,300ETF购9月4500,300ETF(510300),认购,4.5,10000,2026-09-23,20260924,2026-09-23,2026-01-29,202609,call
10010992,510300C2609M04600,300ETF购9月4600,300ETF(510300),认购,4.6,10000,2026-09-23,20260924,2026-09-23,2026-01-29,202609,call
10010993,510300C2609M04700,300ETF购9月4700,300ETF(510300),认购,4.7,10000,2026-09-23,20260924,2026-09-23,2026-01-29,202609,call
10010994,510300C2609M04800,300ETF购9月4800,300ETF(510300),认购,4.8,10000,2026-09-23,20260924,2026-09-23,2026-01-29,202609,call
10010995,510300C2609M04900,300ETF购9月4900,300ETF(510300),认购,4.9,10000,2026-09-23,20260924,2026-09-23,2026-01-29,202609,call
10010996,510300C2609M05000,300ETF购9月5000,300ETF(510300),认购,5.0,10000,2026-09-23,20260924,2026-09-23,2026-01-29,202609,call
10010997,510300C2609M05250,300ETF购9月5250,300ETF(510300),认购,5.25,10000,2026-09-23,20260924,2026-09-23,2026-01-29,202609,call
10011069,510300C2609M05500,300ETF购9月5500,300ETF(510300),认购,5.5,10000,2026-09-23,20260924,2026-09-23,2026-01-30,202609,call
