overheat_enabled,enter_threshold,exit_threshold,derisk_scale,segment,start,end,rows,trigger_count,overlay_days,avg_weight,avg_turnover,cagr,vol,sharpe,max_dd,calmar,final_nav
True,0.28,0.24,0.25,full_common,2010-09-29,2026-04-30,3785,8,49,0.6986821869627863,0.24486687945458305,0.288924470129869,0.20704022422121032,1.335293868808401,-0.35391395766378686,0.8163692442001483,52.21171683159822
True,0.28,0.24,0.5,last_1y,2025-05-06,2026-04-30,242,0,0,0.6903409090909091,0.1890495867768595,0.9879376761573204,0.19620500195838675,3.571552337153125,-0.062068609892664384,15.916864867213345,1.9647017214835085
True,0.28,0.24,0.5,last_3y,2023-05-04,2026-04-30,726,2,11,0.5935934630363968,0.19430142685861815,0.46335610604169863,0.191405017561491,2.092561989968507,-0.11042852267079417,4.195982114358628,3.12142161421651
True,0.28,0.24,0.5,last_5y,2021-05-06,2026-04-30,1210,2,11,0.6795548381524166,0.22660151727219566,0.34016679285175866,0.18113765607613017,1.7134882066316504,-0.1667834505756216,2.039571622230726,4.301484634112927
True,0.28,0.24,0.5,last_10y,2016-05-04,2026-04-30,2428,3,12,0.6818008898325391,0.24578564933491878,0.3069423001922178,0.18454201911223772,1.5478370939099797,-0.19160178344553125,1.601980392210053,14.49211686132777
True,0.28,0.24,0.5,full_common,2010-09-29,2026-04-30,3785,8,49,0.70054756548122,0.2449028362812137,0.2916799123215088,0.20784892087911808,1.3412377480381796,-0.35391395766378597,0.8241548715594914,53.97852432636196
True,0.32,0.3,0.0,last_1y,2025-05-06,2026-04-30,242,0,0,0.6903409090909091,0.1890495867768595,0.9879376761573204,0.19620500195838675,3.571552337153125,-0.062068609892664384,15.916864867213345,1.9647017214835085
True,0.32,0.3,0.0,last_3y,2023-05-04,2026-04-30,726,1,4,0.5966899408946666,0.1941267310726942,0.45636253744479527,0.19262554046519376,2.0555154824680004,-0.11042852267079417,4.1326509348068345,3.0770334571631106
True,0.32,0.3,0.0,last_5y,2021-05-06,2026-04-30,1210,1,4,0.6814127248673785,0.2264966998006413,0.33632021295755554,0.18190633223826314,1.691134021900562,-0.1667834505756216,2.0165083034126576,4.240315398072471
True,0.32,0.3,0.0,last_10y,2016-05-04,2026-04-30,2428,1,4,0.6825946478720907,0.24509656385207917,0.30252248067925946,0.1851277135810656,1.5251547846816644,-0.19160178344553136,1.578912655399477,14.009998378143933
True,0.32,0.3,0.0,full_common,2010-09-29,2026-04-30,3785,6,29,0.6984805398496652,0.24457898208099751,0.286228327820943,0.2075515792170865,1.3223710491464475,-0.3539139576637861,0.8087511713591595,50.53543935974256
True,0.32,0.3,0.25,last_1y,2025-05-06,2026-04-30,242,0,0,0.6903409090909091,0.1890495867768595,0.9879376761573204,0.19620500195838675,3.571552337153125,-0.062068609892664384,15.916864867213345,1.9647017214835085
True,0.32,0.3,0.25,last_3y,2023-05-04,2026-04-30,726,1,4,0.5966899408946666,0.19412673107269424,0.45636253744479527,0.1926255404651938,2.055515482468,-0.11042852267079417,4.1326509348068345,3.0770334571631106
True,0.32,0.3,0.25,last_5y,2021-05-06,2026-04-30,1210,1,4,0.6814127248673785,0.2264966998006413,0.33632021295755554,0.18190633223826316,1.6911340219005617,-0.1667834505756216,2.0165083034126576,4.240315398072471
True,0.32,0.3,0.25,last_10y,2016-05-04,2026-04-30,2428,1,4,0.6825946478720907,0.24509656385207917,0.30252248067925946,0.18512771358106564,1.5251547846816642,-0.19160178344553125,1.578912655399478,14.009998378143933
True,0.32,0.3,0.25,full_common,2010-09-29,2026-04-30,3785,6,29,0.7000102811604533,0.24471088362561763,0.28903410059269175,0.20778876352190387,1.3316449234898893,-0.3539139576637862,0.8166790100639956,52.280966197001625
True,0.32,0.3,0.5,last_1y,2025-05-06,2026-04-30,242,0,0,0.6903409090909091,0.1890495867768595,0.9879376761573204,0.19620500195838675,3.571552337153125,-0.062068609892664384,15.916864867213345,1.9647017214835085
True,0.32,0.3,0.5,last_3y,2023-05-04,2026-04-30,726,1,4,0.5966899408946666,0.1941267310726942,0.45636253744479527,0.19262554046519376,2.0555154824680004,-0.11042852267079417,4.1326509348068345,3.0770334571631106
True,0.32,0.3,0.5,last_5y,2021-05-06,2026-04-30,1210,1,4,0.6814127248673785,0.2264966998006413,0.33632021295755554,0.18190633223826314,1.6911340219005617,-0.1667834505756216,2.0165083034126576,4.240315398072471
True,0.32,0.3,0.5,last_10y,2016-05-04,2026-04-30,2428,1,4,0.6825946478720907,0.24509656385207917,0.30252248067925946,0.1851277135810656,1.5251547846816644,-0.19160178344553125,1.578912655399478,14.009998378143928
True,0.32,0.3,0.5,full_common,2010-09-29,2026-04-30,3785,6,29,0.7011734057563291,0.2447851713494837,0.29167832437822216,0.20839515647262077,1.3382623966852096,-0.35391395766378675,0.8241503847534389,53.977490204158016
True,0.32,0.28,0.0,last_1y,2025-05-06,2026-04-30,242,0,0,0.6903409090909091,0.1890495867768595,0.9879376761573204,0.19620500195838675,3.571552337153125,-0.062068609892664384,15.916864867213345,1.9647017214835085
True,0.32,0.28,0.0,last_3y,2023-05-04,2026-04-30,726,1,4,0.5966899408946666,0.1941267310726942,0.45636253744479527,0.19262554046519376,2.0555154824680004,-0.11042852267079417,4.1326509348068345,3.0770334571631106
True,0.32,0.28,0.0,last_5y,2021-05-06,2026-04-30,1210,1,4,0.6814127248673785,0.2264966998006413,0.33632021295755554,0.18190633223826314,1.691134021900562,-0.1667834505756216,2.0165083034126576,4.240315398072471
True,0.32,0.28,0.0,last_10y,2016-05-04,2026-04-30,2428,1,4,0.6825946478720907,0.24509656385207917,0.30252248067925946,0.1851277135810656,1.5251547846816644,-0.19160178344553136,1.578912655399477,14.009998378143933
True,0.32,0.28,0.0,full_common,2010-09-29,2026-04-30,3785,6,31,0.6984805398496652,0.24457898208099751,0.286228327820943,0.2075515792170865,1.3223710491464475,-0.3539139576637861,0.8087511713591595,50.53543935974256
True,0.32,0.28,0.25,last_1y,2025-05-06,2026-04-30,242,0,0,0.6903409090909091,0.1890495867768595,0.9879376761573204,0.19620500195838675,3.571552337153125,-0.062068609892664384,15.916864867213345,1.9647017214835085
True,0.32,0.28,0.25,last_3y,2023-05-04,2026-04-30,726,1,4,0.5966899408946666,0.19412673107269424,0.45636253744479527,0.1926255404651938,2.055515482468,-0.11042852267079417,4.1326509348068345,3.0770334571631106
True,0.32,0.28,0.25,last_5y,2021-05-06,2026-04-30,1210,1,4,0.6814127248673785,0.2264966998006413,0.33632021295755554,0.18190633223826316,1.6911340219005617,-0.1667834505756216,2.0165083034126576,4.240315398072471
True,0.32,0.28,0.25,last_10y,2016-05-04,2026-04-30,2428,1,4,0.6825946478720907,0.24509656385207917,0.30252248067925946,0.18512771358106564,1.5251547846816642,-0.19160178344553125,1.578912655399478,14.009998378143933
True,0.32,0.28,0.25,full_common,2010-09-29,2026-04-30,3785,6,31,0.7000102811604533,0.24471088362561763,0.28903410059269175,0.20778876352190387,1.3316449234898893,-0.3539139576637862,0.8166790100639956,52.280966197001625
True,0.32,0.28,0.5,last_1y,2025-05-06,2026-04-30,242,0,0,0.6903409090909091,0.1890495867768595,0.9879376761573204,0.19620500195838675,3.571552337153125,-0.062068609892664384,15.916864867213345,1.9647017214835085
True,0.32,0.28,0.5,last_3y,2023-05-04,2026-04-30,726,1,4,0.5966899408946666,0.1941267310726942,0.45636253744479527,0.19262554046519376,2.0555154824680004,-0.11042852267079417,4.1326509348068345,3.0770334571631106
True,0.32,0.28,0.5,last_5y,2021-05-06,2026-04-30,1210,1,4,0.6814127248673785,0.2264966998006413,0.33632021295755554,0.18190633223826314,1.6911340219005617,-0.1667834505756216,2.0165083034126576,4.240315398072471
True,0.32,0.28,0.5,last_10y,2016-05-04,2026-04-30,2428,1,4,0.6825946478720907,0.24509656385207917,0.30252248067925946,0.1851277135810656,1.5251547846816644,-0.19160178344553125,1.578912655399478,14.009998378143928
True,0.32,0.28,0.5,full_common,2010-09-29,2026-04-30,3785,6,31,0.7011734057563291,0.2447851713494837,0.29167832437822216,0.20839515647262077,1.3382623966852096,-0.35391395766378675,0.8241503847534389,53.977490204158016
True,0.36,0.34,0.0,last_1y,2025-05-06,2026-04-30,242,0,0,0.6903409090909091,0.1890495867768595,0.9879376761573204,0.19620500195838675,3.571552337153125,-0.062068609892664384,15.916864867213345,1.9647017214835085
True,0.36,0.34,0.0,last_3y,2023-05-04,2026-04-30,726,1,2,0.5966899408946666,0.1941267310726942,0.45636253744479527,0.19262554046519376,2.0555154824680004,-0.11042852267079417,4.1326509348068345,3.0770334571631106
True,0.36,0.34,0.0,last_5y,2021-05-06,2026-04-30,1210,1,2,0.6814127248673785,0.2264966998006413,0.33632021295755554,0.18190633223826314,1.691134021900562,-0.1667834505756216,2.0165083034126576,4.240315398072471
True,0.36,0.34,0.0,last_10y,2016-05-04,2026-04-30,2428,1,2,0.6825946478720907,0.24509656385207917,0.30252248067925946,0.1851277135810656,1.5251547846816644,-0.19160178344553136,1.578912655399477,14.009998378143933
True,0.36,0.34,0.0,full_common,2010-09-29,2026-04-30,3785,5,14,0.6988305507337653,0.24610133053130195,0.30709559705262257,0.20904280984729176,1.3917841487265656,-0.3539139576637862,0.86771259059627,64.94054623460774
True,0.36,0.34,0.25,last_1y,2025-05-06,2026-04-30,242,0,0,0.6903409090909091,0.1890495867768595,0.9879376761573204,0.19620500195838675,3.571552337153125,-0.062068609892664384,15.916864867213345,1.9647017214835085
True,0.36,0.34,0.25,last_3y,2023-05-04,2026-04-30,726,1,2,0.5966899408946666,0.1941267310726942,0.45636253744479527,0.19262554046519376,2.0555154824680004,-0.11042852267079417,4.1326509348068345,3.0770334571631106
