variant,start,end,years,ann_return,ann_vol,sharpe,max_dd,calmar,ulcer,final_nav,worst_dd_date
baseline_nav_dd7_cut50_recover3,2009-11-24,2026-04-28,16.424366872005475,0.08895082551891842,0.11137413633608884,0.7986668040279605,-0.1514819299239043,0.5872042002871375,0.0612828479186311,4.053567214371216,2022-10-14
phase2_only_baseline_nav_dd7_cut50_recover3,2009-11-24,2026-04-28,16.424366872005475,0.11552205879019395,0.12608210155503433,0.9162447117029457,-0.1869682657782753,0.617869873849025,0.057514091187036445,6.022804431927143,2018-12-24
high_scale_only_baseline_nav_dd7_cut50_recover3,2009-11-24,2026-04-28,16.424366872005475,0.10847608611168758,0.12709982229191688,0.8534715797048466,-0.2185326616623462,0.49638385990691625,0.06405664163178502,5.427522389530357,2022-10-14
phase2_high_scale_baseline_nav_dd7_cut50_recover3,2009-11-24,2026-04-28,16.424366872005475,0.11761664618304901,0.1326532174765441,0.8866475191515512,-0.21853266166234697,0.5382108344279334,0.0643227862009528,6.211259553344364,2022-10-14
self_nav_dd10_cut50_recover5,2009-11-24,2026-04-28,16.424366872005475,0.08850832692489075,0.11415805440310076,0.7753139048109661,-0.1677632692780482,0.5275786964916525,0.06657384578329234,4.026597947115754,2022-10-14
phase2_only_self_nav_dd10_cut50_recover5,2009-11-24,2026-04-28,16.424366872005475,0.1079149289527761,0.12736607657588134,0.8472815670700451,-0.1869682657782753,0.577183130535916,0.06213020861298641,5.38256990790887,2018-12-24
high_scale_only_self_nav_dd10_cut50_recover5,2009-11-24,2026-04-28,16.424366872005475,0.11084278021096305,0.12879547939079228,0.8606107973296407,-0.23352743358100847,0.47464564874136184,0.06865455590697549,5.621018275665776,2022-10-14
phase2_high_scale_self_nav_dd10_cut50_recover5,2009-11-24,2026-04-28,16.424366872005475,0.11577875984691843,0.13274348927411567,0.8721991600494619,-0.23352743358100958,0.49578226451392626,0.06799740844203324,6.04560826257578,2022-10-14
baseline_nav_dd10_cut50_recover5,2009-11-24,2026-04-28,16.424366872005475,0.09801825285888732,0.11948736942497443,0.8203231298052179,-0.1677632692780483,0.5842652761876818,0.06795261605075888,4.645006287528672,2022-10-14
phase2_only_baseline_nav_dd10_cut50_recover5,2009-11-24,2026-04-28,16.424366872005475,0.11121570211104825,0.12789907947915735,0.869558268628291,-0.1869682657782753,0.5948373198419585,0.06190144712465959,5.652092028096832,2018-12-24
high_scale_only_baseline_nav_dd10_cut50_recover5,2009-11-24,2026-04-28,16.424366872005475,0.10961845092950928,0.13058988913106429,0.8394099394593453,-0.23352743358100925,0.4694028844858748,0.0703865785951442,5.520125141065662,2022-10-14
phase2_high_scale_baseline_nav_dd10_cut50_recover5,2009-11-24,2026-04-28,16.424366872005475,0.11441491404101578,0.13306246526860804,0.8598586672060436,-0.23352743358100958,0.4899420692743826,0.06907815153008554,5.925374459528649,2022-10-14
