strategy,start,end,days,key
Sub-A,2015-11-18,2015-12-01,10,1.H00852
Sub-A,2015-12-04,2015-12-22,13,1.H11077
Sub-A,2015-12-23,2015-12-28,4,1.H20955
Sub-A,2015-12-29,2016-01-15,13,1.H11077
Sub-A,2016-02-23,2016-02-25,3,0.399606
Sub-A,2016-02-26,2016-02-29,2,1.H00852
Sub-A,2016-03-04,2016-03-21,12,1.H00016
Sub-A,2016-03-23,2016-04-06,10,0.399606
Sub-A,2016-04-07,2016-04-15,7,1.H00852
Sub-A,2016-05-11,2016-05-24,10,1.H11077
Sub-A,2016-06-02,2016-06-08,5,0.399606
Sub-A,2016-06-13,2016-06-29,13,1.H00852
Sub-A,2016-07-06,2016-07-07,2,1.H00852
Sub-A,2016-07-08,2016-07-12,3,0.399606
Sub-A,2016-07-13,2016-07-25,9,1.H00905
Sub-A,2016-07-27,2016-08-01,4,1.H20955
Sub-A,2016-08-03,2016-08-12,8,1.H11077
Sub-A,2016-08-15,2016-08-15,1,1.H20955
Sub-A,2016-08-16,2016-08-25,8,1.H00016
Sub-A,2016-08-26,2016-09-02,6,0.399606
Sub-A,2016-09-28,2016-10-12,6,1.H11077
Sub-A,2016-10-17,2016-11-01,12,1.H00852
Sub-A,2016-11-02,2016-11-14,9,1.H00016
Sub-A,2016-11-24,2016-12-06,9,1.H00016
Sub-A,2017-01-09,2017-01-11,3,1.H00852
Sub-A,2017-01-12,2017-01-16,3,1.H11077
Sub-A,2017-01-18,2017-02-03,8,1.H20955
Sub-A,2017-02-06,2017-02-08,3,1.H00016
Sub-A,2017-02-15,2017-03-01,11,1.H00852
Sub-A,2017-03-02,2017-03-22,15,0.399606
Sub-A,2017-03-30,2017-04-06,4,1.H11077
Sub-A,2017-04-07,2017-04-18,8,1.H20955
Sub-A,2017-05-19,2017-06-15,18,1.H00016
Sub-A,2017-06-19,2017-07-12,18,1.H00852
Sub-A,2017-07-18,2017-07-31,10,1.H00016
Sub-A,2017-08-03,2017-08-09,5,1.H00905
Sub-A,2017-08-10,2017-09-08,22,0.399606
Sub-A,2017-09-18,2017-09-22,5,1.H00852
Sub-A,2017-09-26,2017-10-12,8,1.H11077
Sub-A,2017-10-17,2017-10-17,1,1.H20955
Sub-A,2017-10-18,2017-11-14,20,1.H00016
Sub-A,2017-12-07,2017-12-18,8,1.H11077
Sub-A,2017-12-25,2017-12-27,3,1.H00852
Sub-A,2018-01-04,2018-01-16,9,1.H00905
Sub-A,2018-01-17,2018-01-18,2,1.H20955
Sub-A,2018-01-19,2018-01-24,4,1.H00016
Sub-A,2018-02-08,2018-02-28,10,1.H11077
