date,return,nav,top_pair,direction,holding,pair_a,pair_b,long_leg,short_leg,pair_changed,direction_changed,is_signal,target,weight,scale_raw,realized_vol,raw_return,base_weight,active_score_overlay,overlay_scale,overlay_on,overlay_triggered,overlay_recovered,trade_id,score_peak_overlay,score_decay_ratio_overlay,waiting_for_new_peak,pre_overheat_return,pre_overheat_weight,same_side_overheat_abs_bias,same_side_overheat_signal,same_side_overheat_scale,same_side_overheat_on,same_side_overheat_triggered,same_side_overheat_recovered,same_side_overheat_tc,turnover,gross_exposure
2022-11-03,0.01664497407265908,9.655136825425682,SZ50/ZZ1000,-1,SZ50/ZZ1000_-1,SZ50,ZZ1000,ZZ1000,SZ50,False,False,False,,0.8645435743939209,0.8640914891373457,0.22198549576509097,0.01664497407265908,0.8645435743939209,69.73756864041306,1.0,False,False,False,391,73.42327991856439,0.9498018709837092,False,0.01664497407265908,0.8645435743939209,0.0768290766929608,False,1.0,False,False,False,0.0,0.0,1.7290871487878419
2022-11-04,-0.010470130618514428,9.554046281723847,SZ50/ZZ1000,-1,SZ50/ZZ1000_-1,SZ50,ZZ1000,ZZ1000,SZ50,False,False,False,,0.8645435743939209,0.9009597645588683,0.22484476875484488,-0.010470130618514428,0.8645435743939209,63.12598553429271,1.0,False,False,False,391,73.42327991856439,0.8597543667935746,False,-0.010470130618514428,0.8645435743939209,0.06487082670158661,False,1.0,False,False,False,0.0,0.0,1.7290871487878419
2022-11-07,-0.002808578241787596,9.527212995215967,SZ50/ZZ1000,-1,SZ50/ZZ1000_-1,SZ50,ZZ1000,ZZ1000,SZ50,False,False,False,,0.8645435743939209,0.8895025715188691,0.22210745343408383,-0.002808578241787596,0.8645435743939209,54.75461277888278,1.0,False,False,False,391,73.42327991856439,0.7457391285109096,False,-0.002808578241787596,0.8645435743939209,0.060965344432858115,False,1.0,False,False,False,0.0,0.0,1.7290871487878419
2022-11-08,0.004112324168669579,9.566391983476256,SZ50/ZZ1000,-1,SZ50/ZZ1000_-1,SZ50,ZZ1000,ZZ1000,SZ50,False,False,False,,0.8645435743939209,0.9004650537734215,0.21787103060514854,0.004112324168669579,0.8645435743939209,46.88404330624496,1.0,False,False,False,391,73.42327991856439,0.638544659925915,False,0.004112324168669579,0.8645435743939209,0.06473030130588381,False,1.0,False,False,False,0.0,0.0,1.7290871487878419
2022-11-09,0.004141352026543643,9.606009780303737,SZ50/ZZ1000,-1,SZ50/ZZ1000_-1,SZ50,ZZ1000,ZZ1000,SZ50,False,False,False,,0.8645435743939209,0.9179742687427935,0.21659992176769877,0.004141352026543643,0.8645435743939209,40.95628742078941,1.0,False,False,False,391,73.42327991856439,0.5578106489687611,False,0.004141352026543643,0.8645435743939209,0.06837666342003379,False,1.0,False,False,False,0.0,0.0,1.7290871487878419
2022-11-10,-0.009404024932939237,9.515674624823703,SZ50/ZZ1000,-1,SZ50/ZZ1000_-1,SZ50,ZZ1000,ZZ1000,SZ50,False,False,False,,0.8645435743939209,0.9233613676670576,0.21714824861350654,-0.009404024932939237,0.8645435743939209,34.381040961801254,1.0,False,False,False,391,73.42327991856439,0.4682580375043737,False,-0.009404024932939237,0.8645435743939209,0.05753598456399783,False,1.0,False,False,False,0.0,0.0,1.7290871487878419
2022-11-11,-0.02227848151161438,9.30367984362403,SZ50/ZZ1000,-1,SZ50/ZZ1000_-1,SZ50,ZZ1000,ZZ1000,SZ50,False,False,False,,0.8645435743939209,0.9210297632009549,0.22357140626866542,-0.02227848151161438,0.8645435743939209,23.54869862337141,1.0,False,False,False,391,73.42327991856439,0.32072523386982804,False,-0.02227848151161438,0.8645435743939209,0.03305282488418615,False,1.0,False,False,False,0.0,0.0,1.7290871487878419
2022-11-14,-0.0017290871487878334,9.287592970369984,SZ50/ZZ1000,-1,SZ50/ZZ1000_-1,SZ50,ZZ1000,ZZ1000,SZ50,False,False,False,,0.0,0.8945687793351369,0.2261677251562752,-0.012653781935467179,0.8645435743939209,11.283906253165291,0.0,True,True,False,391,73.42327991856439,0.15368294995375523,False,-0.0017290871487878334,0.0,0.01862930551564229,False,1.0,False,False,False,0.0,0.8645435743939209,0.0
2022-11-15,0.0,9.287592970369984,SZ50/ZZ1000,-1,SZ50/ZZ1000_-1,SZ50,ZZ1000,ZZ1000,SZ50,False,False,False,,0.0,0.8842994722691132,0.22545306752258507,0.00455170755819978,0.8645435743939209,0.9196759175981315,0.0,True,False,False,391,73.42327991856439,0.012525671947891285,False,0.0,0.0,0.023650073361523416,False,1.0,False,False,False,0.0,0.0,0.0
2022-11-16,0.0034552203146891447,9.31968365027577,ZZ1000/CYB,1,ZZ1000/CYB_1,ZZ1000,CYB,ZZ1000,CYB,True,True,True,,1.4612318077499642,1.5,0.11112345498762095,0.006396377109562756,1.4612318077499642,5.874005249181694,1.0,False,False,True,392,5.874005249181694,1.0,False,0.0034552203146891447,1.4612318077499642,0.030799681373433474,True,1.0,False,False,False,0.0,1.4612318077499642,2.9224636154999284
2022-11-17,-0.008222685782002026,9.243050820031891,SZ50/ZZ500,1,SZ50/ZZ500_1,SZ50,ZZ500,SZ50,ZZ500,True,False,True,,1.1509352907787285,1.086021805717831,0.18509441172786142,-0.008222685782002026,1.1509352907787285,22.233031797075206,1.0,False,False,False,393,22.233031797075206,1.0,False,-0.008222685782002026,1.1509352907787285,0.03735063763075014,False,1.0,False,False,False,0.0,0.3102965169712357,2.301870581557457
2022-11-18,-0.0012477324887293362,9.231517965228761,SZ50/ZZ500,1,SZ50/ZZ500_1,SZ50,ZZ500,SZ50,ZZ500,False,False,False,,1.1509352907787285,1.0805296504253938,0.18215020817222707,-0.0012477324887293362,1.1509352907787285,29.07851177096323,1.0,False,False,False,393,29.07851177096323,1.0,False,-0.0012477324887293362,1.1509352907787285,0.037740875795491846,False,1.0,False,False,False,0.0,0.0,2.301870581557457
2022-11-21,-0.014042343525008327,9.101885818703733,SZ50/ZZ500,1,SZ50/ZZ500_1,SZ50,ZZ500,SZ50,ZZ500,False,False,False,,1.1509352907787285,1.0979949021573203,0.18262551816508849,-0.014042343525008327,1.1509352907787285,28.944609272611707,1.0,False,False,False,393,29.07851177096323,0.9953951392214909,False,-0.014042343525008327,1.1509352907787285,0.04853717796304147,False,1.0,False,False,False,0.0,0.0,2.301870581557457
2022-11-22,0.019504757102654313,9.279415890773643,SZ50/ZZ500,1,SZ50/ZZ500_1,SZ50,ZZ500,SZ50,ZZ500,False,False,False,,1.1509352907787285,1.0951372076009962,0.18740291902221273,0.019504757102654313,1.1509352907787285,32.75495189363161,1.0,False,False,False,393,32.75495189363161,1.0,False,0.019504757102654313,1.1509352907787285,0.031680297021174364,False,1.0,False,False,False,0.0,0.0,2.301870581557457
