date,holding,holding_fraction,is_signal,target,asset_component,cash_component,trade_cost,pending_entry_target,pending_entry_since,pending_entry_days,await_fresh_entry_signal,scale_raw,base_weight,weight,realized_vol,scale_tc,return,nav,base_holding,base_fraction,effective_holding,effective_fraction,active_score_overlay,overlay_on,overlay_triggered,overlay_recovered,trade_id,score_peak_overlay,score_decay_ratio_overlay,waiting_for_new_peak,pre_suba_overheat_holding,pre_suba_overheat_fraction,suba_same_side_overheat_bias,suba_same_side_overheat_bias_mom,suba_same_side_overheat_signal,suba_same_side_overheat_on,suba_same_side_overheat_triggered,suba_same_side_overheat_recovered,turnover,gross_exposure
2024-03-28,cash,0.0,False,,0.0,0.0001211499702025165,0.0,,,0,False,1.482071963658755,0.0,0.0,0.12783355315281428,0.0,0.0001211499702025165,14.353742698603178,cash,0.0,cash,0.0,,False,False,False,395,,,False,cash,0.0,,,False,False,False,False,0.0,0.0
2024-03-29,cash,0.0,False,,0.0,0.0001211499702025165,0.0,,,0,False,1.482071963658755,0.0,0.0,0.12785035675231995,0.0,0.0001211499702025165,14.355481654103407,cash,0.0,cash,0.0,,False,False,False,395,,,False,cash,0.0,,,False,False,False,False,0.0,0.0
2024-04-01,cash,0.0,False,,0.0,0.0001211499702025165,0.0,,,0,False,1.482071963658755,0.0,0.0,0.12786395706867867,0.0,0.0001211499702025165,14.357220820278044,cash,0.0,cash,0.0,,False,False,False,395,,,False,cash,0.0,,,False,False,False,False,0.0,0.0
2024-04-02,cash,0.0,False,,0.0,0.0001211499702025165,0.0,,,0,False,1.482071963658755,0.0,0.0,0.12786395706867867,0.0,0.0001211499702025165,14.358960197152612,cash,0.0,cash,0.0,,False,False,False,395,,,False,cash,0.0,,,False,False,False,False,0.0,0.0
2024-04-03,cash,0.0,False,,0.0,0.0001211499702025165,0.0,,,0,False,1.482071963658755,0.0,0.0,0.12786395706867867,0.0,0.0001211499702025165,14.360699784752637,cash,0.0,cash,0.0,,False,False,False,395,,,False,cash,0.0,,,False,False,False,False,0.0,0.0
2024-04-08,cash,0.0,False,,0.0,0.0001211499702025165,0.0,,,0,False,1.482071963658755,0.0,0.0,0.12786395706867867,0.0,0.0001211499702025165,14.362439583103647,cash,0.0,cash,0.0,,False,False,False,395,,,False,cash,0.0,,,False,False,False,False,0.0,0.0
2024-04-09,cash,0.0,False,,0.0,0.0001211499702025165,0.0,,,0,False,1.482071963658755,0.0,0.0,0.12744588567834833,0.0,0.0001211499702025165,14.364179592231176,cash,0.0,cash,0.0,,False,False,False,395,,,False,cash,0.0,,,False,False,False,False,0.0,0.0
2024-04-10,cash,0.0,False,,0.0,0.0001211499702025165,0.0,,,0,False,1.482071963658755,0.0,0.0,0.12744588567834833,0.0,0.0001211499702025165,14.365919812160758,cash,0.0,cash,0.0,,False,False,False,395,,,False,cash,0.0,,,False,False,False,False,0.0,0.0
2024-04-11,1.H20955,0.5,True,1.H20955,0.0,0.0001211499702025165,0.0005,1.H20955,2024-04-11,0,False,1.482071963658755,0.5,0.7410359818293775,0.12744588567834833,0.0,-0.00037891060478256744,14.360476412796475,1.H20955,0.5,1.H20955,0.5,7.889408328899209,False,False,False,396,7.889408328899209,1.0,False,1.H20955,0.5,0.041169211560475004,7.889408328899209,True,False,False,False,0.5,0.7410359818293775
2024-04-12,1.H20955,1.0,True,1.H20955,-0.0021947585816148307,6.057498510125825e-05,0.0005,,,0,False,1.482071963658755,1.0,1.482071963658755,0.12767031989124353,0.0,-0.0036906190681216255,14.307477364720096,1.H20955,1.0,1.H20955,1.0,9.859473650097131,False,False,False,396,9.859473650097131,1.0,False,1.H20955,1.0,0.035790369198959025,9.859473650097131,True,False,False,False,0.5,1.482071963658755
