window,variant,enter,exit,scale,cooldown,rows,total_return,annual_return,annual_vol,sharpe_ann_over_vol,max_drawdown,max_drawdown_start,max_drawdown_end,final_nav,risk_gate_on_days,risk_gate_on_pct,active_days,active_pct
3Y,softer_15_8_scale75,0.15,0.08,0.75,0,726,1.2762661627719707,0.31545000675531076,0.1879623451330384,1.67826170998259,-0.1574521466366413,2024-04-19,2024-09-23,2.2762661627719707,13,0.01790633608815427,548,0.7548209366391184
1Y,softer_15_8_scale75,0.15,0.08,0.75,0,243,0.22556458179020922,0.22453915989026152,0.15545002595720928,1.444445946583955,-0.11908504487877813,2025-10-17,2025-12-18,1.2255645817902092,0,0.0,165,0.6790123456790124
10Y,harsher_15_8_scale25,0.15,0.08,0.25,0,2426,7.736582753930351,0.24137028753060785,0.1614623883543889,1.4949010106355638,-0.1531189943378849,2024-04-19,2024-09-23,8.736582753930351,490,0.2019785655399835,1858,0.7658697444352844
5Y,harsher_15_8_scale25,0.15,0.08,0.25,0,1211,2.7122839392294247,0.29967318754803873,0.1809576357313709,1.6560405773255096,-0.15311899433788534,2024-04-19,2024-09-23,3.7122839392294247,13,0.010734929810074319,921,0.7605284888521883
3Y,harsher_15_8_scale25,0.15,0.08,0.25,0,726,1.1757303886107513,0.295791198923099,0.18332770513943802,1.6134560714547859,-0.15311899433788545,2024-04-19,2024-09-23,2.1757303886107513,13,0.01790633608815427,548,0.7548209366391184
1Y,harsher_15_8_scale25,0.15,0.08,0.25,0,243,0.22556458179020922,0.22453915989026152,0.15545002595720928,1.444445946583955,-0.11908504487877813,2025-10-17,2025-12-18,1.2255645817902092,0,0.0,165,0.6790123456790124
10Y,looser_20_10_scale50,0.2,0.1,0.5,0,2426,8.34363467014666,0.2497166509219224,0.1709378387384023,1.460862338993771,-0.188479345312763,2016-06-06,2017-09-25,9.34363467014666,248,0.10222588623248145,1858,0.7658697444352844
5Y,looser_20_10_scale50,0.2,0.1,0.5,0,1211,2.9672039590042294,0.3170372681850895,0.18620863123150477,1.7025916902365894,-0.15969322377727624,2024-04-19,2024-09-23,3.9672039590042294,0,0.0,921,0.7605284888521883
3Y,looser_20_10_scale50,0.2,0.1,0.5,0,726,1.325136318428827,0.3247974188312044,0.19189738054386346,1.6925578551967932,-0.15969322377727635,2024-04-19,2024-09-23,2.325136318428827,0,0.0,548,0.7548209366391184
1Y,looser_20_10_scale50,0.2,0.1,0.5,0,243,0.22556458179020922,0.22453915989026152,0.15545002595720928,1.444445946583955,-0.11908504487877813,2025-10-17,2025-12-18,1.2255645817902092,0,0.0,165,0.6790123456790124
10Y,looser_25_12_scale50,0.25,0.12,0.5,0,2426,9.007788514004805,0.2583064060443867,0.17679610330082618,1.4610412855359558,-0.20989237559111262,2016-12-12,2018-02-23,10.007788514004805,38,0.015663643858202802,1858,0.7658697444352844
5Y,looser_25_12_scale50,0.25,0.12,0.5,0,1211,2.9672039590042294,0.3170372681850895,0.18620863123150477,1.7025916902365894,-0.15969322377727624,2024-04-19,2024-09-23,3.9672039590042294,0,0.0,921,0.7605284888521883
3Y,looser_25_12_scale50,0.25,0.12,0.5,0,726,1.325136318428827,0.3247974188312044,0.19189738054386346,1.6925578551967932,-0.15969322377727635,2024-04-19,2024-09-23,2.325136318428827,0,0.0,548,0.7548209366391184
1Y,looser_25_12_scale50,0.25,0.12,0.5,0,243,0.22556458179020922,0.22453915989026152,0.15545002595720928,1.444445946583955,-0.11908504487877813,2025-10-17,2025-12-18,1.2255645817902092,0,0.0,165,0.6790123456790124
10Y,tighter_10_5_scale50,0.1,0.05,0.5,0,2426,6.280270935148853,0.21899388568856115,0.15679113822174673,1.3967236169868367,-0.16435528115005538,2020-06-30,2020-12-09,7.280270935148853,736,0.3033800494641385,1858,0.7658697444352844
5Y,tighter_10_5_scale50,0.1,0.05,0.5,0,1211,2.378614500256322,0.27544109421415364,0.17661124986440332,1.5595897454189855,-0.13347570158260613,2024-04-19,2024-09-23,3.378614500256322,85,0.07018992568125516,921,0.7605284888521883
