date,return,nav,top_pair,direction,holding,pair_a,pair_b,long_leg,short_leg,pair_changed,direction_changed,is_signal,target,weight,scale_raw,realized_vol,return_before_dk_execution_cost,dk_execution_turnover,dk_execution_cost,actual_position,actual_direction,scale_rebalanced,raw_return,return_before_dk_overlay,dk_overlay_execution_cost,base_weight,active_score_overlay,overlay_scale,overlay_on,overlay_triggered,overlay_recovered,trade_id,score_peak_overlay,score_decay_ratio_overlay,waiting_for_new_peak,pre_overheat_return,return_before_dk_overheat,pre_overheat_weight,same_side_overheat_abs_bias,same_side_overheat_signal,same_side_overheat_scale,same_side_overheat_on,same_side_overheat_triggered,same_side_overheat_recovered,same_side_overheat_tc,dk_total_overlay_scale,risk_gate_scale,risk_gate_on,risk_gate_base_dd
2012-05-21,0.0,1.4872102550641069,none,0,none_0,,,,,False,False,False,,0.0,0.0,,0.0,0.0,0.0,none,0,False,0.0,0.0,0.0,0.0,,1.0,False,False,False,54,,,False,0.0,0.0,0.0,,False,0.0,True,False,False,0.0,0.0,1.0,False,-0.07133300584125069
2012-05-22,0.0,1.4872102550641069,none,0,none_0,,,,,False,False,False,,0.0,0.0,,0.0,0.0,0.0,none,0,False,0.0,0.0,0.0,0.0,,1.0,False,False,False,54,,,False,0.0,0.0,0.0,,False,0.0,True,False,False,0.0,0.0,1.0,False,-0.07133300584125069
2012-05-23,0.0017180575320832059,1.4897653678446112,SZ50/CYB,-1,SZ50/CYB_-1,SZ50,CYB,CYB,SZ50,True,True,True,SZ50/CYB_-1,1.0472498187881163,1.057358941030117,0.18778214700953225,0.002768206354474582,2.0944996375762326,0.0010472498187881164,SZ50/CYB_-1,-1,True,0.002768206354474582,0.002768206354474582,0.0,1.0472498187881163,39.259415189352225,1.0,False,False,False,55,39.259415189352225,1.0,False,0.002768206354474582,0.002768206354474582,1.0472498187881163,0.027368503055922533,False,1.0,False,False,False,0.0,1.0,1.0,False,-0.06973750251713906
2012-05-24,0.006352970600546515,1.4992298034282403,SZ50/CYB,-1,SZ50/CYB_-1,SZ50,CYB,CYB,SZ50,False,False,False,,1.0472498187881163,1.065063975383387,0.1885817688752385,0.006352970600546434,0.0,0.0,SZ50/CYB_-1,-1,False,0.006352970600546434,0.006352970600546434,0.0,1.0472498187881163,38.00051499648655,1.0,False,False,False,55,39.259415189352225,0.9679338016933297,False,0.006352970600546434,0.006352970600546434,1.0472498187881163,0.023519056971177177,False,1.0,False,False,False,0.0,1.0,1.0,False,-0.06382757221983959
2012-05-25,-0.006853430872477473,1.4889549356084868,SZ50/CYB,-1,SZ50/CYB_-1,SZ50,CYB,CYB,SZ50,False,False,False,,1.0472498187881163,1.0605479055205784,0.1893208358864317,-0.006853430872477502,0.0,0.0,SZ50/CYB_-1,-1,False,-0.006853430872477502,-0.006853430872477502,0.0,1.0472498187881163,34.28050239389543,1.0,False,False,False,55,39.259415189352225,0.8731791400497695,False,-0.006853430872477502,-0.006853430872477502,1.0472498187881163,0.01638970901653236,False,1.0,False,False,False,0.0,1.0,1.0,False,-0.0702435652383504
2012-05-28,-0.012657775775331337,1.4701080778939817,HS300/CYB,-1,HS300/CYB_-1,HS300,CYB,CYB,HS300,True,False,True,HS300/CYB_-1,1.0712968461795311,1.1190025711225104,0.18125415479822893,-0.01159890479928235,2.1425936923590623,0.0010712968461795312,HS300/CYB_-1,-1,True,-0.01159890479928235,-0.01159890479928235,0.0,1.0712968461795311,28.417493574581574,1.0,False,False,False,56,28.417493574581574,1.0,False,-0.01159890479928235,-0.01159890479928235,1.0712968461795311,0.018264037712564463,False,1.0,False,False,False,0.0,1.0,1.0,False,-0.08201221371523482
2012-05-29,0.006383826551590754,1.4794929928753493,HS300/CYB,-1,HS300/CYB_-1,HS300,CYB,CYB,HS300,False,False,False,,1.0712968461795311,1.103422982069784,0.18182144617158952,0.006383826551590686,0.0,0.0,HS300/CYB_-1,-1,False,0.006383826551590686,0.006383826551590686,0.0,1.0712968461795311,23.7341101672278,1.0,False,False,False,56,28.417493574581574,0.8351936494658737,False,0.006383826551590686,0.006383826551590686,1.0712968461795311,0.028242408725539292,False,1.0,False,False,False,0.0,1.0,1.0,False,-0.07615193891111405
2012-05-30,0.01349377022626519,1.4994569313725787,HS300/CYB,-1,HS300/CYB_-1,HS300,CYB,CYB,HS300,False,False,False,,1.0712968461795311,1.0999802510164556,0.18539406854558957,0.013493770226265227,0.0,0.0,HS300/CYB_-1,-1,False,0.013493770226265227,0.013493770226265227,0.0,1.0712968461795311,18.99298278814839,1.0,False,False,False,56,28.417493574581574,0.6683553121355125,False,0.013493770226265227,0.013493770226265227,1.0712968461795311,0.021671539231100656,False,1.0,False,False,False,0.0,1.0,1.0,False,-0.06368574545079997
2012-05-31,0.014839107476594782,1.5217075339337414,HS300/CYB,-1,HS300/CYB_-1,HS300,CYB,CYB,HS300,False,False,False,,1.0712968461795311,1.0787831647959047,0.18918897855185143,0.014839107476594726,0.0,0.0,HS300/CYB_-1,-1,False,0.014839107476594726,0.014839107476594726,0.0,1.0712968461795311,15.980201710937022,1.0,False,False,False,56,28.417493574581574,0.562336775725736,False,0.014839107476594726,0.014839107476594726,1.0712968461795311,0.008682575636345113,False,1.0,False,False,False,0.0,1.0,1.0,False,-0.04979167759567682
2012-06-01,-0.0006678818949505949,1.520691213022417,HS300/CYB,-1,HS300/CYB_-1,HS300,CYB,CYB,HS300,False,False,False,,1.0712968461795311,1.0571440341340264,0.18914051461298295,-0.0006678818949505397,0.0,0.0,HS300/CYB_-1,-1,False,-0.0006678818949505397,-0.0006678818949505397,0.0,1.0712968461795311,13.648688689100371,1.0,False,False,False,56,28.417493574581574,0.48029178411809803,False,-0.0006678818949505397,-0.0006678818949505397,1.0712968461795311,0.005336141528376581,True,1.0,False,False,False,0.0,1.0,1.0,False,-0.05042630453064201
2012-06-04,0.005059693568383317,1.5283854445724436,HS300/CYB,-1,HS300/CYB_-1,HS300,CYB,CYB,HS300,False,False,False,,1.0712968461795311,1.0574149087478038,0.18903445532539306,0.0050596935683832915,0.0,0.0,HS300/CYB_-1,-1,False,0.0050596935683832915,0.0050596935683832915,0.0,1.0712968461795311,14.882684813691254,1.0,False,False,False,56,28.417493574581574,0.5237156040743608,False,0.0050596935683832915,0.0050596935683832915,1.0712968461795311,0.004940758735743289,True,1.0,False,False,False,0.0,1.0,1.0,False,-0.04562175261096968
2012-06-05,-0.0010712968461795702,1.5267480900659265,none,0,none_0,,,,,True,True,True,none_0,0.0,0.0,,0.0,2.1425936923590623,0.0010712968461795312,none,0,True,0.0,0.0,0.0,0.0,,1.0,False,False,False,57,,,False,0.0,0.0,0.0,,False,0.0,True,True,False,0.0,0.0,1.0,False,-0.04664417501745988
