combo,segment,label,cagr,vol,sharpe,maxdd,calmar,final_nav,monthly_win_rate
140+260+360,last_5y,最近5年,0.29199955962370816,0.15340880194128975,1.7526586764263001,-0.14121965472626796,2.0676977308130606,3.5994460885505903,0.6885245901639344
140+260+360,full_common,全样本公共区间,0.19453378638868646,0.14169122580953822,1.3281859967295495,-0.15303642613708468,1.271160019212876,21.85675891021689,0.6507177033492823
140+260+390,last_10y,最近10年,0.27340967300345365,0.1424093423821236,1.7721759256159748,-0.1730231239171547,1.5801915189923694,11.193424576470917,0.6859504132231405
140+260+390,last_5y,最近5年,0.3086415818795183,0.1531313779835089,1.839449370016042,-0.12229993362118907,2.5236447211451685,3.8372811448466657,0.6885245901639344
140+260+390,full_common,全样本公共区间,0.1951424348812607,0.14138720463518578,1.3343368915689984,-0.17302312391715424,1.127840201143851,22.050814481829526,0.6555023923444976
140+260+420,last_10y,最近10年,0.26458510867354,0.14330694884871403,1.7133168697058065,-0.1743134219853838,1.5178699704244547,10.441979531354269,0.6942148760330579
140+260+420,last_5y,最近5年,0.3031730245101454,0.15484856984587997,1.7935900720543885,-0.10996079852935403,2.757100972026984,3.7577829637262856,0.7049180327868853
140+260+420,full_common,全样本公共区间,0.19704450369427162,0.1412604610483819,1.3463943560000373,-0.17431342198538402,1.1304035079455532,22.171003373872345,0.6538461538461539
140+280+360,last_10y,最近10年,0.2706560625001453,0.14363532199602191,1.7431504362384758,-0.15799901851099019,1.7130236950257944,10.953882951912528,0.7107438016528925
140+280+360,last_5y,最近5年,0.2915355638842474,0.15537982111536383,1.7300227643972912,-0.14250890639671132,2.0457357456149503,3.59298826809976,0.7213114754098361
140+280+360,full_common,全样本公共区间,0.20033702210697446,0.14273367397714043,1.3535364664207965,-0.15799901851099019,1.2679637126545777,23.774350695368863,0.6746411483253588
140+280+390,last_10y,最近10年,0.2762701585936025,0.14376044701292626,1.7724808475657157,-0.1794065238370417,1.5399114407040395,11.447245853717158,0.7024793388429752
140+280+390,last_5y,最近5年,0.309721528060676,0.15504762918865705,1.8239025690392965,-0.12186887900985266,2.541432485283106,3.8531385542538676,0.7049180327868853
140+280+390,full_common,全样本公共区间,0.20042120765356541,0.14248227117033702,1.3561526194195928,-0.17940652383704114,1.1171344462122925,23.80330106210988,0.6650717703349283
140+280+420,last_10y,最近10年,0.266938435538282,0.14452277083880988,1.7129839160926819,-0.18058250616418026,1.478207613840454,10.637799332172477,0.7024793388429752
140+280+420,last_5y,最近5年,0.30282547644512303,0.15666366602702378,1.7728611722246395,-0.10632430710747376,2.8481302599886567,3.752775435251643,0.7049180327868853
140+280+420,full_common,全样本公共区间,0.20167457011702572,0.14221824454718496,1.3654646258576606,-0.1805825061641798,1.1168001508056915,23.695808582971512,0.6634615384615384
