scenario,window,desc,total,annual,vol,sharpe,max_dd,calmar,d_total,d_annual,d_vol,d_sharpe,d_max_dd,d_calmar
credit_stress_only,since_2020,candidates eligible only when lagged HY OAS stress is on,3.6858176105022693,0.2782515990991614,0.1400883895910457,1.2792233779201205,-0.15797305386243887,1.7613864662099887,-0.03159345144942893,-0.0013659669621026715,-2.9718434027881102e-05,-0.005016585954578101,0.0,-0.008646835195653901
credit_stress_only,latest_5y,candidates eligible only when lagged HY OAS stress is on,1.7482450981120654,0.22411752275427133,0.13468668578161874,1.1010404698861662,-0.1579730538624381,1.4187072875696345,-0.018529647394667226,-0.0016464789338204167,-3.974542432771955e-05,-0.006595491662108932,0.0,-0.010422530257939933
credit_stress_only,latest_3y,candidates eligible only when lagged HY OAS stress is on,1.5247322970360497,0.3615738331089575,0.14709825899989926,1.5102753725703955,-0.11749401400653481,3.0773808875816213,-0.0170226444730619,-0.0030525229825477673,-5.751875905823933e-05,-0.009961631167421992,-0.0005018861858930856,-0.039293395413783294
credit_stress_only,latest_1y,candidates eligible only when lagged HY OAS stress is on,0.5324094529176429,0.5328575291306188,0.15486416690985386,1.9763387004918398,-0.11749401400653514,4.5351887382193,-0.010332050386013591,-0.01034217411837024,-0.00015378943259378164,-0.028062295280484317,-0.0005018861858938628,-0.10785616888555793
credit_stress_only,2022_shock,candidates eligible only when lagged HY OAS stress is on,-0.034132713394487535,-0.04099953943871271,0.10300976276919618,-0.2177065294845744,-0.14512158692143617,-0.28251854399103593,0.0,0.0,0.0,0.0,0.0,0.0
credit_stress_only,2021_2022_infl,candidates eligible only when lagged HY OAS stress is on,0.20482309274334587,0.09785477697929301,0.12890335970471503,0.5656856206869256,-0.14512158692143617,0.6742951138776357,0.0,0.0,0.0,0.0,0.0,0.0
inflation_or_credit,full,candidates eligible when inflation pressure OR credit stress is on,9.933241360568946,0.2555343930075753,0.12952930127672665,1.2770481691507376,-0.14403607735653678,1.7740999178632408,0.6668970709095561,0.007495590757776949,-0.0003657634192899828,0.03505426010129131,0.013936976505902199,0.20396630212781597
inflation_or_credit,since_2020,candidates eligible when inflation pressure OR credit stress is on,4.072057871150779,0.2944455330413558,0.13982602992426127,1.3435070614358449,-0.12213228977240043,2.4108737631143216,0.35464680919908087,0.0148279669800917,-0.0002920781008123041,0.05926709756114623,0.035840764090038446,0.6408404617086789
inflation_or_credit,latest_5y,candidates eligible when inflation pressure OR credit stress is on,1.9747760882730412,0.24366616926677653,0.1343527370686596,1.18482039035318,-0.12213228977240076,1.9951003106619867,0.20800134276630855,0.01790216757868479,-0.0003736941372868563,0.07718442880490484,0.035840764090037336,0.5659704928344123
inflation_or_credit,latest_3y,candidates eligible when inflation pressure OR credit stress is on,1.4621217319253792,0.35022689470369706,0.14483898475878157,1.493540280721813,-0.12213228977240043,2.8676027883892314,-0.07963320958373243,-0.014399461387808232,-0.0023167930001759263,-0.026696723016004453,-0.005140161951758704,-0.24907149460617317
inflation_or_credit,latest_1y,candidates eligible when inflation pressure OR credit stress is on,0.5401247526119393,0.5405803840676746,0.1552909223295945,1.9935933787899849,-0.12213228977240043,4.4261872521597105,-0.0026167506917171846,-0.0026193191813144168,0.0002729659871468504,-0.01080761698233923,-0.005140161951759148,-0.21685765494514708
inflation_or_credit,2022_shock,candidates eligible when inflation pressure OR credit stress is on,0.07345485453954415,0.08920136194327877,0.11573837679246743,0.5747749592727394,-0.10581245043225673,0.8430138568654288,0.10758756793403168,0.13020090138199147,0.012728614023271245,0.7924814887573137,0.03930913648917944,1.1255324008564647
inflation_or_credit,2021_2022_infl,candidates eligible when inflation pressure OR credit stress is on,0.3358424363318544,0.1561308652404314,0.13192677671935654,0.8259337853894427,-0.10581245043225684,1.475543422372487,0.13101934358850853,0.05827608826113839,0.0030234170146415107,0.2602481647025171,0.03930913648917933,0.8012483084948513
inflation_and_credit,full,candidates eligible when both inflation pressure and credit stress are on,9.205043351435833,0.24732787099290876,0.1298016660798089,1.2397662124803215,-0.15797305386243898,1.5656332833084234,-0.061300938223556756,-0.0007109312568895909,-9.339861620774603e-05,-0.002227696569124804,0.0,-0.00450033242700143
inflation_and_credit,since_2020,candidates eligible when both inflation pressure and credit stress are on,3.689243126421318,0.2784000776369957,0.13997379389412415,1.2807293065114895,-0.15797305386243887,1.7623263640862656,-0.028167935530380106,-0.001217488424268387,-0.00014431413094942447,-0.003510657363209102,0.0,-0.007706937319376994
inflation_and_credit,latest_5y,candidates eligible when both inflation pressure and credit stress are on,1.7502541727529413,0.2242964704963728,0.13453673594339516,1.1028680970923856,-0.1579730538624381,1.4198400614049578,-0.016520572753791374,-0.0014675311917189404,-0.00018969526255130376,-0.004767864455889503,0.0,-0.009289756422616646
inflation_and_credit,latest_3y,candidates eligible when both inflation pressure and credit stress are on,1.5265779750785389,0.36190546452558636,0.1468691936369849,1.5135469267317663,-0.11749401400653525,3.0802034264099314,-0.015176966430572758,-0.002720891565918926,-0.0002865841219726051,-0.006690077006051176,-0.0005018861858935297,-0.03647085658547322
inflation_and_credit,latest_1y,candidates eligible when both inflation pressure and credit stress are on,0.5335297041548412,0.5339788757294437,0.154209087690068,1.9873491220116686,-0.11749401400653492,4.544732599736904,-0.009211799148815203,-0.009220827519545338,-0.0008088686523796407,-0.017051873760655534,-0.0005018861858936408,-0.09831230736795327
inflation_and_credit,2022_shock,candidates eligible when both inflation pressure and credit stress are on,-0.034132713394487535,-0.04099953943871271,0.10300976276919618,-0.2177065294845744,-0.14512158692143617,-0.28251854399103593,0.0,0.0,0.0,0.0,0.0,0.0
inflation_and_credit,2021_2022_infl,candidates eligible when both inflation pressure and credit stress are on,0.20482309274334587,0.09785477697929301,0.12890335970471503,0.5656856206869256,-0.14512158692143617,0.6742951138776357,0.0,0.0,0.0,0.0,0.0,0.0
