ma_window,slope_window,segment,start,end,rows,avg_weight,avg_turnover,cagr,vol,sharpe,max_dd,calmar,total_return,final_nav,mode,r2_window,r2_threshold,switch_buffer,entry_fraction,entry_wait_days,target_vol,vol_window,scale_threshold
60,20,last_5y,2021-05-06,2026-05-06,1211,0.7068750916620843,0.2114773151920911,0.37013400414747677,0.18658036699248567,1.7921010904370296,-0.17409490657398063,2.1260472889836697,3.8274925803316515,4.8274925803316515,formal,20,0.2,1.03,0.5,,0.225,140,0.2
60,20,last_10y,2016-05-04,2026-05-06,2429,0.685897679350685,0.22476798753717311,0.33532923409155924,0.18462384947117577,1.6659800171301333,-0.17409490657398097,1.9261289183613328,17.046763771502643,18.046763771502643,formal,20,0.2,1.03,0.5,,0.225,140,0.2
60,20,full_common,2010-09-29,2026-05-06,3786,0.6858203131103594,0.21910542135220176,0.3349219019478824,0.19926853521000848,1.5571068548125762,-0.22961443180196373,1.4586274012460312,89.60365992963169,90.60365992963169,formal,20,0.2,1.03,0.5,,0.225,140,0.2
60,20,last_1y,2025-05-06,2026-05-06,243,0.72022985240116,0.18069375018246062,1.1234606685006288,0.20093692712306607,3.8648900920805342,-0.062068609892664495,18.100303364992932,1.1223664494952206,2.1223664494952206,formal,20,0.2,1.03,0.5,,0.225,160,0.1
60,20,last_3y,2023-05-04,2026-05-06,727,0.585217993971737,0.17018842909165308,0.4856866865845104,0.18697380900031849,2.228188316911328,-0.12077293812663337,4.021486055719338,2.287311013928179,3.287311013928179,formal,20,0.2,1.03,0.5,,0.225,160,0.1
60,20,last_5y,2021-05-06,2026-05-06,1211,0.6841534416091299,0.20382596367239111,0.3614121907373218,0.17923113092295698,1.822508516192618,-0.16617525226007146,2.1748857656114526,3.675805795624303,4.675805795624303,formal,20,0.2,1.03,0.5,,0.225,160,0.1
60,20,last_10y,2016-05-04,2026-05-06,2429,0.6791088391263443,0.22327101710231367,0.327135488174253,0.18120013523643874,1.6599829458845452,-0.16617525226007157,1.9686173706676344,15.969045375237094,16.969045375237094,formal,20,0.2,1.03,0.5,,0.225,160,0.1
60,20,full_common,2010-09-29,2026-05-06,3786,0.6796598370126623,0.21759181292899257,0.3296188387839092,0.19710137797108163,1.5518184151443424,-0.22788757377699365,1.4464098823855476,84.14861096877286,85.14861096877286,formal,20,0.2,1.03,0.5,,0.225,160,0.1
60,20,last_1y,2025-05-06,2026-05-06,243,0.72022985240116,0.18069375018246062,1.1234606685006288,0.20093692712306607,3.8648900920805342,-0.062068609892664495,18.100303364992932,1.1223664494952206,2.1223664494952206,formal,20,0.2,1.03,0.5,,0.225,160,0.15
60,20,last_3y,2023-05-04,2026-05-06,727,0.5888525753414244,0.17178321657044435,0.4903558434277835,0.19021886493499848,2.209791696741584,-0.12255683544448959,4.00104850659173,2.3184663552724087,3.3184663552724087,formal,20,0.2,1.03,0.5,,0.225,160,0.15
