target_vol,candidate,window,start,end,rows,ann_return,max_dd
0.225,tv22p5_w80_lev1p5_th0p00,10Y,2016-05-20,2026-05-20,2427,0.35905980573964835,-0.21694505384899987
0.225,tv22p5_w80_lev1p5_th0p00,5Y,2021-05-20,2026-05-20,1211,0.49793123127861816,-0.16489727394793496
0.225,tv22p5_w80_lev1p5_th0p00,3Y,2023-05-22,2026-05-20,725,0.6957754982200881,-0.08839653276656412
0.225,tv22p5_w80_lev1p5_th0p00,1Y,2025-05-20,2026-05-20,243,1.234740221588082,-0.088396532766564
0.25,tv25p0_w80_lev1p5_th0p00,15Y,2011-05-20,2026-05-20,3643,0.36962565306760853,-0.24519060195017917
0.25,tv25p0_w80_lev1p5_th0p00,10Y,2016-05-20,2026-05-20,2427,0.3738138372681059,-0.2169450538489982
0.25,tv25p0_w80_lev1p5_th0p00,5Y,2021-05-20,2026-05-20,1211,0.513293659879305,-0.1648972739479353
0.25,tv25p0_w80_lev1p5_th0p00,3Y,2023-05-22,2026-05-20,725,0.7197722623884326,-0.0979994481049099
0.25,tv25p0_w80_lev1p5_th0p00,1Y,2025-05-20,2026-05-20,243,1.2630224320201382,-0.09799944810490979
0.275,tv27p5_w80_lev1p5_th0p00,15Y,2011-05-20,2026-05-20,3643,0.3816122151977306,-0.25402652202575715
0.275,tv27p5_w80_lev1p5_th0p00,10Y,2016-05-20,2026-05-20,2427,0.3830227266263393,-0.21694505384899887
0.275,tv27p5_w80_lev1p5_th0p00,5Y,2021-05-20,2026-05-20,1211,0.5225741464935625,-0.16489727394793574
0.275,tv27p5_w80_lev1p5_th0p00,3Y,2023-05-22,2026-05-20,725,0.7377416530810819,-0.10617890613232284
0.275,tv27p5_w80_lev1p5_th0p00,1Y,2025-05-20,2026-05-20,243,1.2714545872106524,-0.10617890613232261
0.3,tv30p0_w80_lev1p5_th0p00,15Y,2011-05-20,2026-05-20,3643,0.38893786139803854,-0.25811452688260483
0.3,tv30p0_w80_lev1p5_th0p00,10Y,2016-05-20,2026-05-20,2427,0.3868611555330963,-0.2169450538489982
0.3,tv30p0_w80_lev1p5_th0p00,5Y,2021-05-20,2026-05-20,1211,0.5276739133894541,-0.16489727394793574
0.3,tv30p0_w80_lev1p5_th0p00,3Y,2023-05-22,2026-05-20,725,0.7474674845203859,-0.10636936140127984
0.3,tv30p0_w80_lev1p5_th0p00,1Y,2025-05-20,2026-05-20,243,1.2747897628590756,-0.10636936140127962
0.325,tv32p5_w80_lev1p5_th0p00,15Y,2011-05-20,2026-05-20,3643,0.39306453379910966,-0.25880178191282643
0.325,tv32p5_w80_lev1p5_th0p00,10Y,2016-05-20,2026-05-20,2427,0.3884163333203914,-0.2169450538489982
0.325,tv32p5_w80_lev1p5_th0p00,5Y,2021-05-20,2026-05-20,1211,0.530758328334263,-0.16489727394793574
0.325,tv32p5_w80_lev1p5_th0p00,3Y,2023-05-22,2026-05-20,725,0.7533603683449239,-0.10636936140127962
0.325,tv32p5_w80_lev1p5_th0p00,1Y,2025-05-20,2026-05-20,243,1.2803820704777,-0.10636936140127962
0.35,tv35p0_w80_lev1p5_th0p00,15Y,2011-05-20,2026-05-20,3643,0.3958380243198474,-0.25880178191282643
0.35,tv35p0_w80_lev1p5_th0p00,10Y,2016-05-20,2026-05-20,2427,0.38959648853200446,-0.2169450538489982
0.35,tv35p0_w80_lev1p5_th0p00,5Y,2021-05-20,2026-05-20,1211,0.5331255483946351,-0.16489727394793574
0.35,tv35p0_w80_lev1p5_th0p00,3Y,2023-05-22,2026-05-20,725,0.7578884185167907,-0.10636936140127973
0.35,tv35p0_w80_lev1p5_th0p00,1Y,2025-05-20,2026-05-20,243,1.280676285392393,-0.10636936140127962
0.375,tv37p5_w80_lev1p5_th0p00,15Y,2011-05-20,2026-05-20,3643,0.39619697087601913,-0.25880178191282643
0.375,tv37p5_w80_lev1p5_th0p00,10Y,2016-05-20,2026-05-20,2427,0.3906456836754506,-0.2169450538489982
0.375,tv37p5_w80_lev1p5_th0p00,5Y,2021-05-20,2026-05-20,1211,0.5354465426192712,-0.16489727394793574
0.375,tv37p5_w80_lev1p5_th0p00,3Y,2023-05-22,2026-05-20,725,0.7623325915825605,-0.10636936140127973
0.375,tv37p5_w80_lev1p5_th0p00,1Y,2025-05-20,2026-05-20,243,1.280676285392393,-0.10636936140127962
0.4,tv40p0_w80_lev1p5_th0p00,15Y,2011-05-20,2026-05-20,3643,0.396497372823553,-0.25880178191282643
0.4,tv40p0_w80_lev1p5_th0p00,10Y,2016-05-20,2026-05-20,2427,0.39169329190732505,-0.2169450538489982
0.4,tv40p0_w80_lev1p5_th0p00,5Y,2021-05-20,2026-05-20,1211,0.5377607946760032,-0.16489727394793574
0.4,tv40p0_w80_lev1p5_th0p00,3Y,2023-05-22,2026-05-20,725,0.7667683325812991,-0.10636936140127973
0.4,tv40p0_w80_lev1p5_th0p00,1Y,2025-05-20,2026-05-20,243,1.280676285392393,-0.10636936140127962
