rank_by_sharpe,rule,target_vol,vol_window,max_lev,signal,window,start,end,rows,total_return,annual_return,annual_vol,sharpe,max_drawdown,max_drawdown_date,turnover,trade_count,cash_days,cash_ratio,avg_weight,max_weight
19,target_vol,0.35,20.0,1.0,orig_tv35_w20_max1p0,10Y,2016-05-09,2026-05-08,2428,2.415291731203911,0.1307450529069516,0.19590152950867953,0.7271360806391073,-0.35122931288509285,2019-01-14,380.7908260692876,318,549,0.22611202635914332,0.7648808734993241,1.0
20,target_vol,0.4,20.0,1.0,orig_tv40_w20_max1p0,10Y,2016-05-09,2026-05-08,2428,2.4691864802400527,0.13251759907588956,0.1989988308127385,0.7266351689788141,-0.35122931288509285,2019-01-14,381.4388597701637,294,549,0.22611202635914332,0.7679883771997802,1.0
1,target_vol,0.25,60.0,1.0,orig_tv25_w60_max1p0,5Y,2021-05-10,2026-05-08,1211,1.556771151172054,0.2068101476469968,0.2084254831539901,1.0096684538484113,-0.29840042031663205,2024-09-23,172.1575854128119,183,261,0.21552436003303055,0.7658477389805969,1.0
2,target_vol,0.2,60.0,1.0,orig_tv20_w60_max1p0,5Y,2021-05-10,2026-05-08,1211,1.4502255633351915,0.19656758751779413,0.1988769335219147,1.0058324337188493,-0.3067196460438575,2024-09-23,170.37392903045583,369,261,0.21552436003303055,0.7472138561976844,1.0
3,target_vol,0.3,40.0,1.0,orig_tv30_w40_max1p0,5Y,2021-05-10,2026-05-08,1211,1.5548076763045358,0.20662450778374164,0.209383054360754,1.0051897491632131,-0.29840042031663205,2024-09-23,173.5020305247631,162,261,0.21552436003303055,0.7692418818864089,1.0
4,target_vol,0.25,40.0,1.0,orig_tv25_w40_max1p0,5Y,2021-05-10,2026-05-08,1211,1.500638333006521,0.20145740981062676,0.20409018522396846,1.0051332422411812,-0.2984004203166315,2024-09-23,172.92926085950472,176,261,0.21552436003303055,0.7635716318590029,1.0
5,target_vol,0.3,60.0,1.0,orig_tv30_w60_max1p0,5Y,2021-05-10,2026-05-08,1211,1.582541025603616,0.20923609532812582,0.2141692719386037,0.9972284829159983,-0.29840042031663205,2024-09-23,172.85687675603225,141,261,0.21552436003303055,0.7709825616976153,1.0
6,target_vol,0.25,80.0,1.0,orig_tv25_w80_max1p0,5Y,2021-05-10,2026-05-08,1211,1.562405303581957,0.2073422053368119,0.21265785206572818,0.9954111987380175,-0.29840042031663205,2024-09-23,172.6127955466595,169,261,0.21552436003303055,0.7681047076699619,1.0
7,target_vol,0.2,120.0,1.0,orig_tv20_w120_max1p0,5Y,2021-05-10,2026-05-08,1211,1.4710212504676692,0.1985943407771551,0.2036382374737793,0.9946007017709151,-0.29825784118724086,2024-09-23,164.13280056863292,365,261,0.21552436003303055,0.7341882050766156,1.0
8,target_vol,0.35,40.0,1.0,orig_tv35_w40_max1p0,5Y,2021-05-10,2026-05-08,1211,1.569887465229944,0.20804733426358024,0.2139914924739411,0.9932426591139225,-0.29840042031663205,2024-09-23,173.86114645588913,139,261,0.21552436003303055,0.7719645201607981,1.0
9,target_vol,0.25,120.0,1.0,orig_tv25_w120_max1p0,5Y,2021-05-10,2026-05-08,1211,1.5431898121538103,0.20552373727909323,0.21232690685418093,0.9894485437388792,-0.29840042031663205,2024-09-23,167.80009261328948,179,261,0.21552436003303055,0.756436891527111,1.0
10,target_vol,0.2,80.0,1.0,orig_tv20_w80_max1p0,5Y,2021-05-10,2026-05-08,1211,1.443890350392702,0.19594742250612351,0.20270059284716763,0.9876661263286619,-0.3016403401477852,2024-09-23,170.24640117192493,327,261,0.21552436003303055,0.7496521998582462,1.0
11,target_vol,0.1,120.0,1.0,orig_tv10_w120_max1p0,5Y,2021-05-10,2026-05-08,1211,0.7049514330511946,0.11275503548441712,0.11709208766593872,0.9759763826605016,-0.20612087216658947,2024-02-02,100.72841641331878,968,261,0.21552436003303055,0.428409494029967,0.8199178465151864
12,target_vol,0.1,120.0,1.5,orig_tv10_w120_max1p5,5Y,2021-05-10,2026-05-08,1211,0.7049514330511946,0.11275503548441712,0.11709208766593872,0.9759763826605016,-0.20612087216658947,2024-02-02,100.72841641331878,968,261,0.21552436003303055,0.428409494029967,0.8199178465151864
13,target_vol,0.3,20.0,1.0,orig_tv30_w20_max1p0,5Y,2021-05-10,2026-05-08,1211,1.4160732291867237,0.19320904257190885,0.20313342112777005,0.9748694391963713,-0.29840042031663205,2024-09-23,174.8975194579815,155,261,0.21552436003303055,0.7671803684499806,1.0
