period,lb,start,end,cagr,vol,sharpe,maxdd,calmar,final_nav,avg_bil,avg_risky,rebalances,volreg_cash_days
last_5y,260,2021-04-23,2026-04-23,0.3049491772935531,0.16467760863981054,1.7043092248646465,-0.11056331628873473,2.758140652159728,3.783457589175044,0.10119032551523409,1.0838978819078662,261,30
last_10y,260,2016-04-25,2026-04-23,0.23745501931064505,0.15183486795569953,1.48216814837162,-0.21514243037224157,1.1037107784819482,8.407384046869605,0.06535002361149239,1.1699721726952066,522,90
full_common,260,2008-06-11,2026-04-23,0.16142663863677864,0.14942463443791515,1.0781540733459458,-0.2466485401098798,0.6544804139723044,14.48919208553522,0.06352920080765213,1.160968075676433,933,164
last_5y,270,2021-04-23,2026-04-23,0.2872507182216688,0.18081055523394518,1.4917718662580028,-0.11619845243358884,2.472070085320989,3.5337893190117478,0.1123014589207354,1.0572418074796655,261,30
last_10y,270,2016-04-25,2026-04-23,0.2304312237638111,0.16073481110316198,1.3732282242321259,-0.2079194785651075,1.1082714585187567,7.942496366543722,0.0711455100266058,1.1646223159216298,522,90
full_common,270,2008-06-25,2026-04-23,0.16067977650562182,0.15537410744009486,1.0386074080047794,-0.21502178786985693,0.7472720699489026,14.242067241147744,0.06318089698096208,1.1640508796133104,931,164
last_5y,280,2021-04-23,2026-04-23,0.28996404030528344,0.17648731513452867,1.5358189487794687,-0.12020518502688671,2.4122423690827164,3.5711848705696703,0.09321323976523684,1.065920149054854,261,30
last_10y,280,2016-04-25,2026-04-23,0.23707780571518988,0.15911728831385089,1.4194394631614202,-0.1852093729913563,1.2800529578287285,8.381808423191003,0.06107981513160202,1.1689482426520288,522,90
full_common,280,2008-07-10,2026-04-23,0.173117052119526,0.15457948577147823,1.1121045463721482,-0.2119961161238768,0.8166048288279375,17.109657880287564,0.05430354079610727,1.172596435121332,929,164
last_5y,290,2021-04-23,2026-04-23,0.2768607922911883,0.17481662284104502,1.4902630026444281,-0.16630859875034454,1.6647412964304995,3.3934785361266258,0.08385044140591312,1.0678594477123928,261,30
last_10y,290,2016-04-25,2026-04-23,0.22736619252666812,0.15912805045273518,1.3697734965538875,-0.20063482180394732,1.133233954516837,7.746982429383168,0.053324645810013165,1.1727802941653651,522,90
full_common,290,2008-07-24,2026-04-23,0.18211394292096195,0.15391390203257393,1.1661333159679157,-0.2006348218039472,0.9076886119943668,19.47453299720266,0.048968970568192625,1.179103668254343,927,164
last_5y,300,2021-04-23,2026-04-23,0.2931615095173208,0.16915610446780072,1.609790250053347,-0.13036115200964693,2.248841046569045,3.6156586741354344,0.07390879426672792,1.0973467640142598,261,30
last_10y,300,2016-04-25,2026-04-23,0.2362701987671345,0.1559415902580521,1.4410650014029351,-0.20550451906534106,1.149708044580817,8.327286788615172,0.04797104542447724,1.1928419097025211,522,90
full_common,300,2008-08-07,2026-04-23,0.17396111374619805,0.15230122876284302,1.1314247059080675,-0.2055045190653405,0.8465074857594096,17.118160822766686,0.048702737680571755,1.1856879501167081,925,164
last_5y,310,2021-04-23,2026-04-23,0.28986231156097175,0.18024947489361742,1.5070568270579907,-0.12565400924633974,2.3068289925608987,3.5697771369749645,0.084276989786591,1.0727248775392946,261,30
last_10y,310,2016-04-25,2026-04-23,0.2557685275167365,0.16231739071820872,1.4872272757814609,-0.18788086582046837,1.361333557836267,9.736860434681413,0.05264439512063259,1.1908935448331177,522,90
full_common,310,2008-08-21,2026-04-23,0.18904891186356254,0.15662615980215144,1.1861826327066824,-0.18788086582046826,1.0062169505020826,21.319928327889684,0.05064850702680746,1.182006712100982,923,164
last_5y,320,2021-04-23,2026-04-23,0.22801421286240986,0.18325723241629707,1.2162547269602506,-0.23079938493011654,0.9879324978766733,2.792260354427001,0.08744753695494711,1.0647579976838684,261,30
last_10y,320,2016-04-25,2026-04-23,0.22133788773714635,0.16291184733612976,1.3114087761302473,-0.2307993849301173,0.9590055354963977,7.375032506936149,0.05425863076542954,1.1891043660528369,522,90
full_common,320,2008-09-05,2026-04-23,0.17997846177425836,0.15725045143447686,1.133295863428173,-0.2307993849301162,0.7798047721347008,18.49565365838071,0.049957193761708,1.1863116900858737,920,164
last_5y,330,2021-04-23,2026-04-23,0.2551524343221059,0.17148266919601754,1.4155695141714046,-0.1872318767780039,1.3627617193873118,3.11468986391956,0.08074363985463187,1.087222060460777,261,30
last_10y,330,2016-04-25,2026-04-23,0.226773910086971,0.15652185722032774,1.386893503676428,-0.2185629496881344,1.0375679428308997,7.7097048476624925,0.05138456042261985,1.2034905190772915,522,90
full_common,330,2008-09-19,2026-04-23,0.17854590034981865,0.15255498890604607,1.1555210510473017,-0.2185629496881345,0.8169083580020502,17.990129244468196,0.04645974115566441,1.1967380354946096,918,163
last_5y,340,2021-04-23,2026-04-23,0.23605113331362237,0.17816051426404872,1.2827811445586905,-0.16388895976201856,1.4403113770225264,2.884823121443388,0.09476214473426865,1.0824730433495817,261,30
last_10y,340,2016-04-25,2026-04-23,0.21894573719902866,0.16053823182671348,1.316248077261097,-0.18625912988072535,1.1754899603538083,7.231946392680986,0.0568388311429122,1.206273847588219,522,90
full_common,340,2008-10-03,2026-04-23,0.17284972180073122,0.15468901226370382,1.1104162289480586,-0.18625912988072524,0.9280067071687653,16.41977068751248,0.05209650201742009,1.1994660871079514,916,153
last_5y,350,2021-04-23,2026-04-23,0.25430495445957835,0.1693226121993655,1.4274051372091194,-0.14543612227100178,1.7485680344647343,3.1041902845383036,0.09069256082617295,1.100494988429131,261,30
last_10y,350,2016-04-25,2026-04-23,0.2284506999845699,0.15465765072168436,1.4105768750127292,-0.19389683228486032,1.178207489480516,7.815660766283739,0.05393022779072697,1.2141254888824913,522,90
full_common,350,2008-10-17,2026-04-23,0.1725738471357665,0.15151250040347497,1.1289831355910631,-0.19389683228486088,0.890029223799964,16.252631987001774,0.04960241744952806,1.2042909475967043,914,143
last_5y,360,2021-04-23,2026-04-23,0.24968318463969918,0.1627465657544361,1.4557392197682415,-0.17979402613832085,1.3887179123938775,3.047427446587022,0.08042275140351343,1.1099924409604374,261,30
last_10y,360,2016-04-25,2026-04-23,0.251044641779687,0.15150231631511363,1.5574493212942049,-0.19744481827177363,1.2714673597264816,9.376964580090858,0.044078338819618985,1.2271582015653237,522,90
full_common,360,2008-10-31,2026-04-23,0.18891545633524576,0.14911094109183068,1.2379392608644058,-0.19744481827177363,0.9568012875132149,20.573869392879264,0.04440527006159643,1.2137731239400276,912,133
last_5y,370,2021-04-23,2026-04-23,0.26757735906097224,0.16660158142977874,1.5115218952929768,-0.1992300688382238,1.3430571028826321,3.2719140361406818,0.08378750981909397,1.0990168662504767,261,30
last_10y,370,2016-04-25,2026-04-23,0.25151994262354704,0.15620225434763715,1.517658372442326,-0.19923006883822025,1.2624597486225206,9.412626337349236,0.04963267244058972,1.2135936637237288,522,90
full_common,370,2008-11-14,2026-04-23,0.1881236409174778,0.15144114809156892,1.2168655903753194,-0.1992300688382218,0.9442532546140783,20.20180594776935,0.043994778012943485,1.2128269685310413,910,126
last_5y,380,2021-04-23,2026-04-23,0.27973078510132465,0.1643499426966806,1.5882083767379043,-0.16795410029946733,1.6655192377117085,3.4317826040566,0.08326657779103976,1.1015720500543869,261,30
last_10y,380,2016-04-25,2026-04-23,0.25894064979958276,0.15397619074350885,1.5758576907197845,-0.17182891609260365,1.5069678357281382,9.985459807097127,0.04709865663350576,1.2221697163171497,522,90
full_common,380,2008-12-01,2026-04-23,0.18812346078964204,0.15008640488605277,1.2260406666682893,-0.17182891609260353,1.0948300499565329,20.040323607787617,0.04169332721581199,1.2201232099161812,908,123
last_5y,390,2021-04-23,2026-04-23,0.3068743479982283,0.16126679932024393,1.7462507571774275,-0.11638584712958289,2.636698151593616,3.811444583566145,0.08449166875851309,1.1079971005107878,261,30
last_10y,390,2016-04-25,2026-04-23,0.2698909052718719,0.15208434971475346,1.650646948291306,-0.2191258110964761,1.231670992665693,10.888144760368268,0.0451459300545429,1.226110377375982,522,90
full_common,390,2008-12-15,2026-04-23,0.19150865746891976,0.14918752983564185,1.2517603549764225,-0.21912581109647633,0.8739666792818062,20.91590073790606,0.03970902175127201,1.2239435654311752,906,119
last_5y,400,2021-04-23,2026-04-23,0.26929516977426937,0.16702192817983116,1.516411038472089,-0.13660436076361482,1.971351194565945,3.2941415131594813,0.07792601463091386,1.094631368844347,261,30
last_10y,400,2016-04-25,2026-04-23,0.25222511302826023,0.15512122030914405,1.5308611559740064,-0.18973106098146664,1.3293822936714519,9.465760072684573,0.04159283158254883,1.2158448549412588,522,90
full_common,400,2008-12-30,2026-04-23,0.19658210197739234,0.14909066544992633,1.2809654101243475,-0.18973106098146642,1.0361092219718055,22.3509618801059,0.035525095045032574,1.2237879725591354,904,119
last_5y,410,2021-04-23,2026-04-23,0.27078718252593825,0.16660405201162734,1.5266876324499927,-0.1284265287253531,2.1084988063878214,3.313545167508462,0.06850945283396871,1.1015244498635575,261,30
last_10y,410,2016-04-25,2026-04-23,0.24153502316468156,0.15577744712006553,1.469788951538148,-0.19792216002059093,1.220353613458712,8.688536683795249,0.039977128426924295,1.2145068586157124,522,90
full_common,410,2009-01-14,2026-04-23,0.1900756136604349,0.14914222108661418,1.243780458869239,-0.1979221600205906,0.9603553924465084,20.19296058156471,0.03426723002801552,1.226203697218166,902,119
last_5y,420,2021-04-23,2026-04-23,0.2739866568096987,0.17052746249739772,1.5101450702949908,-0.14464089958791515,1.894254374732819,3.3554627010291966,0.06035118138798147,1.1181985879799823,261,30
last_10y,420,2016-04-25,2026-04-23,0.2349329943978522,0.15827492434948387,1.4152713358404443,-0.2250770808085526,1.0437890590809773,8.2377133547055,0.03689153551500563,1.2153635497108954,522,90
full_common,420,2009-01-29,2026-04-23,0.18392726095206613,0.15118201272990756,1.1945920701766053,-0.22507708080855238,0.8171745443442652,18.337427613018104,0.03174711092802758,1.2258859272498566,900,119
last_5y,430,2021-04-23,2026-04-23,0.291640812531327,0.17174078513888635,1.5811613978196415,-0.14541206807328255,2.0056162902817003,3.5944522889784407,0.05622817842309079,1.1306457656702795,261,30
last_10y,430,2016-04-25,2026-04-23,0.24983944334575758,0.15868020566409374,1.4877950952863062,-0.17204551918929012,1.4521705913821332,9.28708311404394,0.03558117035528147,1.2217813460506093,522,90
full_common,430,2009-02-12,2026-04-23,0.1936349366551784,0.15135366350216473,1.247529978245829,-0.17204551918929012,1.125486659388873,20.965037654605883,0.03127563102237132,1.2308685271562105,898,119
last_5y,440,2021-04-23,2026-04-23,0.29313167311006594,0.17618285022805713,1.5521543659123787,-0.14528521243248904,2.0176291048634973,3.61524163991431,0.060023836966059084,1.1167054301429216,261,30
last_10y,440,2016-04-25,2026-04-23,0.25137829982811866,0.1611828937593308,1.4747851543182569,-0.16922907461982717,1.4854321007949702,9.401986152622849,0.037657183131988375,1.2104826443119787,522,90
full_common,440,2009-02-27,2026-04-23,0.19978403741419704,0.15226479407143947,1.2746663783080223,-0.16922907461982883,1.1805538608717774,22.73053683732649,0.03204280920588406,1.228136592000997,895,119
last_5y,450,2021-04-23,2026-04-23,0.25868167415207144,0.17308687460168062,1.4201967600379832,-0.13394981321765287,1.9311835376115367,3.158720193448313,0.049816834482577906,1.127146980455452,261,30
last_10y,450,2016-04-25,2026-04-23,0.24034547776170867,0.15860727828327548,1.440195512812715,-0.1678005744303992,1.4323280988611864,8.605704137797973,0.034483460308229075,1.2076075980102348,522,90
full_common,450,2009-03-13,2026-04-23,0.19554677203026438,0.15036001134859298,1.2654383030008756,-0.1678005744303992,1.165352220599065,21.24641267091356,0.029877106456911995,1.2250116322530775,893,119
last_5y,460,2021-04-23,2026-04-23,0.2467204027553953,0.17245098539086612,1.3693137624425655,-0.14717196515820996,1.6764089715739727,3.0114786167706806,0.04223803912109404,1.1391257012504963,261,30
last_10y,460,2016-04-25,2026-04-23,0.22697329050083836,0.15994956247655978,1.3615607933800187,-0.15791543446734047,1.4373090969000892,7.722235559964226,0.0288193347531836,1.21358565506422,522,90
full_common,460,2009-03-27,2026-04-23,0.17902735148916804,0.1512487415695904,1.1668229879324887,-0.1579154344673408,1.1336912828884596,16.639650225627342,0.0267560417185869,1.2288740557121518,891,119
last_5y,470,2021-04-23,2026-04-23,0.251197894709722,0.17237453324480467,1.390792282585213,-0.14118529415979186,1.7792072198781492,3.065938286484026,0.05122835741924045,1.1449613881865646,261,30
last_10y,470,2016-04-25,2026-04-23,0.23055308925748408,0.15993627743814537,1.37991140775051,-0.15791543446734013,1.459978184115795,7.950360963959831,0.03428169097229892,1.2145881520080613,522,90
full_common,470,2009-04-13,2026-04-23,0.1820447126161464,0.151265293713158,1.1832002250781155,-0.1579154344673409,1.1527987319934567,17.247067877602785,0.029847075365144898,1.233169826857521,889,119
last_5y,480,2021-04-23,2026-04-23,0.2453904117843455,0.17404723645678413,1.3523267979886455,-0.13863374544415985,1.770062627956525,2.9954519386966294,0.05473102887080093,1.1472398413084128,261,30
last_10y,480,2016-04-25,2026-04-23,0.21910759503529675,0.15888074909516028,1.3291556537610423,-0.16264324016865683,1.347166933025239,7.241548499164486,0.03427218118115387,1.2228464938089452,522,90
full_common,480,2009-04-27,2026-04-23,0.1766330364044142,0.15072208124288522,1.1565666984659058,-0.1626432401686566,1.0860152332261122,15.851693822961659,0.029595698979829332,1.2402577997045503,887,119
last_5y,490,2021-04-23,2026-04-23,0.2654570645834642,0.17585431568487464,1.431259040378968,-0.13237471822131675,2.005345644170873,3.2446442651758973,0.047348448553259884,1.1568965707516992,261,30
last_10y,490,2016-04-25,2026-04-23,0.24241776897194334,0.1595186030079892,1.4433925989374177,-0.1819292604444912,1.3324836718385271,8.750468650064404,0.029189731354336293,1.226997193932051,522,90
full_common,490,2009-05-11,2026-04-23,0.18805551322905267,0.15125763878374318,1.2170349874586803,-0.18192926044449087,1.0336738178872058,18.556035843085017,0.02632593973512276,1.2440265666828012,885,119
last_5y,500,2021-04-23,2026-04-23,0.28727884856716535,0.17857085616591178,1.508524181978764,-0.12817483313992695,2.241304642492075,3.534175403278189,0.05106450212544499,1.175799887871074,261,30
last_10y,500,2016-04-25,2026-04-23,0.2526664423928384,0.16196743469699604,1.474987664000159,-0.18587178844153596,1.3593587521342005,9.499150878479558,0.029983367983421556,1.2382499797588074,522,90
full_common,500,2009-05-26,2026-04-23,0.18253244154024495,0.15383376842576282,1.1688985401056817,-0.22214494237633753,0.8216817344012058,17.029176897609133,0.027653680306123814,1.2467118916029867,883,119
