date,1.H20955,0.399606,1.H00016,1.H00852,1.H00905,1.950175,1.000852,1.000016,1.000300,1.000905,0.399006,1.000001
2005-08-15,,,866.99,837.63,849.77,,830.34,839.51,954.5,839.67,,1187.01
2005-08-16,,,855.34,840.8,849.36,,833.49,828.23,945.06,839.26,,1177.28
2005-08-17,,,861.2,865.18,864.84,,857.66,833.84,953.01,854.53,,1192.83
2005-08-18,,,841.01,833.67,830.59,,826.42,814.29,920.67,820.66,,1148.04
2005-08-19,,,844.51,834.72,830.84,,827.46,817.69,923.04,820.87,,1150.18
2005-08-22,,,850.27,843.85,841.65,,836.52,823.08,931.67,831.5,,1158.6
2005-08-23,,,845.07,826.36,826.92,,819.17,818.05,923.41,816.91,,1149.96
2005-08-24,,,852.71,838.29,836.87,,831.0,825.45,930.65,826.72,,1167.14
2005-08-25,,,850.78,851.29,846.78,,843.88,823.58,930.12,836.42,,1172.47
2005-08-26,,,849.35,855.46,850.92,,848.02,822.2,928.26,840.43,,1171.86
2005-08-29,,,838.11,849.54,842.64,,842.15,811.31,917.37,832.25,,1154.43
2005-08-30,,,835.78,839.83,837.89,,832.52,809.06,914.88,827.55,,1146.39
2005-08-31,,,843.73,858.2,855.7,,850.73,816.76,927.92,845.14,,1162.8
2005-09-01,,,855.24,878.35,876.22,,870.71,827.9,944.56,865.41,,1184.93
2005-09-02,,,856.86,888.59,883.39,,880.86,829.46,947.87,872.49,,1188.85
2005-09-05,,,856.73,898.97,895.34,,891.16,829.34,952.72,884.29,,1196.22
2005-09-06,,,842.69,872.51,873.27,,864.93,815.75,936.61,862.49,,1173.32
2005-09-07,,,852.37,901.42,899.22,,893.58,825.12,952.76,888.13,,1194.31
2005-09-08,,,854.43,905.25,900.81,,897.37,827.12,955.28,889.69,,1194.41
2005-09-09,,,850.84,895.79,890.49,,888.0,823.64,949.07,879.5,,1189.63
2005-09-12,,,849.12,902.0,894.6,,894.16,821.98,949.51,883.56,,1188.21
2005-09-13,,,857.33,923.53,915.61,,915.5,829.92,963.77,904.31,,1207.16
2005-09-14,,,861.56,935.95,926.41,,927.82,834.01,970.19,914.98,,1217.26
2005-09-15,,,861.04,938.11,929.98,,929.95,833.51,969.6,918.51,,1217.28
2005-09-16,,,858.05,938.57,929.1,,930.41,830.62,967.49,917.64,,1212.95
2005-09-19,,,859.03,956.22,942.11,,947.9,831.57,971.14,930.49,,1220.63
2005-09-20,,,854.59,955.59,935.71,,947.28,827.27,961.92,924.16,,1212.62
2005-09-21,,,838.26,942.0,921.15,,933.81,811.14,944.41,909.79,,1187.99
2005-09-22,,,823.59,899.9,891.01,,892.08,796.94,923.27,880.01,,1159.96
2005-09-23,,,819.68,882.34,879.44,,874.67,793.16,916.15,868.55,,1151.98
2005-09-26,,,820.27,892.04,885.81,,884.29,793.73,918.48,874.84,,1155.04
2005-09-27,,,808.39,867.18,867.7,,859.63,782.24,904.21,856.96,,1133.24
2005-09-28,,,809.18,864.98,863.04,,857.46,783.0,903.72,852.36,,1131.77
2005-09-29,,,818.74,884.26,882.21,,876.57,792.25,915.97,871.29,,1155.48
2005-09-30,,,820.19,878.6,880.41,,870.96,793.65,917.39,869.51,,1155.61
2005-10-10,,,814.09,866.61,869.51,,859.08,787.75,907.32,858.75,,1138.95
2005-10-11,,,822.69,887.6,889.64,,879.88,796.07,919.72,878.62,,1157.19
2005-10-12,,,821.92,897.4,898.84,,889.6,795.32,923.48,887.71,,1161.85
2005-10-13,,,814.72,893.85,894.53,,886.08,788.36,916.5,883.45,,1152.61
2005-10-14,,,803.49,883.95,887.04,,876.26,777.49,904.83,876.05,,1139.55
2005-10-17,,,795.05,886.98,889.77,,879.27,769.32,897.62,878.76,,1131.38
2005-10-18,,,797.24,905.33,904.9,,897.45,771.45,902.37,893.7,,1141.2
2005-10-19,,,795.42,899.17,897.5,,891.35,769.68,898.74,886.31,,1134.61
2005-10-20,,,799.55,898.88,897.74,,891.06,773.68,899.91,886.55,,1135.95
2005-10-21,,,799.94,905.51,906.32,,897.64,774.06,904.41,895.03,,1141.32
2005-10-24,,,796.94,905.23,909.09,,897.36,771.15,906.65,897.76,,1141.17
2005-10-25,,,790.61,884.33,888.65,,876.64,765.03,894.27,877.58,,1121.92
2005-10-26,,,774.17,860.67,864.81,,853.18,749.13,875.82,854.03,,1097.16
2005-10-27,,,776.38,844.68,858.29,,837.34,751.26,875.85,847.59,,1097.78
2005-10-28,,,775.52,813.63,835.48,,806.56,749.96,867.73,825.06,,1080.87
2005-10-31,,,785.11,819.58,839.12,,812.45,759.24,876.28,828.66,,1092.82
2005-11-01,,,782.85,811.41,833.72,,804.35,757.05,872.86,823.33,,1089.95
2005-11-02,,,788.93,833.76,850.93,,826.51,762.94,882.48,840.32,,1104.79
2005-11-03,,,781.53,826.14,839.38,,818.95,755.78,874.58,828.91,,1095.27
2005-11-04,,,784.78,834.02,845.67,,826.77,758.92,878.36,835.12,,1100.05
2005-11-07,,,779.9,845.02,852.64,,837.67,754.2,877.28,842.0,,1100.65
