variant,decay_ratio_threshold,recovery_ratio_threshold,derisk_scale,annual,vol,sharpe,max_dd,calmar,total_return,monthly_win_rate,rebalanced_days,signal_days,overlay_days,overlay_ratio,trigger_count,recovery_count,avg_scale,annual_delta,max_dd_delta,sharpe_delta,calmar_delta
pair_score_decay39_rec85_x0p00,0.39,0.85,0.0,30.431055141520513,20.157999910094667,1.2671929660297865,-20.95173238239031,1.4524362275215705,1777.9870845232506,64.66165413533834,624,445,72,0.026825633383010434,32,32,0.9731743666169895,0.23398445103341814,1.4572018667240663,0.01761005767841395,0.10489018384122395
pair_score_decay39_rec90_x0p00,0.39,0.9,0.0,30.431055141520513,20.157999910094667,1.2671929660297865,-20.95173238239031,1.4524362275215705,1777.9870845232506,64.66165413533834,624,445,72,0.026825633383010434,32,32,0.9731743666169895,0.23398445103341814,1.4572018667240663,0.01761005767841395,0.10489018384122395
pair_score_decay41_rec70_x0p00,0.41,0.7,0.0,30.15343790100211,20.14817141198885,1.2571756764258848,-20.772615707100805,1.4515956163717318,1734.330135049384,64.66165413533834,627,445,83,0.030923994038748136,35,35,0.9690760059612519,-0.04363278948498461,1.6363185420135729,0.007592768074512257,0.10404957269138526
pair_score_decay41_rec75_x0p00,0.41,0.75,0.0,30.15343790100211,20.14817141198885,1.2571756764258848,-20.772615707100805,1.4515956163717318,1734.330135049384,64.66165413533834,627,445,83,0.030923994038748136,35,35,0.9690760059612519,-0.04363278948498461,1.6363185420135729,0.007592768074512257,0.10404957269138526
pair_score_decay41_rec80_x0p00,0.41,0.8,0.0,30.15343790100211,20.14817141198885,1.2571756764258848,-20.772615707100805,1.4515956163717318,1734.330135049384,64.66165413533834,627,445,83,0.030923994038748136,35,35,0.9690760059612519,-0.04363278948498461,1.6363185420135729,0.007592768074512257,0.10404957269138526
pair_score_decay41_rec85_x0p00,0.41,0.85,0.0,30.15343790100211,20.14817141198885,1.2571756764258848,-20.772615707100805,1.4515956163717318,1734.330135049384,64.66165413533834,627,445,83,0.030923994038748136,35,35,0.9690760059612519,-0.04363278948498461,1.6363185420135729,0.007592768074512257,0.10404957269138526
pair_score_decay41_rec90_x0p00,0.41,0.9,0.0,30.15343790100211,20.14817141198885,1.2571756764258848,-20.772615707100805,1.4515956163717318,1734.330135049384,64.66165413533834,627,445,83,0.030923994038748136,35,35,0.9690760059612519,-0.04363278948498461,1.6363185420135729,0.007592768074512257,0.10404957269138526
pair_score_decay39_rec65_x0p00,0.39,0.65,0.0,30.32863352752009,20.1595056835575,1.263230347072856,-20.95173238239034,1.4475477718974166,1761.7718821515443,64.66165413533834,626,445,68,0.02533532041728763,32,32,0.9746646795827124,0.13156283703299465,1.4572018667240378,0.013647438721483551,0.10000172821706999
pair_score_decay41_rec65_x0p00,0.41,0.65,0.0,30.05123428727643,20.149674491996567,1.2532120407105478,-20.77261570710079,1.4466755035093577,1718.4918821660403,64.66165413533834,629,445,79,0.029433681073025336,35,35,0.9705663189269746,-0.14583640321066582,1.636318542013587,0.00362913235917528,0.09912945982901111
pair_score_decay39_rec60_x0p00,0.39,0.6,0.0,30.083007600205015,20.171650388662165,1.2532739277814473,-20.951732382390308,1.4358243533832764,1723.4023440372855,64.66165413533834,626,445,67,0.02496274217585693,32,32,0.9750372578241431,-0.11406309028208028,1.4572018667240698,0.003691019430074771,0.08827830970292982
pair_score_decay41_rec60_x0p00,0.41,0.6,0.0,29.80613116484139,20.16181696932492,1.2432569385428174,-20.77261570710083,1.434876165097137,1681.0143081129752,64.66165413533834,629,445,78,0.029061102831594635,35,35,0.9709388971684053,-0.390939525645706,1.636318542013548,-0.006325969808555154,0.08733012141679031
pair_score_decay38_rec70_x0p00,0.38,0.7,0.0,30.065102165311174,20.1822953619624,1.2520399896499115,-21.394062593508337,1.4053012154145008,1720.6336365730217,64.66165413533834,622,445,67,0.02496274217585693,30,30,0.9750372578241431,-0.13196852517592106,1.01487165560604,0.0024570812985389434,0.05775517173415423
pair_score_decay38_rec75_x0p00,0.38,0.75,0.0,30.065102165311174,20.1822953619624,1.2520399896499115,-21.394062593508337,1.4053012154145008,1720.6336365730217,64.66165413533834,622,445,67,0.02496274217585693,30,30,0.9750372578241431,-0.13196852517592106,1.01487165560604,0.0024570812985389434,0.05775517173415423
pair_score_decay38_rec80_x0p00,0.38,0.8,0.0,30.065102165311174,20.1822953619624,1.2520399896499115,-21.394062593508337,1.4053012154145008,1720.6336365730217,64.66165413533834,622,445,67,0.02496274217585693,30,30,0.9750372578241431,-0.13196852517592106,1.01487165560604,0.0024570812985389434,0.05775517173415423
pair_score_decay38_rec85_x0p00,0.38,0.85,0.0,30.065102165311174,20.1822953619624,1.2520399896499115,-21.394062593508337,1.4053012154145008,1720.6336365730217,64.66165413533834,622,445,67,0.02496274217585693,30,30,0.9750372578241431,-0.13196852517592106,1.01487165560604,0.0024570812985389434,0.05775517173415423
pair_score_decay38_rec90_x0p00,0.38,0.9,0.0,30.065102165311174,20.1822953619624,1.2520399896499115,-21.394062593508337,1.4053012154145008,1720.6336365730217,64.66165413533834,622,445,67,0.02496274217585693,30,30,0.9750372578241431,-0.13196852517592106,1.01487165560604,0.0024570812985389434,0.05775517173415423
pair_score_decay37_rec70_x0p00,0.37,0.7,0.0,30.013242971067577,20.18295512789027,1.2500367208720888,-21.394062593508337,1.4028772160447256,1712.6362363131896,64.66165413533834,622,445,66,0.02459016393442623,30,30,0.9754098360655737,-0.1838277194195186,1.01487165560604,0.0004538125207163013,0.05533117236437901
pair_score_decay37_rec75_x0p00,0.37,0.75,0.0,30.013242971067577,20.18295512789027,1.2500367208720888,-21.394062593508337,1.4028772160447256,1712.6362363131896,64.66165413533834,622,445,66,0.02459016393442623,30,30,0.9754098360655737,-0.1838277194195186,1.01487165560604,0.0004538125207163013,0.05533117236437901
pair_score_decay37_rec80_x0p00,0.37,0.8,0.0,30.013242971067577,20.18295512789027,1.2500367208720888,-21.394062593508337,1.4028772160447256,1712.6362363131896,64.66165413533834,622,445,66,0.02459016393442623,30,30,0.9754098360655737,-0.1838277194195186,1.01487165560604,0.0004538125207163013,0.05533117236437901
