date,sz50,zz1000,spread_close,score,base_gross_exposure,base_nav,base_target_vol_scale,base_realized_vol,base_nav_defense_gate,base_decay_gate,return,gross_return,cost,turnover,gross_exposure,nav,nav_defense_gate,decay_gate,overheat_gate,overheat_indicator,overheat_scale
2025-10-24,3045.816,7419.235,1.5463090799961419,46.24271996575341,0.75,3.2338050206977296,1.0,,1,0,-0.006618798605124571,-0.006618798605124571,0.0,0.0,0.75,3.50431845215071,1,0,0,0.11782941493170147,1.0
2025-10-27,3069.529,7495.383,1.542516012762064,43.55812880339962,0.75,3.2278556733013626,1.0,,1,0,-0.0018397359637605248,-0.0018397359637605248,0.0,0.0,0.75,3.4978714314658186,1,0,0,0.12281893970726092,1.0
2025-10-28,3050.416,7479.221,1.5362237454398746,38.71816241082659,0.75,3.2179803151498985,1.0,,1,0,-0.003059417505295009,-0.003059417505295009,0.0,0.0,0.75,3.4871699823771207,1,0,0,0.12389250761608607,1.0
2025-10-29,3063.021,7569.117,1.5242511297543522,33.51841054206237,0.75,3.1991707300986167,1.0,,1,0,-0.005845152303364992,-0.005845152303364992,0.0,0.0,0.75,3.4667869427224036,1,0,0,0.12470110754176435,1.0
2025-10-30,3046.611,7485.085,1.5331054904199886,28.173596771685645,0.75,3.2131086949075085,1.0,,1,0,0.004356743038988198,0.004356743038988198,0.0,0.0,0.75,3.4818908426027644,1,0,0,0.12585175584309571,1.0
2025-10-31,3011.555,7506.675,1.5111060876779854,20.548072807357855,0.75,3.178528651651448,1.0,,1,0,-0.010762176614462715,-0.010762176614462715,0.0,0.0,0.75,3.444418118402393,1,0,0,0.11984725956614839,1.0
2025-11-03,3016.351,7538.118,1.507199409539918,14.105248337617962,0.75,3.1723655394967736,1.0,,1,0,-0.0019389827275813343,-0.0019389827275813343,0.0,0.0,0.75,3.4377394511642425,1,0,0,0.13001774523705578,1.0
2025-11-04,3012.969,7435.731,1.5262397592017558,10.524935027471274,0.75,3.20242275127555,1.0,,1,0,0.00947470000053785,0.00947470000053785,0.0,0.0,0.75,3.470311001144038,1,0,0,0.12578583261556012,1.0
2025-11-05,3007.97,7464.863,1.5177611376410496,5.454486133581126,0.75,3.1890800914370026,1.0,,1,0,-0.004166426757127251,-0.004166426757127251,0.0,0.0,0.75,3.455852204533318,1,0,0,0.13189854795038158,1.0
2025-11-06,3044.742,7551.83,1.518623313501894,0.9642002087569772,0.75,3.1904387775001184,1.0,,1,0,0.00042604325515821495,0.00042604325515821495,0.0,0.0,0.75,3.4573245470558827,1,0,0,0.13228405468563711,1.0
2025-11-07,3038.346,7541.878,1.5174328991020547,-3.2965119927094846,0.75,3.1885630930090523,1.0,,1,0,-0.0005879080032168971,-0.0005879080032168971,0.0,0.0,0.75,3.45529195828495,1,0,0,0.1322949553243165,1.0
2025-11-10,3053.857,7563.254,1.5208689058791496,-6.5688790432755,0.0,3.1873673818491737,1.0,,0,0,-0.000375,0.0,0.000375,0.75,0.0,3.4539962238005932,0,0,0,0.13237625476130152,1.0
