combo_id,forward_weight,reverse_weight,segment,start,end,rows,ann_return,ann_vol,sharpe_repo,max_dd,calmar,avg_turnover,cost_total,avg_exposure,final_nav,avg_gross_sleeve_exposure,avg_abs_net_pair_exposure,avg_net_pair_exposure
w_fwd_0p50_w_rev_0p50,0.5,0.5,full,2014-10-17,2026-05-14,2812,0.09812146666765775,0.052348674751829104,1.8743830122314473,-0.047744956139754824,2.0551169086938788,0.043355015629612824,0.06095715197523506,0.2606725478491752,2.9672265983101505,0.2606725478491752,0.26031692907250376,0.08516671246376932
w_fwd_0p50_w_rev_0p50,0.5,0.5,last_10y,2016-05-16,2026-05-14,2426,0.09529727007865452,0.05008757583569431,1.902612943203014,-0.04774495613975438,1.9959651821589204,0.04654340640992221,0.05645715197523506,0.2748397380675518,2.490578213182302,0.2748397380675518,0.27442753691338856,0.07140923142956279
w_fwd_0p50_w_rev_0p50,0.5,0.5,last_5y,2021-05-14,2026-05-14,1211,0.08618778947628569,0.050568675282315616,1.704371115025559,-0.030649583461114016,2.812037872737636,0.04901091764785425,0.02967611063577543,0.28971586715404124,1.5124218707156836,0.28971586715404124,0.28971586715404124,0.09839313367172263
w_fwd_0p50_w_rev_0p50,0.5,0.5,last_3y,2023-05-15,2026-05-14,726,0.08002883361728008,0.04956073622505514,1.6147628084835022,-0.027776123982235057,2.881209547756361,0.04700521755471601,0.017062893972361735,0.2869453877280778,1.2598128972872737,0.2869453877280778,0.2869453877280778,0.07187003926916741
w_fwd_0p50_w_rev_0p50,0.5,0.5,last_1y,2025-05-14,2026-05-14,243,0.09500097572609101,0.04688035787607965,2.0264558555037087,-0.022693284511604128,4.186303471298419,0.048616118402967784,0.005906858385960535,0.3666814144805659,1.0954117018776206,0.3666814144805659,0.3666814144805659,0.14360665136305553
w_fwd_0p75_w_rev_0p25,0.75,0.25,full,2014-10-17,2026-05-14,2812,0.09717228875255413,0.06460042249954005,1.5042051583059846,-0.051726535500879245,1.8785771714964825,0.04852672545349773,0.06822857598761753,0.30325590408105985,2.9375608318175543,0.30325590408105985,0.30290028530438845,0.21550298638835694
w_fwd_0p75_w_rev_0p25,0.75,0.25,last_10y,2016-05-16,2026-05-14,2426,0.08496038443651543,0.05771871865676822,1.4719728090594542,-0.05172653550087947,1.6424912980122344,0.05068307995681601,0.06147857598761754,0.3105443537823332,2.2647321183344338,0.3105443537823332,0.31013215262816995,0.2088291004633387
w_fwd_0p75_w_rev_0p25,0.75,0.25,last_5y,2021-05-14,2026-05-14,1211,0.09339785993331384,0.06135107078944704,1.5223509342461086,-0.04615140566259046,2.023727307812437,0.05464583867528963,0.03308805531788772,0.3389124339899025,1.5633324342034227,0.3389124339899025,0.3389124339899025,0.2432510672487432
w_fwd_0p75_w_rev_0p25,0.75,0.25,last_3y,2023-05-15,2026-05-14,726,0.0771579842001251,0.05568495183759507,1.3856164305422412,-0.04145534520719929,1.8612312553297845,0.05036211290958941,0.018281446986180866,0.32288040736266144,1.2497933650122968,0.32288040736266144,0.32288040736266144,0.2153427331332063
w_fwd_0p75_w_rev_0p25,0.75,0.25,last_1y,2025-05-14,2026-05-14,243,0.11429472078261593,0.060287883316544354,1.8958157841187782,-0.029146265939893334,3.921418991315023,0.05208583697926167,0.006328429192980268,0.43848474016209366,1.1147931414460968,0.43848474016209366,0.43848474016209366,0.32694735860333846
w_fwd_1p00_w_rev_0p00,1.0,0.0,full,2014-10-17,2026-05-14,2812,0.0954645212108487,0.08364049854783244,1.1413671949391158,-0.06418707765067455,1.4872856765717772,0.05369843527738265,0.07550000000000001,0.34583926031294454,2.884867653095992,0.34583926031294454,0.34583926031294454,0.34583926031294454
w_fwd_1p00_w_rev_0p00,1.0,0.0,last_10y,2016-05-16,2026-05-14,2426,0.07404040921328114,0.07366429273198724,1.0051058181290402,-0.06418707765067488,1.1535095835992255,0.05482275350370981,0.0665,0.3462489694971146,2.0463283452083236,0.3462489694971146,0.3462489694971146,0.3462489694971146
w_fwd_1p00_w_rev_0p00,1.0,0.0,last_5y,2021-05-14,2026-05-14,1211,0.09994651809409527,0.07914873029166113,1.2627684326178679,-0.06418707765067477,1.5571127671216634,0.06028075970272502,0.0365,0.38810900082576383,1.6107524601122112,0.38810900082576383,0.38810900082576383,0.38810900082576383
w_fwd_1p00_w_rev_0p00,1.0,0.0,last_3y,2023-05-15,2026-05-14,726,0.07363165492225066,0.0706198919798867,1.042647515564336,-0.06418707765067477,1.147141412528174,0.05371900826446281,0.0195,0.35881542699724517,1.2375590294841443,0.35881542699724517,0.35881542699724517,0.35881542699724517
w_fwd_1p00_w_rev_0p00,1.0,0.0,last_1y,2025-05-14,2026-05-14,243,0.13329704773693218,0.07866934456024942,1.6943963176767767,-0.040573865058433634,3.2852933173844927,0.05555555555555555,0.006750000000000001,0.5102880658436214,1.1338831940377279,0.5102880658436214,0.5102880658436214,0.5102880658436214
