date,baseline,raw_subc,actual_scale,cc_delta_0.10_overlay,cc_delta_0.10,cc_delta_0.15_overlay,cc_delta_0.15,cc_delta_0.20_overlay,cc_delta_0.20
2010-01-11,0.0044595736693116205,0.003481022391189613,1.2843518281675865,0.0,0.0044595736693116205,0.0,0.0044595736693116205,0.0,0.0044595736693116205
2010-01-12,-0.01436859699157284,-0.009479577879088081,1.5,0.0,-0.01436859699157284,0.0,-0.01436859699157284,0.0,-0.01436859699157284
2010-01-13,0.010635859807752444,0.007249225628146145,1.5,0.0,0.010635859807752444,0.0,0.010635859807752444,0.0,0.010635859807752444
2010-01-14,0.0047088466837127,0.0030796239412089403,1.5,0.0,0.0047088466837127,0.0,0.0047088466837127,0.0,0.0047088466837127
2010-01-15,-0.013866273761281727,-0.009230954994293638,1.5,0.0,-0.013866273761281727,0.0,-0.013866273761281727,0.0,-0.013866273761281727
2010-01-19,0.013219177831289286,0.008826012734087037,1.5,0.0,0.013219177831289286,0.0,0.013219177831289286,0.0,0.013219177831289286
2010-01-20,-0.018143896836831746,-0.01315508504259501,1.3722825184034753,0.0,-0.018143896836831746,0.0,-0.018143896836831746,0.0,-0.018143896836831746
2010-01-21,-0.015323680920462138,-0.012651566064865295,1.2025221236153991,0.0,-0.015323680920462138,0.0,-0.015323680920462138,0.0,-0.015323680920462138
2010-01-22,-0.01806059224437347,-0.015012244097340394,1.2025221236153991,0.0,-0.01806059224437347,0.0,-0.01806059224437347,0.0,-0.01806059224437347
2010-01-25,0.0050359654366807045,0.005111621548710061,1.00840893204559,0.0,0.0050359654366807045,0.0,0.0050359654366807045,0.0,0.0050359654366807045
2010-01-26,-0.002278993974740058,-0.002259658968250247,1.00840893204559,0.0,-0.002278993974740058,0.0,-0.002278993974740058,0.0,-0.002278993974740058
