candidate,CN_TARGET_VOL,CN_MAX_LEV,CN_VOL_WINDOW,segment,start,end,rows,ann_return,ann_vol,sharpe_repo,max_dd,final_nav,avg_weight,held_day_avg_weight,holding_day_ratio,avg_scale_raw_held,cap_hit_ratio_held,avg_turnover,turnover_sum,cost_total
tv22_lev1p1,0.225,1.1,80,last_1y,2025-05-29,2026-05-28,242,0.8630707219205616,0.17992456743512952,3.55132107833683,-0.07850384943188449,1.8535928535150115,0.5647796526158111,1.09341340746421,0.5165289256198347,1.09341340746421,0.896,0.16261303632868285,39.35235479154125,0.039352354791541255
tv22_lev1p15,0.225,1.15,80,full,2014-10-17,2026-05-28,2823,0.3415409149573676,0.17689898421490616,1.7480123840859387,-0.19596226030828467,29.945774253751566,0.4092369094915037,1.1119112564913523,0.36804817569961035,1.1119112564913523,0.8537054860442733,0.15158940789866976,427.9368984979447,0.4279368984979447
tv22_lev1p15,0.225,1.15,80,last_10y,2016-05-30,2026-05-28,2427,0.2793690238749309,0.169883007554379,1.5332340328086336,-0.19596226030828612,11.594651937715453,0.4082999818212785,1.1197107976047946,0.3646477132262052,1.1197107976047946,0.9141242937853107,0.15014727705105718,364.40744140291577,0.3644074414029158
tv22_lev1p15,0.225,1.15,80,last_5y,2021-05-31,2026-05-28,1210,0.3823616683261648,0.1879105845982312,1.8132582753031952,-0.1162840829464512,4.981329039039208,0.41167913201756634,1.0996285866252877,0.3743801652892562,1.0996285866252877,0.9006622516556292,0.13007742335677475,157.39368226169745,0.15739368226169748
tv22_lev1p15,0.225,1.15,80,last_3y,2023-05-29,2026-05-28,726,0.5670122726450326,0.2166514068847633,2.1763402093862774,-0.08201079839832104,3.8055754014945213,0.3614073687896079,1.0579909263760294,0.3415977961432507,1.0579909263760294,0.8185483870967742,0.1265064493962775,91.84368226169747,0.09184368226169748
tv22_lev1p15,0.225,1.15,80,last_1y,2025-05-29,2026-05-28,242,0.9098823941292518,0.18804540940120157,3.5380522930088802,-0.08201079839832104,1.8997799167847436,0.5879201484835798,1.1382134074642107,0.5165289256198347,1.1382134074642107,0.896,0.16922460657661675,40.952354791541254,0.04095235479154125
tv22_lev1p2,0.225,1.2,80,full,2014-10-17,2026-05-28,2823,0.35301541060008246,0.18338590966041393,1.7387987300189305,-0.2046091157041411,33.04682101704123,0.42468531669716963,1.153885129004918,0.36804817569961035,1.153885129004918,0.8190567853705486,0.157371669648393,444.26022341741344,0.44426022341741345
tv22_lev1p2,0.225,1.2,80,last_10y,2016-05-30,2026-05-28,2427,0.2894867585267229,0.17654920451845188,1.5262637798397947,-0.2046091157041411,12.539666930793805,0.42475162526178345,1.1648273384297718,0.3646477132262052,1.1648273384297718,0.8824858757062147,0.15626917048569317,379.2652767687773,0.3792652767687773
tv22_lev1p2,0.225,1.2,80,last_5y,2021-05-31,2026-05-28,1210,0.3975380211576056,0.1953539381509353,1.8069137729582398,-0.12125392485831599,5.258484938805364,0.42842349961018733,1.144354160106681,0.3743801652892562,1.144354160106681,0.8852097130242825,0.1353345100965176,163.7547572167863,0.16375475721678628
tv22_lev1p2,0.225,1.2,80,last_3y,2023-05-29,2026-05-28,726,0.5913032098710327,0.2250255030656516,2.171301887864479,-0.0855109858315315,3.9838013880196206,0.37519619081036726,1.0983565908400266,0.3415977961432507,1.0983565908400266,0.7903225806451613,0.13134264079447147,95.3547572167863,0.0953547572167863
