candidate,mode,recovery_wait_days,start,end,days
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2014-11-06,2014-11-06,1
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2014-11-14,2014-11-21,6
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2014-12-12,2015-01-15,23
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2015-02-02,2015-02-04,3
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2015-02-10,2015-02-13,4
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2015-04-21,2015-04-21,1
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2015-04-30,2015-05-08,6
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2015-06-11,2015-07-14,23
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2015-08-04,2015-08-17,10
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2015-08-24,2015-09-16,16
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2015-09-30,2015-09-30,1
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2015-11-02,2015-11-03,2
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2015-12-03,2015-12-16,10
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2015-12-24,2016-02-15,32
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2016-03-11,2016-03-16,4
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2016-04-18,2016-04-19,2
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2016-04-25,2016-05-05,8
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2016-05-11,2016-05-30,14
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2016-07-15,2016-07-26,8
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2016-08-01,2016-08-12,10
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2016-09-01,2016-09-05,3
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2016-09-19,2016-09-30,10
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2016-11-30,2016-12-09,8
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2016-12-16,2017-01-03,12
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2017-01-12,2017-01-13,2
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2017-01-19,2017-02-08,10
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2017-03-10,2017-03-15,4
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2017-03-28,2017-03-29,2
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2017-04-06,2017-04-07,2
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2017-04-14,2017-05-15,21
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2017-05-23,2017-06-06,9
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2017-06-13,2017-06-14,2
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2017-06-28,2017-07-05,6
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2017-07-21,2017-07-26,4
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2017-08-09,2017-08-09,1
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2017-08-15,2017-08-15,1
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2017-08-23,2017-08-25,3
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2017-09-18,2017-10-09,11
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2017-10-19,2017-10-27,7
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2017-11-02,2017-11-07,4
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2017-11-22,2017-12-20,21
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2017-12-27,2018-01-02,4
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2018-01-22,2018-01-23,2
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2018-01-30,2018-01-30,1
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2018-02-06,2018-02-23,9
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2018-04-11,2018-05-18,26
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2018-05-25,2018-05-29,3
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2018-06-04,2018-06-15,10
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2018-06-26,2018-06-26,1
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2018-07-23,2018-07-23,1
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2018-07-31,2018-08-24,19
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2018-08-30,2018-09-18,14
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2018-10-09,2018-10-10,2
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2018-10-26,2018-10-30,3
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2018-11-22,2018-11-30,7
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2018-12-06,2018-12-24,13
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2019-01-22,2019-02-11,10
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2019-03-19,2019-03-29,9
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2019-04-12,2019-06-10,38
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2019-07-05,2019-08-01,20
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2019-08-09,2019-08-13,3
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2019-09-18,2019-09-23,4
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2019-09-27,2019-10-25,16
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2019-11-04,2019-11-19,12
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2019-11-25,2019-12-04,8
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2020-03-11,2020-04-09,21
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2020-04-15,2020-04-16,2
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2020-04-27,2020-04-27,1
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2020-04-29,2020-05-15,10
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2020-05-25,2020-05-29,5
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2020-06-29,2020-06-30,2
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2020-07-21,2020-07-23,3
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2020-07-29,2020-07-31,3
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2020-08-07,2020-09-01,18
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2020-09-15,2020-10-09,13
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2020-10-20,2020-10-27,6
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2020-11-04,2020-11-04,1
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2020-11-13,2020-12-10,20
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2020-12-16,2020-12-16,1
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2021-01-12,2021-02-19,24
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2021-02-26,2021-04-09,30
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2021-04-15,2021-04-16,2
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2021-05-13,2021-05-13,1
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2021-08-11,2021-08-27,13
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2021-09-10,2021-09-24,9
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2021-09-28,2021-10-25,15
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2021-12-06,2021-12-10,5
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2021-12-17,2021-12-17,1
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2021-12-24,2021-12-31,6
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2022-01-12,2022-01-12,1
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2022-01-24,2022-02-16,13
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2022-02-18,2022-02-22,3
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2022-03-03,2022-03-04,2
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2022-03-23,2022-05-10,30
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2022-05-17,2022-05-19,3
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2022-05-26,2022-05-30,3
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2022-07-08,2022-08-01,17
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2022-08-08,2022-08-09,2
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2022-08-29,2022-10-12,27
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2022-11-21,2022-11-30,8
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2022-12-09,2022-12-09,1
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2022-12-15,2022-12-30,12
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2023-01-11,2023-01-20,8
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2023-02-08,2023-02-10,3
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2023-02-22,2023-03-01,6
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2023-03-07,2023-03-17,9
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2023-04-19,2023-04-20,2
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2023-05-05,2023-05-24,14
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2023-06-29,2023-08-21,38
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2023-09-15,2023-09-26,8
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2023-11-27,2023-12-28,24
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2024-01-05,2024-01-17,9
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2024-01-31,2024-02-01,2
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2024-03-28,2024-04-25,19
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2024-05-16,2024-05-17,2
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2024-05-23,2024-06-05,10
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2024-06-12,2024-07-08,19
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2024-07-16,2024-07-30,11
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2024-08-09,2024-08-15,5
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2024-08-22,2024-08-29,6
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2024-09-05,2024-09-23,11
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2024-11-15,2024-12-05,15
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2024-12-19,2025-01-15,19
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2025-03-05,2025-03-05,1
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2025-03-13,2025-04-08,18
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2025-04-15,2025-04-22,6
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2025-04-29,2025-04-30,2
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2025-05-26,2025-05-28,3
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2025-06-18,2025-06-18,1
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2025-09-05,2025-09-17,9
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2025-09-23,2025-10-13,9
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2025-10-15,2025-10-24,8
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2025-11-06,2025-11-07,2
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2025-11-19,2025-11-20,2
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2025-11-26,2025-12-05,8
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2025-12-17,2025-12-22,4
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2026-01-22,2026-01-22,1
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2026-01-29,2026-02-25,14
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2026-03-17,2026-04-07,15
amount_ma20_zz3_cyb4_or_recwait1_scale0,or,1,2010-09-29,2010-10-11,4
amount_ma20_zz3_cyb4_or_recwait1_scale0,or,1,2010-12-06,2010-12-20,11
amount_ma20_zz3_cyb4_or_recwait1_scale0,or,1,2010-12-24,2011-01-04,7
amount_ma20_zz3_cyb4_or_recwait1_scale0,or,1,2011-01-10,2011-01-17,6
amount_ma20_zz3_cyb4_or_recwait1_scale0,or,1,2011-01-21,2011-01-24,2
amount_ma20_zz3_cyb4_or_recwait1_scale0,or,1,2011-01-28,2011-02-10,5
amount_ma20_zz3_cyb4_or_recwait1_scale0,or,1,2011-03-07,2011-03-09,3
amount_ma20_zz3_cyb4_or_recwait1_scale0,or,1,2011-03-23,2011-03-28,4
amount_ma20_zz3_cyb4_or_recwait1_scale0,or,1,2011-04-06,2011-04-20,11
amount_ma20_zz3_cyb4_or_recwait1_scale0,or,1,2011-05-05,2011-05-23,13
amount_ma20_zz3_cyb4_or_recwait1_scale0,or,1,2011-06-09,2011-06-23,11
amount_ma20_zz3_cyb4_or_recwait1_scale0,or,1,2011-07-29,2011-08-02,3
amount_ma20_zz3_cyb4_or_recwait1_scale0,or,1,2011-08-19,2011-08-23,3
amount_ma20_zz3_cyb4_or_recwait1_scale0,or,1,2011-09-02,2011-10-11,22
amount_ma20_zz3_cyb4_or_recwait1_scale0,or,1,2011-11-23,2011-12-01,7
amount_ma20_zz3_cyb4_or_recwait1_scale0,or,1,2011-12-07,2011-12-19,9
amount_ma20_zz3_cyb4_or_recwait1_scale0,or,1,2011-12-28,2012-01-05,5
amount_ma20_zz3_cyb4_or_recwait1_scale0,or,1,2012-02-01,2012-02-03,3
amount_ma20_zz3_cyb4_or_recwait1_scale0,or,1,2012-03-21,2012-04-18,18
amount_ma20_zz3_cyb4_or_recwait1_scale0,or,1,2012-05-02,2012-05-04,3
amount_ma20_zz3_cyb4_or_recwait1_scale0,or,1,2012-05-24,2012-05-29,4
amount_ma20_zz3_cyb4_or_recwait1_scale0,or,1,2012-06-28,2012-07-03,4
amount_ma20_zz3_cyb4_or_recwait1_scale0,or,1,2012-07-20,2012-08-03,11
amount_ma20_zz3_cyb4_or_recwait1_scale0,or,1,2012-08-20,2012-08-21,2
amount_ma20_zz3_cyb4_or_recwait1_scale0,or,1,2012-09-19,2012-10-10,11
amount_ma20_zz3_cyb4_or_recwait1_scale0,or,1,2012-10-17,2012-10-18,2
amount_ma20_zz3_cyb4_or_recwait1_scale0,or,1,2012-10-29,2012-11-01,4
amount_ma20_zz3_cyb4_or_recwait1_scale0,or,1,2012-11-12,2012-11-13,2
amount_ma20_zz3_cyb4_or_recwait1_scale0,or,1,2012-11-19,2012-11-21,3
amount_ma20_zz3_cyb4_or_recwait1_scale0,or,1,2012-12-03,2012-12-05,3
amount_ma20_zz3_cyb4_or_recwait1_scale0,or,1,2013-01-30,2013-02-18,9
amount_ma20_zz3_cyb4_or_recwait1_scale0,or,1,2013-03-18,2013-04-02,12
amount_ma20_zz3_cyb4_or_recwait1_scale0,or,1,2013-04-12,2013-04-18,5
amount_ma20_zz3_cyb4_or_recwait1_scale0,or,1,2013-06-07,2013-06-17,4
amount_ma20_zz3_cyb4_or_recwait1_scale0,or,1,2013-06-21,2013-06-25,3
amount_ma20_zz3_cyb4_or_recwait1_scale0,or,1,2013-07-11,2013-07-12,2
amount_ma20_zz3_cyb4_or_recwait1_scale0,or,1,2013-07-31,2013-08-01,2
amount_ma20_zz3_cyb4_or_recwait1_scale0,or,1,2013-08-08,2013-08-23,12
amount_ma20_zz3_cyb4_or_recwait1_scale0,or,1,2013-11-04,2013-11-15,10
amount_ma20_zz3_cyb4_or_recwait1_scale0,or,1,2013-12-11,2013-12-12,2
amount_ma20_zz3_cyb4_or_recwait1_scale0,or,1,2013-12-18,2013-12-26,7
amount_ma20_zz3_cyb4_or_recwait1_scale0,or,1,2014-01-15,2014-01-20,4
amount_ma20_zz3_cyb4_or_recwait1_scale0,or,1,2014-02-07,2014-02-10,2
amount_ma20_zz3_cyb4_or_recwait1_scale0,or,1,2014-03-04,2014-04-09,26
amount_ma20_zz3_cyb4_or_recwait1_scale0,or,1,2014-04-16,2014-04-22,5
amount_ma20_zz3_cyb4_or_recwait1_scale0,or,1,2014-04-28,2014-05-06,5
amount_ma20_zz3_cyb4_or_recwait1_scale0,or,1,2014-05-09,2014-05-22,10
amount_ma20_zz3_cyb4_or_recwait1_scale0,or,1,2014-06-23,2014-06-26,4
amount_ma20_zz3_cyb4_or_recwait1_scale0,or,1,2014-07-21,2014-08-05,12
amount_ma20_zz3_cyb4_or_recwait1_scale0,or,1,2014-08-29,2014-09-02,3
amount_ma20_zz3_cyb4_or_recwait1_scale0,or,1,2014-09-19,2014-09-25,5
amount_ma20_zz3_cyb4_or_recwait1_scale0,or,1,2014-10-22,2014-10-29,6
amount_ma20_zz3_cyb4_or_recwait1_scale0,or,1,2014-11-06,2014-11-07,2
amount_ma20_zz3_cyb4_or_recwait1_scale0,or,1,2014-11-14,2014-11-24,7
amount_ma20_zz3_cyb4_or_recwait1_scale0,or,1,2014-12-12,2015-01-16,24
amount_ma20_zz3_cyb4_or_recwait1_scale0,or,1,2015-02-02,2015-02-05,4
amount_ma20_zz3_cyb4_or_recwait1_scale0,or,1,2015-02-10,2015-02-16,5
amount_ma20_zz3_cyb4_or_recwait1_scale0,or,1,2015-04-21,2015-04-22,2
amount_ma20_zz3_cyb4_or_recwait1_scale0,or,1,2015-04-30,2015-05-11,7
amount_ma20_zz3_cyb4_or_recwait1_scale0,or,1,2015-06-11,2015-07-15,24
amount_ma20_zz3_cyb4_or_recwait1_scale0,or,1,2015-08-04,2015-08-18,11
amount_ma20_zz3_cyb4_or_recwait1_scale0,or,1,2015-08-24,2015-09-17,17
amount_ma20_zz3_cyb4_or_recwait1_scale0,or,1,2015-09-30,2015-10-08,2
amount_ma20_zz3_cyb4_or_recwait1_scale0,or,1,2015-11-02,2015-11-04,3
amount_ma20_zz3_cyb4_or_recwait1_scale0,or,1,2015-12-03,2015-12-17,11
amount_ma20_zz3_cyb4_or_recwait1_scale0,or,1,2015-12-24,2016-02-16,33
amount_ma20_zz3_cyb4_or_recwait1_scale0,or,1,2016-03-11,2016-03-17,5
amount_ma20_zz3_cyb4_or_recwait1_scale0,or,1,2016-04-18,2016-04-20,3
amount_ma20_zz3_cyb4_or_recwait1_scale0,or,1,2016-04-25,2016-05-06,9
amount_ma20_zz3_cyb4_or_recwait1_scale0,or,1,2016-05-11,2016-05-31,15
amount_ma20_zz3_cyb4_or_recwait1_scale0,or,1,2016-07-15,2016-07-27,9
amount_ma20_zz3_cyb4_or_recwait1_scale0,or,1,2016-08-01,2016-08-15,11
amount_ma20_zz3_cyb4_or_recwait1_scale0,or,1,2016-09-01,2016-09-06,4
amount_ma20_zz3_cyb4_or_recwait1_scale0,or,1,2016-09-19,2016-10-10,11
amount_ma20_zz3_cyb4_or_recwait1_scale0,or,1,2016-11-30,2016-12-12,9
amount_ma20_zz3_cyb4_or_recwait1_scale0,or,1,2016-12-16,2017-01-04,13
amount_ma20_zz3_cyb4_or_recwait1_scale0,or,1,2017-01-12,2017-01-16,3
amount_ma20_zz3_cyb4_or_recwait1_scale0,or,1,2017-01-19,2017-02-09,11
amount_ma20_zz3_cyb4_or_recwait1_scale0,or,1,2017-03-10,2017-03-16,5
amount_ma20_zz3_cyb4_or_recwait1_scale0,or,1,2017-03-28,2017-03-30,3
amount_ma20_zz3_cyb4_or_recwait1_scale0,or,1,2017-04-06,2017-04-10,3
amount_ma20_zz3_cyb4_or_recwait1_scale0,or,1,2017-04-14,2017-05-16,22
amount_ma20_zz3_cyb4_or_recwait1_scale0,or,1,2017-05-23,2017-06-07,10
amount_ma20_zz3_cyb4_or_recwait1_scale0,or,1,2017-06-13,2017-06-15,3
amount_ma20_zz3_cyb4_or_recwait1_scale0,or,1,2017-06-28,2017-07-06,7
amount_ma20_zz3_cyb4_or_recwait1_scale0,or,1,2017-07-21,2017-07-27,5
amount_ma20_zz3_cyb4_or_recwait1_scale0,or,1,2017-08-09,2017-08-10,2
amount_ma20_zz3_cyb4_or_recwait1_scale0,or,1,2017-08-15,2017-08-16,2
amount_ma20_zz3_cyb4_or_recwait1_scale0,or,1,2017-08-23,2017-08-28,4
amount_ma20_zz3_cyb4_or_recwait1_scale0,or,1,2017-09-18,2017-10-10,12
amount_ma20_zz3_cyb4_or_recwait1_scale0,or,1,2017-10-19,2017-10-30,8
amount_ma20_zz3_cyb4_or_recwait1_scale0,or,1,2017-11-02,2017-11-08,5
amount_ma20_zz3_cyb4_or_recwait1_scale0,or,1,2017-11-22,2017-12-21,22
amount_ma20_zz3_cyb4_or_recwait1_scale0,or,1,2017-12-27,2018-01-03,5
amount_ma20_zz3_cyb4_or_recwait1_scale0,or,1,2018-01-22,2018-01-24,3
amount_ma20_zz3_cyb4_or_recwait1_scale0,or,1,2018-01-30,2018-01-31,2
amount_ma20_zz3_cyb4_or_recwait1_scale0,or,1,2018-02-06,2018-02-26,10
amount_ma20_zz3_cyb4_or_recwait1_scale0,or,1,2018-04-11,2018-05-21,27
amount_ma20_zz3_cyb4_or_recwait1_scale0,or,1,2018-05-25,2018-05-30,4
amount_ma20_zz3_cyb4_or_recwait1_scale0,or,1,2018-06-04,2018-06-15,10
amount_ma20_zz3_cyb4_or_recwait1_scale0,or,1,2018-06-19,2018-06-19,1
amount_ma20_zz3_cyb4_or_recwait1_scale0,or,1,2018-06-26,2018-06-27,2
amount_ma20_zz3_cyb4_or_recwait1_scale0,or,1,2018-07-23,2018-07-24,2
amount_ma20_zz3_cyb4_or_recwait1_scale0,or,1,2018-07-31,2018-08-27,20
amount_ma20_zz3_cyb4_or_recwait1_scale0,or,1,2018-08-30,2018-09-19,15
