lookback,segment,start,end,cagr,vol,sharpe,maxdd,final_nav
24,last_10y,2016-04-25,2026-04-24,0.17971781127487607,0.18465966311291024,0.9905796672109708,-0.24043521265653056,5.2177898944967
24,full_common,2010-07-08,2026-04-24,0.24369046532865224,0.19589342560170414,1.2163090253919187,-0.24043521265653145,31.32916108460636
25,last_3y,2023-04-24,2026-04-24,0.2364708930166528,0.1959041531551564,1.188286003381141,-0.13853121438433857,1.8906658877402036
25,last_5y,2021-04-23,2026-04-24,0.1804316196051714,0.19129578080253487,0.968435211673648,-0.13853121438433802,2.2927256980899005
25,last_10y,2016-04-25,2026-04-24,0.17669886683465919,0.18616315118013183,0.970313347315671,-0.29186361300523544,5.085845297362736
25,full_common,2010-07-09,2026-04-24,0.2382147236002734,0.196512259454664,1.19067381630922,-0.291863613005236,29.20295156701923
26,last_3y,2023-04-24,2026-04-24,0.2193109552703425,0.1958364599739199,1.1167139098387102,-0.16658097659659665,1.8130190598450402
26,last_5y,2021-04-23,2026-04-24,0.16619058998557334,0.1931945430675546,0.8974499277166735,-0.16869158180733623,2.157668730005788
26,last_10y,2016-04-25,2026-04-24,0.16940534261902473,0.18698314461563564,0.9334795302825437,-0.31315118482356197,4.779380630461127
26,full_common,2010-07-12,2026-04-24,0.21834548489502703,0.19714756785645304,1.1047466459825637,-0.3131511848235614,22.582708058427833
27,last_3y,2023-04-24,2026-04-24,0.07392292247486854,0.19480391614853018,0.4650268538482528,-0.18249167020943557,1.2386269836016606
27,last_5y,2021-04-23,2026-04-24,0.05305847849146805,0.19262746560886482,0.3661087898686229,-0.18421224636300815,1.2951156437130624
27,last_10y,2016-04-25,2026-04-24,0.09479854954520905,0.18806153285830407,0.5773840208892317,-0.30703275274305863,2.472752199173641
27,full_common,2010-07-13,2026-04-24,0.17617057649715218,0.19686520079618194,0.9263967444992223,-0.34023479446870397,12.944640573257287
28,last_3y,2023-04-24,2026-04-24,0.10778859115439099,0.18856321239786425,0.6393153740957075,-0.16614487730714866,1.3595684990422523
28,last_5y,2021-04-23,2026-04-24,0.10515544054636772,0.1855004936513113,0.6345313601172564,-0.16614487730714889,1.648944335227554
28,last_10y,2016-04-25,2026-04-24,0.12842449820310042,0.1869457384960346,0.7419441487968856,-0.30050241863534677,3.345873896996739
28,full_common,2010-07-14,2026-04-24,0.20555417631814432,0.19577480164395217,1.0570780952620924,-0.300502418635346,19.09779645662462
29,last_3y,2023-04-24,2026-04-24,0.013341375772433217,0.18902912918793804,0.1639048842416165,-0.2781492299148237,1.0405699181769
29,last_5y,2021-04-23,2026-04-24,0.05577204286744464,0.1867281592331282,0.3853968031903528,-0.27814922991482305,1.3118953314784736
29,last_10y,2016-04-25,2026-04-24,0.09563922525277713,0.18660282676810533,0.5845236682682602,-0.3193194681841881,2.491797900721277
29,full_common,2010-07-15,2026-04-24,0.15890049745318402,0.19522668260968923,0.8565118619228022,-0.3193194681841892,10.24141080370053
30,last_3y,2023-04-24,2026-04-24,0.033981507517478526,0.19002937005431483,0.270830213661708,-0.2508564053809632,1.1054732757910823
30,last_5y,2021-04-23,2026-04-24,0.0525980148238232,0.18833080974835748,0.36759260408464106,-0.2624736551187381,1.2922854265885007
30,last_10y,2016-04-25,2026-04-24,0.08541284429522689,0.1887736724207763,0.530138196592952,-0.33634503350437284,2.2688374634272126
30,full_common,2010-07-16,2026-04-24,0.14654975558427719,0.19676757364279937,0.7967659334781583,-0.33634503350437306,8.645496860765272
31,last_3y,2023-04-24,2026-04-24,0.06447165262785082,0.19340466992416896,0.4207103403136211,-0.21841674319556303,1.2062043036696701
31,last_5y,2021-04-23,2026-04-24,0.06274320899531993,0.1893085014472875,0.4176722424306843,-0.21841674319556215,1.3558010315799054
31,last_10y,2016-04-25,2026-04-24,0.0972257612062506,0.18785876583695404,0.5896406105325989,-0.21841674319556115,2.5281012867174972
31,full_common,2010-07-19,2026-04-24,0.1496539393767411,0.194898139463376,0.8161897486736336,-0.2678877233268073,9.011835687016267
32,last_3y,2023-04-24,2026-04-24,0.06547541581234495,0.19342816600151785,0.4257161923810243,-0.20398598122491096,1.209620540475296
32,last_5y,2021-04-23,2026-04-24,0.0485482788401872,0.1871438660820984,0.34800052991159475,-0.2320094111473009,1.2676064330623604
32,last_10y,2016-04-25,2026-04-24,0.08733162813260109,0.18455027334960483,0.5475907308649277,-0.23841445671363082,2.30924960695022
32,full_common,2010-07-20,2026-04-24,0.13286284897419787,0.19251793840960416,0.7472087933148664,-0.3122251975132756,7.143856035888465
33,last_3y,2023-04-24,2026-04-24,0.07721543291888344,0.1871208079047727,0.49209237109697546,-0.2163186027016546,1.2500569823299414
33,last_5y,2021-04-23,2026-04-24,0.0448614460091008,0.18457321819867903,0.33067003320270205,-0.24838221338230349,1.2454682415651628
33,last_10y,2016-04-25,2026-04-24,0.10918355883329656,0.18220682484798073,0.6616600511178522,-0.2483822133823047,2.8174058764210637
33,full_common,2010-07-21,2026-04-24,0.14921667712175868,0.19191933775377534,0.8239345043882014,-0.313267026777992,8.951133381901933
34,last_3y,2023-04-24,2026-04-24,0.10763904627580922,0.19185762036102094,0.6308759057487161,-0.19750378396455204,1.3590178467761513
34,last_5y,2021-04-23,2026-04-24,0.07419274193331327,0.18664022934328442,0.47850097893705273,-0.2466218807154683,1.430457278858837
34,last_10y,2016-04-25,2026-04-24,0.11242982836607185,0.1817061944454432,0.6790981239052262,-0.24662188071546942,2.9009231419672434
34,full_common,2010-07-22,2026-04-24,0.14547897401451815,0.19084394359454535,0.8103688880198862,-0.32082716331710426,8.500033417592327
35,last_3y,2023-04-24,2026-04-24,0.08889737102778938,0.1908659007112782,0.5431690729949546,-0.20167409616342058,1.291178137882948
35,last_5y,2021-04-23,2026-04-24,0.02243309337895294,0.18529184801680254,0.21227835036884452,-0.2744234360312673,1.1173629688092839
35,last_10y,2016-04-25,2026-04-24,0.10307313024329634,0.1782730859364893,0.6410984771332544,-0.2744234360312683,2.66604877825602
35,full_common,2010-07-23,2026-04-24,0.12342784907560689,0.18844736240886692,0.7146861146640238,-0.3727198378997233,6.255590380753283
36,last_3y,2023-04-24,2026-04-24,0.07213065718674905,0.19138131276372003,0.46041291331697204,-0.2474694921955498,1.232434500844875
36,last_5y,2021-04-23,2026-04-24,-0.012555426532470104,0.18312937486377043,0.02105828144859201,-0.4166739968997244,0.9387552306778404
36,last_10y,2016-04-25,2026-04-24,0.05708608938588933,0.17799317231700737,0.4016065703667012,-0.41667399689972384,1.741825171200107
36,full_common,2010-07-26,2026-04-24,0.10596959835792563,0.18902939086852966,0.6294418112386538,-0.41667399689972384,4.883746658283869
37,last_3y,2023-04-24,2026-04-24,0.05624975089988027,0.1891893053122357,0.3842377007505115,-0.23913639989260216,1.17846347314868
37,last_5y,2021-04-23,2026-04-24,0.013080026261515165,0.182756220727514,0.16201612612077582,-0.34333401104744776,1.0671620031698157
37,last_10y,2016-04-25,2026-04-24,0.0779206719753458,0.17733212215165522,0.5128423076040437,-0.3433340110474481,2.1170649437601283
37,full_common,2010-07-27,2026-04-24,0.12527320893021998,0.1875031461207881,0.7257794101614526,-0.3433340110474473,6.4111511477591625
38,last_3y,2023-04-24,2026-04-24,0.09068781677516102,0.18958470966277965,0.5545081142918382,-0.24241160708032328,1.2975592277068309
38,last_5y,2021-04-23,2026-04-24,0.009643936801469799,0.18120887431779562,0.1431177148718414,-0.36133378523844295,1.0491794287886256
38,last_10y,2016-04-25,2026-04-24,0.07068735798213832,0.17621648649338786,0.47674448287634474,-0.3720101958591707,1.9792694904929191
38,full_common,2010-07-28,2026-04-24,0.11771828566384168,0.18673334877004757,0.6919703859062223,-0.3720101958591703,5.76430101025509
39,last_3y,2023-04-24,2026-04-24,0.047288032474796626,0.19629125536655254,0.33360112017071286,-0.31704268351610543,1.1487146424085148
39,last_5y,2021-04-23,2026-04-24,0.01447739588993291,0.1863698052716925,0.16991571857871104,-0.35050523959757174,1.0745452078294806
39,last_10y,2016-04-25,2026-04-24,0.07892612900238438,0.17923014122581468,0.514605576292382,-0.3505052395975723,2.1368873020519423
39,full_common,2010-07-29,2026-04-24,0.11357383094784601,0.1873183709180177,0.6705517994208139,-0.40020662660522865,5.4353176761980855
40,last_3y,2023-04-24,2026-04-24,0.06539760112796911,0.1938223663658273,0.42447976748135424,-0.2724016849976916,1.2093554733425915
40,last_5y,2021-04-23,2026-04-24,0.0020594095725943173,0.18448124326206508,0.10254129476318856,-0.35424881962528276,1.0103438150801054
40,last_10y,2016-04-25,2026-04-24,0.07345284287588782,0.17774127133354375,0.48866241662076937,-0.35424881962528143,2.0309689610093558
40,full_common,2010-07-30,2026-04-24,0.11823904913327099,0.1861337099652065,0.6961827562377242,-0.40991223598264603,5.803166608587505
