trade_id,strategy,symbol,allocation,entry_date,exit_date,entry_price,exit_price,side,holding_days,is_open_trade
988,Sub-B,SUBB_T0988,IBIT:7.6%(比特币); PDBC:20.0%(大宗商品); EMXC:44.9%(新兴市场(除中国)); QQQM:46.1%(Nasdaq 100),2018-04-27,2018-05-02,1.0,0.9966144419100015,long,4,False
989,Sub-B,SUBB_T0989,IBIT:8.4%(比特币); PDBC:19.5%(大宗商品); EMXC:42.6%(新兴市场(除中国)); QQQM:51.2%(Nasdaq 100),2018-05-03,2018-05-03,1.0,1.0053865265659807,long,1,False
990,Sub-B,SUBB_T0990,IBIT:8.4%(比特币); PDBC:19.5%(大宗商品); EMXC:42.6%(新兴市场(除中国)); QQQM:51.2%(Nasdaq 100),2018-05-04,2018-05-09,1.0,1.0196156360829836,long,4,False
991,Sub-B,SUBB_T0991,IBIT:7.8%(比特币); PDBC:40.9%(大宗商品); VEA:24.3%(发达市场); QQQM:45.2%(Nasdaq 100),2018-05-10,2018-05-10,1.0,1.0121655585501064,long,1,False
992,Sub-B,SUBB_T0992,IBIT:7.8%(比特币); PDBC:40.9%(大宗商品); VEA:24.3%(发达市场); QQQM:45.2%(Nasdaq 100),2018-05-11,2018-05-16,1.0,1.0546397369750438,long,4,False
993,Sub-B,SUBB_T0993,IBIT:6.3%(比特币); PDBC:44.0%(大宗商品); VEA:23.9%(发达市场); QQQM:33.5%(Nasdaq 100),2018-05-17,2018-05-17,1.0,0.996528868469168,long,1,False
994,Sub-B,SUBB_T0994,IBIT:6.3%(比特币); PDBC:44.0%(大宗商品); VEA:23.9%(发达市场); QQQM:33.5%(Nasdaq 100),2018-05-18,2018-05-23,1.0,1.0019949678814295,long,4,False
995,Sub-B,SUBB_T0995,IBIT:5.4%(比特币); PDBC:31.2%(大宗商品); VEA:33.0%(发达市场); QQQM:41.7%(Nasdaq 100),2018-05-24,2018-05-24,1.0,0.9965336063778967,long,1,False
996,Sub-B,SUBB_T0996,IBIT:5.4%(比特币); PDBC:31.2%(大宗商品); VEA:33.0%(发达市场); QQQM:41.7%(Nasdaq 100),2018-05-25,2018-05-30,1.0,0.9920895038268205,long,3,False
997,Sub-B,SUBB_T0997,BIL:6.5%(BIL); IBIT:6.9%(比特币); PDBC:26.3%(大宗商品); VEA:14.4%(发达市场); QQQM:58.4%(Nasdaq 100),2018-05-31,2018-05-31,1.0,0.9974177764026326,long,1,False
998,Sub-B,SUBB_T0998,BIL:6.5%(BIL); IBIT:6.9%(比特币); PDBC:26.3%(大宗商品); VEA:14.4%(发达市场); QQQM:58.4%(Nasdaq 100),2018-06-01,2018-06-06,1.0,1.0203859576721648,long,4,False
