trade_id,strategy,symbol,allocation,entry_date,exit_date,entry_price,exit_price,side,holding_days,is_open_trade,profit_pct,mfe_pct,mae_pct,profit_capture,giveback_pct,max_high,min_low,best_date,worst_date,bar_count,holding_calendar_days,had_profit_then_loss,deep_mae_profit,allocation_trade,holding_days_trade,is_open_trade_trade
303,Sub-B,SUBB_T0303,BIL:1.7%(BIL); GLDM:68.8%(黄金); QQQM:33.1%(Nasdaq 100); VGLT:31.0%(长期国债),2011-10-27,2011-10-27,1.0,1.000836090062375,long,1,False,0.0008360900623749501,0.0008360900623749501,0.0,1.0,0.0,1.000836090062375,1.0,2011-10-27,2011-10-27,2,0,False,False,BIL:1.7%(BIL); GLDM:68.8%(黄金); QQQM:33.1%(Nasdaq 100); VGLT:31.0%(长期国债),1,False
304,Sub-B,SUBB_T0304,BIL:1.7%(BIL); GLDM:68.8%(黄金); QQQM:33.1%(Nasdaq 100); VGLT:31.0%(长期国债),2011-10-28,2011-11-02,1.0,1.0093924279610007,long,4,False,0.009392427961000704,0.009392427961000704,0.0,1.0,0.0,1.0093924279610007,1.0,2011-11-02,2011-10-28,5,5,False,False,BIL:1.7%(BIL); GLDM:68.8%(黄金); QQQM:33.1%(Nasdaq 100); VGLT:31.0%(长期国债),4,False
305,Sub-B,SUBB_T0305,GLDM:77.2%(黄金); QQQM:37.7%(Nasdaq 100); VGLT:27.4%(长期国债),2011-11-03,2011-11-03,1.0,1.013432377110772,long,1,False,0.013432377110772054,0.013432377110772054,0.0,1.0,0.0,1.013432377110772,1.0,2011-11-03,2011-11-03,2,0,False,False,GLDM:77.2%(黄金); QQQM:37.7%(Nasdaq 100); VGLT:27.4%(长期国债),1,False
306,Sub-B,SUBB_T0306,GLDM:77.2%(黄金); QQQM:37.7%(Nasdaq 100); VGLT:27.4%(长期国债),2011-11-04,2011-11-09,1.0,0.9977323481482979,long,4,False,-0.0022676518517020794,0.0176320569434798,-0.005321487334018382,-0.12860960346096428,0.01989970879518188,1.0176320569434798,0.9946785126659816,2011-11-07,2011-11-04,5,5,True,False,GLDM:77.2%(黄金); QQQM:37.7%(Nasdaq 100); VGLT:27.4%(长期国债),4,False
307,Sub-B,SUBB_T0307,BIL:2.4%(BIL); GLDM:68.9%(黄金); QQQM:32.9%(Nasdaq 100); VGLT:27.1%(长期国债),2011-11-10,2011-11-10,1.0,0.9915465553798919,long,1,False,-0.008453444620108108,0.0,-0.008453444620108108,,0.008453444620108108,1.0,0.9915465553798919,2011-11-10,2011-11-10,2,0,False,False,BIL:2.4%(BIL); GLDM:68.9%(黄金); QQQM:32.9%(Nasdaq 100); VGLT:27.1%(长期国债),1,False
308,Sub-B,SUBB_T0308,BIL:2.4%(BIL); GLDM:68.9%(黄金); QQQM:32.9%(Nasdaq 100); VGLT:27.1%(长期国债),2011-11-11,2011-11-16,1.0,1.009399028574339,long,4,False,0.009399028574339052,0.019916219901867427,0.0,0.471928338843947,0.010517191327528375,1.0199162199018674,1.0,2011-11-15,2011-11-11,5,5,False,False,BIL:2.4%(BIL); GLDM:68.9%(黄金); QQQM:32.9%(Nasdaq 100); VGLT:27.1%(长期国债),4,False
309,Sub-B,SUBB_T0309,BIL:3.8%(BIL); GLDM:62.1%(黄金); QQQM:32.1%(Nasdaq 100); VGLT:28.9%(长期国债),2011-11-17,2011-11-17,1.0,0.9767392725399904,long,1,False,-0.023260727460009623,0.0,-0.023260727460009623,,0.023260727460009623,1.0,0.9767392725399904,2011-11-17,2011-11-17,2,0,False,False,BIL:3.8%(BIL); GLDM:62.1%(黄金); QQQM:32.1%(Nasdaq 100); VGLT:28.9%(长期国债),1,False
310,Sub-B,SUBB_T0310,BIL:3.8%(BIL); GLDM:62.1%(黄金); QQQM:32.1%(Nasdaq 100); VGLT:28.9%(长期国债),2011-11-18,2011-11-22,1.0,0.9906372784105826,long,3,False,-0.009362721589417422,0.0,-0.020293733722697715,,0.009362721589417422,1.0,0.9797062662773023,2011-11-18,2011-11-21,4,4,False,False,BIL:3.8%(BIL); GLDM:62.1%(黄金); QQQM:32.1%(Nasdaq 100); VGLT:28.9%(长期国债),3,False
311,Sub-B,SUBB_T0311,BIL:4.0%(BIL); PDBC:24.4%(大宗商品); GLDM:57.0%(黄金); VGLT:28.0%(长期国债),2011-11-23,2011-11-23,1.0,0.9938020782514541,long,1,False,-0.006197921748545943,0.0,-0.006197921748545943,,0.006197921748545943,1.0,0.9938020782514541,2011-11-23,2011-11-23,2,0,False,False,BIL:4.0%(BIL); PDBC:24.4%(大宗商品); GLDM:57.0%(黄金); VGLT:28.0%(长期国债),1,False
312,Sub-B,SUBB_T0312,BIL:4.0%(BIL); PDBC:24.4%(大宗商品); GLDM:57.0%(黄金); VGLT:28.0%(长期国债),2011-11-25,2011-11-30,1.0,1.0129887593365028,long,4,False,0.012988759336502786,0.012988759336502786,-0.012345201005568573,1.0,0.0,1.0129887593365028,0.9876547989944314,2011-11-30,2011-11-25,5,5,False,False,BIL:4.0%(BIL); PDBC:24.4%(大宗商品); GLDM:57.0%(黄金); VGLT:28.0%(长期国债),4,False
313,Sub-B,SUBB_T0313,BIL:5.6%(BIL); PDBC:23.1%(大宗商品); GLDM:45.3%(黄金); VGLT:36.8%(长期国债),2011-12-01,2011-12-01,1.0,0.9960279286780103,long,1,False,-0.003972071321989734,0.0,-0.003972071321989734,,0.003972071321989734,1.0,0.9960279286780103,2011-12-01,2011-12-01,2,0,False,False,BIL:5.6%(BIL); PDBC:23.1%(大宗商品); GLDM:45.3%(黄金); VGLT:36.8%(长期国债),1,False
