ma_window,slope_window,cagr_full_common,cagr_last_10y,cagr_last_1y,cagr_last_3y,cagr_last_5y,calmar_full_common,calmar_last_10y,calmar_last_1y,calmar_last_3y,calmar_last_5y,max_dd_full_common,max_dd_last_10y,max_dd_last_1y,max_dd_last_3y,max_dd_last_5y,sharpe_full_common,sharpe_last_10y,sharpe_last_1y,sharpe_last_3y,sharpe_last_5y,recent_weighted_sharpe,worst_recent_max_dd,mean_recent_cagr,delta_recent_weighted_sharpe_vs_base,delta_mean_recent_cagr_vs_base,delta_worst_recent_max_dd_vs_base
40,30,0.2111333787327525,0.1946315280733648,0.5623764162900151,0.2223284670049217,0.21419044224342576,0.7458895103937945,0.6875919669982452,6.0282565542782045,1.3156428481548557,1.030033669284982,-0.28306253914374535,-0.28306253914374413,-0.09329006010716334,-0.16898846622145958,-0.2079450882339703,1.1296037712027083,1.107676911929457,2.5446261761715565,1.2070432641367417,1.2105248424077981,1.393994300505741,-0.28306253914374413,0.29838171340293185,-0.5206903204156907,-0.15206647876904494,-0.10417841516140935
70,15,0.1335095173472678,0.11399031182151353,0.752613429444414,0.22832989245863433,0.14452846630742888,0.39712526212069604,0.50454869264933,11.098395610699368,1.113299087579269,0.7046970851547265,-0.3361899382434427,-0.22592529419303986,-0.06781281329698319,-0.20509303834525672,-0.2050930383452566,0.7819256816821094,0.722993443536097,3.2507280362207385,1.2548722564019823,0.88981388858721,1.3466983727097426,-0.22592529419303986,0.3098655250079977,-0.5679862482116891,-0.1405826671639791,-0.047041170210705086
70,10,0.11859087680762759,0.10982653851860613,0.5806110177470194,0.2252863919088013,0.15290808849699222,0.4111331555511614,0.45479498771014026,7.8241882626151735,2.1469587259890064,1.2532216749065994,-0.2884488278466516,-0.24148581555741144,-0.07420718907304957,-0.10493280060846166,-0.12201200438732296,0.7256460645824373,0.729414046470269,2.82577306461652,1.3195371976770545,0.9712886587830122,1.3350671164240415,-0.24148581555741144,0.26715800916785476,-0.5796175044973901,-0.18329018300412203,-0.06260169157507667
50,30,0.19840363142161266,0.20421115496203934,0.5232076521419844,0.19344238529229751,0.21148511138356074,0.7588245522616694,0.7810363001955953,5.4707764244006,0.9389977843561076,0.8088566414120494,-0.2614617975001896,-0.2614617975001913,-0.09563681853427397,-0.2060094161190651,-0.2614617975001896,1.0690565707589827,1.166246916061965,2.361234346741754,1.0721456006583223,1.1930875690950407,1.321953798834235,-0.2614617975001913,0.2830865759449705,-0.5927308220871967,-0.1673616162270063,-0.0825776735178565
60,30,0.1803581532534131,0.17938334165031788,0.663221260384538,0.20191571033287392,0.1795305825885285,0.5856431594272782,0.5824778367801726,6.897163862069556,0.8013281813737387,0.582955944626676,-0.30796595221874,-0.30796595221874035,-0.09615854772305388,-0.2519763001305212,-0.30796595221873857,0.9821355971985387,1.0277620196533812,2.792945219797917,1.094978351397126,1.0221151170830125,1.3140887998857431,-0.30796595221874035,0.3060127237390646,-0.6005958210356885,-0.14443546843291222,-0.12908182823640557
80,15,0.14923326816124338,0.12394998646559197,0.6753542142264031,0.2065706649842205,0.15411518072741193,0.5687630945422902,0.48027278191680806,9.947083801639302,0.8608968885434519,0.6422851936681121,-0.26238212287901386,-0.2580824713216048,-0.06789469433394169,-0.23994820719321752,-0.2399482071932174,0.8700766929872507,0.7742871883707645,2.9989349848325255,1.1473603165451596,0.9276841953455439,1.29224890514224,-0.2580824713216048,0.28999751160090687,-0.6224357157791918,-0.16045068057106993,-0.07919834733927
60,10,0.10680760223440533,0.10103794625701501,0.6523796760059528,0.21290137634564665,0.12631852234818441,0.3401114249132766,0.5175589709288595,11.406204150547472,1.4009502493979547,0.7638912368736732,-0.31403709023194293,-0.19522016220814975,-0.05719516040528172,-0.15196926260382126,-0.16536192097864588,0.6644069326641042,0.6785722439637989,3.0858686176304384,1.253621322024777,0.8156349216145817,1.288905814512911,-0.19522016220814975,0.2731593802391997,-0.6257788064085206,-0.17728881193277707,-0.016336038225814975
50,15,0.15990971492771044,0.14109346165582615,0.5793106041395439,0.2070870165006069,0.16082166304599155,0.676155470415523,0.6740980429647224,7.0646183896775065,1.0537700945942807,0.7683528850548895,-0.23649844144489418,-0.20930703349217405,-0.0820016839106279,-0.19652011151477866,-0.20930703349217306,0.9258815448547046,0.8872148660332457,2.573145744768476,1.1828057491985993,1.0017793787115623,1.2836588863888148,-0.20930703349217405,0.27207818633549213,-0.6310257345326169,-0.17837000583648466,-0.03042290950983928
80,10,0.10977145901698893,0.10044279612935214,0.6308773974832478,0.22977911087014902,0.12263763273510286,0.36463888127810157,0.35420119059763117,8.671774064949723,1.7795644817020675,0.619321482302641,-0.3010415637307443,-0.28357554631558,-0.07275067278714964,-0.1291209805729413,-0.19801934252165032,0.6764968755403082,0.6637812542125987,2.933120360807779,1.3122996974876817,0.7899759367060667,1.2753317142208684,-0.28357554631558,0.27093423430446295,-0.6393529067005632,-0.17951395786751384,-0.10469142233324524
60,15,0.1419242453562275,0.10847145255481605,0.6858794290157719,0.20306199384820744,0.1177981350903452,0.5088496066311297,0.3889092792051485,9.936866318797899,0.8970212998086888,0.4223487998977934,-0.2789119683040452,-0.27891196830404674,-0.06902371502354532,-0.22637365901067819,-0.27891196830404597,0.8284884214174408,0.6962060051325483,2.892731825057948,1.1213558829444628,0.7466661916315769,1.1921484006301883,-0.27891196830404674,0.27880275262728516,-0.7225362202912433,-0.17164543954469164,-0.10002784432171197
40,15,0.141491532219028,0.11557186866659297,0.5985882041872783,0.19753121942945628,0.10006187584580895,0.4029453760050859,0.3965728403230088,6.957644232269919,0.955519104683794,0.44434744615852223,-0.351143208595207,-0.2914265852710932,-0.0860331721778752,-0.20672660385458697,-0.22518836714572132,0.8307299183364516,0.7406593872484831,2.6712678568873085,1.1585267443409204,0.6767917517614009,1.1541505602561812,-0.2914265852710932,0.25293829203228413,-0.7605340606652504,-0.19750990013969266,-0.11254246128875844
50,10,0.1117090018807323,0.09725304484835373,0.5604370376101946,0.1782725604499631,0.10046774369293954,0.3873871640777147,0.44232599881239787,8.372525541392964,1.12187915121143,0.526468417680402,-0.28836526410648466,-0.2198673492163442,-0.06693763247892737,-0.15890531547668074,-0.19083337256125688,0.6999271083827798,0.6774439805371459,2.6517018426772063,1.1015421425969616,0.6980363001888067,1.1292243284571715,-0.2198673492163442,0.23410759665036274,-0.7854602924642602,-0.21634059552161405,-0.040983225234009435
70,30,0.14762867326362783,0.15220741704382945,0.5914829449160219,0.15520058370489243,0.1373157526405735,0.5208607597154558,0.5370153989950439,6.540104832450154,0.6380885110275554,0.48447490355445977,-0.28343212751192237,-0.2834321275119229,-0.09043936757423987,-0.24322735956327257,-0.2834321275119215,0.8418863082668953,0.8934564438141983,2.570755777324113,0.8851379071493245,0.8149983217757287,1.1146795132945153,-0.2834321275119229,0.2590516745763293,-0.8000051076269163,-0.19139651759564746,-0.10454800352958815
40,10,0.0739568930746266,0.05869139711132165,0.5084775985233381,0.14857714375041486,0.09170857605289706,0.20643393525176268,0.23414085122729975,7.791469431135309,0.6623835295661783,0.40885326480262574,-0.3582593771921766,-0.25066705277476375,-0.06526080901908216,-0.22430682092552034,-0.22430682092552068,0.49592649264709454,0.44054085985082614,2.478077680981449,0.9211955927224409,0.6251528034755214,0.9790147197941279,-0.25066705277476375,0.2018636788594929,-0.9356699011273037,-0.24858451331248388,-0.07178292879242898
80,30,0.12454339532120495,0.10905745720110782,0.315484727179552,0.10315346375059531,0.058616695535152585,0.3633310810436939,0.3181538749490675,3.488356184275359,0.40092378434709103,0.17100278421885812,-0.3427821120159755,-0.3427821120159752,-0.09043936757423987,-0.2572894594382369,-0.3427821120159771,0.7331771113301607,0.6829213073044196,1.7905000280448224,0.6601146852182708,0.416353173369319,0.7477769508080427,-0.3427821120159771,0.14657808591660193,-1.166907670113389,-0.30387010625537486,-0.1638979880336423
