mode,bias_n,mom_day,r2_window,window,start,end,total,cagr,valid,maxdd,dd_date,sharpe,avg_weight,avg_turnover,signal_days,cash_days,top_holds
a_style_volscale,40,10,10,3Y,2023-05-04,2026-04-30,0.8783482431478926,0.2347302629644823,True,-0.29504366900435175,2025-07-02,0.790195802869463,0.9298127756038777,0.36897097607762924,191,159,GOLD_518880:170; 0.399606:167; NASDAQ_159941:165; cash:159; 1.H00016:65
core_1x,40,15,15,10Y,2016-05-03,2026-04-30,1.133345221000896,0.07879189862846658,True,-0.3172091073866662,2022-06-09,0.47703524644174655,0.6834088102099629,0.20028818443804033,502,640,cash:640; 0.399606:554; NASDAQ_159941:536; GOLD_518880:424; 1.H00016:275
core_1x,40,15,15,5Y,2021-04-30,2026-04-30,0.6748346790485076,0.10866547106900248,True,-0.20251720761403313,2024-10-17,0.5893061037543609,0.6593724194880264,0.19570602807597026,252,349,cash:349; NASDAQ_159941:266; 0.399606:255; GOLD_518880:224; 1.H00016:117
core_1x,40,15,15,3Y,2023-05-04,2026-04-30,0.6625695045129272,0.18534833558914632,True,-0.2025172076140328,2024-10-17,0.8057745534573422,0.6845730027548209,0.21074380165289255,159,189,cash:189; NASDAQ_159941:169; 0.399606:169; GOLD_518880:150; 1.H00016:49
a_style_volscale,40,15,15,10Y,2016-05-03,2026-04-30,1.6318752547381803,0.10170885612200031,True,-0.4160104168786597,2022-06-09,0.4877076071560639,0.9581804015482734,0.2796048235434884,502,640,cash:640; 0.399606:554; NASDAQ_159941:536; GOLD_518880:424; 1.H00016:275
a_style_volscale,40,15,15,5Y,2021-04-30,2026-04-30,1.046012075870113,0.153958397442723,True,-0.29439999639430703,2022-06-09,0.6336347590792317,0.9168856017925832,0.2720131924288595,252,349,cash:349; NASDAQ_159941:266; 0.399606:255; GOLD_518880:224; 1.H00016:117
a_style_volscale,40,15,15,3Y,2023-05-04,2026-04-30,1.115530912188254,0.28482988317277735,True,-0.20442751964594386,2026-02-02,0.9156799361887229,0.9069252590248056,0.2802139601405236,159,189,cash:189; NASDAQ_159941:169; 0.399606:169; GOLD_518880:150; 1.H00016:49
core_1x,40,20,20,10Y,2016-05-03,2026-04-30,2.1657954491298717,0.12226725046874498,True,-0.20592463853016751,2020-02-28,0.683658099498623,0.6881432688349115,0.15109098394400988,395,652,cash:652; 0.399606:548; NASDAQ_159941:547; GOLD_518880:398; 1.H00016:284
core_1x,40,20,20,5Y,2021-04-30,2026-04-30,0.6597995021978329,0.10666748880383992,True,-0.2034454703183045,2024-02-06,0.6218192487046461,0.6469859620148638,0.1486374896779521,205,369,cash:369; NASDAQ_159941:262; 0.399606:254; GOLD_518880:207; 1.H00016:119
core_1x,40,20,20,3Y,2023-05-04,2026-04-30,0.5368646421195584,0.1545839411821528,True,-0.2034454703183035,2024-02-06,0.7650930972594715,0.6652892561983471,0.14600550964187328,116,206,cash:206; NASDAQ_159941:172; 0.399606:166; GOLD_518880:134; 1.H00016:48
