scenario,removed_codes,removed_names,removed_n,remaining_a_codes,window,start,end,total,cagr,maxdd,dd_date,sharpe,trade_actions,cash_days,delta_cagr,delta_total,delta_maxdd,delta_sharpe
no_bond,1.H20955,dividend_low_vol_100_tr,1,0.399606+1.H00016+1.H00852+1.H00905,5Y,2021-04-30,2026-04-30,1.5771803620660072,0.2084820964288685,-0.16935572177753055,2023-03-07,0.9966105638704094,253,53,-0.013897748111487696,-0.15161653342522818,0.030069978917193985,-0.06437311469752338
no_bond,1.H20955,dividend_low_vol_100_tr,1,0.399606+1.H00016+1.H00852+1.H00905,3Y,2023-05-04,2026-04-30,1.3991087305670047,0.3400418113669501,-0.1537071302585583,2024-09-04,1.367602398387921,147,31,0.025281170714458456,0.1327957247946676,0.04188107390266382,0.05910754794557693
with_bond,0.399606,cyb_growth,1,1.H20955+1.H00016+1.H00852+1.H00905,10Y,2016-05-03,2026-04-30,2.863858116678117,0.14487592304994212,-0.1969054311098829,2018-11-29,0.8252457675981801,523,32,-0.030611494931651162,-1.1654354552585429,0.010022957867647508,-0.06999941397696974
with_bond,0.399606,cyb_growth,1,1.H20955+1.H00016+1.H00852+1.H00905,5Y,2021-04-30,2026-04-30,1.7356735077074692,0.22299539213394182,-0.1919898530703712,2024-10-09,1.2025321193132894,251,21,-0.0012417048205322079,-0.013913938687232008,-0.012436101092542118,0.11423216026040262
with_bond,0.399606,cyb_growth,1,1.H20955+1.H00016+1.H00852+1.H00905,3Y,2023-05-04,2026-04-30,1.3067091660569847,0.32255312971164174,-0.1919898530703713,2024-10-09,1.5417411376288632,151,13,0.003628478334466445,0.01886908013869748,-0.02446586473147805,0.20309553559964644
no_bond,0.399606,cyb_growth,1,1.H20955+1.H00016+1.H00852+1.H00905,10Y,2016-05-03,2026-04-30,3.4103987231240867,0.16013786465574342,-0.21262553599646483,2020-04-02,0.8789761797535361,471,93,-0.021258159596683424,-0.8772344873483711,0.007656558506380473,-0.026193801659696536
no_bond,0.399606,cyb_growth,1,1.H20955+1.H00016+1.H00852+1.H00905,5Y,2021-04-30,2026-04-30,1.7400208533337271,0.2233838986443728,-0.1831057373335343,2024-10-09,1.1744193086474324,217,44,0.0010040541040166051,0.01122395784249175,0.016319963361190237,0.11343563007949964
no_bond,0.399606,cyb_growth,1,1.H20955+1.H00016+1.H00852+1.H00905,3Y,2023-05-04,2026-04-30,1.2627333303964812,0.31406567004118524,-0.18310573733353375,2024-10-09,1.4838074339023741,133,34,-0.0006949706113064114,-0.0035796753758559063,0.012482466827688388,0.17531258346002998
with_bond,1.H00016,sse50_tr,1,1.H20955+0.399606+1.H00852+1.H00905,10Y,2016-05-03,2026-04-30,4.824771140690286,0.19289244936781702,-0.2067863774462324,2020-10-23,0.9726545875590037,567,35,0.017405031386223735,0.7954775687536264,0.00014201153129800304,0.07740940598385382
with_bond,1.H00016,sse50_tr,1,1.H20955+0.399606+1.H00852+1.H00905,5Y,2021-04-30,2026-04-30,1.980399771506304,0.24413609766826316,-0.17447786917814434,2023-03-10,1.1643130119599197,275,19,0.01989900071378914,0.23081232511160277,0.005075882799684739,0.07601305290703286
with_bond,1.H00016,sse50_tr,1,1.H20955+0.399606+1.H00852+1.H00905,3Y,2023-05-04,2026-04-30,1.4168245673986788,0.34334348065163245,-0.16752398833889326,2024-02-01,1.4145589406101606,173,10,0.024418829274457154,0.12898448148039154,0.0,0.07591333858094385
no_bond,1.H00016,sse50_tr,1,1.H20955+0.399606+1.H00852+1.H00905,10Y,2016-05-03,2026-04-30,4.90159823642459,0.19445808086261795,-0.22028209450284508,2020-04-02,0.9615092522102014,507,89,0.013062056610191108,0.6139650259521323,2.220446049250313e-16,0.056339270796968766
no_bond,1.H00016,sse50_tr,1,1.H20955+0.399606+1.H00852+1.H00905,5Y,2021-04-30,2026-04-30,1.9329678426203971,0.24015011019988486,-0.20800310581499182,2023-03-10,1.1273523583894862,237,40,0.01777026565952866,0.20417094712916173,-0.008577405120267279,0.06636867982155348
no_bond,1.H00016,sse50_tr,1,1.H20955+0.399606+1.H00852+1.H00905,3Y,2023-05-04,2026-04-30,1.4144888790174286,0.3429091063248888,-0.19558820416122213,2024-02-01,1.3959909888057078,149,29,0.02814846567239715,0.14817587324509152,0.0,0.08749613836336367
with_bond,1.H00852,csi1000_tr,1,1.H20955+0.399606+1.H00016+1.H00905,10Y,2016-05-03,2026-04-30,3.748161582079942,0.16873873809634565,-0.2069283889775304,2020-10-23,0.8752282775922275,585,29,-0.006748679885247633,-0.2811319898567177,0.0,-0.02001690398292233
with_bond,1.H00852,csi1000_tr,1,1.H20955+0.399606+1.H00016+1.H00905,5Y,2021-04-30,2026-04-30,1.5519672054027387,0.20610789133029694,-0.1767320122637992,2024-02-01,1.0266798427067654,281,18,-0.01812920562417708,-0.19762024099196251,0.0028217397140298806,-0.06162011634612141
with_bond,1.H00852,csi1000_tr,1,1.H20955+0.399606+1.H00016+1.H00905,3Y,2023-05-04,2026-04-30,1.1576261115301882,0.2933250673240386,-0.17673201226379898,2024-02-01,1.26707689364523,183,10,-0.02559958405313667,-0.130213974388099,-0.009208023924905717,-0.07156870838398688
no_bond,1.H00852,csi1000_tr,1,1.H20955+0.399606+1.H00016+1.H00905,10Y,2016-05-03,2026-04-30,3.695354988314783,0.16743112377795688,-0.20448580956702844,2024-02-01,0.8563045252235383,533,91,-0.013964900474469966,-0.5922782221576748,0.015796284935816862,-0.0488654561896944
no_bond,1.H00852,csi1000_tr,1,1.H20955+0.399606+1.H00016+1.H00905,5Y,2021-04-30,2026-04-30,1.5278203700335928,0.20381643983998288,-0.20448580956702855,2024-02-01,1.0008810946322424,245,49,-0.01856340470037332,-0.20097652545764255,-0.005060108872304014,-0.060102583935690346
no_bond,1.H00852,csi1000_tr,1,1.H20955+0.399606+1.H00016+1.H00905,3Y,2023-05-04,2026-04-30,1.1373242597907254,0.289241877700418,-0.20448580956702855,2024-02-01,1.2372820589097586,161,29,-0.02551876295207367,-0.1289887459816117,-0.008897605405806419,-0.07121279153258553
with_bond,1.H00905,csi500_tr,1,1.H20955+0.399606+1.H00016+1.H00852,10Y,2016-05-03,2026-04-30,4.3572096236767015,0.18294289846084855,-0.2069283889775303,2020-10-23,0.924225229045904,603,29,0.007455480479255261,0.3279160517400417,1.1102230246251565e-16,0.02898004747075411
with_bond,1.H00905,csi500_tr,1,1.H20955+0.399606+1.H00016+1.H00852,5Y,2021-04-30,2026-04-30,1.8684137037667359,0.234641551690292,-0.18615580557290057,2023-03-10,1.1225093126319572,291,18,0.01040445473581797,0.11882625737203467,-0.006602053595071489,0.0342093535790704
with_bond,1.H00905,csi500_tr,1,1.H20955+0.399606+1.H00016+1.H00852,3Y,2023-05-04,2026-04-30,1.406072896591028,0.34134163996912426,-0.16752398833889326,2024-02-01,1.4015402393994196,181,10,0.02241698859194896,0.11823281067274083,0.0,0.06289463737020284
no_bond,1.H00905,csi500_tr,1,1.H20955+0.399606+1.H00016+1.H00852,10Y,2016-05-03,2026-04-30,4.632393320540969,0.1888889798233233,-0.22028209450284486,2020-04-02,0.9335825395430151,549,81,0.007492955570896465,0.3447601100685116,4.440892098500626e-16,0.028412558129782384
no_bond,1.H00905,csi500_tr,1,1.H20955+0.399606+1.H00016+1.H00852,5Y,2021-04-30,2026-04-30,1.8467246677629743,0.2327685149981753,-0.20586784659226753,2023-03-10,1.0948057603283714,255,39,0.010388670457819105,0.1179277722717389,-0.006442145897542995,0.03382208176043866
no_bond,1.H00905,csi500_tr,1,1.H20955+0.399606+1.H00016+1.H00852,3Y,2023-05-04,2026-04-30,1.3834333229596707,0.3371068559968444,-0.19558820416122213,2024-02-01,1.3709626188523103,159,29,0.02234621534435277,0.11712031718733362,0.0,0.06246776840996615
with_bond,1.H20955+0.399606,dividend_low_vol_100_tr+cyb_growth,2,1.H00016+1.H00852+1.H00905,10Y,2016-05-03,2026-04-30,2.1869616849807674,0.12301605847387331,-0.19878045307144265,2018-10-11,0.7245938034179802,515,38,-0.05247135950771997,-1.8423318869558925,0.008147935906087755,-0.1706513781571697
with_bond,1.H20955+0.399606,dividend_low_vol_100_tr+cyb_growth,2,1.H00016+1.H00852+1.H00905,5Y,2021-04-30,2026-04-30,1.2955572487381848,0.18083035157027783,-0.1919898530703712,2024-10-09,1.014491639383519,257,27,-0.0434067453841962,-0.4540301976565164,-0.012436101092542118,-0.07380831966936774
with_bond,1.H20955+0.399606,dividend_low_vol_100_tr+cyb_growth,2,1.H00016+1.H00852+1.H00905,3Y,2023-05-04,2026-04-30,1.2078636831106384,0.30332030015484457,-0.19198985307037164,2024-10-09,1.4648081153879424,141,18,-0.015604351222330726,-0.07997640280764884,-0.02446586473147838,0.12616251335872564
no_bond,1.H20955+0.399606,dividend_low_vol_100_tr+cyb_growth,2,1.H00016+1.H00852+1.H00905,10Y,2016-05-03,2026-04-30,3.3480690329670786,0.15848620412065495,-0.21262553599646483,2020-04-02,0.8689473421448501,445,121,-0.022909820131771896,-0.9395641775053791,0.007656558506380473,-0.03622263926838254
no_bond,1.H20955+0.399606,dividend_low_vol_100_tr+cyb_growth,2,1.H00016+1.H00852+1.H00905,5Y,2021-04-30,2026-04-30,1.6436884596248444,0.2146568847395971,-0.18034833439911502,2024-10-09,1.1257048828101326,213,63,-0.007722959800759099,-0.08510843586639094,0.01907736629560952,0.06472120424219985
no_bond,1.H20955+0.399606,dividend_low_vol_100_tr+cyb_growth,2,1.H00016+1.H00852+1.H00905,3Y,2023-05-04,2026-04-30,1.442179778984673,0.3480409805492872,-0.1803483343991148,2024-10-09,1.583752671056193,121,41,0.033280339896795574,0.17586677321233601,0.015239869762107339,0.27525782061384896
with_bond,1.H20955+1.H00016,dividend_low_vol_100_tr+sse50_tr,2,0.399606+1.H00852+1.H00905,10Y,2016-05-03,2026-04-30,3.395013975338159,0.1597321496082671,-0.2206087419023668,2020-10-23,0.8303467665369361,559,41,-0.015755268373326192,-0.6342795965985006,-0.013680352924836381,-0.06489841503821381
with_bond,1.H20955+1.H00016,dividend_low_vol_100_tr+sse50_tr,2,0.399606+1.H00852+1.H00905,5Y,2021-04-30,2026-04-30,1.1113373221368126,0.16123578864031263,-0.20457193728222056,2023-02-27,0.8303173391172455,299,20,-0.0630013083141614,-0.6382501242578886,-0.025018185304391483,-0.2579826199356413
with_bond,1.H20955+1.H00016,dividend_low_vol_100_tr+sse50_tr,2,0.399606+1.H00852+1.H00905,3Y,2023-05-04,2026-04-30,1.1227243038789743,0.2862894930769433,-0.1945586757081713,2024-02-01,1.21448257328461,165,10,-0.032635158300232,-0.16511578203931299,-0.027034687369278054,-0.12416302874460672
no_bond,1.H20955+1.H00016,dividend_low_vol_100_tr+sse50_tr,2,0.399606+1.H00852+1.H00905,10Y,2016-05-03,2026-04-30,4.6853906082552,0.1900040100891074,-0.2567620665431557,2023-03-07,0.9352578339603008,481,122,0.008607985836680543,0.3977573977827422,-0.03647997204031039,0.03008785254706814
no_bond,1.H20955+1.H00016,dividend_low_vol_100_tr+sse50_tr,2,0.399606+1.H00852+1.H00905,5Y,2021-04-30,2026-04-30,1.3905574452674578,0.19044737309680837,-0.2567620665431559,2023-03-07,0.9248982683136712,251,57,-0.03193247144354783,-0.33823945022377755,-0.05733636584843138,-0.13608541025426157
no_bond,1.H20955+1.H00016,dividend_low_vol_100_tr+sse50_tr,2,0.399606+1.H00852+1.H00905,3Y,2023-05-04,2026-04-30,1.4100704843816132,0.34208663996342503,-0.16361667202605656,2024-01-18,1.3672490331105736,139,32,0.02732599931093338,0.14375747860927612,0.03197153213516557,0.058754182668229404
with_bond,1.H20955+1.H00852,dividend_low_vol_100_tr+csi1000_tr,2,0.399606+1.H00016+1.H00905,10Y,2016-05-03,2026-04-30,2.985869462929253,0.14844422263371193,-0.2069283889775302,2020-10-23,0.791512142426164,573,30,-0.027043195347881355,-1.043424109007407,2.220446049250313e-16,-0.1037330391489859
with_bond,1.H20955+1.H00852,dividend_low_vol_100_tr+csi1000_tr,2,0.399606+1.H00016+1.H00905,5Y,2021-04-30,2026-04-30,1.2488727815378575,0.17598725556956762,-0.1834720846440141,2022-05-24,0.9053439034119785,281,19,-0.0482498413849064,-0.5007146648568437,-0.00391833266618502,-0.18295605564090833
with_bond,1.H20955+1.H00852,dividend_low_vol_100_tr+csi1000_tr,2,0.399606+1.H00016+1.H00905,3Y,2023-05-04,2026-04-30,1.140795245696078,0.28994180008106496,-0.17653035570229325,2024-02-01,1.2552923346248006,171,10,-0.028982851296110335,-0.14704484022220932,-0.009006367363399992,-0.08335326740441618
no_bond,1.H20955+1.H00852,dividend_low_vol_100_tr+csi1000_tr,2,0.399606+1.H00016+1.H00905,10Y,2016-05-03,2026-04-30,3.742042170645461,0.16858787954164844,-0.20175278577317235,2020-10-23,0.8580914376228224,501,116,-0.012808144710778402,-0.5455910398269967,0.018529308729672955,-0.04707854379041032
no_bond,1.H20955+1.H00852,dividend_low_vol_100_tr+csi1000_tr,2,0.399606+1.H00016+1.H00905,5Y,2021-04-30,2026-04-30,1.6364278419811988,0.21398887319876936,-0.15370713025855764,2024-09-04,1.0309837997912805,235,63,-0.00839097134158684,-0.09236905351003655,0.045718570436166894,-0.029999878776652222
no_bond,1.H20955+1.H00852,dividend_low_vol_100_tr+csi1000_tr,2,0.399606+1.H00016+1.H00905,3Y,2023-05-04,2026-04-30,1.4422654241094666,0.3480567926884799,-0.15370713025855798,2024-09-04,1.4104664069262607,147,31,0.033296152035988236,0.1759524183371295,0.041881073902664157,0.10197155648391654
with_bond,1.H20955+1.H00905,dividend_low_vol_100_tr+csi500_tr,2,0.399606+1.H00016+1.H00852,10Y,2016-05-03,2026-04-30,3.1425334547744823,0.15288452182776324,-0.20692838897753052,2020-10-23,0.7996121677543122,587,30,-0.022602896153830043,-0.8867601171621775,-1.1102230246251565e-16,-0.09563301382083766
with_bond,1.H20955+1.H00905,dividend_low_vol_100_tr+csi500_tr,2,0.399606+1.H00016+1.H00852,5Y,2021-04-30,2026-04-30,1.2466019414599763,0.175749632167989,-0.1714908423318663,2022-05-24,0.888158103597337,293,19,-0.048487464786485024,-0.5029855049347249,0.00806290964596279,-0.20014185545554974
with_bond,1.H20955+1.H00905,dividend_low_vol_100_tr+csi500_tr,2,0.399606+1.H00016+1.H00852,3Y,2023-05-04,2026-04-30,1.2587802341049334,0.3132973514838766,-0.16732007630472145,2024-02-01,1.3020916033575163,171,10,-0.005627299893298687,-0.0290598518133538,0.0002039120341718048,-0.036553998671700505
no_bond,1.H20955+1.H00905,dividend_low_vol_100_tr+csi500_tr,2,0.399606+1.H00016+1.H00852,10Y,2016-05-03,2026-04-30,4.133556400638433,0.1779042120114538,-0.2202820945028452,2020-04-02,0.8846136277835712,515,104,-0.003491812240973058,-0.1540768098340246,1.1102230246251565e-16,-0.02055635362966146
no_bond,1.H20955+1.H00905,dividend_low_vol_100_tr+csi500_tr,2,0.399606+1.H00016+1.H00852,5Y,2021-04-30,2026-04-30,1.5277866844543384,0.2038132309868006,-0.18591729040142824,2023-03-08,0.9737952348098448,245,53,-0.0185666135535556,-0.20101021103689698,0.013508410293296302,-0.08718844375808799
no_bond,1.H20955+1.H00905,dividend_low_vol_100_tr+csi500_tr,2,0.399606+1.H00016+1.H00852,3Y,2023-05-04,2026-04-30,1.5230917703215487,0.36281771593949785,-0.1537071302585583,2024-09-04,1.4285362958184618,147,31,0.0480570752870062,0.25677876454921167,0.04188107390266382,0.1200414453761176
with_bond,0.399606+1.H00016,cyb_growth+sse50_tr,2,1.H20955+1.H00852+1.H00905,10Y,2016-05-03,2026-04-30,3.5764549053341623,0.16443774486573082,-0.19855750647281023,2021-02-01,0.9245592987125755,499,49,-0.011049673115862468,-0.4528386666024975,0.008370882504720178,0.0293141171374256
with_bond,0.399606+1.H00016,cyb_growth+sse50_tr,2,1.H20955+1.H00852+1.H00905,5Y,2021-04-30,2026-04-30,2.17562867853884,0.2600265153839765,-0.18009641110680952,2024-10-09,1.3648552444581379,233,30,0.03578941842950245,0.4260412321441387,-0.0005426591289804383,0.2765552854052511
with_bond,0.399606+1.H00016,cyb_growth+sse50_tr,2,1.H20955+1.H00852+1.H00905,3Y,2023-05-04,2026-04-30,1.4783812123672395,0.35469200945939083,-0.1800964111068094,2024-10-09,1.6560853681584635,141,13,0.03576735808221554,0.19054112644895227,-0.012572422767916147,0.31743976612924674
no_bond,0.399606+1.H00016,cyb_growth+sse50_tr,2,1.H20955+1.H00852+1.H00905,10Y,2016-05-03,2026-04-30,4.063490727608208,0.17628503111890304,-0.21262553599646528,2020-04-02,0.9578712909764938,439,113,-0.005110993133523811,-0.22414248286424954,0.007656558506380029,0.052701309563261134
no_bond,0.399606+1.H00016,cyb_growth+sse50_tr,2,1.H20955+1.H00852+1.H00905,5Y,2021-04-30,2026-04-30,2.1602177777102622,0.25880101884957574,-0.18236612024047694,2024-02-01,1.3251575619335951,195,53,0.03642117430921954,0.43142088221902686,0.017059580454247603,0.2641738833656624
no_bond,0.399606+1.H00016,cyb_growth+sse50_tr,2,1.H20955+1.H00852+1.H00905,3Y,2023-05-04,2026-04-30,1.4567620038239348,0.3507279079491723,-0.18236612024047683,2024-02-01,1.6143772839406487,119,34,0.03596726729668065,0.19044899805159776,0.013222083920745309,0.3058824334983046
with_bond,0.399606+1.H00852,cyb_growth+csi1000_tr,2,1.H20955+1.H00016+1.H00905,10Y,2016-05-03,2026-04-30,2.906068836662173,0.14612173088928793,-0.2317081208737367,2018-11-26,0.8454933255781929,503,32,-0.02936568709230536,-1.1232247352744866,-0.024779731896206303,-0.04975185599695697
with_bond,0.399606+1.H00852,cyb_growth+csi1000_tr,2,1.H20955+1.H00016+1.H00905,5Y,2021-04-30,2026-04-30,1.6340785820975388,0.21377241493193222,-0.2140550028036332,2024-11-18,1.1972574342847546,249,21,-0.010464682022541805,-0.11550886429716245,-0.03450125082580413,0.10895747523186783
with_bond,0.399606+1.H00852,cyb_growth+csi1000_tr,2,1.H20955+1.H00016+1.H00905,3Y,2023-05-04,2026-04-30,1.3375576374013343,0.32844290633582207,-0.21405500280363243,2024-11-18,1.6046229377223336,159,13,0.009518254958646777,0.04971755148304702,-0.04653101446473917,0.26597733569311677
no_bond,0.399606+1.H00852,cyb_growth+csi1000_tr,2,1.H20955+1.H00016+1.H00905,10Y,2016-05-03,2026-04-30,3.197377465447956,0.15440329223383298,-0.20273139084874647,2024-11-18,0.8682974738969886,455,106,-0.026992732018593868,-1.0902557450245016,0.01755070365409883,-0.036872507516244046
no_bond,0.399606+1.H00852,cyb_growth+csi1000_tr,2,1.H20955+1.H00016+1.H00905,5Y,2021-04-30,2026-04-30,1.6868405234102362,0.21859707560592967,-0.20273139084874647,2024-11-18,1.1918029898657905,215,57,-0.003782768934426528,-0.04195637208099923,-0.003305690154021934,0.13081931129785773
no_bond,0.399606+1.H00852,cyb_growth+csi1000_tr,2,1.H20955+1.H00016+1.H00905,3Y,2023-05-04,2026-04-30,1.3270652988711604,0.3264454823723957,-0.20273139084874592,2024-11-18,1.568563588752214,137,34,0.011684841719904027,0.06075229309882335,-0.007143186687523784,0.2600687383098699
with_bond,0.399606+1.H00905,cyb_growth+csi500_tr,2,1.H20955+1.H00016+1.H00852,10Y,2016-05-03,2026-04-30,3.0929454301525405,0.15149564530681392,-0.19918739464269575,2024-10-09,0.8542374687493494,509,32,-0.023991772674779366,-0.9363481417841193,0.007740994334834661,-0.04100771282580051
with_bond,0.399606+1.H00905,cyb_growth+csi500_tr,2,1.H20955+1.H00016+1.H00852,5Y,2021-04-30,2026-04-30,1.900357683138242,0.23737966612707884,-0.19918739464269586,2024-10-09,1.2574307308387231,245,21,0.013142569172604812,0.15077023674354084,-0.01963364266486678,0.16913077178583635
with_bond,0.399606+1.H00905,cyb_growth+csi500_tr,2,1.H20955+1.H00016+1.H00852,3Y,2023-05-04,2026-04-30,1.471605018702851,0.3534520102665353,-0.19918739464269575,2024-10-09,1.64117373995362,145,13,0.03452735888935998,0.18376493278456385,-0.03166340630380249,0.30252813792440314
no_bond,0.399606+1.H00905,cyb_growth+csi500_tr,2,1.H20955+1.H00016+1.H00852,10Y,2016-05-03,2026-04-30,3.6718903111485854,0.1668458321211106,-0.21262553599646528,2020-04-02,0.9071434074591465,457,93,-0.014550192131316253,-0.6157428993238723,0.007656558506380029,0.001973426045913773
no_bond,0.399606+1.H00905,cyb_growth+csi500_tr,2,1.H20955+1.H00016+1.H00852,5Y,2021-04-30,2026-04-30,1.904966733616246,0.23777274206118015,-0.18815464108287472,2023-03-10,1.2282751410504533,211,44,0.015392897520823956,0.17616983812501052,0.01127105961184982,0.16729146248252058
no_bond,0.399606+1.H00905,cyb_growth+csi500_tr,2,1.H20955+1.H00016+1.H00852,3Y,2023-05-04,2026-04-30,1.4244855561717569,0.34476625761511626,-0.1876495755535793,2024-10-09,1.5825396395854474,127,34,0.030005616962624604,0.1581725503994198,0.007938628607642828,0.27404478914310326
with_bond,1.H00016+1.H00852,sse50_tr+csi1000_tr,2,1.H20955+0.399606+1.H00905,10Y,2016-05-03,2026-04-30,4.600181390378229,0.18820663857712594,-0.20678637744623252,2020-10-23,0.9623943074170336,545,35,0.012719220595532654,0.5708878184415696,0.000142011531297892,0.0671491258418837
with_bond,1.H00016+1.H00852,sse50_tr+csi1000_tr,2,1.H20955+0.399606+1.H00905,5Y,2021-04-30,2026-04-30,1.74189171407283,0.22355093893170852,-0.1767320122637993,2024-02-01,1.0947904158542163,265,19,-0.000686158022765504,-0.0076957323218711515,0.0028217397140297695,0.006490456801329536
with_bond,1.H00016+1.H00852,sse50_tr+csi1000_tr,2,1.H20955+0.399606+1.H00905,3Y,2023-05-04,2026-04-30,1.2772647423492578,0.3168823228207214,-0.17673201226379898,2024-02-01,1.3432710791210396,173,10,-0.0020423285564539206,-0.01057534356902945,-0.009208023924905717,0.004625477091822816
no_bond,1.H00016+1.H00852,sse50_tr+csi1000_tr,2,1.H20955+0.399606+1.H00905,10Y,2016-05-03,2026-04-30,4.336806744812227,0.18249116908158625,-0.20448580956702844,2024-02-01,0.9218662486351988,487,99,0.0010951448291594001,0.049173534339769454,0.015796284935816862,0.016696267221966155
no_bond,1.H00016+1.H00852,sse50_tr+csi1000_tr,2,1.H20955+0.399606+1.H00905,5Y,2021-04-30,2026-04-30,1.6930878662201105,0.2191633142398599,-0.20448580956702855,2024-02-01,1.0595892805474532,227,50,-0.0032165303004962897,-0.03570902927112485,-0.005060108872304014,-0.0013943980204795814
no_bond,1.H00016+1.H00852,sse50_tr+csi1000_tr,2,1.H20955+0.399606+1.H00905,3Y,2023-05-04,2026-04-30,1.2750639285742351,0.3164565047923351,-0.20448580956702855,2024-02-01,1.3251859783010684,149,29,0.0016958641398434615,0.008750922801898042,-0.008897605405806419,0.016691127858724286
with_bond,1.H00016+1.H00905,sse50_tr+csi500_tr,2,1.H20955+0.399606+1.H00852,10Y,2016-05-03,2026-04-30,6.367306531020732,0.22127667704236753,-0.20678637744623252,2020-10-23,1.0870476167028211,549,35,0.045789259060774246,2.3380129590840726,0.000142011531297892,0.19180243512767126
with_bond,1.H00016+1.H00905,sse50_tr+csi500_tr,2,1.H20955+0.399606+1.H00852,5Y,2021-04-30,2026-04-30,2.3787714844478085,0.27575195537620845,-0.1720396357796895,2023-03-10,1.2765574375011068,269,19,0.05151485842173442,0.6291840380531073,0.007514116198139575,0.18825747844822005
with_bond,1.H00016+1.H00905,sse50_tr+csi500_tr,2,1.H20955+0.399606+1.H00852,3Y,2023-05-04,2026-04-30,1.7317981041750032,0.3995308115987526,-0.16752398833889326,2024-02-01,1.5787726735004366,167,10,0.0806061602215773,0.443958018256716,0.0,0.2401270714712198
no_bond,1.H00016+1.H00905,sse50_tr+csi500_tr,2,1.H20955+0.399606+1.H00852,10Y,2016-05-03,2026-04-30,6.340938780861275,0.2208384540433621,-0.2202820945028453,2020-04-02,1.0651379215925576,491,89,0.03944242979093526,2.053305570388817,0.0,0.15996794017932492
no_bond,1.H00016+1.H00905,sse50_tr+csi500_tr,2,1.H20955+0.399606+1.H00852,5Y,2021-04-30,2026-04-30,2.3249996212554294,0.27166467640695546,-0.20566389138720642,2023-03-10,1.2376316076986205,231,40,0.049284831866599266,0.596202725764194,-0.006238190692481882,0.17664792913068772
no_bond,1.H00016+1.H00905,sse50_tr+csi500_tr,2,1.H20955+0.399606+1.H00852,3Y,2023-05-04,2026-04-30,1.7291580163598148,0.39907826892236287,-0.19558820416122213,2024-02-01,1.558347813097392,143,29,0.08431762826987121,0.46284501058747773,0.0,0.24985296265504786
with_bond,1.H00852+1.H00905,csi1000_tr+csi500_tr,2,1.H20955+0.399606+1.H00016,10Y,2016-05-03,2026-04-30,3.889541703094242,0.17217627721649942,-0.2069283889775304,2020-10-23,0.8886869943837568,543,29,-0.0033111407650938673,-0.13975186884241797,0.0,-0.006558187191393117
