date,position,asset_return,base_weight,trade_count,stop_exit_count,return_1x,nav_1x,realized_vol_for_scale,scale_raw,weight,return_tv25,nav_tv25
2023-08-09,159985.SZ,0.021008403361344463,1.0,120,21,0.021008403361344463,10.294466448959563,0.27546385699396214,0.9075600796712859,0.9075600796712859,0.01906638822838829,12.85639133204761
2023-08-10,159985.SZ,0.00137174211248281,1.0,120,21,0.00137174211248281,10.308587802113141,0.27602673638605224,0.90570936451007,0.90570936451007,0.0012423996769685068,12.872364108485527
2023-08-11,159985.SZ,0.007305936073059405,1.0,120,21,0.007305936073059405,10.3839016855989,0.27513974257074925,0.9086291848067538,0.9086291848067538,0.006638386738314223,12.95781583967405
2023-08-14,159985.SZ,0.005893019038984537,1.0,120,21,0.005893019038984537,10.445094215931078,0.2751043934877597,0.9087459376075843,0.9087459376075843,0.0053552571119213485,13.02720827510443
2023-08-15,159985.SZ,0.008111762054979765,1.0,120,21,0.008111762054979765,10.529822334852557,0.2750887787979414,0.9087975201766785,0.9087975201766785,0.0073719492398288886,13.12324419324518
2023-08-16,159985.SZ,-0.0013410818059902407,1.0,120,21,-0.0013410818059902407,10.515700981698977,0.2746853646890435,0.9101322172115415,0.9101322172115415,-0.001220561757547956,13.107226463247942
2023-08-17,159985.SZ,0.01611459265890791,1.0,120,21,0.01611459265890791,10.685157219541933,0.27499880602239524,0.9090948561414504,0.9090948561414504,0.01464969329502796,13.299243310882998
2023-08-18,159985.SZ,0.011453744493391982,1.0,120,21,0.011453744493391982,10.80754228020629,0.275398902384953,0.9077741335749756,0.9077741335749756,0.010397412983678054,13.437521035956667
2023-08-21,159985.SZ,0.020470383275261295,1.0,120,21,0.020470383275261295,11.028776812945704,0.2741450153969386,0.9119261192402909,0.9119261192402909,0.018667477179570388,13.688365653245384
2023-08-22,159985.SZ,-0.030303030303030387,1.0,120,21,-0.030303030303030387,10.694571454977652,0.2752260734409624,0.9083441727537724,0.9083441727537724,-0.027525580992538635,13.311585435801494
2023-08-23,159985.SZ,-0.0008802816901407606,1.0,120,21,-0.0008802816901407606,10.685157219541933,0.282733319038678,0.8842254632387346,0.8842254632387346,-0.0007783674852452903,13.3012241305212
2023-08-24,159985.SZ,0.007048458149779835,1.0,120,21,0.007048458149779835,10.760471103027692,0.2823164588914124,0.8855310844493048,0.8855310844493048,0.006241628789070078,13.384245433984136
2023-08-25,159985.SZ,0.0209973753280841,1.0,120,21,0.0209973753280841,10.986412753484968,0.28196694786418164,0.8866287410410261,0.8866287410410261,0.018616876452305108,13.633418277635947
2023-08-28,159985.SZ,0.009854327335047097,1.0,120,21,0.009854327335047097,11.094676460995744,0.28313126617543055,0.8829826651680986,0.8829826651680986,0.008701200213738733,13.752045379667303
2023-08-29,159985.SZ,0.0063640220619429755,1.0,120,21,0.0063640220619429755,11.165283226763641,0.2816614545894974,0.8875903888388214,0.8875903888388214,0.005648644816538803,13.829725799517966
2023-08-30,159985.SZ,-0.002107925801011712,1.0,120,21,-0.002107925801011712,11.141747638174342,0.2811777584795516,0.8891172664290977,0.8891172664290977,-0.0018741932260308994,13.803806221106646
2023-08-31,159985.SZ,0.0021123785382339832,1.0,120,21,0.0021123785382339832,11.165283226763641,0.28152400611197603,0.8880237371322524,0.8880237371322524,0.0018758422837605062,13.829699984493034
2023-09-01,159985.SZ,-0.010539629005059004,1.0,120,21,-0.010539629005059004,11.047605283817145,0.28076236076521,0.8904327464644191,0.8904327464644191,-0.009384830801690742,13.699910590100423
2023-09-04,159985.SZ,-0.018321261184490956,1.0,120,21,-0.018321261184490956,10.84519922194917,0.28236210542116863,0.885387929896267,0.885387929896267,-0.016221423513225277,13.477678538325083
2023-09-05,159985.SZ,0.010850694444444642,1.0,120,21,0.010850694444444642,10.96287716489567,0.2852492970982132,0.8764263489628281,0.8764263489628281,0.00950983451565586,13.605849030879762
2023-09-06,159985.SZ,0.01545727780163153,1.0,120,21,0.01545727780163153,11.132333402738624,0.2837057376096027,0.8811947269956734,0.8811947269956734,0.013620871692504978,13.791172554796969
2023-09-07,159985.SZ,0.0012684989429174731,1.0,120,21,0.0012684989429174731,11.146454755892202,0.28387405023112383,0.880672255165471,0.880672255165471,0.001117131824734147,13.806579112558332
2023-09-08,159985.SZ,-0.01858108108108114,1.0,120,21,-0.01858108108108114,10.939341576306367,0.2838985760384201,0.880596174480873,0.880596174480873,-0.016362428917718976,13.580669943232232
2023-09-11,159985.SZ,0.009896729776248003,1.0,120,21,0.009896729776248003,11.047605283817147,0.2820732106683056,0.88629472968271,0.88629472968271,0.00877141944178255,13.69979169560473
2023-09-12,159985.SZ,-0.011077971878994397,1.0,120,21,-0.011077971878994397,10.92522022315279,0.2627116787852413,0.9516135755973273,0.9516135755973273,-0.0105419484301365,13.555369198046053
2023-09-13,159985.SZ,-0.01594140456699711,1.0,120,21,-0.01594140456699711,10.751056867591974,0.22537218047897406,1.1092762179816757,1.1092762179816757,-0.017683420967394364,13.315663898148554
2023-09-14,518880.SH,-0.005253940455341555,1.0,121,21,-0.005253940455341555,10.694571454977654,0.22798878865768868,1.0965451479956754,1.0965451479956754,-0.005761182914162971,13.238949922807803
2023-09-15,518880.SH,-0.009581881533100911,1.0,121,21,-0.009581881533100911,10.592097338248776,0.22844823166336709,1.0943398343673363,1.0943398343673363,-0.01048583464986109,13.10012848297945
2023-09-18,518880.SH,-0.00527704485488123,1.0,121,21,-0.00527704485488123,10.536202365487568,0.2273305158279458,1.0997203744930202,1.0997203744930202,-0.005803273744026452,13.024104851310803
2023-09-19,518880.SH,0.007736516357206069,1.0,121,21,0.007736516357206069,10.617715867430997,0.22699451276299465,1.1013482086283972,1.1013482086283972,0.008520598431033198,13.135078018672495
2023-09-20,518880.SH,0.007677122175915763,1.0,121,21,0.007677122175915763,10.699229369374423,0.2271166903987584,1.1007557373307282,1.1007557373307282,0.00845063628132824,13.246077785535164
2023-09-21,518880.SH,-0.0030474531998259113,1.0,121,21,-0.0030474531998259113,10.666623968597053,0.21978172002761978,1.137492235335053,1.137492235335053,-0.0034664543523489355,13.200160861543942
2023-09-22,518880.SH,-0.004148471615720517,1.0,121,21,-0.004148471615720517,10.622373781827763,0.22003210999862816,1.136197803136818,1.136197803136818,-0.004713484336157097,13.1379421100883
2023-09-25,518880.SH,0.004385003288752465,1.0,121,21,0.004385003288752465,10.668952925795436,0.22006293361049756,1.1360386590251035,1.1360386590251035,0.004981533255975019,13.20338920562478
2023-09-26,518880.SH,-0.0006548788474132206,1.0,121,21,-0.0006548788474132206,10.661966054200285,0.21993220902653188,1.136713904282391,1.136713904282391,-0.0007444098914750341,13.193560472099119
2023-09-27,518880.SH,-0.014635211882918386,1.0,121,21,-0.014635211882918386,10.505925921908581,0.2193483444192209,1.1397396258537393,1.1397396258537393,-0.0166803309157276,12.973487517467841
2023-09-28,518880.SH,-0.01662602527155843,1.0,121,21,-0.01662602527155843,10.331254132029809,0.22151154991869926,1.128609321237456,1.128609321237456,-0.01876428709661035,12.730049273045784
2023-10-09,518880.SH,-0.0069882777276825125,1.0,121,21,-0.0069882777276825125,10.259056458879916,0.22412856825702698,1.1154312096140466,1.1154312096140466,-0.007794943078907806,12.6308192635707
2023-10-10,CASH,0.0,1.0,122,22,0.0,10.259056458879916,0.22474668188450522,1.1123634747518638,1.1123634747518638,0.0,12.6308192635707
2023-10-11,CASH,0.0,0.0,122,22,0.0,10.259056458879916,0.22028696890631178,1.134883289924994,0.0,0.0,12.6308192635707
2023-10-12,CASH,0.0,0.0,122,22,0.0,10.259056458879916,0.21889850774303374,1.1420817920489275,0.0,0.0,12.6308192635707
2023-10-13,CASH,0.0,0.0,122,22,0.0,10.259056458879916,0.2183592949620705,1.1449020296728178,0.0,0.0,12.6308192635707
2023-10-16,CASH,0.0,0.0,122,22,0.0,10.259056458879916,0.21538844113894517,1.160693668973291,0.0,0.0,12.6308192635707
2023-10-17,CASH,0.0,0.0,122,22,0.0,10.259056458879916,0.21541440708736193,1.1605537595199553,0.0,0.0,12.6308192635707
2023-10-18,CASH,0.0,0.0,122,22,0.0,10.259056458879916,0.2153209340254423,1.161057568004326,0.0,0.0,12.6308192635707
