date,position_before,position,return,gross_return,turnover,cost,stop_triggered,trade_count,stop_exit_count,nav,signal
2015-02-17,159915.SZ,159915.SZ,-0.005464480874316946,-0.005464480874316946,0.0,article_cost_0p015pct,False,1,0,1.0955611077664058,weighted_slope
2015-02-25,159915.SZ,159915.SZ,-0.009340659340659418,-0.009340659340659418,0.0,article_cost_0p015pct,False,1,0,1.0853278446718844,weighted_slope
2015-02-26,159915.SZ,159915.SZ,0.006100942872989457,0.006100942872989457,0.0,article_cost_0p015pct,False,1,0,1.0919493678506924,weighted_slope
2015-02-27,159915.SZ,159915.SZ,0.027012127894156412,0.027012127894156412,0.0,article_cost_0p015pct,False,1,0,1.1214452438290186,weighted_slope
2015-03-02,159915.SZ,159915.SZ,0.027375201288244666,0.027375201288244666,0.0,article_cost_0p015pct,False,1,0,1.1521450331125827,weighted_slope
2015-03-03,159915.SZ,513030.SH,-0.016491588296760673,-0.016196447230929945,2.0,article_cost_0p015pct,False,2,0,1.1331443315683323,weighted_slope
2015-03-04,513030.SH,513030.SH,-0.001974333662388972,-0.001974333662388972,0.0,article_cost_0p015pct,False,2,0,1.1309071265701716,weighted_slope
2015-03-05,513030.SH,513030.SH,0.0009891196834819205,0.0009891196834819205,0.0,article_cost_0p015pct,False,2,0,1.1320257290692521,weighted_slope
2015-03-06,513030.SH,513030.SH,0.0019762845849802257,0.0019762845849802257,0.0,article_cost_0p015pct,False,2,0,1.1342629340674126,weighted_slope
2015-03-09,513030.SH,513030.SH,-0.0039447731755424265,-0.0039447731755424265,0.0,article_cost_0p015pct,False,2,0,1.1297885240710914,weighted_slope
2015-03-10,513030.SH,513030.SH,-0.007920792079207928,-0.007920792079207928,0.0,article_cost_0p015pct,False,2,0,1.120839704078449,weighted_slope
2015-03-11,513030.SH,513030.SH,-0.019960079840319334,-0.019960079840319334,0.0,article_cost_0p015pct,False,2,0,1.0984676540968432,weighted_slope
2015-03-12,513030.SH,513030.SH,0.01731160896130346,0.01731160896130346,0.0,article_cost_0p015pct,False,2,0,1.1174838965812082,weighted_slope
2015-03-13,513030.SH,513030.SH,0.002002002002001957,0.002002002002001957,0.0,article_cost_0p015pct,False,2,0,1.1197211015793687,weighted_slope
2015-03-16,513030.SH,513030.SH,0.003996003996004083,0.003996003996004083,0.0,article_cost_0p015pct,False,2,0,1.1241955115756899,weighted_slope
2015-03-17,513030.SH,513030.SH,0.014925373134328401,0.014925373134328401,0.0,article_cost_0p015pct,False,2,0,1.1409745490618943,weighted_slope
2015-03-18,513030.SH,513030.SH,-0.006862745098039302,-0.006862745098039302,0.0,article_cost_0p015pct,False,2,0,1.1331443315683323,weighted_slope
2015-03-19,513030.SH,513030.SH,0.0,0.0,0.0,article_cost_0p015pct,False,2,0,1.1331443315683323,weighted_slope
2015-03-20,513030.SH,513030.SH,-0.001974333662388972,-0.001974333662388972,0.0,article_cost_0p015pct,False,2,0,1.1309071265701716,weighted_slope
2015-03-23,513030.SH,513030.SH,0.011869436201780381,0.011869436201780381,0.0,article_cost_0p015pct,False,2,0,1.144330356559135,weighted_slope
2015-03-24,513030.SH,513030.SH,-0.003910068426197455,-0.003910068426197455,0.0,article_cost_0p015pct,False,2,0,1.1398559465628137,weighted_slope
2015-03-25,513030.SH,513030.SH,0.013738959764475034,0.013738959764475034,0.0,article_cost_0p015pct,False,2,0,1.1555163815499379,weighted_slope
2015-03-26,513030.SH,513030.SH,-0.007744433688286589,-0.007744433688286589,0.0,article_cost_0p015pct,False,2,0,1.1465675615572954,weighted_slope
2015-03-27,513030.SH,513030.SH,0.0009756097560975618,0.0009756097560975618,0.0,article_cost_0p015pct,False,2,0,1.1476861640563758,weighted_slope
2015-03-30,513030.SH,513030.SH,-0.006822612085770063,-0.006822612085770063,0.0,article_cost_0p015pct,False,2,0,1.1398559465628137,weighted_slope
2015-03-31,513030.SH,513030.SH,0.0029440628066732533,0.0029440628066732533,0.0,article_cost_0p015pct,False,2,0,1.1432117540600546,weighted_slope
2015-04-01,513030.SH,513030.SH,-0.005870841487279899,-0.005870841487279899,0.0,article_cost_0p015pct,False,2,0,1.136500139065573,weighted_slope
2015-04-02,513030.SH,513030.SH,0.004921259842519676,0.004921259842519676,0.0,article_cost_0p015pct,False,2,0,1.1420931515609742,weighted_slope
2015-04-03,513030.SH,513030.SH,-0.0009794319294808007,-0.0009794319294808007,0.0,article_cost_0p015pct,False,2,0,1.140974549061894,weighted_slope
2015-04-07,513030.SH,513030.SH,0.006862745098039191,0.006862745098039191,0.0,article_cost_0p015pct,False,2,0,1.1488047665554562,weighted_slope
2015-04-08,513030.SH,513030.SH,-0.0009737098344692052,-0.0009737098344692052,0.0,article_cost_0p015pct,False,2,0,1.147686164056376,weighted_slope
2015-04-09,513030.SH,513030.SH,-0.006822612085770063,-0.006822612085770063,0.0,article_cost_0p015pct,False,2,0,1.139855946562814,weighted_slope
2015-04-10,513030.SH,513030.SH,0.012757605495584023,0.012757605495584023,0.0,article_cost_0p015pct,False,2,0,1.154397779050858,weighted_slope
2015-04-13,513030.SH,513030.SH,-0.0009689922480621282,-0.0009689922480621282,0.0,article_cost_0p015pct,False,2,0,1.1532791765517776,weighted_slope
2015-04-14,513030.SH,513030.SH,-0.008729388942773864,-0.008729388942773864,0.0,article_cost_0p015pct,False,2,0,1.143211754060055,weighted_slope
2015-04-15,513030.SH,513030.SH,-0.008806262230919848,-0.008806262230919848,0.0,article_cost_0p015pct,False,2,0,1.1331443315683323,weighted_slope
2015-04-16,513030.SH,159915.SZ,0.0016737413622902597,0.001974333662388972,2.0,article_cost_0p015pct,False,3,0,1.1350409221055229,weighted_slope
2015-04-17,159915.SZ,159915.SZ,-0.0029473684210526985,-0.0029473684210526985,0.0,article_cost_0p015pct,False,3,0,1.1316955383351066,weighted_slope
2015-04-20,159915.SZ,159915.SZ,-0.021114864864864802,-0.021114864864864802,0.0,article_cost_0p015pct,False,3,0,1.1077999399749905,weighted_slope
2015-04-21,159915.SZ,159915.SZ,0.0767903364969802,0.0767903364969802,0.0,article_cost_0p015pct,False,3,0,1.1928682701370044,weighted_slope
2015-04-22,159915.SZ,159915.SZ,0.011217948717948678,0.011217948717948678,0.0,article_cost_0p015pct,False,3,0,1.2062498052186694,weighted_slope
2015-04-23,159915.SZ,159915.SZ,0.02931854199683026,0.02931854199683026,0.0,article_cost_0p015pct,False,3,0,1.2416152907916413,weighted_slope
2015-04-24,159915.SZ,159915.SZ,0.018090839107005374,0.018090839107005374,0.0,article_cost_0p015pct,False,3,0,1.2640771532501507,weighted_slope
2015-04-27,159915.SZ,159915.SZ,0.001890359168241984,0.001890359168241984,0.0,article_cost_0p015pct,False,3,0,1.2664667130861624,weighted_slope
2015-04-28,159915.SZ,159915.SZ,-0.02528301886792439,-0.02528301886792439,0.0,article_cost_0p015pct,False,3,0,1.2344466112836068,weighted_slope
2015-04-29,159915.SZ,518880.SH,0.05388428184281824,0.054200542005419905,2.0,article_cost_0p015pct,False,4,0,1.3009638804059245,weighted_slope
2015-04-30,518880.SH,518880.SH,-0.0008295313148072303,-0.0008295313148072303,0.0,article_cost_0p015pct,False,4,0,1.2998846901276946,weighted_slope
2015-05-04,518880.SH,518880.SH,-0.00996264009962644,-0.00996264009962644,0.0,article_cost_0p015pct,False,4,0,1.286934406788938,weighted_slope
2015-05-05,518880.SH,518880.SH,-0.0016771488469601303,-0.0016771488469601303,0.0,article_cost_0p015pct,False,4,0,1.2847760262324786,weighted_slope
2015-05-06,518880.SH,518880.SH,0.0008399832003360697,0.0008399832003360697,0.0,article_cost_0p015pct,False,4,0,1.2858552165107084,weighted_slope
2015-05-07,518880.SH,CASH,-0.010639404112463224,-0.010490977759127107,1.0,article_cost_0p015pct,False,5,0,1.2721744832321322,weighted_slope
2015-05-08,CASH,CASH,0.0,0.0,0.0,article_cost_0p015pct,False,5,0,1.2721744832321322,weighted_slope
2015-05-11,CASH,CASH,0.0,0.0,0.0,article_cost_0p015pct,False,5,0,1.2721744832321322,weighted_slope
2015-05-12,CASH,CASH,0.0,0.0,0.0,article_cost_0p015pct,False,5,0,1.2721744832321322,weighted_slope
2015-05-13,CASH,CASH,0.0,0.0,0.0,article_cost_0p015pct,False,5,0,1.2721744832321322,weighted_slope
2015-05-14,CASH,CASH,0.0,0.0,0.0,article_cost_0p015pct,False,5,0,1.2721744832321322,weighted_slope
2015-05-15,CASH,513030.SH,-0.00014999999999998348,0.0,1.0,article_cost_0p015pct,False,6,0,1.2719836570596474,weighted_slope
2015-05-18,513030.SH,518880.SH,-0.005162354085603171,-0.004863813229572078,2.0,article_cost_0p015pct,False,7,0,1.265417227030805,weighted_slope
2015-05-19,518880.SH,518880.SH,-0.0077487765089723215,-0.0077487765089723215,0.0,article_cost_0p015pct,False,7,0,1.25561179174794,weighted_slope
2015-05-20,518880.SH,513030.SH,-0.011394081381010945,-0.011097410604192226,2.0,article_cost_0p015pct,False,8,0,1.2413052488098069,weighted_slope
2015-05-21,513030.SH,513030.SH,0.0067829457364338985,0.0067829457364338985,0.0,article_cost_0p015pct,False,8,0,1.2497249549548344,weighted_slope
2015-05-22,513030.SH,513030.SH,-0.010587102983637964,-0.010587102983637964,0.0,article_cost_0p015pct,False,8,0,1.2364939881555053,weighted_slope
2015-05-25,513030.SH,513030.SH,-0.004863813229572078,-0.004863813229572078,0.0,article_cost_0p015pct,False,8,0,1.2304799123376282,weighted_slope
2015-05-26,513030.SH,513030.SH,-0.0009775171065492527,-0.0009775171065492527,0.0,article_cost_0p015pct,False,8,0,1.229277097174053,weighted_slope
2015-05-27,513030.SH,513030.SH,-0.008806262230919848,-0.008806262230919848,0.0,article_cost_0p015pct,False,8,0,1.2184517607018743,weighted_slope
2015-05-28,513030.SH,513030.SH,0.000987166831194486,0.000987166831194486,0.0,article_cost_0p015pct,False,8,0,1.2196545758654498,weighted_slope
2015-05-29,513030.SH,513030.SH,-0.007889546351084853,-0.007889546351084853,0.0,article_cost_0p015pct,False,8,0,1.2100320545568466,weighted_slope
2015-06-01,513030.SH,518880.SH,-0.007256163021868822,-0.006958250497017926,2.0,article_cost_0p015pct,False,9,0,1.2012518647072952,weighted_slope
2015-06-02,518880.SH,CASH,-0.002665345911949557,-0.00251572327044014,1.0,article_cost_0p015pct,False,10,0,1.1980501129604757,weighted_slope
2015-06-03,CASH,CASH,0.0,0.0,0.0,article_cost_0p015pct,False,10,0,1.1980501129604757,weighted_slope
2015-06-04,CASH,CASH,0.0,0.0,0.0,article_cost_0p015pct,False,10,0,1.1980501129604757,weighted_slope
2015-06-05,CASH,CASH,0.0,0.0,0.0,article_cost_0p015pct,False,10,0,1.1980501129604757,weighted_slope
2015-06-08,CASH,CASH,0.0,0.0,0.0,article_cost_0p015pct,False,10,0,1.1980501129604757,weighted_slope
2015-06-09,CASH,CASH,0.0,0.0,0.0,article_cost_0p015pct,False,10,0,1.1980501129604757,weighted_slope
2015-06-10,CASH,CASH,0.0,0.0,0.0,article_cost_0p015pct,False,10,0,1.1980501129604757,weighted_slope
2015-06-11,CASH,CASH,0.0,0.0,0.0,article_cost_0p015pct,False,10,0,1.1980501129604757,weighted_slope
2015-06-12,CASH,CASH,0.0,0.0,0.0,article_cost_0p015pct,False,10,0,1.1980501129604757,weighted_slope
2015-06-15,CASH,159915.SZ,-0.00014999999999998348,0.0,1.0,article_cost_0p015pct,False,11,0,1.1978704054435316,weighted_slope
2015-06-16,159915.SZ,159915.SZ,-0.031321184510250566,-0.031321184510250566,0.0,article_cost_0p015pct,False,11,0,1.160351685455266,weighted_slope
2015-06-17,159915.SZ,159915.SZ,0.04203409758965315,0.04203409758965315,0.0,article_cost_0p015pct,False,11,0,1.2091260214400112,weighted_slope
2015-06-18,159915.SZ,CASH,-0.06361015514809587,-0.06346967559943584,1.0,article_cost_0p015pct,True,12,1,1.1322133276226123,weighted_slope
2015-06-19,CASH,CASH,0.0,0.0,0.0,article_cost_0p015pct,False,12,1,1.1322133276226123,weighted_slope
2015-06-23,CASH,CASH,0.0,0.0,0.0,article_cost_0p015pct,False,12,1,1.1322133276226123,weighted_slope
2015-06-24,CASH,CASH,0.0,0.0,0.0,article_cost_0p015pct,False,12,1,1.1322133276226123,weighted_slope
2015-06-25,CASH,CASH,0.0,0.0,0.0,article_cost_0p015pct,False,12,1,1.1322133276226123,weighted_slope
2015-06-26,CASH,CASH,0.0,0.0,0.0,article_cost_0p015pct,False,12,1,1.1322133276226123,weighted_slope
2015-06-29,CASH,CASH,0.0,0.0,0.0,article_cost_0p015pct,False,12,1,1.1322133276226123,weighted_slope
2015-06-30,CASH,CASH,0.0,0.0,0.0,article_cost_0p015pct,False,12,1,1.1322133276226123,weighted_slope
2015-07-01,CASH,CASH,0.0,0.0,0.0,article_cost_0p015pct,False,12,1,1.1322133276226123,weighted_slope
2015-07-02,CASH,CASH,0.0,0.0,0.0,article_cost_0p015pct,False,12,1,1.1322133276226123,weighted_slope
2015-07-03,CASH,CASH,0.0,0.0,0.0,article_cost_0p015pct,False,12,1,1.1322133276226123,weighted_slope
2015-07-06,CASH,CASH,0.0,0.0,0.0,article_cost_0p015pct,False,12,1,1.1322133276226123,weighted_slope
2015-07-07,CASH,CASH,0.0,0.0,0.0,article_cost_0p015pct,False,12,1,1.1322133276226123,weighted_slope
2015-07-08,CASH,CASH,0.0,0.0,0.0,article_cost_0p015pct,False,12,1,1.1322133276226123,weighted_slope
2015-07-09,CASH,CASH,0.0,0.0,0.0,article_cost_0p015pct,False,12,1,1.1322133276226123,weighted_slope
2015-07-10,CASH,CASH,0.0,0.0,0.0,article_cost_0p015pct,False,12,1,1.1322133276226123,weighted_slope
2015-07-13,CASH,CASH,0.0,0.0,0.0,article_cost_0p015pct,False,12,1,1.1322133276226123,weighted_slope
2015-07-14,CASH,CASH,0.0,0.0,0.0,article_cost_0p015pct,False,12,1,1.1322133276226123,weighted_slope
2015-07-15,CASH,CASH,0.0,0.0,0.0,article_cost_0p015pct,False,12,1,1.1322133276226123,weighted_slope
2015-07-16,CASH,CASH,0.0,0.0,0.0,article_cost_0p015pct,False,12,1,1.1322133276226123,weighted_slope
2015-07-17,CASH,CASH,0.0,0.0,0.0,article_cost_0p015pct,False,12,1,1.1322133276226123,weighted_slope
2015-07-20,CASH,CASH,0.0,0.0,0.0,article_cost_0p015pct,False,12,1,1.1322133276226123,weighted_slope
2015-07-21,CASH,CASH,0.0,0.0,0.0,article_cost_0p015pct,False,12,1,1.1322133276226123,weighted_slope
2015-07-22,CASH,CASH,0.0,0.0,0.0,article_cost_0p015pct,False,12,1,1.1322133276226123,weighted_slope
2015-07-23,CASH,159915.SZ,-0.00014999999999998348,0.0,1.0,article_cost_0p015pct,False,13,1,1.1320434956234688,weighted_slope
2015-07-24,159915.SZ,159915.SZ,-0.028368794326240954,-0.028368794326240954,0.0,article_cost_0p015pct,False,13,1,1.0999287865277678,weighted_slope
2015-07-27,159915.SZ,CASH,-0.10013499999999997,-0.09999999999999998,1.0,article_cost_0p015pct,True,14,2,0.9897874174888098,weighted_slope
2015-07-28,CASH,CASH,0.0,0.0,0.0,article_cost_0p015pct,False,14,2,0.9897874174888098,weighted_slope
2015-07-29,CASH,CASH,0.0,0.0,0.0,article_cost_0p015pct,False,14,2,0.9897874174888098,weighted_slope
2015-07-30,CASH,CASH,0.0,0.0,0.0,article_cost_0p015pct,False,14,2,0.9897874174888098,weighted_slope
2015-07-31,CASH,CASH,0.0,0.0,0.0,article_cost_0p015pct,False,14,2,0.9897874174888098,weighted_slope
2015-08-03,CASH,159915.SZ,-0.00014999999999998348,0.0,1.0,article_cost_0p015pct,False,15,2,0.9896389493761866,weighted_slope
2015-08-04,159915.SZ,159915.SZ,0.09017857142857144,0.09017857142857144,0.0,article_cost_0p015pct,False,15,2,1.0788831760610034,weighted_slope
2015-08-05,159915.SZ,CASH,-0.03454287469287476,-0.03439803439803446,1.0,article_cost_0p015pct,False,16,2,1.0416154497020773,weighted_slope
2015-08-06,CASH,CASH,0.0,0.0,0.0,article_cost_0p015pct,False,16,2,1.0416154497020773,weighted_slope
2015-08-07,CASH,CASH,0.0,0.0,0.0,article_cost_0p015pct,False,16,2,1.0416154497020773,weighted_slope
2015-08-10,CASH,CASH,0.0,0.0,0.0,article_cost_0p015pct,False,16,2,1.0416154497020773,weighted_slope
2015-08-11,CASH,513030.SH,-0.00014999999999998348,0.0,1.0,article_cost_0p015pct,False,17,2,1.041459207384622,weighted_slope
2015-08-12,513030.SH,513030.SH,-0.01664932362122795,-0.01664932362122795,0.0,article_cost_0p015pct,False,17,2,1.0241196160025678,weighted_slope
2015-08-13,513030.SH,513030.SH,-0.004232804232804255,-0.004232804232804255,0.0,article_cost_0p015pct,False,17,2,1.0197847181570543,weighted_slope
2015-08-14,513030.SH,518880.SH,0.007136663124335918,0.007438894792773709,2.0,article_cost_0p015pct,False,18,2,1.027062578149887,weighted_slope
2015-08-17,518880.SH,518880.SH,0.0008699434536756367,0.0008699434536756367,0.0,article_cost_0p015pct,False,18,2,1.0279560645162638,weighted_slope
2015-08-18,518880.SH,518880.SH,0.0004345936549325913,0.0004345936549325913,0.0,article_cost_0p015pct,False,18,2,1.028402807699452,weighted_slope
2015-08-19,518880.SH,518880.SH,0.0034752389226759828,0.0034752389226759828,0.0,article_cost_0p015pct,False,18,2,1.0319767531649584,weighted_slope
2015-08-20,518880.SH,518880.SH,0.01558441558441559,0.01558441558441559,0.0,article_cost_0p015pct,False,18,2,1.048059507759737,weighted_slope
2015-08-21,518880.SH,518880.SH,0.018755328218243772,0.018755328218243772,0.0,article_cost_0p015pct,False,18,2,1.067716207820022,weighted_slope
2015-08-24,518880.SH,518880.SH,-0.003765690376569153,-0.003765690376569153,0.0,article_cost_0p015pct,False,18,2,1.063695519171327,weighted_slope
2015-08-25,518880.SH,518880.SH,-0.005459890802183898,-0.005459890802183898,0.0,article_cost_0p015pct,False,18,2,1.0578878577898794,weighted_slope
2015-08-26,518880.SH,518880.SH,-0.008023648648648463,-0.008023648648648463,0.0,article_cost_0p015pct,False,18,2,1.049399737309302,weighted_slope
2015-08-27,518880.SH,518880.SH,-0.011494252873563315,-0.011494252873563315,0.0,article_cost_0p015pct,False,18,2,1.037337671363218,weighted_slope
2015-08-28,518880.SH,518880.SH,0.004737295434969813,0.004737295434969813,0.0,article_cost_0p015pct,False,18,2,1.0422518463782893,weighted_slope
2015-08-31,518880.SH,518880.SH,0.002571795970852886,0.002571795970852886,0.0,article_cost_0p015pct,False,18,2,1.0449323054774189,weighted_slope
2015-09-01,518880.SH,518880.SH,0.006412997007268162,0.006412997007268162,0.0,article_cost_0p015pct,False,18,2,1.0516334532252434,weighted_slope
2015-09-02,518880.SH,518880.SH,-0.0012744265080714134,-0.0012744265080714134,0.0,article_cost_0p015pct,False,18,2,1.0502932236756783,weighted_slope
2015-09-07,518880.SH,518880.SH,-0.0161633347511696,-0.0161633347511696,0.0,article_cost_0p015pct,False,18,2,1.0333169827145232,weighted_slope
2015-09-08,518880.SH,518880.SH,-0.004323389537397415,-0.004323389537397415,0.0,article_cost_0p015pct,False,18,2,1.02884955088264,weighted_slope
2015-09-09,518880.SH,518880.SH,0.004342162396873794,0.004342162396873794,0.0,article_cost_0p015pct,False,18,2,1.0333169827145232,weighted_slope
2015-09-10,518880.SH,518880.SH,-0.011673151750972832,-0.011673151750972832,0.0,article_cost_0p015pct,False,18,2,1.0212549167684393,weighted_slope
2015-09-11,518880.SH,CASH,0.0002873797025371161,0.00043744531933498365,1.0,article_cost_0p015pct,False,19,2,1.0215484047026349,weighted_slope
2015-09-14,CASH,CASH,0.0,0.0,0.0,article_cost_0p015pct,False,19,2,1.0215484047026349,weighted_slope
2015-09-15,CASH,CASH,0.0,0.0,0.0,article_cost_0p015pct,False,19,2,1.0215484047026349,weighted_slope
2015-09-16,CASH,CASH,0.0,0.0,0.0,article_cost_0p015pct,False,19,2,1.0215484047026349,weighted_slope
2015-09-17,CASH,CASH,0.0,0.0,0.0,article_cost_0p015pct,False,19,2,1.0215484047026349,weighted_slope
2015-09-18,CASH,159941.SZ,-0.00014999999999998348,0.0,1.0,article_cost_0p015pct,False,20,2,1.0213951724419295,weighted_slope
2015-09-21,159941.SZ,159941.SZ,-0.015822784810126445,-0.015822784810126445,0.0,article_cost_0p015pct,False,20,2,1.005233856422279,weighted_slope
2015-09-22,159941.SZ,159941.SZ,0.002143622722400762,0.002143622722400762,0.0,article_cost_0p015pct,False,20,2,1.0073886985582323,weighted_slope
2015-09-23,159941.SZ,159941.SZ,-0.009625668449197877,-0.009625668449197877,0.0,article_cost_0p015pct,False,20,2,0.9976919089464419,weighted_slope
2015-09-24,159941.SZ,159941.SZ,-0.011879049676025932,-0.011879049676025932,0.0,article_cost_0p015pct,False,20,2,0.9858402771986979,weighted_slope
2015-09-25,159941.SZ,159915.SZ,-0.00029999999999996696,0.0,2.0,article_cost_0p015pct,False,21,2,0.9855445251155384,weighted_slope
2015-09-28,159915.SZ,159915.SZ,0.07262872628726291,0.07262872628726291,0.0,article_cost_0p015pct,False,21,2,1.0571233686740653,weighted_slope
2015-09-29,159915.SZ,159915.SZ,-0.013643254168772212,-0.013643254168772212,0.0,article_cost_0p015pct,False,21,2,1.0427007658674963,weighted_slope
2015-09-30,159915.SZ,159915.SZ,-0.00870901639344257,-0.00870901639344257,0.0,article_cost_0p015pct,False,21,2,1.033619867804101,weighted_slope
2015-10-08,159915.SZ,159915.SZ,0.07493540051679592,0.07493540051679592,0.0,article_cost_0p015pct,False,21,2,1.111074586580119,weighted_slope
2015-10-09,159915.SZ,159915.SZ,0.01105769230769238,0.01105769230769238,0.0,article_cost_0p015pct,False,21,2,1.1233605074894184,weighted_slope
2015-10-12,159915.SZ,518880.SH,0.05531811697574884,0.05563480741797422,2.0,article_cost_0p015pct,False,22,2,1.1855026954486547,weighted_slope
2015-10-13,518880.SH,518880.SH,-0.005894736842105175,-0.005894736842105175,0.0,article_cost_0p015pct,False,22,2,1.1785144690333786,weighted_slope
2015-10-14,518880.SH,518880.SH,0.01524777636594643,0.01524777636594643,0.0,article_cost_0p015pct,False,22,2,1.1964841941012316,weighted_slope
2015-10-15,518880.SH,518880.SH,0.004171881518564957,0.004171881518564957,0.0,article_cost_0p015pct,False,22,2,1.2014757843978576,weighted_slope
2015-10-16,518880.SH,518880.SH,-0.002077274615704172,-0.002077274615704172,0.0,article_cost_0p015pct,False,22,2,1.1989799892495447,weighted_slope
2015-10-19,518880.SH,518880.SH,-0.0016652789342215257,-0.0016652789342215257,0.0,article_cost_0p015pct,False,22,2,1.1969833531308944,weighted_slope
2015-10-20,518880.SH,518880.SH,-0.002085070892410501,-0.002085070892410501,0.0,article_cost_0p015pct,False,22,2,1.1944875579825813,weighted_slope
2015-10-21,518880.SH,518880.SH,0.002507312996239186,0.002507312996239186,0.0,article_cost_0p015pct,False,22,2,1.197482512160557,weighted_slope
2015-10-22,518880.SH,518880.SH,-0.004168403501459084,-0.004168403501459084,0.0,article_cost_0p015pct,False,22,2,1.192490921863931,weighted_slope
2015-10-23,518880.SH,513030.SH,0.00555843449141924,0.005860192549183907,2.0,article_cost_0p015pct,False,23,2,1.199119304534724,weighted_slope
2015-10-26,513030.SH,513030.SH,0.018994413407821265,0.018994413407821265,0.0,article_cost_0p015pct,False,23,2,1.2218958723303557,weighted_slope
2015-10-27,513030.SH,513030.SH,-0.009868421052631637,-0.009868421052631637,0.0,article_cost_0p015pct,False,23,2,1.2098376893797271,weighted_slope
2015-10-28,513030.SH,513030.SH,-0.011074197120708784,-0.011074197120708784,0.0,article_cost_0p015pct,False,23,2,1.1964397083234732,weighted_slope
2015-10-29,513030.SH,159941.SZ,0.015372788353863465,0.015677491601343796,2.0,article_cost_0p015pct,False,24,2,1.214832322737688,weighted_slope
2015-10-30,159941.SZ,159941.SZ,-0.0010030090270812808,-0.0010030090270812808,0.0,article_cost_0p015pct,False,24,2,1.213613834951592,weighted_slope
