target_vol,window,start,end,days,total,cagr,maxdd,sharpe,vol,avg_weight,max_weight,pct_at_max_lev,pct_below_1x,cash_days
17%,article_2020,2020-01-02,2026-05-08,1535,21.12450042578459,0.6625972037248127,-0.1111378039599823,2.6063473494593676,0.2028831500103463,0.7511724258862592,1.4872030448012938,0.0,0.8449511400651466,69
17%,5Y,2021-05-10,2026-05-08,1211,8.84566693207757,0.6094846902386895,-0.11113780395998207,2.4020825845332205,0.20686620255771324,0.7624454999188574,1.4872030448012938,0.0,0.8224607762180016,55
17%,3Y,2023-05-08,2026-05-08,727,3.933160002714488,0.7388334218807364,-0.1111378039599824,2.5799068560481055,0.22388226136675715,0.6870000792252163,1.3442536603945119,0.0,0.8665749656121046,41
18%,10Y,2016-05-09,2026-05-08,2427,64.85314854076152,0.5446363180337497,-0.16126084232900795,2.231572609985151,0.2040898190885691,0.9211460290822588,1.5,0.04326328800988875,0.588792748248867,105
18%,article_2020,2020-01-02,2026-05-08,1535,25.310947446217224,0.7105781810947098,-0.11735943358240541,2.6057695346498,0.21477473366904745,0.7951867789504421,1.5,0.005863192182410423,0.8084690553745928,69
18%,5Y,2021-05-10,2026-05-08,1211,10.180256185407753,0.6526273344268596,-0.11735943358240564,2.401304317331196,0.21898151273647723,0.8070768871960798,1.5,0.007431874483897605,0.7770437654830719,55
18%,3Y,2023-05-08,2026-05-08,727,4.396238030917231,0.7937616196378645,-0.11735943358240564,2.579906856048106,0.23705180615303695,0.7274118485914054,1.4233274051236007,0.0,0.8528198074277854,41
19%,10Y,2016-05-09,2026-05-08,2427,80.2753637138683,0.5787546655535643,-0.169595325771553,2.232837958366926,0.21473393401343593,0.967742654896978,1.5,0.07128141738772147,0.5335805521219613,105
19%,article_2020,2020-01-02,2026-05-08,1535,30.254331064438443,0.7596183555043632,-0.12354675732868736,2.6065334097271915,0.226521670173482,0.8384425804149385,1.5,0.021498371335504887,0.7667752442996743,69
19%,5Y,2021-05-10,2026-05-08,1211,11.683475247212993,0.6965848824122511,-0.12354675732868803,2.4020023802825543,0.23091690828444075,0.8507467743035922,1.5,0.027250206440957887,0.726672171758877,55
19%,3Y,2023-05-08,2026-05-08,727,4.9006071317381,0.8501882240589198,-0.1235467573286878,2.5800435101039483,0.2502171658071176,0.7678203151379898,1.5,0.001375515818431912,0.8335625859697386,41
20%,10Y,2016-05-09,2026-05-08,2427,99.62390666383374,0.6141513382330352,-0.17837858234164083,2.240243017341477,0.224892182111369,1.0118718468490675,1.5,0.10300782859497322,0.503502266172229,105
20%,article_2020,2020-01-02,2026-05-08,1535,36.21422410173531,0.8107659497226196,-0.12969990022682087,2.611361554878927,0.23806995144705229,0.8802874860882572,1.5,0.03452768729641694,0.7381107491856678,69
20%,5Y,2021-05-10,2026-05-08,1211,13.42510299118825,0.7426249897280253,-0.12969990022682087,2.40751842778445,0.24260555595056166,0.8926282840044512,1.5,0.04376548307184145,0.6936416184971098,55
20%,3Y,2023-05-08,2026-05-08,727,5.461465505588295,0.9093477503781875,-0.12969990022682087,2.583815454441338,0.2632498590848362,0.8078866194231009,1.5,0.0068775790921595595,0.782668500687758,41
