date,kind,position_before,position,return,gross_return,turnover,cost,stop_triggered,trade_count,stop_exit_count,nav
2015-04-16,log_ols_ann_r2,513030.SH,513030.SH,0.001974333662388972,0.001974333662388972,0.0,0.0,False,2,0,1.2020987399500218
2015-04-17,log_ols_ann_r2,513030.SH,159915.SZ,-0.0012849261083741625,-0.0009852216748766907,2.0,0.00030000000000000003,False,3,0,1.2005541318942163
2015-04-20,log_ols_ann_r2,159915.SZ,159915.SZ,-0.021114864864864802,-0.021114864864864802,0.0,0.0,False,3,0,1.175204593636315
2015-04-21,log_ols_ann_r2,159915.SZ,159915.SZ,0.0767903364969802,0.0767903364969802,0.0,0.0,False,3,0,1.2654489498344443
2015-04-22,log_ols_ann_r2,159915.SZ,159915.SZ,0.011217948717948678,0.011217948717948678,0.0,0.0,False,3,0,1.279644691258869
2015-04-23,log_ols_ann_r2,159915.SZ,159915.SZ,0.02931854199683026,0.02931854199683026,0.0,0.0,False,3,0,1.317162007880563
2015-04-24,log_ols_ann_r2,159915.SZ,159915.SZ,0.018090839107005374,0.018090839107005374,0.0,0.0,False,3,0,1.3409905738429904
2015-04-27,log_ols_ann_r2,159915.SZ,159915.SZ,0.001890359168241984,0.001890359168241984,0.0,0.0,False,3,0,1.3435255276687805
2015-04-28,log_ols_ann_r2,159915.SZ,159915.SZ,-0.02528301886792439,-0.02528301886792439,0.0,0.0,False,3,0,1.3095571464031928
2015-04-29,log_ols_ann_r2,159915.SZ,159915.SZ,0.054200542005419905,0.054200542005419905,0.0,0.0,False,3,0,1.380535853525317
2015-04-30,log_ols_ann_r2,159915.SZ,159915.SZ,0.00918105031215588,0.00918105031215588,0.0,0.0,False,3,0,1.393210622654268
2015-05-04,log_ols_ann_r2,159915.SZ,159915.SZ,-0.0029112081513827937,-0.0029112081513827937,0.0,0.0,False,3,0,1.3891546965330037
2015-05-05,log_ols_ann_r2,159915.SZ,159915.SZ,-0.025547445255474588,-0.025547445255474588,0.0,0.0,False,3,0,1.3536653429719414
2015-05-06,log_ols_ann_r2,159915.SZ,159915.SZ,0.025468164794007597,0.025468164794007597,0.0,0.0,False,3,0,1.3881407150026877
2015-05-07,log_ols_ann_r2,159915.SZ,159915.SZ,-0.018991964937910888,-0.018991964937910888,0.0,0.0,False,3,0,1.3617771952144702
2015-05-08,log_ols_ann_r2,159915.SZ,159915.SZ,0.0774385703648548,0.0774385703648548,0.0,0.0,False,3,0,1.4672312743673406
2015-05-11,log_ols_ann_r2,159915.SZ,CASH,0.05374654457498251,0.05390463026952297,1.0,0.00015000000000000001,False,4,0,1.5460898854569332
2015-05-12,log_ols_ann_r2,CASH,CASH,0.0,0.0,0.0,0.0,False,4,0,1.5460898854569332
2015-05-13,log_ols_ann_r2,CASH,CASH,0.0,0.0,0.0,0.0,False,4,0,1.5460898854569332
2015-05-14,log_ols_ann_r2,CASH,CASH,0.0,0.0,0.0,0.0,False,4,0,1.5460898854569332
2015-05-15,log_ols_ann_r2,CASH,518880.SH,-0.00014999999999998348,0.0,1.0,0.00015000000000000001,False,5,0,1.5458579719741146
2015-05-18,log_ols_ann_r2,518880.SH,518880.SH,0.011134020618556839,0.011134020618556839,0.0,0.0,False,5,0,1.5630695865074349
2015-05-19,log_ols_ann_r2,518880.SH,518880.SH,-0.0077487765089723215,-0.0077487765089723215,0.0,0.0,False,5,0,1.550957709613617
2015-05-20,log_ols_ann_r2,518880.SH,513030.SH,-0.011394081381010945,-0.011097410604192226,2.0,0.00030000000000000003,False,6,0,1.533285971251773
2015-05-21,log_ols_ann_r2,513030.SH,513030.SH,0.0067829457364338985,0.0067829457364338985,0.0,0.0,False,6,0,1.5436861667932091
2015-05-22,log_ols_ann_r2,513030.SH,513030.SH,-0.010587102983637964,-0.010587102983637964,0.0,0.0,False,6,0,1.527343002370952
2015-05-25,log_ols_ann_r2,513030.SH,513030.SH,-0.004863813229572078,-0.004863813229572078,0.0,0.0,False,6,0,1.5199142912699257
2015-05-26,log_ols_ann_r2,513030.SH,513030.SH,-0.0009775171065492527,-0.0009775171065492527,0.0,0.0,False,6,0,1.5184285490497207
2015-05-27,log_ols_ann_r2,513030.SH,513030.SH,-0.008806262230919848,-0.008806262230919848,0.0,0.0,False,6,0,1.5050568690678736
2015-05-28,log_ols_ann_r2,513030.SH,513030.SH,0.000987166831194486,0.000987166831194486,0.0,0.0,False,6,0,1.5065426112880789
2015-05-29,log_ols_ann_r2,513030.SH,513030.SH,-0.007889546351084853,-0.007889546351084853,0.0,0.0,False,6,0,1.494656673526437
2015-06-01,log_ols_ann_r2,513030.SH,518880.SH,-0.007256163021868822,-0.006958250497017926,2.0,0.00030000000000000003,False,7,0,1.4838112010416051
2015-06-02,log_ols_ann_r2,518880.SH,518880.SH,-0.00251572327044014,-0.00251572327044014,0.0,0.0,False,7,0,1.480078342674205
2015-06-03,log_ols_ann_r2,518880.SH,518880.SH,-0.003783102143757877,-0.003783102143757877,0.0,0.0,False,7,0,1.4744790551231046
2015-06-04,log_ols_ann_r2,518880.SH,CASH,-0.0031031434599156915,-0.002953586497890348,1.0,0.00015000000000000001,False,8,0,1.4699035350864167
2015-06-05,log_ols_ann_r2,CASH,CASH,0.0,0.0,0.0,0.0,False,8,0,1.4699035350864167
2015-06-08,log_ols_ann_r2,CASH,CASH,0.0,0.0,0.0,0.0,False,8,0,1.4699035350864167
2015-06-09,log_ols_ann_r2,CASH,CASH,0.0,0.0,0.0,0.0,False,8,0,1.4699035350864167
2015-06-10,log_ols_ann_r2,CASH,CASH,0.0,0.0,0.0,0.0,False,8,0,1.4699035350864167
2015-06-11,log_ols_ann_r2,CASH,CASH,0.0,0.0,0.0,0.0,False,8,0,1.4699035350864167
2015-06-12,log_ols_ann_r2,CASH,CASH,0.0,0.0,0.0,0.0,False,8,0,1.4699035350864167
2015-06-15,log_ols_ann_r2,CASH,CASH,0.0,0.0,0.0,0.0,False,8,0,1.4699035350864167
2015-06-16,log_ols_ann_r2,CASH,159915.SZ,-0.00014999999999998348,0.0,1.0,0.00015000000000000001,False,9,0,1.4696830495561537
2015-06-17,log_ols_ann_r2,159915.SZ,159915.SZ,0.04203409758965315,0.04203409758965315,0.0,0.0,False,9,0,1.531459850287056
2015-06-18,log_ols_ann_r2,159915.SZ,CASH,-0.06361015514809587,-0.06346967559943584,1.0,0.00015000000000000001,True,10,1,1.4340434516072167
2015-06-19,log_ols_ann_r2,CASH,CASH,0.0,0.0,0.0,0.0,False,10,1,1.4340434516072167
2015-06-23,log_ols_ann_r2,CASH,159915.SZ,-0.00014999999999998348,0.0,1.0,0.00015000000000000001,False,11,1,1.4338283450894755
2015-06-24,log_ols_ann_r2,159915.SZ,CASH,-0.0029550654613467175,-0.002805486284289338,1.0,0.00015000000000000001,False,12,1,1.4295912884694018
2015-06-25,log_ols_ann_r2,CASH,CASH,0.0,0.0,0.0,0.0,False,12,1,1.4295912884694018
2015-06-26,log_ols_ann_r2,CASH,CASH,0.0,0.0,0.0,0.0,False,12,1,1.4295912884694018
2015-06-29,log_ols_ann_r2,CASH,CASH,0.0,0.0,0.0,0.0,False,12,1,1.4295912884694018
2015-06-30,log_ols_ann_r2,CASH,CASH,0.0,0.0,0.0,0.0,False,12,1,1.4295912884694018
2015-07-01,log_ols_ann_r2,CASH,CASH,0.0,0.0,0.0,0.0,False,12,1,1.4295912884694018
2015-07-02,log_ols_ann_r2,CASH,CASH,0.0,0.0,0.0,0.0,False,12,1,1.4295912884694018
2015-07-03,log_ols_ann_r2,CASH,CASH,0.0,0.0,0.0,0.0,False,12,1,1.4295912884694018
2015-07-06,log_ols_ann_r2,CASH,CASH,0.0,0.0,0.0,0.0,False,12,1,1.4295912884694018
2015-07-07,log_ols_ann_r2,CASH,CASH,0.0,0.0,0.0,0.0,False,12,1,1.4295912884694018
2015-07-08,log_ols_ann_r2,CASH,CASH,0.0,0.0,0.0,0.0,False,12,1,1.4295912884694018
2015-07-09,log_ols_ann_r2,CASH,CASH,0.0,0.0,0.0,0.0,False,12,1,1.4295912884694018
2015-07-10,log_ols_ann_r2,CASH,CASH,0.0,0.0,0.0,0.0,False,12,1,1.4295912884694018
2015-07-13,log_ols_ann_r2,CASH,CASH,0.0,0.0,0.0,0.0,False,12,1,1.4295912884694018
2015-07-14,log_ols_ann_r2,CASH,CASH,0.0,0.0,0.0,0.0,False,12,1,1.4295912884694018
2015-07-15,log_ols_ann_r2,CASH,CASH,0.0,0.0,0.0,0.0,False,12,1,1.4295912884694018
2015-07-16,log_ols_ann_r2,CASH,CASH,0.0,0.0,0.0,0.0,False,12,1,1.4295912884694018
2015-07-17,log_ols_ann_r2,CASH,CASH,0.0,0.0,0.0,0.0,False,12,1,1.4295912884694018
2015-07-20,log_ols_ann_r2,CASH,CASH,0.0,0.0,0.0,0.0,False,12,1,1.4295912884694018
2015-07-21,log_ols_ann_r2,CASH,CASH,0.0,0.0,0.0,0.0,False,12,1,1.4295912884694018
2015-07-22,log_ols_ann_r2,CASH,CASH,0.0,0.0,0.0,0.0,False,12,1,1.4295912884694018
2015-07-23,log_ols_ann_r2,CASH,CASH,0.0,0.0,0.0,0.0,False,12,1,1.4295912884694018
2015-07-24,log_ols_ann_r2,CASH,CASH,0.0,0.0,0.0,0.0,False,12,1,1.4295912884694018
2015-07-27,log_ols_ann_r2,CASH,CASH,0.0,0.0,0.0,0.0,False,12,1,1.4295912884694018
2015-07-28,log_ols_ann_r2,CASH,CASH,0.0,0.0,0.0,0.0,False,12,1,1.4295912884694018
2015-07-29,log_ols_ann_r2,CASH,159915.SZ,-0.00014999999999998348,0.0,1.0,0.00015000000000000001,False,13,1,1.4293768497761314
2015-07-30,log_ols_ann_r2,159915.SZ,CASH,-0.06737660318694139,-0.0672366886902449,1.0,0.00015000000000000001,True,14,2,1.3330702929641647
2015-07-31,log_ols_ann_r2,CASH,CASH,0.0,0.0,0.0,0.0,False,14,2,1.3330702929641647
2015-08-03,log_ols_ann_r2,CASH,CASH,0.0,0.0,0.0,0.0,False,14,2,1.3330702929641647
2015-08-04,log_ols_ann_r2,CASH,159915.SZ,-0.00014999999999998348,0.0,1.0,0.00015000000000000001,False,15,2,1.33287033242022
2015-08-05,log_ols_ann_r2,159915.SZ,159915.SZ,-0.03439803439803446,-0.03439803439803446,0.0,0.0,False,15,2,1.2870222128775097
2015-08-06,log_ols_ann_r2,159915.SZ,159915.SZ,-0.003392705682782049,-0.003392705682782049,0.0,0.0,False,15,2,1.2826557253020134
2015-08-07,log_ols_ann_r2,159915.SZ,159915.SZ,0.046382978723404245,0.046382978723404245,0.0,0.0,False,15,2,1.3421491185181493
2015-08-10,log_ols_ann_r2,159915.SZ,159915.SZ,0.06628710858072373,0.06628710858072373,0.0,0.0,False,15,2,1.4311163028688845
2015-08-11,log_ols_ann_r2,159915.SZ,159915.SZ,-0.021739130434782594,-0.021739130434782594,0.0,0.0,False,15,2,1.400005078893474
2015-08-12,log_ols_ann_r2,159915.SZ,CASH,-0.029775185185185182,-0.029629629629629672,1.0,0.00015000000000000001,True,16,3,1.358319668409221
2015-08-13,log_ols_ann_r2,CASH,CASH,0.0,0.0,0.0,0.0,False,16,3,1.358319668409221
2015-08-14,log_ols_ann_r2,CASH,159941.SZ,-0.00014999999999998348,0.0,1.0,0.00015000000000000001,False,17,3,1.3581159204589595
2015-08-17,log_ols_ann_r2,159941.SZ,159941.SZ,-0.007000000000000006,-0.007000000000000006,0.0,0.0,False,17,3,1.3486091090157468
2015-08-18,log_ols_ann_r2,159941.SZ,159941.SZ,0.0050352467270895485,0.0050352467270895485,0.0,0.0,False,17,3,1.3553996886180415
2015-08-19,log_ols_ann_r2,159941.SZ,518880.SH,-0.0033051102204407767,-0.0030060120240480437,2.0,0.00030000000000000003,False,18,3,1.3509199432544077
2015-08-20,log_ols_ann_r2,518880.SH,518880.SH,0.01558441558441559,0.01558441558441559,0.0,0.0,False,18,3,1.3719732410713594
2015-08-21,log_ols_ann_r2,518880.SH,518880.SH,0.018755328218243772,0.018755328218243772,0.0,0.0,False,18,3,1.3977050495143004
2015-08-24,log_ols_ann_r2,518880.SH,518880.SH,-0.003765690376569153,-0.003765690376569153,0.0,0.0,False,18,3,1.3924417250600623
2015-08-25,log_ols_ann_r2,518880.SH,518880.SH,-0.005459890802183898,-0.005459890802183898,0.0,0.0,False,18,3,1.3848391452928297
2015-08-26,log_ols_ann_r2,518880.SH,518880.SH,-0.008023648648648463,-0.008023648648648463,0.0,0.0,False,18,3,1.3737276825561053
2015-08-27,log_ols_ann_r2,518880.SH,518880.SH,-0.011494252873563315,-0.011494252873563315,0.0,0.0,False,18,3,1.3579377091933913
2015-08-28,log_ols_ann_r2,518880.SH,518880.SH,0.004737295434969813,0.004737295434969813,0.0,0.0,False,18,3,1.3643706613041264
2015-08-31,log_ols_ann_r2,518880.SH,518880.SH,0.002571795970852886,0.002571795970852886,0.0,0.0,False,18,3,1.3678795442736182
2015-09-01,log_ols_ann_r2,518880.SH,518880.SH,0.006412997007268162,0.006412997007268162,0.0,0.0,False,18,3,1.3766517516973482
2015-09-02,log_ols_ann_r2,518880.SH,518880.SH,-0.0012744265080714134,-0.0012744265080714134,0.0,0.0,False,18,3,1.374897310212602
2015-09-07,log_ols_ann_r2,518880.SH,518880.SH,-0.0161633347511696,-0.0161633347511696,0.0,0.0,False,18,3,1.3526743847391531
2015-09-08,log_ols_ann_r2,518880.SH,518880.SH,-0.004323389537397415,-0.004323389537397415,0.0,0.0,False,18,3,1.3468262464566665
2015-09-09,log_ols_ann_r2,518880.SH,518880.SH,0.004342162396873794,0.004342162396873794,0.0,0.0,False,18,3,1.3526743847391534
2015-09-10,log_ols_ann_r2,518880.SH,518880.SH,-0.011673151750972832,-0.011673151750972832,0.0,0.0,False,18,3,1.3368844113764393
2015-09-11,log_ols_ann_r2,518880.SH,518880.SH,0.00043744531933498365,0.00043744531933498365,0.0,0.0,False,18,3,1.3374692252046878
2015-09-14,log_ols_ann_r2,518880.SH,518880.SH,-0.0021862702229995534,-0.0021862702229995534,0.0,0.0,False,18,3,1.3345451560634445
2015-09-15,log_ols_ann_r2,518880.SH,518880.SH,-0.0008764241893077784,-0.0008764241893077784,0.0,0.0,False,18,3,1.333375528406947
2015-09-16,log_ols_ann_r2,518880.SH,CASH,-0.0014655921052629806,-0.001315789473684048,1.0,0.00015000000000000001,False,19,3,1.3314213437591629
2015-09-17,log_ols_ann_r2,CASH,CASH,0.0,0.0,0.0,0.0,False,19,3,1.3314213437591629
2015-09-18,log_ols_ann_r2,CASH,CASH,0.0,0.0,0.0,0.0,False,19,3,1.3314213437591629
2015-09-21,log_ols_ann_r2,CASH,CASH,0.0,0.0,0.0,0.0,False,19,3,1.3314213437591629
2015-09-22,log_ols_ann_r2,CASH,CASH,0.0,0.0,0.0,0.0,False,19,3,1.3314213437591629
2015-09-23,log_ols_ann_r2,CASH,CASH,0.0,0.0,0.0,0.0,False,19,3,1.3314213437591629
2015-09-24,log_ols_ann_r2,CASH,159941.SZ,-0.00014999999999998348,0.0,1.0,0.00015000000000000001,False,20,3,1.331221630557599
2015-09-25,log_ols_ann_r2,159941.SZ,159941.SZ,0.0,0.0,0.0,0.0,False,20,3,1.331221630557599
2015-09-28,log_ols_ann_r2,159941.SZ,159941.SZ,-0.00983606557377048,-0.00983606557377048,0.0,0.0,False,20,3,1.318127647306213
2015-09-29,log_ols_ann_r2,159941.SZ,159941.SZ,-0.03863134657836653,-0.03863134657836653,0.0,0.0,False,20,3,1.2672066013285996
2015-09-30,log_ols_ann_r2,159941.SZ,159915.SZ,0.007734328358208975,0.008036739380022917,2.0,0.00030000000000000003,False,21,3,1.277007593280965
2015-10-08,log_ols_ann_r2,159915.SZ,159915.SZ,0.07493540051679592,0.07493540051679592,0.0,0.0,False,21,3,1.3727006687464638
2015-10-09,log_ols_ann_r2,159915.SZ,159915.SZ,0.01105769230769238,0.01105769230769238,0.0,0.0,False,21,3,1.3878795703720257
2015-10-12,log_ols_ann_r2,159915.SZ,159915.SZ,0.05563480741797422,0.05563480741797422,0.0,0.0,False,21,3,1.4650939829890142
2015-10-13,log_ols_ann_r2,159915.SZ,159915.SZ,0.002702702702702675,0.002702702702702675,0.0,0.0,False,21,3,1.469053696456552
2015-10-14,log_ols_ann_r2,159915.SZ,518880.SH,-0.020060467205750165,-0.019766397124887702,2.0,0.00030000000000000003,False,22,3,1.4395837929552993
2015-10-15,log_ols_ann_r2,518880.SH,518880.SH,0.004171881518564957,0.004171881518564957,0.0,0.0,False,22,3,1.445589565975555
2015-10-16,log_ols_ann_r2,518880.SH,518880.SH,-0.002077274615704172,-0.002077274615704172,0.0,0.0,False,22,3,1.4425866794654272
2015-10-19,log_ols_ann_r2,518880.SH,518880.SH,-0.0016652789342215257,-0.0016652789342215257,0.0,0.0,False,22,3,1.440184370257325
2015-10-20,log_ols_ann_r2,518880.SH,518880.SH,-0.002085070892410501,-0.002085070892410501,0.0,0.0,False,22,3,1.4371814837471968
2015-10-21,log_ols_ann_r2,518880.SH,518880.SH,0.002507312996239186,0.002507312996239186,0.0,0.0,False,22,3,1.4407849475593504
2015-10-22,log_ols_ann_r2,518880.SH,518880.SH,-0.004168403501459084,-0.004168403501459084,0.0,0.0,False,22,3,1.4347791745390945
2015-10-23,log_ols_ann_r2,518880.SH,518880.SH,0.005860192549183907,0.005860192549183907,0.0,0.0,False,22,3,1.4431872567674529
2015-10-26,log_ols_ann_r2,518880.SH,518880.SH,-0.006658343736995476,-0.006658343736995476,0.0,0.0,False,22,3,1.4335780199350436
2015-10-27,log_ols_ann_r2,518880.SH,518880.SH,0.0029325513196480912,0.0029325513196480912,0.0,0.0,False,22,3,1.4377820610492227
2015-10-28,log_ols_ann_r2,518880.SH,518880.SH,0.005012531328320913,0.005012531328320913,0.0,0.0,False,22,3,1.4449889886735297
2015-10-29,log_ols_ann_r2,518880.SH,513030.SH,-0.009441064006650124,-0.009143807148794814,2.0,0.00030000000000000003,False,23,3,1.4313467551425583
2015-10-30,log_ols_ann_r2,513030.SH,513030.SH,-0.0011025358324145973,-0.0011025358324145973,0.0,0.0,False,23,3,1.4297686440564032
2015-11-02,log_ols_ann_r2,513030.SH,513030.SH,-0.007726269315673329,-0.007726269315673329,0.0,0.0,False,23,3,1.4187218664533183
2015-11-03,log_ols_ann_r2,513030.SH,513030.SH,0.012235817575083408,0.012235817575083408,0.0,0.0,False,23,3,1.4360810884010229
2015-11-04,log_ols_ann_r2,513030.SH,159941.SZ,0.005192857142857221,0.005494505494505475,2.0,0.00030000000000000003,False,24,3,1.4435384523386483
2015-11-05,log_ols_ann_r2,159941.SZ,159941.SZ,-0.006000000000000005,-0.006000000000000005,0.0,0.0,False,24,3,1.4348772216246164
2015-11-06,log_ols_ann_r2,159941.SZ,159941.SZ,0.006036217303822866,0.006036217303822866,0.0,0.0,False,24,3,1.443538452338648
2015-11-09,log_ols_ann_r2,159941.SZ,159941.SZ,0.0020000000000000018,0.0020000000000000018,0.0,0.0,False,24,3,1.4464255292433255
