lookback,window,start,end,days,total,cagr,maxdd,sharpe,cash_days,trades,top_holds
35,near6_2020,2020-01-02,2026-04-30,1532,2.4831744635945046,0.21813503371281828,-0.2569897642930683,0.9681644341756512,140,75,??ETF:498; ??ETF:401; ?????:354; CASH:140; ??50:139
35,5Y,2021-04-30,2026-04-30,1211,1.057511705665171,0.15525283501093612,-0.25698976429306775,0.7928113690910085,87,57,??ETF:408; ??ETF:387; ?????:227; ??50:102; CASH:87
35,3Y,2023-05-04,2026-04-30,726,0.8477194704343025,0.22795907676581284,-0.2569897642930685,1.005115108823849,66,32,??ETF:271; ??ETF:244; ?????:106; CASH:66; ??50:39
40,10Y,2016-05-03,2026-04-30,2429,2.0950562129222305,0.11973155562908566,-0.2810908106927209,0.6357225968716771,148,110,??ETF:863; ??ETF:641; ?????:479; ??50:298; CASH:148
40,near6_2020,2020-01-02,2026-04-30,1532,1.3090028358087862,0.14146748197454295,-0.28109081069272046,0.6828322247748042,116,67,??ETF:502; ??ETF:422; ?????:358; ??50:134; CASH:116
40,5Y,2021-04-30,2026-04-30,1211,0.7733519778404376,0.12141355500170525,-0.25040938221004927,0.6456203445448997,67,52,??ETF:413; ??ETF:413; ?????:226; ??50:92; CASH:67
40,3Y,2023-05-04,2026-04-30,726,0.8061669457862775,0.21865246478189926,-0.25040938221004894,0.9621859472100239,52,27,??ETF:281; ??ETF:265; ?????:102; CASH:52; ??50:26
50,10Y,2016-05-03,2026-04-30,2429,2.5621434013607267,0.1355965337173335,-0.3016346021395767,0.6888987888112795,81,102,??ETF:815; ??ETF:741; ?????:489; ??50:303; CASH:81
50,near6_2020,2020-01-02,2026-04-30,1532,2.1343575067335565,0.1979797009668649,-0.30163460213957805,0.8724052655706873,64,61,??ETF:494; ??ETF:477; ?????:357; ??50:140; CASH:64
50,5Y,2021-04-30,2026-04-30,1211,1.6144726033862744,0.2119598926553472,-0.24890794920050074,1.004410196219933,50,44,??ETF:465; ??ETF:384; ?????:229; ??50:83; CASH:50
50,3Y,2023-05-04,2026-04-30,726,1.5686617631047421,0.37100159642087016,-0.2489079492005012,1.4508578528104967,40,24,??ETF:296; ??ETF:280; ?????:94; CASH:40; ??50:16
60,10Y,2016-05-03,2026-04-30,2429,2.6478791447189285,0.1383031907651706,-0.3101076328927127,0.693993015775955,34,75,??ETF:823; ??ETF:795; ?????:489; ??50:288; CASH:34
60,near6_2020,2020-01-02,2026-04-30,1532,1.9134496566228103,0.1842153038273704,-0.3101076328927116,0.8166869049673605,34,47,??ETF:523; ??ETF:486; ?????:364; ??50:125; CASH:34
60,5Y,2021-04-30,2026-04-30,1211,1.5585121613010982,0.20672599623312382,-0.24890794920050097,0.9635018868911608,34,38,??ETF:487; ??ETF:384; ?????:246; ??50:60; CASH:34
60,3Y,2023-05-04,2026-04-30,726,1.7496181925528385,0.4025778012347123,-0.24890794920050108,1.5208275730472243,19,18,??ETF:327; ??ETF:265; ?????:115; CASH:19
80,10Y,2016-05-03,2026-04-30,2429,0.23699219895974655,0.021516899070118667,-0.517198244394138,0.2076639826708906,6,60,??ETF:873; ??ETF:814; ?????:484; ??50:252; CASH:6
80,near6_2020,2020-01-02,2026-04-30,1532,0.2152769169361024,0.03130847445258289,-0.5171982443941379,0.2502465623449167,6,36,??ETF:549; ??ETF:515; ?????:359; ??50:103; CASH:6
80,5Y,2021-04-30,2026-04-30,1211,0.2689973041207272,0.04880554039576834,-0.3764965568068235,0.32571814430623836,6,27,??ETF:503; ??ETF:412; ?????:248; ??50:42; CASH:6
80,3Y,2023-05-04,2026-04-30,726,0.9312116719998871,0.24624609952472643,-0.24890794920050063,1.0089578409020787,0,12,??ETF:317; ??ETF:271; ?????:138
100,10Y,2016-05-03,2026-04-30,2429,0.1099818969909161,0.010499111830240881,-0.5548640352332843,0.15788460170767074,14,52,??ETF:863; ??ETF:829; ?????:458; ??50:265; CASH:14
100,near6_2020,2020-01-02,2026-04-30,1532,-0.1280818686973355,-0.021438320881401074,-0.5548640352332849,0.027621900920738386,14,34,??ETF:565; ??ETF:521; ?????:338; ??50:94; CASH:14
100,5Y,2021-04-30,2026-04-30,1211,0.07552158744925985,0.014669701094224274,-0.36017625308011936,0.17823382879991714,14,24,??ETF:512; ??ETF:421; ?????:232; ??50:32; CASH:14
100,3Y,2023-05-04,2026-04-30,726,0.5489624237849142,0.15761594047266692,-0.2510025008387694,0.715969822217941,0,12,??ETF:313; ??ETF:277; ?????:136
120,10Y,2016-05-03,2026-04-30,2429,0.37044078904155686,0.032046237310720205,-0.4656209754823486,0.25592122506229326,22,44,??ETF:851; ??ETF:808; ?????:448; ??50:300; CASH:22
120,near6_2020,2020-01-02,2026-04-30,1532,0.03290560895649208,0.0051322875136250445,-0.46562097548234804,0.13784248553913295,22,32,??ETF:605; ??ETF:465; ?????:349; ??50:91; CASH:22
120,5Y,2021-04-30,2026-04-30,1211,0.13546585141185719,0.025737719880271293,-0.3523083771350699,0.22721841781464933,22,23,??ETF:564; ??ETF:385; ?????:226; CASH:22; ??50:14
120,3Y,2023-05-04,2026-04-30,726,0.3204823626867137,0.0974440869382307,-0.2489079492005012,0.5071365451459762,0,15,??ETF:350; ??ETF:236; ?????:140
