scenario,removed_codes,removed_names,removed_n,avg_delta_cagr,min_delta_cagr,avg_delta_sharpe,min_delta_sharpe,avg_delta_maxdd,worst_delta_maxdd,improved_windows
no_bond,1.H20955+1.H00016,dividend_low_vol_100_tr+sse50_tr,2,0.0013338379013553652,-0.03193247144354783,-0.015747791679654677,-0.13608541025426157,-0.020614935251192068,-0.05733636584843138,2
no_bond,1.H00016+1.H00852,sse50_tr+csi1000_tr,2,-0.0001418404438311427,-0.0032165303004962897,0.01066433235340362,-0.0013943980204795814,0.0006128568859021429,-0.008897605405806419,2
no_bond,1.H20955+0.399606+1.H00905,dividend_low_vol_100_tr+cyb_growth+csi500_tr,3,0.0136179357512618,-0.01782952108877134,0.14040713333898647,-0.01585861848966652,0.009123770751722696,0.007656558506380362,1
no_bond,1.H20955+1.H00905,dividend_low_vol_100_tr+csi500_tr,2,0.008666216497492515,-0.0185666135535556,0.004098882662789387,-0.08718844375808799,0.01846316139865341,1.1102230246251565e-16,1
no_bond,1.H20955+1.H00852,dividend_low_vol_100_tr+csi1000_tr,2,0.0040323453278743315,-0.012808144710778402,0.008297711305617997,-0.04707854379041032,0.035376317689501335,0.018529308729672955,1
no_bond,1.H20955,dividend_low_vol_100_tr,1,0.0012663900983559777,-0.013897748111487696,-0.013386187932262724,-0.06437311469752338,0.0239836842732859,-1.1102230246251565e-16,1
no_bond,1.H20955+0.399606,dividend_low_vol_100_tr+cyb_growth,2,0.0008825199880881929,-0.022909820131771896,0.1012521285292221,-0.03622263926838254,0.013991264854699112,0.007656558506380473,1
no_bond,0.399606+1.H00852,cyb_growth+csi1000_tr,2,-0.006363553077705457,-0.026992732018593868,0.11800518069716119,-0.036872507516244046,0.0023672756041843712,-0.007143186687523784,1
no_bond,0.399606,cyb_growth,1,-0.006983025367991076,-0.021258159596683424,0.08751813729327769,-0.026193801659696536,0.012152996231753033,0.007656558506380473,1
no_bond,0.399606+1.H00852+1.H00905,cyb_growth+csi1000_tr+csi500_tr,3,-0.00817308611954696,-0.017521770060290986,0.14464171901151765,0.03470156878006858,0.006440595129019251,-0.005578743341183134,0
no_bond,1.H00852,csi1000_tr,1,-0.01934902270897232,-0.02551876295207367,-0.06006027721932342,-0.07121279153258553,0.0006128568859021429,-0.008897605405806419,0
with_bond,1.H00016+1.H00905,sse50_tr+csi500_tr,2,0.059303425901361985,0.045789259060774246,0.20672899501570371,0.18825747844822005,0.0025520425764791557,0.0,3
with_bond,0.399606+1.H00016+1.H00905,cyb_growth+sse50_tr+csi500_tr,3,0.046618030889759465,0.005932136909604591,0.3034160190215203,0.10846141049123248,-0.008549243591238875,-0.01987590798871597,3
with_bond,1.H20955+0.399606+1.H00016+1.H00852+1.H00905,dividend_low_vol_100_tr+cyb_growth+sse50_tr+csi1000_tr+csi500_tr,5,0.04357906282479881,0.006762459500149642,0.44057237595250937,0.2216081127277394,-0.0019124500766264374,-0.029029381259575993,3
with_bond,1.H00016+1.H00852+1.H00905,sse50_tr+csi1000_tr+csi500_tr,3,0.03785636308728635,0.021774863971922853,0.14094853334842425,0.10549065732109808,-0.0020814242265259075,-0.009208023924905717,3
with_bond,1.H00016,sse50_tr,1,0.020574287124823343,0.017405031386223735,0.07644526582394351,0.07591333858094385,0.0017392981103275806,0.0,3
with_bond,1.H00905,csi500_tr,1,0.013425641269007397,0.007455480479255261,0.042028012806675785,0.02898004747075411,-0.002200684531690459,-0.006602053595071489,3
with_bond,1.H20955+1.H00016+1.H00852+1.H00905,dividend_low_vol_100_tr+sse50_tr+csi1000_tr+csi500_tr,4,0.029657897038740295,-0.01004952166872397,0.12273291535893412,-0.0233704475454779,-0.01867868215254324,-0.027192728585864412,2
with_bond,0.399606+1.H00016+1.H00852+1.H00905,cyb_growth+sse50_tr+csi1000_tr+csi500_tr,4,0.0252669488762709,-0.016215828052083214,0.3033978720437163,0.06646203203220546,-0.040043190713015465,-0.0654605059736123,2
with_bond,0.399606+1.H00016+1.H00852,cyb_growth+sse50_tr+csi1000_tr,3,0.02465943378508036,-0.002624433413007443,0.2603608026781032,0.08689404584153304,-0.009602851940811044,-0.020968648867576545,2
with_bond,0.399606+1.H00016,cyb_growth+sse50_tr,2,0.020169034465285174,-0.011049673115862468,0.20776972289064113,0.0293141171374256,-0.0015813997973921357,-0.012572422767916147,2
with_bond,1.H00852+1.H00905,csi1000_tr+csi500_tr,2,0.010140028833895384,-0.0033111407650938673,0.04054321875775294,-0.006558187191393117,-0.002128761403625242,-0.009208023924905717,2
with_bond,0.399606+1.H00905,cyb_growth+csi500_tr,2,0.007892718462395143,-0.023991772674779366,0.14355039896147967,-0.04100771282580051,-0.014518684877944868,-0.03166340630380249,2
with_bond,1.H20955+1.H00016+1.H00905,dividend_low_vol_100_tr+sse50_tr+csi500_tr,3,-0.005261681269795648,-0.04436743071152982,-0.04024552696816105,-0.18617964915337826,-0.01787330671407043,-0.020871686553083024,2
with_bond,1.H00016+1.H00852,sse50_tr+csi1000_tr,2,0.00333024467210441,-0.0020423285564539206,0.02608835324501202,0.004625477091822816,-0.0020814242265260186,-0.009208023924905717,1
with_bond,1.H20955+0.399606+1.H00016+1.H00905,dividend_low_vol_100_tr+cyb_growth+sse50_tr+csi500_tr,4,0.0016190857255364843,-0.023641557156862447,0.11666534860348332,-0.006089599119875833,-0.023600736757032854,-0.043080157932602225,1
with_bond,1.H20955+0.399606+1.H00016+1.H00852,dividend_low_vol_100_tr+cyb_growth+sse50_tr+csi1000_tr,4,-0.0004399044580116751,-0.020282616900564765,0.15737977540287176,0.024031957728255948,-0.020450333448982432,-0.03461259268060546,1
with_bond,1.H20955+1.H00852+1.H00905,dividend_low_vol_100_tr+csi1000_tr+csi500_tr,3,-0.004428020996497084,-0.02200295601767266,-0.011614809956422797,-0.08042685110261472,-0.004860879990255529,-0.009006367363399992,1
with_bond,0.399606+1.H00852+1.H00905,cyb_growth+csi1000_tr+csi500_tr,3,-0.005907706714779841,-0.017652286170742437,0.16778493320488297,0.036530740253783,-0.012858356634577498,-0.030003078060435118,1
with_bond,0.399606,cyb_growth,1,-0.009408240472572308,-0.030611494931651162,0.08244276062769311,-0.06999941397696974,-0.008959669318790886,-0.02446586473147805,1
with_bond,0.399606+1.H00852,cyb_growth+csi1000_tr,2,-0.010104038052066796,-0.02936568709230536,0.10839431830934254,-0.04975185599695697,-0.03527066572891654,-0.04653101446473917,1
with_bond,1.H20955+0.399606+1.H00852,dividend_low_vol_100_tr+cyb_growth+csi1000_tr,3,-0.022612974365232425,-0.04679011160171753,0.05709414811128396,-0.12725686657258284,-0.023525904067011938,-0.033675746377015536,1
with_bond,1.H20955+0.399606+1.H00905,dividend_low_vol_100_tr+cyb_growth+csi500_tr,3,-0.023196896943090756,-0.045953984333794606,0.00984831934761532,-0.14116738363975911,-0.0157644350261202,-0.0316634063038026,1
with_bond,1.H00852,csi1000_tr,1,-0.01682582318752046,-0.02559958405313667,-0.051068576237676876,-0.07156870838398688,-0.002128761403625279,-0.009208023924905717,0
with_bond,1.H20955+0.399606+1.H00852+1.H00905,dividend_low_vol_100_tr+cyb_growth+csi1000_tr+csi500_tr,4,-0.020736050047713766,-0.032105822058684286,0.11229947306391848,0.011819476257466821,-0.004225035668705579,-0.01608021369609558,0
with_bond,1.H20955+0.399606+1.H00016,dividend_low_vol_100_tr+cyb_growth+sse50_tr,3,-0.02308875192397412,-0.03746575211855152,0.022243591491353725,-0.06143993849171403,-0.016237236949160645,-0.03559662895058535,0
with_bond,1.H20955+1.H00905,dividend_low_vol_100_tr+csi500_tr,2,-0.025572553611204585,-0.048487464786485024,-0.1107762893160293,-0.20014185545554974,0.002755607226711495,-1.1102230246251565e-16,0
with_bond,1.H20955,dividend_low_vol_100_tr,1,-0.03435157030400434,-0.04725079948462141,-0.13632476360283033,-0.19109554610826418,0.004145862569093106,1.1102230246251565e-16,0
with_bond,1.H20955+1.H00852,dividend_low_vol_100_tr+csi1000_tr,2,-0.03475862934296603,-0.0482498413849064,-0.12334745406477014,-0.18295605564090833,-0.00430823334319493,-0.009006367363399992,0
with_bond,1.H20955+1.H00016,dividend_low_vol_100_tr+sse50_tr,2,-0.03713057832923986,-0.0630013083141614,-0.14901468790615394,-0.2579826199356413,-0.021911075199501973,-0.027034687369278054,0
with_bond,1.H20955+0.399606,dividend_low_vol_100_tr+cyb_growth,2,-0.037160818704748966,-0.05247135950771997,-0.03943239482260393,-0.1706513781571697,-0.009584676639310915,-0.02446586473147838,0
with_bond,1.H20955+1.H00016+1.H00852,dividend_low_vol_100_tr+sse50_tr+csi1000_tr,3,-0.03844165574206215,-0.06603283006102645,-0.14078964084701392,-0.26006747362706506,-0.02451265002707596,-0.03594368039766327,0
