date,zz1000_close_csindex,zz1000_volume,zz1000_amount,zz1000_constituents,hs300_close_csindex,hs300_volume,hs300_amount,hs300_constituents,amount_ratio_zz1000_hs300
2002-03-28,,,,,1352.53,529.34,53.0,,
2002-03-29,,,,,1313.47,674.25,62.42,,
2002-04-01,,,,,1317.58,424.18,38.39,,
2002-04-02,,,,,1296.57,504.82,47.36,,
2002-04-03,,,,,1302.25,480.37,46.44,,
2002-04-04,,,,,1337.73,619.4,59.97,,
2002-04-05,,,,,1332.2,649.16,61.9,,
2002-04-08,,,,,1333.71,417.16,41.48,,
2002-04-09,,,,,1357.74,807.53,79.3,,
2002-04-10,,,,,1366.72,795.01,78.06,,
2002-04-11,,,,,1344.73,651.71,62.31,,
2002-04-12,,,,,1350.69,503.83,49.33,,
2002-04-15,,,,,1344.58,445.43,42.13,,
2002-04-16,,,,,1341.5,401.73,41.1,,
2002-04-17,,,,,1341.77,377.41,36.97,,
2002-04-18,,,,,1326.55,388.19,37.44,,
2002-04-19,,,,,1330.64,546.4,50.9,,
2002-04-22,,,,,1324.87,417.25,39.2,,
2002-04-23,,,,,1318.66,325.98,29.85,,
2002-04-24,,,,,1309.73,339.58,31.97,,
2002-04-25,,,,,1312.48,277.91,26.71,,
2002-04-26,,,,,1331.71,408.34,39.25,,
2002-04-29,,,,,1349.79,629.74,60.16,,
2002-04-30,,,,,1353.61,615.69,58.34,,
2002-05-08,,,,,1342.29,348.64,32.22,,
2002-05-09,,,,,1344.78,413.48,39.09,,
2002-05-10,,,,,1335.45,378.84,36.25,,
2002-05-13,,,,,1319.81,361.29,33.57,,
2002-05-14,,,,,1311.68,335.33,33.14,,
2002-05-15,,,,,1300.12,355.21,34.29,,
2002-05-16,,,,,1261.52,508.34,45.82,,
2002-05-17,,,,,1277.24,451.11,41.59,,
2002-05-20,,,,,1258.83,347.59,32.53,,
2002-05-21,,,,,1298.88,729.39,72.02,,
2002-05-22,,,,,1280.16,403.56,39.85,,
2002-05-23,,,,,1284.84,385.36,36.75,,
2002-05-24,,,,,1265.97,360.52,33.67,,
2002-05-27,,,,,1270.34,247.87,23.13,,
2002-05-28,,,,,1270.38,293.71,29.0,,
2002-05-29,,,,,1246.02,344.86,31.54,,
2002-05-30,,,,,1245.89,346.72,31.91,,
2002-05-31,,,,,1238.58,291.28,27.44,,
2002-06-03,,,,,1213.39,341.76,30.09,,
2002-06-04,,,,,1219.52,314.55,28.73,,
2002-06-05,,,,,1196.62,302.53,26.07,,
2002-06-06,,,,,1245.61,582.33,51.75,,
2002-06-07,,,,,1252.51,691.43,61.2,,
2002-06-10,,,,,1243.74,372.28,32.62,,
2002-06-11,,,,,1252.85,347.16,30.52,,
2002-06-12,,,,,1246.84,299.69,26.85,,
2002-06-13,,,,,1235.57,305.08,27.49,,
2002-06-14,,,,,1222.12,318.09,26.91,,
2002-06-17,,,,,1224.65,213.32,18.67,,
2002-06-18,,,,,1248.84,442.05,38.47,,
2002-06-19,,,,,1236.05,272.13,23.23,,
2002-06-20,,,,,1245.08,331.97,27.93,,
2002-06-21,,,,,1288.52,1173.81,101.14,,
2002-06-24,,,,,1409.51,3709.33,346.09,,
2002-06-25,,,,,1409.23,3341.04,299.94,,
2002-06-26,,,,,1417.31,1948.28,186.55,,
2002-06-27,,,,,1422.51,1597.99,143.1,,
2002-06-28,,,,,1431.18,2001.21,185.26,,
2002-07-01,,,,,1415.33,1335.83,120.34,,
2002-07-02,,,,,1425.81,1062.65,95.34,,
2002-07-03,,,,,1427.39,994.85,89.64,,
2002-07-04,,,,,1412.62,1038.82,93.06,,
2002-07-05,,,,,1415.4,703.45,62.0,,
2002-07-08,,,,,1423.7,689.22,64.34,,
2002-07-09,,,,,1419.47,712.9,63.59,,
2002-07-10,,,,,1392.9,865.74,78.27,,
2002-07-11,,,,,1390.93,618.36,56.59,,
2002-07-12,,,,,1389.45,485.35,46.83,,
2002-07-15,,,,,1379.38,560.74,50.31,,
2002-07-16,,,,,1382.41,503.49,44.87,,
2002-07-17,,,,,1393.02,436.98,41.13,,
2002-07-18,,,,,1397.41,555.1,51.07,,
2002-07-19,,,,,1403.25,459.07,45.58,,
2002-07-22,,,,,1380.28,549.02,52.6,,
2002-07-23,,,,,1375.61,493.38,48.17,,
2002-07-24,,,,,1372.89,397.5,39.36,,
2002-07-25,,,,,1365.0,388.24,36.53,,
2002-07-26,,,,,1361.41,360.89,33.6,,
2002-07-29,,,,,1368.8,350.57,34.24,,
2002-07-30,,,,,1371.91,416.8,40.35,,
2002-07-31,,,,,1358.16,419.31,43.34,,
2002-08-01,,,,,1355.3,359.56,32.17,,
2002-08-02,,,,,1359.99,264.62,24.79,,
2002-08-05,,,,,1353.48,246.51,24.29,,
2002-08-06,,,,,1368.99,478.75,41.45,,
2002-08-07,,,,,1366.8,258.06,24.4,,
2002-08-08,,,,,1359.68,279.07,25.8,,
2002-08-09,,,,,1350.31,328.01,31.08,,
2002-08-12,,,,,1340.22,279.92,26.48,,
2002-08-13,,,,,1342.36,202.17,19.68,,
2002-08-14,,,,,1351.51,210.6,19.54,,
2002-08-15,,,,,1340.97,236.28,20.68,,
2002-08-16,,,,,1349.62,353.19,30.82,,
2002-08-19,,,,,1347.16,238.39,22.45,,
2002-08-20,,,,,1370.05,652.41,58.38,,
2002-08-21,,,,,1370.96,515.48,46.44,,
2002-08-22,,,,,1381.55,618.31,59.24,,
2002-08-23,,,,,1379.42,422.82,42.45,,
2002-08-26,,,,,1366.18,357.18,33.72,,
2002-08-27,,,,,1369.76,356.42,34.22,,
2002-08-28,,,,,1368.4,310.44,31.01,,
2002-08-29,,,,,1362.67,345.56,31.62,,
2002-08-30,,,,,1361.3,233.81,21.55,,
2002-09-02,,,,,1362.15,226.33,21.67,,
2002-09-03,,,,,1366.71,245.45,24.07,,
2002-09-04,,,,,1358.78,279.03,26.47,,
2002-09-05,,,,,1341.47,429.22,39.36,,
2002-09-06,,,,,1334.34,347.68,30.31,,
2002-09-09,,,,,1323.13,298.34,27.29,,
2002-09-10,,,,,1324.21,232.1,22.12,,
2002-09-11,,,,,1319.03,275.45,24.77,,
2002-09-12,,,,,1322.23,204.93,19.31,,
2002-09-13,,,,,1321.81,202.19,18.78,,
2002-09-16,,,,,1302.62,302.33,27.67,,
2002-09-17,,,,,1304.38,274.53,24.33,,
2002-09-18,,,,,1295.56,192.4,17.78,,
2002-09-19,,,,,1319.82,396.17,35.45,,
2002-09-20,,,,,1305.75,249.24,23.68,,
2002-09-23,,,,,1304.92,173.5,17.04,,
2002-09-24,,,,,1299.19,217.92,20.35,,
2002-09-25,,,,,1299.52,250.53,24.64,,
2002-09-26,,,,,1291.38,265.4,25.72,,
2002-09-27,,,,,1285.65,248.21,23.95,,
2002-10-08,,,,,1272.94,185.91,16.98,,
2002-10-09,,,,,1247.53,274.87,22.29,,
2002-10-10,,,,,1241.55,205.35,17.24,,
2002-10-11,,,,,1237.14,194.2,17.12,,
2002-10-14,,,,,1243.74,232.08,20.2,,
2002-10-15,,,,,1238.97,191.67,16.81,,
2002-10-16,,,,,1247.72,277.99,24.31,,
2002-10-17,,,,,1228.26,239.75,20.6,,
2002-10-18,,,,,1233.67,250.14,22.53,,
2002-10-21,,,,,1237.36,194.74,17.72,,
2002-10-22,,,,,1254.74,348.57,30.07,,
2002-10-23,,,,,1255.64,263.16,22.96,,
2002-10-24,,,,,1244.56,258.14,23.76,,
2002-10-25,,,,,1233.58,262.58,22.87,,
2002-10-28,,,,,1219.43,247.23,21.14,,
2002-10-29,,,,,1226.78,247.46,22.75,,
2002-10-30,,,,,1225.94,220.14,20.17,,
2002-10-31,,,,,1225.34,209.43,19.43,,
2002-11-01,,,,,1227.85,209.69,18.78,,
2002-11-04,,,,,1246.8,304.53,28.74,,
2002-11-05,,,,,1265.73,636.93,56.99,,
2002-11-06,,,,,1260.05,349.82,32.1,,
2002-11-07,,,,,1259.87,380.67,33.29,,
2002-11-08,,,,,1232.95,503.15,42.85,,
2002-11-11,,,,,1218.36,243.09,21.54,,
2002-11-12,,,,,1200.92,436.93,35.67,,
2002-11-13,,,,,1206.42,369.89,31.74,,
2002-11-14,,,,,1183.64,348.61,30.51,,
2002-11-15,,,,,1186.92,377.23,33.91,,
2002-11-18,,,,,1174.83,258.93,23.08,,
2002-11-19,,,,,1182.64,257.8,22.71,,
2002-11-20,,,,,1154.9,318.13,27.32,,
2002-11-21,,,,,1125.38,426.48,33.7,,
2002-11-22,,,,,1128.07,398.14,31.43,,
2002-11-25,,,,,1133.17,281.43,20.82,,
2002-11-26,,,,,1111.05,299.39,22.3,,
2002-11-27,,,,,1118.96,409.65,27.94,,
2002-11-28,,,,,1150.59,463.1,33.65,,
2002-11-29,,,,,1164.62,859.71,67.11,,
2002-12-02,,,,,1132.93,367.86,27.9,,
2002-12-03,,,,,1144.63,291.61,21.22,,
2002-12-04,,,,,1147.54,423.11,33.72,,
2002-12-05,,,,,1139.75,266.73,21.59,,
2002-12-06,,,,,1139.8,238.08,19.72,,
2002-12-09,,,,,1136.25,186.91,15.59,,
2002-12-10,,,,,1122.91,273.43,21.22,,
2002-12-11,,,,,1117.44,238.71,18.84,,
2002-12-12,,,,,1122.23,245.59,20.97,,
2002-12-13,,,,,1132.08,293.87,23.12,,
2002-12-16,,,,,1141.52,392.53,29.87,,
2002-12-17,,,,,1148.6,329.26,26.29,,
2002-12-18,,,,,1143.94,396.35,30.82,,
2002-12-19,,,,,1145.07,282.89,22.29,,
2002-12-20,,,,,1157.34,430.37,33.22,,
2002-12-23,,,,,1159.43,481.76,36.64,,
2002-12-24,,,,,1159.06,325.09,27.48,,
2002-12-25,,,,,1151.16,330.71,27.7,,
2002-12-26,,,,,1119.36,494.83,38.66,,
2002-12-27,,,,,1120.28,427.4,34.83,,
2002-12-30,,,,,1108.94,385.49,31.16,,
2002-12-31,,,,,1103.64,399.16,34.14,,
2003-01-02,,,,,1074.98,321.88,24.04,,
2003-01-03,,,,,1073.52,226.71,16.36,,
2003-01-06,,,,,1084.88,239.36,17.6,,
2003-01-07,,,,,1081.62,229.94,17.16,,
2003-01-08,,,,,1111.83,408.04,28.74,,
2003-01-09,,,,,1132.17,862.51,64.25,,
2003-01-10,,,,,1121.58,780.58,59.13,,
2003-01-13,,,,,1124.33,398.77,31.65,,
2003-01-14,,,,,1185.87,2314.82,163.97,,
2003-01-15,,,,,1177.97,1633.06,123.5,,
2003-01-16,,,,,1196.39,1111.85,84.57,,
2003-01-17,,,,,1190.9,1021.22,76.71,,
2003-01-20,,,,,1194.72,811.46,65.21,,
2003-01-21,,,,,1172.13,745.63,59.43,,
2003-01-22,,,,,1174.57,581.16,44.12,,
2003-01-23,,,,,1167.64,453.44,36.14,,
2003-01-24,,,,,1187.69,814.09,55.48,,
2003-01-27,,,,,1203.32,946.61,69.1,,
2003-01-28,,,,,1206.86,647.78,49.62,,
2003-01-29,,,,,1207.6,720.74,57.94,,
2003-02-10,,,,,1190.46,416.73,33.05,,
2003-02-11,,,,,1201.29,369.75,29.48,,
2003-02-12,,,,,1214.8,603.24,47.18,,
2003-02-13,,,,,1208.84,710.85,58.55,,
2003-02-14,,,,,1213.7,526.68,42.31,,
2003-02-17,,,,,1204.7,589.68,47.09,,
2003-02-18,,,,,1204.94,446.11,35.32,,
2003-02-19,,,,,1216.58,544.33,41.96,,
2003-02-20,,,,,1215.15,542.42,43.56,,
2003-02-21,,,,,1191.63,657.79,51.64,,
2003-02-24,,,,,1192.99,426.64,35.14,,
2003-02-25,,,,,1214.85,662.8,54.27,,
2003-02-26,,,,,1214.4,428.05,35.89,,
2003-02-27,,,,,1215.46,536.68,43.95,,
2003-02-28,,,,,1213.86,423.17,35.37,,
2003-03-03,,,,,1223.41,540.12,44.74,,
2003-03-04,,,,,1222.38,473.39,40.36,,
2003-03-05,,,,,1217.89,474.68,40.33,,
2003-03-06,,,,,1202.44,539.7,44.29,,
2003-03-07,,,,,1198.74,449.99,36.78,,
2003-03-10,,,,,1178.15,480.47,38.53,,
2003-03-11,,,,,1177.8,315.59,26.19,,
2003-03-12,,,,,1182.42,327.91,27.38,,
2003-03-13,,,,,1175.16,340.85,28.27,,
2003-03-14,,,,,1177.61,347.05,30.25,,
2003-03-17,,,,,1179.23,457.17,36.25,,
2003-03-18,,,,,1173.79,443.06,38.75,,
2003-03-19,,,,,1180.23,503.02,42.2,,
2003-03-20,,,,,1175.86,536.3,42.77,,
2003-03-21,,,,,1185.42,424.46,37.47,,
2003-03-24,,,,,1187.64,353.94,31.69,,
2003-03-25,,,,,1176.1,356.66,30.98,,
2003-03-26,,,,,1171.2,400.46,34.9,,
2003-03-27,,,,,1201.37,961.77,77.59,,
2003-03-28,,,,,1199.26,986.99,80.62,,
2003-03-31,,,,,1215.17,895.97,74.56,,
2003-04-01,,,,,1223.56,1061.6,89.79,,
2003-04-02,,,,,1222.97,720.22,59.63,,
2003-04-03,,,,,1215.34,661.99,58.03,,
2003-04-04,,,,,1223.56,718.75,60.02,,
2003-04-07,,,,,1217.92,908.36,76.19,,
2003-04-08,,,,,1221.57,1105.85,85.09,,
2003-04-09,,,,,1243.06,1657.26,126.96,,
2003-04-10,,,,,1255.24,2325.68,194.67,,
2003-04-11,,,,,1275.0,2129.0,168.4,,
2003-04-14,,,,,1306.51,2846.21,234.52,,
2003-04-15,,,,,1317.29,2287.16,200.0,,
2003-04-16,,,,,1304.1,3035.66,274.97,,
2003-04-17,,,,,1307.72,1966.53,176.37,,
2003-04-18,,,,,1300.41,1713.64,149.67,,
2003-04-21,,,,,1274.61,1530.64,132.99,,
2003-04-22,,,,,1274.69,838.09,75.98,,
2003-04-23,,,,,1254.13,1219.72,105.32,,
2003-04-24,,,,,1218.69,1521.1,131.74,,
2003-04-25,,,,,1205.38,918.5,75.52,,
2003-04-28,,,,,1250.68,1606.14,136.22,,
2003-04-29,,,,,1231.57,1514.7,134.16,,
2003-04-30,,,,,1239.95,1514.9,125.8,,
2003-05-12,,,,,1251.31,1410.25,115.76,,
2003-05-13,,,,,1216.43,1746.58,147.64,,
2003-05-14,,,,,1243.1,1578.15,122.93,,
2003-05-15,,,,,1273.37,1984.14,164.8,,
2003-05-16,,,,,1274.26,1379.49,122.25,,
2003-05-19,,,,,1275.86,1157.11,100.72,,
2003-05-20,,,,,1261.33,984.47,85.12,,
2003-05-21,,,,,1259.02,800.14,69.8,,
2003-05-22,,,,,1270.43,859.06,76.65,,
2003-05-23,,,,,1283.67,1612.68,140.0,,
2003-05-26,,,,,1292.69,1302.86,107.33,,
2003-05-27,,,,,1293.68,1227.3,104.06,,
2003-05-28,,,,,1277.69,1220.52,108.5,,
2003-05-29,,,,,1294.77,1328.63,126.77,,
2003-05-30,,,,,1300.87,1361.0,127.01,,
2003-06-02,,,,,1300.49,928.99,82.47,,
2003-06-03,,,,,1285.65,855.99,77.2,,
2003-06-04,,,,,1296.44,1194.18,94.26,,
2003-06-05,,,,,1279.54,994.17,78.59,,
2003-06-06,,,,,1262.06,847.59,72.66,,
2003-06-09,,,,,1249.17,780.07,60.73,,
2003-06-10,,,,,1255.93,497.63,43.24,,
2003-06-11,,,,,1278.27,1088.8,79.26,,
2003-06-12,,,,,1273.51,646.4,51.31,,
2003-06-13,,,,,1277.32,760.76,58.99,,
2003-06-16,,,,,1273.56,614.68,49.89,,
2003-06-17,,,,,1268.92,535.84,46.39,,
2003-06-18,,,,,1266.72,577.24,50.26,,
2003-06-19,,,,,1253.68,704.43,57.3,,
2003-06-20,,,,,1244.66,497.7,41.44,,
2003-06-23,,,,,1231.94,566.24,45.78,,
2003-06-24,,,,,1235.12,464.44,38.46,,
2003-06-25,,,,,1226.64,439.41,36.64,,
2003-06-26,,,,,1238.48,724.48,63.18,,
2003-06-27,,,,,1220.74,572.59,46.68,,
2003-06-30,,,,,1214.55,430.28,36.8,,
2003-07-01,,,,,1215.2,653.7,51.08,,
2003-07-02,,,,,1227.95,651.43,52.62,,
2003-07-03,,,,,1231.17,582.82,48.67,,
2003-07-04,,,,,1229.98,538.42,45.93,,
2003-07-07,,,,,1232.08,523.74,46.06,,
2003-07-08,,,,,1239.85,614.26,51.12,,
2003-07-09,,,,,1231.8,481.28,41.0,,
2003-07-10,,,,,1257.82,1253.28,103.89,,
2003-07-11,,,,,1255.93,777.29,66.59,,
2003-07-14,,,,,1251.09,540.9,48.01,,
2003-07-15,,,,,1254.36,652.82,56.94,,
2003-07-16,,,,,1259.9,634.14,53.86,,
2003-07-17,,,,,1269.4,1189.66,101.67,,
2003-07-18,,,,,1241.57,1041.6,85.8,,
2003-07-21,,,,,1232.15,881.96,70.19,,
2003-07-22,,,,,1235.3,785.82,65.43,,
2003-07-23,,,,,1239.45,587.36,50.05,,
2003-07-24,,,,,1231.02,559.04,45.46,,
2003-07-25,,,,,1218.67,773.44,62.17,,
2003-07-28,,,,,1213.15,469.35,38.93,,
2003-07-29,,,,,1219.76,421.01,35.17,,
2003-07-30,,,,,1221.76,439.43,36.14,,
2003-07-31,,,,,1222.74,438.35,39.07,,
2003-08-01,,,,,1226.24,513.28,44.03,,
2003-08-04,,,,,1240.07,605.95,52.64,,
2003-08-05,,,,,1239.05,475.33,39.32,,
2003-08-06,,,,,1232.94,487.13,42.06,,
2003-08-07,,,,,1232.97,449.23,37.24,,
2003-08-08,,,,,1218.11,477.47,38.37,,
2003-08-11,,,,,1222.2,329.87,26.96,,
2003-08-12,,,,,1225.86,310.96,25.24,,
2003-08-13,,,,,1210.56,373.02,30.66,,
2003-08-14,,,,,1203.24,512.26,45.07,,
2003-08-15,,,,,1201.32,478.2,41.0,,
2003-08-18,,,,,1197.99,312.42,24.98,,
2003-08-19,,,,,1201.66,314.77,25.84,,
2003-08-20,,,,,1195.68,371.04,29.57,,
2003-08-21,,,,,1194.63,351.6,28.58,,
2003-08-22,,,,,1191.43,359.17,30.72,,
2003-08-25,,,,,1177.3,417.88,33.6,,
2003-08-26,,,,,1179.33,340.57,26.91,,
2003-08-27,,,,,1178.4,304.35,23.8,,
2003-08-28,,,,,1169.38,329.01,26.86,,
2003-08-29,,,,,1178.57,386.74,29.85,,
2003-09-01,,,,,1199.81,541.35,42.54,,
2003-09-02,,,,,1197.3,557.04,47.55,,
2003-09-03,,,,,1198.44,471.43,37.44,,
2003-09-04,,,,,1196.5,505.79,39.37,,
2003-09-05,,,,,1183.91,523.59,41.8,,
2003-09-08,,,,,1177.83,400.61,30.48,,
2003-09-09,,,,,1172.05,418.63,31.91,,
2003-09-10,,,,,1176.04,326.07,25.85,,
2003-09-11,,,,,1176.93,294.62,23.78,,
2003-09-12,,,,,1164.18,359.12,27.41,,
2003-09-15,,,,,1152.36,374.86,28.72,,
2003-09-16,,,,,1159.72,413.49,32.25,,
2003-09-17,,,,,1147.3,400.35,30.29,,
2003-09-18,,,,,1148.08,373.58,27.94,,
2003-09-19,,,,,1149.29,326.24,25.11,,
2003-09-22,,,,,1141.14,311.37,25.31,,
2003-09-23,,,,,1147.29,370.15,29.24,,
2003-09-24,,,,,1150.49,337.82,26.26,,
2003-09-25,,,,,1136.69,300.26,24.16,,
2003-09-26,,,,,1131.3,271.49,21.6,,
2003-09-29,,,,,1116.55,326.58,25.32,,
2003-09-30,,,,,1127.14,415.51,30.98,,
2003-10-08,,,,,1131.27,342.53,22.44,,
2003-10-09,,,,,1128.77,422.83,25.19,,
2003-10-10,,,,,1155.42,880.76,56.39,,
2003-10-13,,,,,1151.78,604.94,40.52,,
2003-10-14,,,,,1142.3,457.73,31.17,,
2003-10-15,,,,,1139.02,487.56,32.72,,
2003-10-16,,,,,1124.37,437.14,30.65,,
2003-10-17,,,,,1128.1,380.41,26.32,,
2003-10-20,,,,,1120.36,387.46,25.57,,
2003-10-21,,,,,1124.54,497.18,31.36,,
2003-10-22,,,,,1152.83,1217.47,79.41,,
2003-10-23,,,,,1143.71,783.49,52.46,,
2003-10-24,,,,,1140.03,641.83,43.31,,
2003-10-27,,,,,1130.46,611.38,43.17,,
2003-10-28,,,,,1130.71,815.05,54.01,,
2003-10-29,,,,,1123.22,950.67,64.54,,
2003-10-30,,,,,1110.8,627.38,42.59,,
2003-10-31,,,,,1111.62,638.54,41.93,,
2003-11-03,,,,,1123.48,737.06,46.89,,
2003-11-04,,,,,1145.17,2074.53,136.1,,
2003-11-05,,,,,1138.91,1261.93,80.85,,
2003-11-06,,,,,1118.92,1339.28,87.61,,
2003-11-07,,,,,1103.78,1169.65,76.03,,
2003-11-10,,,,,1108.03,625.41,41.39,,
2003-11-11,,,,,1108.89,720.5,47.5,,
2003-11-12,,,,,1089.31,712.16,45.94,,
2003-11-13,,,,,1091.71,638.12,42.74,,
2003-11-14,,,,,1100.02,555.83,37.33,,
2003-11-17,,,,,1095.95,426.76,29.48,,
2003-11-18,,,,,1081.0,521.71,34.73,,
2003-11-19,,,,,1098.05,680.43,47.01,,
2003-11-20,,,,,1129.13,1383.91,91.63,,
2003-11-21,,,,,1115.47,1464.07,96.94,,
2003-11-24,,,,,1147.59,1397.82,94.19,,
2003-11-25,,,,,1151.54,1861.7,129.73,,
2003-11-26,,,,,1155.27,1323.16,89.75,,
2003-11-27,,,,,1136.02,1172.68,78.18,,
2003-11-28,,,,,1142.98,877.28,61.05,,
2003-12-01,,,,,1168.51,1428.2,97.87,,
2003-12-02,,,,,1168.4,1476.36,100.96,,
2003-12-03,,,,,1172.47,1619.67,109.75,,
2003-12-04,,,,,1178.65,1357.32,98.52,,
2003-12-05,,,,,1176.66,1106.87,79.08,,
2003-12-08,,,,,1164.43,1052.74,73.6,,
2003-12-09,,,,,1169.28,816.84,59.87,,
2003-12-10,,,,,1184.68,1562.48,111.06,,
2003-12-11,,,,,1184.63,1385.85,103.23,,
2003-12-12,,,,,1183.11,1058.13,77.76,,
2003-12-15,,,,,1184.67,851.96,63.48,,
2003-12-16,,,,,1178.35,1207.74,83.29,,
2003-12-17,,,,,1169.41,1281.03,91.96,,
2003-12-18,,,,,1173.4,1047.9,78.06,,
2003-12-19,,,,,1163.64,1918.72,137.61,,
2003-12-22,,,,,1195.44,2216.78,167.41,,
2003-12-23,,,,,1201.08,1996.06,143.05,,
2003-12-24,,,,,1212.33,1639.96,127.36,,
2003-12-25,,,,,1209.06,1655.25,122.83,,
2003-12-26,,,,,1208.52,1223.53,94.15,,
2003-12-29,,,,,1199.25,1124.42,84.22,,
2003-12-30,,,,,1207.1,1133.57,85.44,,
2003-12-31,,,,,1194.74,1088.87,83.95,,
2004-01-02,,,,,1204.61,1361.52,102.27,,
2004-01-05,,,,,1240.47,2485.95,189.86,,
2004-01-06,,,,,1251.14,2786.32,208.22,,
2004-01-07,,,,,1266.27,2633.57,201.96,,
2004-01-08,,,,,1284.34,2235.16,177.95,,
2004-01-09,,,,,1266.41,2599.89,208.02,,
2004-01-12,,,,,1294.68,1872.02,153.45,,
2004-01-13,,,,,1293.18,2118.39,171.05,,
2004-01-14,,,,,1277.96,1637.38,128.94,,
2004-01-15,,,,,1273.62,1474.38,116.7,,
2004-01-16,,,,,1284.3,1651.99,133.29,,
2004-01-29,,,,,1311.95,1448.26,117.39,,
2004-01-30,,,,,1281.33,1849.53,147.56,,
2004-02-02,,,,,1307.27,2807.68,223.52,,
2004-02-03,,,,,1321.0,1956.72,155.9,,
2004-02-04,,,,,1348.86,2557.28,209.04,,
2004-02-05,,,,,1353.85,2529.33,207.04,,
2004-02-06,,,,,1347.22,2757.56,221.88,,
2004-02-09,,,,,1368.84,2243.21,182.81,,
2004-02-10,,,,,1363.06,2334.25,191.89,,
2004-02-11,,,,,1354.75,2189.47,172.83,,
2004-02-12,,,,,1345.66,2168.28,173.86,,
2004-02-13,,,,,1342.34,1764.07,145.83,,
2004-02-16,,,,,1373.3,1797.95,151.43,,
2004-02-17,,,,,1380.37,2247.08,195.31,,
2004-02-18,,,,,1391.36,2454.89,216.45,,
2004-02-19,,,,,1385.98,2038.31,175.31,,
2004-02-20,,,,,1391.1,1807.96,155.81,,
2004-02-23,,,,,1359.24,2273.89,188.64,,
2004-02-24,,,,,1356.31,2129.41,174.3,,
2004-02-25,,,,,1329.44,2004.01,164.28,,
2004-02-26,,,,,1335.86,1948.09,157.24,,
2004-02-27,,,,,1351.61,1794.44,148.6,,
2004-03-01,,,,,1366.91,1831.31,155.89,,
2004-03-02,,,,,1363.19,1729.2,148.61,,
2004-03-03,,,,,1341.22,1462.03,123.42,,
2004-03-04,,,,,1349.85,1331.61,113.01,,
2004-03-05,,,,,1341.76,1158.51,96.77,,
2004-03-08,,,,,1317.3,1193.01,99.41,,
2004-03-09,,,,,1314.17,1389.3,108.36,,
2004-03-10,,,,,1344.99,1264.48,104.8,,
2004-03-11,,,,,1357.84,1604.01,139.44,,
2004-03-12,,,,,1358.51,1321.86,113.18,,
2004-03-15,,,,,1389.68,2242.77,195.35,,
2004-03-16,,,,,1395.37,1806.6,159.16,,
2004-03-17,,,,,1398.02,1578.44,140.25,,
