date,scenario,position,return,nav,trade_count,stop_exit_count
2020-05-08,six_all_etf_original_conditions,159915.SZ,0.008395061728394992,1.0475066067262633,20,6
2020-05-11,six_all_etf_original_conditions,513520.SH,-0.008814887365327984,1.0382729539735343,21,6
2020-05-12,six_all_etf_original_conditions,513520.SH,-0.012048192771084376,1.025763641275058,21,6
2020-05-13,six_all_etf_original_conditions,159941.SZ,0.0060975609756097615,1.0320182976242962,22,6
2020-05-14,six_all_etf_original_conditions,159941.SZ,-0.018932038834951537,1.0124800871352924,22,6
2020-05-15,six_all_etf_original_conditions,159941.SZ,0.009896091044037547,1.0224996822578583,22,6
2020-05-18,six_all_etf_original_conditions,159941.SZ,0.007349338559529794,1.0300143785997828,22,6
2020-05-19,six_all_etf_original_conditions,159941.SZ,0.018482490272373475,1.049051609332658,22,6
2020-05-20,six_all_etf_original_conditions,159915.SZ,-0.00859598853868182,1.0400339737223487,23,6
2020-05-21,six_all_etf_original_conditions,159915.SZ,-0.010289073983341446,1.0293329872215309,23,6
2020-05-22,six_all_etf_original_conditions,513520.SH,-0.023762376237623783,1.0048735895053758,24,6
2020-05-25,six_all_etf_original_conditions,513520.SH,0.02323232323232305,1.0282191375443894,24,6
2020-05-26,six_all_etf_original_conditions,513520.SH,0.019743336623889496,1.0485196141000537,24,6
2020-05-27,six_all_etf_original_conditions,513520.SH,0.015488867376573179,1.064759995344585,24,6
2020-05-28,six_all_etf_original_conditions,513520.SH,0.018112488083889433,1.084045448072466,24,6
2020-05-29,six_all_etf_original_conditions,513520.SH,-0.0018726591760299671,1.0820154004168996,24,6
2020-06-01,six_all_etf_original_conditions,513520.SH,0.004690431519699612,1.0870905195558154,24,6
2020-06-02,six_all_etf_original_conditions,513520.SH,0.013071895424836555,1.1013008531447803,24,6
2020-06-03,six_all_etf_original_conditions,513030.SH,0.0036866359447005337,1.1053609484559133,25,6
2020-06-04,six_all_etf_original_conditions,513030.SH,0.02350636630754166,1.1313439678123696,25,6
2020-06-05,six_all_etf_original_conditions,513030.SH,0.02200956937799048,1.156244361362307,25,6
2020-06-08,six_all_etf_original_conditions,513520.SH,0.014044943820224587,1.172483748460092,26,6
2020-06-09,six_all_etf_original_conditions,513520.SH,0.012773722627737127,1.1874607306484508,26,6
2020-06-10,six_all_etf_original_conditions,513520.SH,0.008108108108108025,1.1970887906266814,26,6
2020-06-11,six_all_etf_original_conditions,513520.SH,-0.02859696157283287,1.1628556884818613,26,6
2020-06-12,six_all_etf_original_conditions,513520.SH,-0.013799448022078997,1.146808921851477,26,6
2020-06-15,six_all_etf_original_conditions,CASH,0.0,1.146808921851477,27,7
2020-06-16,six_all_etf_original_conditions,159941.SZ,0.0,1.146808921851477,28,7
2020-06-17,six_all_etf_original_conditions,159915.SZ,0.014265991716521098,1.1631692884310427,29,7
2020-06-18,six_all_etf_original_conditions,513030.SH,0.002742230347348995,1.1663589665528826,30,7
2020-06-19,six_all_etf_original_conditions,513030.SH,0.0009643201542912649,1.167483710011468,30,7
2020-06-22,six_all_etf_original_conditions,513030.SH,-0.013487475915221592,1.1517373015912746,30,7
2020-06-23,six_all_etf_original_conditions,159915.SZ,0.005859375,1.158485762342786,31,7
2020-06-24,six_all_etf_original_conditions,159915.SZ,0.0,1.158485762342786,31,7
2020-06-29,six_all_etf_original_conditions,159915.SZ,-0.005201560468140465,1.1524598285984802,31,7
2020-06-30,six_all_etf_original_conditions,159915.SZ,0.02788671023965139,1.1845981419014442,31,7
2020-07-01,six_all_etf_original_conditions,159915.SZ,-0.007206443408223739,1.1760614024303444,31,7
2020-07-02,six_all_etf_original_conditions,159915.SZ,0.0034158838599487318,1.1800786915932149,31,7
2020-07-03,six_all_etf_original_conditions,159915.SZ,0.012765957446808418,1.1951435259539793,31,7
2020-07-06,six_all_etf_original_conditions,159941.SZ,0.02941176470588247,1.2302948061290966,32,7
2020-07-07,six_all_etf_original_conditions,159941.SZ,0.004826678367705117,1.2362330434557398,32,7
2020-07-08,six_all_etf_original_conditions,159941.SZ,-0.0004366812227073469,1.2356932036987722,32,7
2020-07-09,six_all_etf_original_conditions,159941.SZ,0.009611183923110334,1.2475696783520587,32,7
2020-07-10,six_all_etf_original_conditions,159941.SZ,-0.0008654262224144782,1.2464899988381235,32,7
2020-07-13,six_all_etf_original_conditions,159941.SZ,0.019055868341273374,1.2702429481446968,32,7
2020-07-14,six_all_etf_original_conditions,159941.SZ,-0.014449638759031158,1.2518883964077991,32,7
2020-07-15,six_all_etf_original_conditions,159941.SZ,0.002587322121604174,1.2551274349496047,32,7
2020-07-16,six_all_etf_original_conditions,CASH,0.0,1.2551274349496047,33,8
2020-07-17,six_all_etf_original_conditions,513030.SH,0.0,1.2551274349496047,34,8
2020-07-20,six_all_etf_original_conditions,513030.SH,0.0027726432532346745,1.2586074555640674,34,8
2020-07-21,six_all_etf_original_conditions,513030.SH,0.023041474654378113,1.2876076273512582,34,8
2020-07-22,six_all_etf_original_conditions,513030.SH,-0.0018018018018017834,1.285287613608283,34,8
2020-07-23,six_all_etf_original_conditions,513030.SH,0.011732851985559511,1.300367702937622,34,8
2020-07-24,six_all_etf_original_conditions,513030.SH,-0.02140945584299736,1.272527538021919,34,8
2020-07-27,six_all_etf_original_conditions,159915.SZ,0.0027347310847767314,1.276007558636382,35,8
2020-07-28,six_all_etf_original_conditions,159915.SZ,0.012992125984252034,1.2925856095950436,35,8
2020-07-29,six_all_etf_original_conditions,159915.SZ,0.04158569762922659,1.3463386839155527,35,8
2020-07-30,six_all_etf_original_conditions,159915.SZ,-0.010447761194029903,1.3322724588597186,35,8
2020-07-31,six_all_etf_original_conditions,513030.SH,0.02111613876319751,1.3604049089713868,36,8
2020-08-03,six_all_etf_original_conditions,518880.SH,-0.0018331805682859637,1.3579110411272597,37,8
2020-08-04,six_all_etf_original_conditions,518880.SH,0.0014285714285715567,1.359850914043156,37,8
2020-08-05,six_all_etf_original_conditions,518880.SH,0.02710413694721825,1.3967084994451817,37,8
2020-08-06,six_all_etf_original_conditions,518880.SH,0.007638888888888751,1.40737780048261,37,8
2020-08-07,six_all_etf_original_conditions,518880.SH,0.005743165632897007,1.415460604298844,37,8
2020-08-10,six_all_etf_original_conditions,518880.SH,-0.0066240292370945975,1.4060845518720129,37,8
2020-08-11,six_all_etf_original_conditions,518880.SH,-0.02207404000919755,1.3750465852176754,37,8
2020-08-12,six_all_etf_original_conditions,CASH,0.0,1.3750465852176754,38,9
2020-08-13,six_all_etf_original_conditions,513030.SH,0.0,1.3750465852176754,39,9
2020-08-14,six_all_etf_original_conditions,159941.SZ,-0.002673796791443972,1.3713699900700345,40,9
2020-08-17,six_all_etf_original_conditions,159941.SZ,-0.0016474464579900872,1.3691107314372997,40,9
2020-08-18,six_all_etf_original_conditions,159941.SZ,0.0024752475247524774,1.3724996193864019,40,9
2020-08-19,six_all_etf_original_conditions,159941.SZ,0.009053497942386857,1.3849255418664435,40,9
2020-08-20,six_all_etf_original_conditions,159941.SZ,-0.0036704730831973453,1.3798422099427903,40,9
2020-08-21,six_all_etf_original_conditions,159941.SZ,0.020466639377814122,1.4080829428519754,40,9
2020-08-24,six_all_etf_original_conditions,159941.SZ,0.026875250701965614,1.4459255249502838,40,9
2020-08-25,six_all_etf_original_conditions,159941.SZ,0.030078124999999956,1.489416253630429,40,9
2020-08-26,six_all_etf_original_conditions,159941.SZ,-0.017823284034888198,1.4628699646957948,40,9
2020-08-27,six_all_etf_original_conditions,159941.SZ,0.03667953667953672,1.5165273572232467,40,9
2020-08-28,six_all_etf_original_conditions,159941.SZ,0.010055865921787754,1.531777352994207,40,9
2020-08-31,six_all_etf_original_conditions,159941.SZ,0.01954277286135686,1.561712529877943,40,9
2020-09-01,six_all_etf_original_conditions,159941.SZ,0.0206148282097649,1.5939069653944142,40,9
2020-09-02,six_all_etf_original_conditions,513030.SH,0.05457122608079379,1.6808884227547047,41,9
2020-09-03,six_all_etf_original_conditions,513030.SH,0.019572953736654686,1.713788374089761,41,9
2020-09-04,six_all_etf_original_conditions,513030.SH,-0.02617801047120405,1.6689248040874116,41,9
2020-09-07,six_all_etf_original_conditions,159985.SZ,-0.0116487455197134,1.6494839237530599,42,9
2020-09-08,six_all_etf_original_conditions,159985.SZ,0.002868068833651982,1.6542147571863859,42,9
2020-09-09,six_all_etf_original_conditions,159985.SZ,-0.008579599618684375,1.6400222568864076,42,9
2020-09-10,six_all_etf_original_conditions,159941.SZ,0.006730769230769207,1.6510608682308352,43,9
2020-09-11,six_all_etf_original_conditions,159941.SZ,-0.02328159645232819,1.6126215353784543,43,9
2020-09-14,six_all_etf_original_conditions,159941.SZ,0.02156640181611813,1.6473999793877514,43,9
2020-09-15,six_all_etf_original_conditions,159941.SZ,0.010740740740740717,1.6650942754626568,43,9
2020-09-16,six_all_etf_original_conditions,159941.SZ,-0.004397215097105223,1.657772497776489,43,9
2020-09-17,six_all_etf_original_conditions,159985.SZ,-0.039013617960986346,1.593096794882007,44,9
2020-09-18,six_all_etf_original_conditions,159985.SZ,0.029850746268656803,1.6406519230874401,44,9
2020-09-21,six_all_etf_original_conditions,159985.SZ,-0.009057971014492794,1.6257909455232422,44,9
2020-09-22,six_all_etf_original_conditions,159985.SZ,-0.01188299817184657,1.606471674689785,44,9
2020-09-23,six_all_etf_original_conditions,159985.SZ,-0.0046253469010174575,1.5990411859076863,44,9
2020-09-24,six_all_etf_original_conditions,159985.SZ,0.0009293680297397522,1.600527283664106,44,9
2020-09-25,six_all_etf_original_conditions,159985.SZ,-0.004642525533890329,1.5930967948820072,44,9
2020-09-28,six_all_etf_original_conditions,159985.SZ,0.008395522388059629,1.6064716746897851,44,9
2020-09-29,six_all_etf_original_conditions,159985.SZ,-0.00832562442183149,1.5930967948820074,44,9
2020-09-30,six_all_etf_original_conditions,159985.SZ,0.005597014925373234,1.6020133814205262,44,9
2020-10-09,six_all_etf_original_conditions,159985.SZ,0.05751391465677158,1.6941514423185524,44,9
2020-10-12,six_all_etf_original_conditions,159985.SZ,0.007894736842105399,1.7075263221263306,44,9
2020-10-13,six_all_etf_original_conditions,159985.SZ,-0.0174064403829417,1.677804366997935,44,9
2020-10-14,six_all_etf_original_conditions,159985.SZ,-0.001771479185119551,1.6748321714850956,44,9
2020-10-15,six_all_etf_original_conditions,159985.SZ,0.0,1.6748321714850956,44,9
2020-10-16,six_all_etf_original_conditions,159985.SZ,0.015084294587400127,1.7000958333442318,44,9
2020-10-19,six_all_etf_original_conditions,159985.SZ,-0.0008741258741258306,1.698609735587812,44,9
2020-10-20,six_all_etf_original_conditions,159985.SZ,0.002624671916010346,1.7030680288570712,44,9
2020-10-21,six_all_etf_original_conditions,159915.SZ,-0.0008726003490400203,1.7015819311006517,45,9
2020-10-22,six_all_etf_original_conditions,159915.SZ,-0.011485451761102716,1.6820384939134312,45,9
2020-10-23,six_all_etf_original_conditions,159985.SZ,-0.025561580170410436,1.6390429321015465,46,9
2020-10-26,six_all_etf_original_conditions,159985.SZ,0.007073386383731117,1.6506365160598242,46,9
2020-10-27,six_all_etf_original_conditions,159985.SZ,-0.0035118525021948788,1.6448397240806854,46,9
2020-10-28,six_all_etf_original_conditions,159985.SZ,-0.00440528634361248,1.6375937341067615,46,9
2020-10-29,six_all_etf_original_conditions,159985.SZ,-0.009734513274336165,1.6216525561641295,46,9
2020-10-30,six_all_etf_original_conditions,159985.SZ,-0.0017873100983020196,1.61875416017456,46,9
2020-11-02,six_all_etf_original_conditions,159985.SZ,-0.008952551477171,1.6042621802267125,46,9
2020-11-03,six_all_etf_original_conditions,159985.SZ,0.005420054200542035,1.612957368195421,46,9
2020-11-04,six_all_etf_original_conditions,159915.SZ,0.008086253369272267,1.6260001501484838,47,9
2020-11-05,six_all_etf_original_conditions,159915.SZ,0.012039127163280705,1.6455757727236349,47,9
2020-11-06,six_all_etf_original_conditions,159915.SZ,-0.019702602230483257,1.6131536478335409,47,9
2020-11-09,six_all_etf_original_conditions,159915.SZ,0.031095942358740913,1.6633161806823653,47,9
2020-11-10,six_all_etf_original_conditions,513520.SH,-0.01655020228025006,1.6357879614360593,48,9
2020-11-11,six_all_etf_original_conditions,513520.SH,0.012142237640936804,1.6556500875939995,48,9
2020-11-12,six_all_etf_original_conditions,513520.SH,0.010282776349614497,1.6726747671579483,48,9
2020-11-13,six_all_etf_original_conditions,513520.SH,-0.004240882103477617,1.6655811506729696,48,9
2020-11-16,six_all_etf_original_conditions,513520.SH,0.022998296422487297,1.7038866796918541,48,9
2020-11-17,six_all_etf_original_conditions,513520.SH,-0.0016652789342215257,1.7010492330978626,48,9
2020-11-18,six_all_etf_original_conditions,513520.SH,-0.012510425354462118,1.6797683836429267,48,9
2020-11-19,six_all_etf_original_conditions,513520.SH,0.0016891891891892552,1.6826058302369182,48,9
2020-11-20,six_all_etf_original_conditions,513520.SH,-0.002529510961214121,1.6783496603459311,48,9
2020-11-23,six_all_etf_original_conditions,513520.SH,0.01183431952662728,1.6982117865038713,48,9
2020-11-24,six_all_etf_original_conditions,513520.SH,0.012531328320801949,1.719492635958807,48,9
2020-11-25,six_all_etf_original_conditions,513520.SH,0.0033003300330032292,1.7251675291467896,48,9
2020-11-26,six_all_etf_original_conditions,513520.SH,0.012335526315789602,1.7464483786017255,48,9
2020-11-27,six_all_etf_original_conditions,513520.SH,0.004874086108854536,1.7549607183836997,48,9
2020-11-30,six_all_etf_original_conditions,513520.SH,0.0,1.7549607183836997,48,9
2020-12-01,six_all_etf_original_conditions,513520.SH,0.01212611156022625,1.7762415678386352,48,9
2020-12-02,six_all_etf_original_conditions,513520.SH,-0.00559105431309892,1.7663105047596654,48,9
2020-12-03,six_all_etf_original_conditions,513520.SH,-0.0016064257028112205,1.7634730581656741,48,9
2020-12-04,six_all_etf_original_conditions,513520.SH,-0.006436041834271933,1.7521232717897084,48,9
2020-12-07,six_all_etf_original_conditions,513520.SH,-0.0024291497975709175,1.747867101898721,48,9
2020-12-08,six_all_etf_original_conditions,513520.SH,-0.010551948051947924,1.729423699037777,48,9
2020-12-09,six_all_etf_original_conditions,513520.SH,0.01968826907301069,1.7634730581656741,48,9
2020-12-10,six_all_etf_original_conditions,513520.SH,-0.0032180209171359664,1.7577981649776913,48,9
2020-12-11,six_all_etf_original_conditions,513520.SH,-0.0032284100080710587,1.7521232717897084,48,9
2020-12-14,six_all_etf_original_conditions,513520.SH,0.0008097165991902688,1.7535419950867042,48,9
2020-12-15,six_all_etf_original_conditions,513520.SH,-0.0008090614886731018,1.7521232717897086,48,9
2020-12-16,six_all_etf_original_conditions,513520.SH,0.006477732793522373,1.7634730581656746,48,9
2020-12-17,six_all_etf_original_conditions,513030.SH,0.00482703137570395,1.771985397947649,49,9
2020-12-18,six_all_etf_original_conditions,513030.SH,0.0061619718309859906,1.782904322054721,49,9
2020-12-21,six_all_etf_original_conditions,159915.SZ,-0.01837270341207342,1.7501475497335057,50,9
2020-12-22,six_all_etf_original_conditions,159915.SZ,-0.021598272138228958,1.712347386672307,50,9
2020-12-23,six_all_etf_original_conditions,159915.SZ,0.009933774834437026,1.7293574600498463,50,9
2020-12-24,six_all_etf_original_conditions,159915.SZ,-0.006921675774134828,1.7173874084137999,50,9
2020-12-25,six_all_etf_original_conditions,159915.SZ,0.00843727072633893,1.7318774709205926,50,9
2020-12-28,six_all_etf_original_conditions,159915.SZ,-0.0014550745725718794,1.729357460049846,50,9
2020-12-29,six_all_etf_original_conditions,159915.SZ,-0.010200364298724951,1.7117173839546198,50,9
2020-12-30,six_all_etf_original_conditions,159915.SZ,0.030180345969819555,1.7633776068049247,50,9
2020-12-31,six_all_etf_original_conditions,159915.SZ,0.023937120400143064,1.8055877888899303,50,9
2021-01-04,six_all_etf_original_conditions,159915.SZ,0.03838101884159095,1.8748880878354612,50,9
2021-01-05,six_all_etf_original_conditions,159985.SZ,0.0040322580645162365,1.8824481204477013,51,9
2021-01-06,six_all_etf_original_conditions,159985.SZ,0.008600469116497367,1.8986380573710202,51,9
2021-01-07,six_all_etf_original_conditions,159985.SZ,-0.0031007751937984773,1.8927508075807224,51,9
2021-01-08,six_all_etf_original_conditions,159985.SZ,0.0038880248833592645,1.9001098698185945,51,9
2021-01-11,six_all_etf_original_conditions,159985.SZ,0.024012393493415995,1.945736055693402,51,9
2021-01-12,six_all_etf_original_conditions,159985.SZ,0.00302571860816947,1.9516233054836998,51,9
2021-01-13,six_all_etf_original_conditions,159915.SZ,0.044494720965309265,2.0384602398905916,52,9
2021-01-14,six_all_etf_original_conditions,159915.SZ,-0.01256198347107429,2.012853136050644,52,9
2021-01-15,six_all_etf_original_conditions,159915.SZ,0.001004352192835567,2.014874749511692,52,9
2021-01-18,six_all_etf_original_conditions,159915.SZ,0.0187290969899665,2.052611534117931,52,9
2021-01-19,six_all_etf_original_conditions,159915.SZ,-0.022980958634274407,2.005440553360132,52,9
2021-01-20,six_all_etf_original_conditions,159985.SZ,0.040322580645161255,2.086305091802073,53,9
2021-01-21,six_all_etf_original_conditions,159915.SZ,0.007716049382715973,2.1024031249178297,54,9
2021-01-22,six_all_etf_original_conditions,159915.SZ,0.02046599496221657,2.1454308966809466,54,9
2021-01-25,six_all_etf_original_conditions,159915.SZ,0.000308546744831828,2.146092862400379,54,9
2021-01-26,six_all_etf_original_conditions,159915.SZ,-0.02776064157927205,2.086515947651448,54,9
2021-01-27,six_all_etf_original_conditions,159915.SZ,0.004441624365482122,2.0957834677235034,54,9
2021-01-28,six_all_etf_original_conditions,CASH,0.0,2.0957834677235034,55,10
2021-01-29,six_all_etf_original_conditions,159941.SZ,0.0,2.0957834677235034,56,10
2021-02-01,six_all_etf_original_conditions,159941.SZ,-0.0038211692777989636,2.0877751243237195,56,10
2021-02-02,six_all_etf_original_conditions,159915.SZ,0.025700038358266175,2.141431025102273,57,10
2021-02-03,six_all_etf_original_conditions,159915.SZ,-0.0038486209108402614,2.133189468879942,57,10
2021-02-04,six_all_etf_original_conditions,159941.SZ,-0.0025756600128783447,2.127695098065055,58,10
2021-02-05,six_all_etf_original_conditions,159941.SZ,0.014519731943410275,2.1585886605462674,58,10
2021-02-08,six_all_etf_original_conditions,159941.SZ,0.004770642201834763,2.1688865147066716,58,10
2021-02-09,six_all_etf_original_conditions,159941.SZ,-0.00036523009495981196,2.168094372078948,58,10
2021-02-10,six_all_etf_original_conditions,159941.SZ,0.004384362440628342,2.1776000836116287,58,10
2021-02-18,six_all_etf_original_conditions,159941.SZ,-0.0065478355765733465,2.1633415163126073,58,10
2021-02-19,six_all_etf_original_conditions,159941.SZ,-0.0010984987184180506,2.160965088429437,58,10
2021-02-22,six_all_etf_original_conditions,159941.SZ,-0.01026392961876832,2.138785094853182,58,10
2021-02-23,six_all_etf_original_conditions,159941.SZ,-0.013333333333333308,2.1102679602551397,58,10
2021-02-24,six_all_etf_original_conditions,159941.SZ,-0.01951951951951958,2.0690765436135226,58,10
2021-02-25,six_all_etf_original_conditions,159941.SZ,0.020290964777947895,2.111060102882863,58,10
2021-02-26,six_all_etf_original_conditions,CASH,0.0,2.111060102882863,59,11
2021-03-01,six_all_etf_original_conditions,513520.SH,0.0,2.111060102882863,60,11
2021-03-02,six_all_etf_original_conditions,513520.SH,-0.009077155824508298,2.0918976813740926,60,11
2021-03-03,six_all_etf_original_conditions,513520.SH,0.004580152671755711,2.101478892128478,60,11
2021-03-04,six_all_etf_original_conditions,513520.SH,-0.0227963525835867,2.053572838356552,60,11
2021-03-05,six_all_etf_original_conditions,513520.SH,-0.013996889580093375,2.0248292060933966,60,11
2021-03-08,six_all_etf_original_conditions,513030.SH,-0.0023659305993691815,2.020038600716204,61,11
2021-03-09,six_all_etf_original_conditions,513030.SH,0.04166666666666674,2.104206875746046,61,11
2021-03-10,six_all_etf_original_conditions,513030.SH,0.002553191489361506,2.1095793188330565,61,11
2021-03-11,six_all_etf_original_conditions,513030.SH,0.025466893039049365,2.1633037497031684,61,11
2021-03-12,six_all_etf_original_conditions,513030.SH,-0.024834437086092787,2.1095793188330565,61,11
2021-03-15,six_all_etf_original_conditions,513030.SH,-0.006791171477079749,2.0952528039343603,61,11
2021-03-16,six_all_etf_original_conditions,513030.SH,-0.002564102564102444,2.0898803608473493,61,11
2021-03-17,six_all_etf_original_conditions,513030.SH,0.0025706940874035134,2.0952528039343603,61,11
2021-03-18,six_all_etf_original_conditions,513030.SH,0.018803418803418737,2.1346507199057756,61,11
2021-03-19,six_all_etf_original_conditions,513030.SH,-0.005033557046979831,2.123905833731753,61,11
2021-03-22,six_all_etf_original_conditions,513030.SH,-0.006745362563237767,2.1095793188330565,61,11
2021-03-23,six_all_etf_original_conditions,513030.SH,0.0,2.1095793188330565,61,11
