date,nav,hold
2017-05-18,98112.57639888825,NASDAQ_159941
2017-05-19,98188.86369613132,NASDAQ_159941
2017-05-22,97840.40332350119,1.H00016
2017-05-23,99083.03842048685,1.H00016
2017-05-24,98909.42113685039,1.H00016
2017-05-25,101659.04169758825,1.H00016
2017-05-26,101565.48301671364,1.H00016
2017-05-31,101888.54302550551,1.H00016
2017-06-01,102602.47738895811,1.H00016
2017-06-02,101740.04216626493,1.H00016
2017-06-05,100707.75712359468,1.H00016
2017-06-06,101353.56318587349,1.H00016
2017-06-07,102094.49770555165,1.H00016
2017-06-08,103039.8171287512,1.H00016
2017-06-09,103596.14592911971,1.H00016
2017-06-12,103674.00684474691,1.H00016
2017-06-13,103445.13342743955,1.H00016
2017-06-14,102251.78931333078,1.H00016
2017-06-15,101618.5414632499,1.H00016
2017-06-16,101464.38940852026,1.H00016
2017-06-19,102760.39690734715,1.H00016
2017-06-20,102359.47598292808,1.H00016
2017-06-21,103303.85354021277,1.H00016
2017-06-22,103925.89152360619,0.399606
2017-06-23,104454.53343738026,0.399606
2017-06-26,105264.1551918788,0.399606
2017-06-27,105193.63258363372,0.399606
2017-06-28,104515.06071532289,0.399606
2017-06-29,104619.90905634212,1.H00016
2017-06-30,104503.67990629912,1.H00016
2017-07-03,103864.41958106268,1.H00016
2017-07-04,102915.31844675443,1.H00016
2017-07-05,104468.251769655,1.H00016
2017-07-06,104806.99447967335,1.H00016
2017-07-07,104647.25709164634,1.H00016
2017-07-10,105054.68066305372,1.H00016
2017-07-11,106164.45150477435,1.H00016
2017-07-12,106013.41576434416,1.H00016
2017-07-13,107652.74401695584,1.H00016
2017-07-14,108652.19039807415,1.H00016
2017-07-17,109001.49939446003,1.H00016
2017-07-18,108707.19724181107,1.H00016
2017-07-19,110169.6955843306,1.H00016
2017-07-20,110491.03499915534,1.H00016
2017-07-21,109413.89533592272,1.H00016
2017-07-24,110042.58937479161,1.H00016
2017-07-25,109573.94349707817,1.H00016
2017-07-26,109297.66618587973,1.H00016
2017-07-27,109370.69787106717,1.H00016
2017-07-28,109361.063904085,1.H00016
2017-07-31,109432.85249675861,1.H00016
2017-08-01,111244.97060879247,1.H00016
2017-08-02,111261.13081147225,1.H00016
2017-08-03,109832.50673995455,1.H00016
2017-08-04,109084.4758197581,1.H00016
2017-08-07,109348.94375207517,1.H00016
2017-08-08,109212.03437340114,GOLD_518880
2017-08-09,109493.09352769742,GOLD_518880
2017-08-10,110376.4291360996,GOLD_518880
2017-08-11,110938.54744469213,GOLD_518880
2017-08-14,110596.67738433275,0.399606
2017-08-15,110910.46713392562,0.399606
2017-08-16,112551.64672990942,0.399606
2017-08-17,113057.85472217716,0.399606
2017-08-18,112343.24297168925,0.399606
2017-08-21,112800.31030505849,0.399606
2017-08-22,111918.14666941062,0.399606
2017-08-23,111452.79055020309,0.399606
2017-08-24,110735.81057518997,0.399606
2017-08-25,111796.18310636132,0.399606
2017-08-28,113642.80617990876,0.399606
2017-08-29,112950.10050627922,0.399606
2017-08-30,113384.07765052747,0.399606
2017-08-31,114046.58846146033,0.399606
2017-09-01,115025.25724651128,0.399606
2017-09-04,116158.45268183343,0.399606
2017-09-05,116253.7737189739,0.399606
2017-09-06,117344.93316897324,0.399606
2017-09-07,116575.26019827375,0.399606
2017-09-08,116260.28633641828,0.399606
2017-09-11,116944.7032242095,0.399606
2017-09-12,116211.73773365107,0.399606
2017-09-13,116455.07280361837,0.399606
2017-09-14,115889.06714208862,0.399606
2017-09-15,115665.86198058577,0.399606
2017-09-18,116848.19807480641,0.399606
2017-09-19,115956.56154105764,0.399606
2017-09-20,116719.72189431274,0.399606
2017-09-21,115492.38953411272,0.399606
2017-09-22,115101.0404313186,0.399606
2017-09-25,113694.9071194638,0.399606
2017-09-26,113437.95475847644,0.399606
2017-09-27,114164.38397300385,NASDAQ_159941
2017-09-28,115215.82824634554,CASH
2017-09-29,115100.72751882672,NASDAQ_159941
2017-10-09,117075.94177369187,NASDAQ_159941
2017-10-10,116896.37976039536,NASDAQ_159941
2017-10-11,116896.37976039536,NASDAQ_159941
2017-10-12,117075.94177369187,NASDAQ_159941
2017-10-13,116806.59340231318,NASDAQ_159941
2017-10-16,117075.94177369187,NASDAQ_159941
2017-10-17,118692.02129909616,NASDAQ_159941
2017-10-18,118781.79695431051,NASDAQ_159941
2017-10-19,118153.32455633879,NASDAQ_159941
2017-10-20,118153.32455633879,NASDAQ_159941
2017-10-23,118961.36967047484,NASDAQ_159941
2017-10-24,118422.67292771747,NASDAQ_159941
2017-10-25,118332.88656963532,NASDAQ_159941
2017-10-26,117827.65769452881,1.H00016
2017-10-27,119665.70660698012,1.H00016
2017-10-30,119446.2191440955,1.H00016
2017-10-31,118791.56289641657,1.H00016
2017-11-01,118608.23377279329,1.H00016
2017-11-02,118808.05617397437,1.H00016
2017-11-03,118841.00660687294,NASDAQ_159941
2017-11-06,119101.81532481918,NASDAQ_159941
2017-11-07,119797.30178483088,NASDAQ_159941
2017-11-08,119623.43276071167,NASDAQ_159941
2017-11-09,119884.23111512307,NASDAQ_159941
2017-11-10,119884.23111512307,NASDAQ_159941
2017-11-13,119449.55337305761,NASDAQ_159941
2017-11-14,119797.30178483088,NASDAQ_159941
2017-11-15,119623.43276071167,NASDAQ_159941
2017-11-16,119536.49306688464,NASDAQ_159941
2017-11-17,119644.70218182613,1.H00016
2017-11-20,119740.6667225328,1.H00016
2017-11-21,121614.40474835636,1.H00016
2017-11-22,122639.64617058983,1.H00016
2017-11-23,119723.35666297495,1.H00016
2017-11-24,119564.83295965569,1.H00016
2017-11-27,118769.7849610161,1.H00016
2017-11-28,117947.40528939047,1.H00016
2017-11-29,117791.9184386252,1.H00016
2017-11-30,116577.1774170216,1.H00016
2017-12-01,115711.37075387362,1.H00016
2017-12-04,116259.39400595789,NASDAQ_159941
2017-12-05,113505.2238000557,NASDAQ_159941
2017-12-06,113254.84288148745,NASDAQ_159941
2017-12-07,113611.60772591259,1.H00016
2017-12-08,114153.56433334187,CASH
2017-12-11,114153.56433334187,CASH
2017-12-12,114153.56433334187,CASH
2017-12-13,114039.52480853333,NASDAQ_159941
2017-12-14,114203.25496797108,NASDAQ_159941
2017-12-15,114285.12492729176,NASDAQ_159941
2017-12-18,114612.58524616725,NASDAQ_159941
2017-12-19,115840.57608075575,NASDAQ_159941
2017-12-20,115431.24580255958,NASDAQ_159941
2017-12-21,114121.39476785403,NASDAQ_159941
2017-12-22,114203.25496797108,NASDAQ_159941
2017-12-25,114366.98512740881,NASDAQ_159941
2017-12-26,114448.8550867295,NASDAQ_159941
2017-12-27,113302.72445225804,NASDAQ_159941
2017-12-28,113466.46437089943,NASDAQ_159941
2017-12-29,113466.46437089943,NASDAQ_159941
2018-01-02,114366.98512740881,NASDAQ_159941
2018-01-03,114220.1860455972,GOLD_518880
2018-01-04,113635.08702995295,GOLD_518880
2018-01-05,114011.21641759838,GOLD_518880
2018-01-08,114094.80626164196,GOLD_518880
2018-01-09,114345.56582955243,GOLD_518880
2018-01-10,114053.01632173032,GOLD_518880
2018-01-11,114033.68032919415,1.H00016
2018-01-12,114853.62956192071,1.H00016
2018-01-15,116003.09110312618,1.H00016
2018-01-16,116575.83515007744,1.H00016
2018-01-17,117044.70193182347,1.H00016
2018-01-18,118200.40746164783,1.H00016
2018-01-19,118628.97213503555,1.H00016
2018-01-22,119104.93435839395,1.H00016
2018-01-23,120861.76570161911,1.H00016
2018-01-24,121007.6479811696,1.H00016
2018-01-25,120137.1792041629,1.H00016
2018-01-26,120765.26769569072,1.H00016
2018-01-29,118782.80130919194,1.H00016
2018-01-30,117200.23401196684,1.H00016
2018-01-31,118635.78375898342,1.H00016
2018-02-01,119564.43515721166,1.H00016
2018-02-02,119884.58148276221,1.H00016
2018-02-05,121091.0903745312,1.H00016
2018-02-06,118661.0435311235,1.H00016
2018-02-07,115315.68471971886,1.H00016
2018-02-08,112128.69616510253,1.H00016
2018-02-09,106959.24122398741,1.H00016
2018-02-12,106669.11911771081,CASH
2018-02-13,106669.11911771081,CASH
2018-02-14,106669.11911771081,CASH
2018-02-22,106669.11911771081,CASH
2018-02-23,106669.11911771081,CASH
2018-02-26,106669.11911771081,CASH
2018-02-27,106669.11911771081,CASH
2018-02-28,106669.11911771081,CASH
2018-03-01,106669.11911771081,CASH
2018-03-02,106562.55656114967,0.399606
2018-03-05,107986.86240615686,0.399606
2018-03-06,108102.331059988,0.399606
2018-03-07,107360.44495912289,0.399606
2018-03-08,107838.48518598382,0.399606
2018-03-09,111641.44529991262,0.399606
2018-03-12,113202.00415644057,0.399606
2018-03-13,112616.57808151665,0.399606
2018-03-14,110729.24293464658,0.399606
2018-03-15,111175.52928170396,0.399606
2018-03-16,109528.36893480265,0.399606
2018-03-19,110827.39129040304,0.399606
2018-03-20,112132.187078695,0.399606
2018-03-21,110045.09116069703,0.399606
2018-03-22,109282.4207021423,0.399606
2018-03-23,103797.08230189372,0.399606
2018-03-26,107079.8561303132,0.399606
2018-03-27,110933.6224519277,0.399606
2018-03-28,110360.32058565605,0.399606
2018-03-29,110561.5913314879,GOLD_518880
2018-03-30,110726.11539307337,GOLD_518880
2018-04-02,110669.08952239976,0.399606
2018-04-03,109050.67085746062,0.399606
2018-04-04,106996.76060703353,0.399606
2018-04-09,107278.51639533382,0.399606
2018-04-10,106924.08550290846,0.399606
2018-04-11,106872.0948514959,0.399606
2018-04-12,106421.50920592045,0.399606
2018-04-13,106075.53538797268,GOLD_518880
2018-04-16,106505.46250481781,GOLD_518880
2018-04-17,106661.80810956947,GOLD_518880
2018-04-18,106583.63530719363,GOLD_518880
2018-04-19,106857.22613777588,GOLD_518880
2018-04-20,106388.20796049845,GOLD_518880
2018-04-23,105841.02629933397,GOLD_518880
2018-04-24,105528.3537268082,GOLD_518880
2018-04-25,105489.2626663759,GOLD_518880
2018-04-26,105395.51517830626,NASDAQ_159941
2018-04-27,105703.6852248025,NASDAQ_159941
2018-05-02,106320.03450209627,NASDAQ_159941
2018-05-03,106320.03450209627,NASDAQ_159941
2018-05-04,107552.73305668384,NASDAQ_159941
2018-05-07,108631.33740372196,NASDAQ_159941
2018-05-08,108939.51663451952,NASDAQ_159941
2018-05-09,109786.98885453481,NASDAQ_159941
2018-05-10,110942.64948964897,NASDAQ_159941
2018-05-11,112868.73524100371,NASDAQ_159941
2018-05-14,112945.77316047711,NASDAQ_159941
2018-05-15,113408.03741452278,NASDAQ_159941
2018-05-16,112483.51809073277,NASDAQ_159941
2018-05-17,113253.95239127467,NASDAQ_159941
2018-05-18,112945.77316047711,NASDAQ_159941
2018-05-21,113947.33958804184,NASDAQ_159941
2018-05-22,113022.82026425183,NASDAQ_159941
2018-05-23,111558.98958264144,NASDAQ_159941
2018-05-24,112329.42388318334,NASDAQ_159941
2018-05-25,112483.51809073277,NASDAQ_159941
2018-05-28,114024.38669181656,NASDAQ_159941
2018-05-29,113408.03741452278,NASDAQ_159941
2018-05-30,113408.03741452278,NASDAQ_159941
2018-05-31,113793.25456479374,NASDAQ_159941
2018-06-01,113716.20746101902,NASDAQ_159941
2018-06-04,116412.73669721697,NASDAQ_159941
2018-06-05,117491.3410442551,NASDAQ_159941
2018-06-06,118338.82244857171,NASDAQ_159941
2018-06-07,118646.99249506794,NASDAQ_159941
2018-06-08,117106.12389398416,NASDAQ_159941
2018-06-11,118107.69032154889,NASDAQ_159941
2018-06-12,118261.775344797,NASDAQ_159941
2018-06-13,119109.25674911361,NASDAQ_159941
2018-06-14,118955.1717258655,NASDAQ_159941
2018-06-15,121728.73888153685,NASDAQ_159941
2018-06-18,121728.73888153685,NASDAQ_159941
2018-06-19,118261.775344797,NASDAQ_159941
2018-06-20,119725.60602640739,NASDAQ_159941
2018-06-21,122036.90892803308,NASDAQ_159941
2018-06-22,121497.60675451402,NASDAQ_159941
2018-06-25,121343.52173126591,NASDAQ_159941
2018-06-26,118492.90747181982,NASDAQ_159941
2018-06-27,118492.90747181982,NASDAQ_159941
2018-06-28,117953.60529830077,NASDAQ_159941
2018-06-29,120727.17245397212,NASDAQ_159941
2018-07-02,119802.64394588079,NASDAQ_159941
2018-07-03,121035.34250046835,NASDAQ_159941
2018-07-04,121112.38960424307,NASDAQ_159941
2018-07-05,120958.30458099495,NASDAQ_159941
2018-07-06,122499.17318207875,NASDAQ_159941
2018-07-09,123808.90965613972,NASDAQ_159941
2018-07-10,124964.56110695255,NASDAQ_159941
2018-07-11,125580.91038424634,NASDAQ_159941
2018-07-12,126120.2125577654,NASDAQ_159941
2018-07-13,127198.82608910484,NASDAQ_159941
2018-07-16,128123.34541289487,NASDAQ_159941
2018-07-17,125195.69323397538,NASDAQ_159941
2018-07-18,126197.25966154011,NASDAQ_159941
2018-07-19,126351.34468478823,NASDAQ_159941
2018-07-20,126351.34468478823,NASDAQ_159941
2018-07-23,125349.7782572235,NASDAQ_159941
2018-07-24,127429.95821612768,NASDAQ_159941
2018-07-25,127275.86400857824,NASDAQ_159941
2018-07-26,128508.5625631658,NASDAQ_159941
2018-07-27,129433.08188695581,NASDAQ_159941
2018-07-30,127044.74106585674,NASDAQ_159941
2018-07-31,124407.32734205385,1.H00016
2018-08-01,121724.85823889283,1.H00016
2018-08-02,119284.18115457457,1.H00016
2018-08-03,117973.5261818477,1.H00016
2018-08-06,117397.85315942221,NASDAQ_159941
2018-08-07,117883.53955075356,NASDAQ_159941
2018-08-08,116981.54581186619,NASDAQ_159941
2018-08-09,116218.3184317555,NASDAQ_159941
2018-08-10,116287.70574675684,NASDAQ_159941
2018-08-13,115593.86568164747,NASDAQ_159941
2018-08-14,116218.3184317555,NASDAQ_159941
2018-08-15,117397.85315942221,NASDAQ_159941
2018-08-16,116426.4721055335,NASDAQ_159941
2018-08-17,117606.00683320021,NASDAQ_159941
2018-08-20,117050.93312686753,NASDAQ_159941
2018-08-21,116218.3184317555,NASDAQ_159941
2018-08-22,115871.39839920081,NASDAQ_159941
2018-08-23,116287.70574675684,NASDAQ_159941
2018-08-24,116357.09306175818,NASDAQ_159941
2018-08-27,116634.62577931151,NASDAQ_159941
2018-08-28,118161.07226830689,NASDAQ_159941
2018-08-29,118577.37961586291,NASDAQ_159941
2018-08-30,120242.60073486097,NASDAQ_159941
2018-08-31,120034.44706108297,NASDAQ_159941
2018-09-03,120450.74613741298,NASDAQ_159941
2018-09-04,120867.053484969,NASDAQ_159941
2018-09-05,120589.52076741566,NASDAQ_159941
2018-09-06,117814.15223575222,NASDAQ_159941
2018-09-07,116495.85942053483,NASDAQ_159941
2018-09-10,116912.15849686485,NASDAQ_159941
2018-09-11,118091.69322453157,NASDAQ_159941
2018-09-12,118993.68696341894,NASDAQ_159941
2018-09-13,117744.77319197688,NASDAQ_159941
2018-09-14,118646.76693086425,NASDAQ_159941
2018-09-17,118340.4617744726,GOLD_518880
2018-09-18,118519.62746710253,GOLD_518880
2018-09-19,118609.21565303997,GOLD_518880
2018-09-20,118743.59259232365,GOLD_518880
2018-09-21,119012.34647089102,GOLD_518880
2018-09-25,118654.00440638622,GOLD_518880
2018-09-26,118833.1807782611,GOLD_518880
2018-09-27,118104.01729540275,1.H00016
2018-09-28,119535.59524254761,1.H00016
2018-10-08,114039.95795949837,1.H00016
2018-10-09,114261.99048067152,1.H00016
2018-10-10,114371.67720520316,1.H00016
2018-10-11,109622.90680101032,1.H00016
2018-10-12,112082.21611861534,1.H00016
2018-10-15,110409.65478073517,GOLD_518880
2018-10-16,110369.1849657123,GOLD_518880
2018-10-17,110045.40714661898,GOLD_518880
2018-10-18,110166.81659168759,GOLD_518880
2018-10-19,110652.49296978276,GOLD_518880
2018-10-22,110490.60406023609,GOLD_518880
2018-10-23,111057.220068377,GOLD_518880
2018-10-24,111097.68988339987,GOLD_518880
2018-10-25,111664.31554099596,GOLD_518880
2018-10-26,111583.36626149504,GOLD_518880
2018-10-29,111421.47735194837,GOLD_518880
2018-10-30,111178.63916290078,GOLD_518880
2018-10-31,110247.7658711885,GOLD_518880
2018-11-01,110490.60406023609,GOLD_518880
2018-11-02,110531.07387525897,GOLD_518880
2018-11-05,110571.55333973702,GOLD_518880
2018-11-06,110652.49296978276,GOLD_518880
2018-11-07,110692.96278480563,GOLD_518880
2018-11-08,110027.49061470262,0.399606
2018-11-09,109468.1934861983,0.399606
2018-11-12,113271.09797294938,0.399606
2018-11-13,115196.24924719377,0.399606
2018-11-14,114673.29063268831,0.399606
2018-11-15,116287.98460255105,0.399606
2018-11-16,116125.25125725177,0.399606
2018-11-19,115390.58130031815,0.399606
2018-11-20,112158.03348981016,0.399606
2018-11-21,112794.74745248597,0.399606
2018-11-22,112041.11827085727,0.399606
2018-11-23,108301.4111997564,0.399606
2018-11-26,107955.40534907152,0.399606
2018-11-27,108855.96852208694,0.399606
2018-11-28,110978.6117202382,0.399606
2018-11-29,108630.8277288331,0.399606
2018-11-30,109791.09929250882,GOLD_518880
2018-12-03,109308.85099409129,GOLD_518880
2018-12-04,109308.85099409129,GOLD_518880
2018-12-05,109509.78139753471,GOLD_518880
2018-12-06,109911.65178576738,GOLD_518880
2018-12-07,110032.21386037176,GOLD_518880
2018-12-10,111197.64086065027,GOLD_518880
2018-12-11,111036.89462162636,GOLD_518880
2018-12-12,110514.4621587893,GOLD_518880
2018-12-13,110434.08424860444,GOLD_518880
2018-12-14,110313.52217400006,GOLD_518880
2018-12-17,110353.7159197654,GOLD_518880
2018-12-18,110956.5167114415,GOLD_518880
2018-12-19,111318.20293525465,GOLD_518880
2018-12-20,111318.20293525465,GOLD_518880
2018-12-21,112041.57538288097,GOLD_518880
2018-12-24,112443.44577111363,GOLD_518880
2018-12-25,113327.55487641801,GOLD_518880
2018-12-26,113287.3707119985,GOLD_518880
2018-12-27,112885.50032376582,GOLD_518880
2018-12-28,113568.67902562679,GOLD_518880
2019-01-02,114010.73357827897,GOLD_518880
2019-01-03,115256.53848874234,GOLD_518880
2019-01-04,114653.72811572043,GOLD_518880
2019-01-07,114171.48939864871,GOLD_518880
2019-01-08,113649.05693581166,GOLD_518880
2019-01-09,113206.99280181363,GOLD_518880
2019-01-10,113448.1169510224,GOLD_518880
2019-01-11,112724.75408474193,GOLD_518880
2019-01-14,112805.12241358096,GOLD_518880
2019-01-15,112564.00784571802,GOLD_518880
2019-01-16,112644.37617455705,GOLD_518880
2019-01-17,112700.0587449522,NASDAQ_159941
2019-01-18,114702.92310144535,NASDAQ_159941
2019-01-21,115088.09038343777,NASDAQ_159941
2019-01-22,114394.79294909637,NASDAQ_159941
2019-01-23,113393.35617929361,NASDAQ_159941
2019-01-24,113393.35617929361,NASDAQ_159941
2019-01-25,114009.62566710394,NASDAQ_159941
2019-01-28,113628.07695338513,1.H00016
2019-01-29,114508.24424537524,1.H00016
2019-01-30,113767.61979084843,1.H00016
2019-01-31,115793.86288108442,1.H00016
2019-02-01,116548.00238040186,1.H00016
2019-02-11,117845.44668030283,1.H00016
2019-02-12,118111.69306267836,1.H00016
2019-02-13,120323.09226654602,1.H00016
2019-02-14,120122.3938514051,1.H00016
2019-02-15,117378.5018827864,1.H00016
2019-02-18,120427.49598755369,1.H00016
2019-02-19,120250.1110246766,1.H00016
2019-02-20,120434.04997418457,0.399606
2019-02-21,120789.14409923131,0.399606
2019-02-22,124531.10149972381,0.399606
2019-02-25,131115.8017031213,1.H00016
2019-02-26,128585.46267474293,1.H00016
2019-02-27,129358.81117358325,1.H00016
2019-02-28,129059.21957795494,1.H00016
2019-03-01,132610.01052591373,1.H00016
2019-03-04,133227.25782930723,1.H00016
2019-03-05,133052.07002481012,1.H00016
2019-03-06,133588.54007204444,1.H00016
2019-03-07,130947.71383390173,NASDAQ_159941
2019-03-08,128213.86733742355,1.H00016
2019-03-11,129311.9448352554,1.H00016
2019-03-12,129845.76133782457,1.H00016
2019-03-13,130045.72630119786,1.H00016
2019-03-14,130292.39588404416,1.H00016
2019-03-15,131565.87517500797,1.H00016
2019-03-18,134878.09759600426,1.H00016
2019-03-19,134004.8941919313,1.H00016
2019-03-20,134292.3870717984,1.H00016
2019-03-21,133550.0163935635,0.399606
2019-03-22,132766.61554552382,0.399606
2019-03-25,130805.49460692589,0.399606
2019-03-26,127775.89572085833,0.399606
2019-03-27,128113.5098998319,NASDAQ_159941
2019-03-28,127153.86096099201,NASDAQ_159941
2019-03-29,128033.53518272702,NASDAQ_159941
2019-04-01,129872.86787658565,NASDAQ_159941
2019-04-02,130592.61173067834,NASDAQ_159941
2019-04-03,130752.55163160438,NASDAQ_159941
2019-04-04,131392.3207685922,NASDAQ_159941
2019-04-08,131312.34605148734,NASDAQ_159941
2019-04-09,131472.29548569708,NASDAQ_159941
2019-04-10,130650.928112885,1.H00016
2019-04-11,128428.8633901792,1.H00016
2019-04-12,128081.80469599267,1.H00016
2019-04-15,128275.17957683402,1.H00016
2019-04-16,132577.37376487927,1.H00016
2019-04-17,132331.289146403,1.H00016
2019-04-18,131783.5524149558,1.H00016
2019-04-19,133428.66778053722,1.H00016
2019-04-22,130273.38667886138,1.H00016
2019-04-23,130639.81461398608,1.H00016
2019-04-24,130464.53885992296,1.H00016
2019-04-25,128409.81167778105,1.H00016
2019-04-26,126615.36146617013,NASDAQ_159941
2019-04-29,126615.36146617013,NASDAQ_159941
2019-04-30,126615.36146617013,NASDAQ_159941
2019-05-06,123602.4591112959,NASDAQ_159941
2019-05-07,125145.64594953081,NASDAQ_159941
2019-05-08,122867.60573304787,NASDAQ_159941
2019-05-09,122426.69020204175,NASDAQ_159941
2019-05-10,122867.60573304787,NASDAQ_159941
2019-05-13,121838.80574741466,NASDAQ_159941
2019-05-14,118752.42331080159,NASDAQ_159941
2019-05-15,120128.60129063705,GOLD_518880
2019-05-16,120719.94904950552,GOLD_518880
2019-05-17,120550.99398563399,GOLD_518880
2019-05-20,119748.44484394894,GOLD_518880
2019-05-21,119706.20859564011,GOLD_518880
2019-05-22,119706.20859564011,GOLD_518880
2019-05-23,120001.88247507435,GOLD_518880
2019-05-24,120635.46648225165,GOLD_518880
2019-05-27,120719.94904950552,GOLD_518880
2019-05-28,120550.99398563399,GOLD_518880
2019-05-29,120846.66786506823,GOLD_518880
2019-05-30,120255.31003556354,GOLD_518880
2019-05-31,121564.7344394994,GOLD_518880
2019-06-03,123085.35015561563,GOLD_518880
2019-06-04,124352.52824060645,GOLD_518880
2019-06-05,125155.0773822915,GOLD_518880
2019-06-06,125112.83106334646,GOLD_518880
2019-06-10,124732.68468729456,GOLD_518880
2019-06-11,124056.85436117221,GOLD_518880
2019-06-12,125535.22375834339,GOLD_518880
2019-06-13,125746.42514115997,GOLD_518880
2019-06-14,127647.1973039643,GOLD_518880
