version,candidate,segment,start,end,name,lbs,abs_threshold,rebalance_threshold,min_turnover,official_weight,ema_weight,ema_half_life,ema_abs_threshold,target_vol,vol_window,max_lev,volreg_enabled,volreg_enter,volreg_exit,days,cagr,vol,sharpe,maxdd,calmar,final_nav,monthly_win_rate,avg_bil,avg_cash,avg_risky,max_risky,annual_turnover,total_trade_cost
V7.5,tv0.2_vw40_lev1.5_vr0_2_1.6,full_common,2008-12-15,2026-05-06,tv0.2_vw40_lev1.5_vr0_2_1.6,"(130, 260, 390)",0.04,1.05,0.0,0.5,0.5,100,0.16,0.2,40,1.5,False,2.0,1.6,4374,0.1999425981891323,0.1376807704815178,1.393278213303642,-0.1763997274029317,1.1334631925616527,23.65917552505912,0.6714285714285714,0.1863841308595602,0.0,0.895403559724896,1.408891745763572,13.028114642557505,0.2261308470101052
V7.5,tv0.2_vw40_lev1.5_vr0_2_1.6,1Y,2025-05-06,2026-05-06,tv0.2_vw40_lev1.5_vr0_2_1.6,"(130, 260, 390)",0.04,1.05,0.0,0.5,0.5,100,0.16,0.2,40,1.5,False,2.0,1.6,252,0.5459750854629677,0.1646306221823723,2.7307039989031034,-0.1079433156284291,5.057979572745063,1.5459750854629677,0.8461538461538461,0.017589215437796,0.0,1.1081452826432654,1.2975738550208096,12.266509897253902,0.0122665098972539
V7.5,tv0.2_vw40_lev1.5_vr0_2_1.6,3Y,2023-05-08,2026-05-06,tv0.2_vw40_lev1.5_vr0_2_1.6,"(130, 260, 390)",0.04,1.05,0.0,0.5,0.5,100,0.16,0.2,40,1.5,False,2.0,1.6,752,0.3929800903355056,0.1651756649420727,2.0904252386233293,-0.1079433156284289,3.640615336370182,2.6887466831669067,0.8108108108108109,0.0542996773509665,0.0,1.0406750356642995,1.2975738550208096,12.65321660248378,0.0377588050994754
V7.5,tv0.2_vw40_lev1.5_vr0_2_1.6,5Y,2021-05-06,2026-05-06,tv0.2_vw40_lev1.5_vr0_2_1.6,"(130, 260, 390)",0.04,1.05,0.0,0.5,0.5,100,0.16,0.2,40,1.5,False,2.0,1.6,1256,0.2862434914747105,0.1550886433448901,1.7013824349334676,-0.1079433156284291,2.6517945072211786,3.506555057435064,0.7540983606557377,0.1553627203725761,0.0,0.9083273542589774,1.2975738550208096,12.221838009785849,0.0609151926202024
V7.5,tv0.2_vw40_lev1.5_vr0_2_1.6,10Y,2016-05-06,2026-05-06,tv0.2_vw40_lev1.5_vr0_2_1.6,"(130, 260, 390)",0.04,1.05,0.0,0.5,0.5,100,0.16,0.2,40,1.5,False,2.0,1.6,2514,0.3081053711959851,0.1546393541766494,1.8151144167223403,-0.1763997274029315,1.7466317875435948,14.57639341470076,0.7355371900826446,0.1492010029747643,0.0,0.9337645040605524,1.408891745763572,13.194380072788016,0.1316296488213852
V7.5,tv0.2_vw40_lev2_vr1_2_1.6,full_common,2008-12-15,2026-05-06,tv0.2_vw40_lev2_vr1_2_1.6,"(130, 260, 390)",0.04,1.05,0.0,0.5,0.5,100,0.16,0.2,40,2.0,True,2.0,1.6,4374,0.1918162539315948,0.132616109034294,1.3899892770100444,-0.1297261267646011,1.4786246896869233,21.026925542680296,0.6523809523809524,0.1581263051352082,0.0388660265203475,0.9050312657314912,1.5119952782244692,14.318761470771657,0.2485327883855366
V7.5,tv0.2_vw40_lev2_vr1_2_1.6,1Y,2025-05-06,2026-05-06,tv0.2_vw40_lev2_vr1_2_1.6,"(130, 260, 390)",0.04,1.05,0.0,0.5,0.5,100,0.16,0.2,40,2.0,True,2.0,1.6,252,0.5484509336315855,0.1652759792072628,2.730383489471996,-0.1079137536458317,5.082308001550733,1.5484509336315857,0.8461538461538461,0.0189069293172621,0.0,1.114531542278511,1.354196272694813,12.385410060314642,0.0123854100603146
V7.5,tv0.2_vw40_lev2_vr1_2_1.6,3Y,2023-05-08,2026-05-06,tv0.2_vw40_lev2_vr1_2_1.6,"(130, 260, 390)",0.04,1.05,0.0,0.5,0.5,100,0.16,0.2,40,2.0,True,2.0,1.6,752,0.343077401350027,0.1619818126609527,1.9029533838490549,-0.1079137536458317,3.179181427383132,2.4114028800815337,0.7567567567567568,0.0460920526828862,0.0292553191489361,1.0283066526440192,1.354196272694813,13.839161607896868,0.0412978155918192
V7.5,tv0.2_vw40_lev2_vr1_2_1.6,5Y,2021-05-06,2026-05-06,tv0.2_vw40_lev2_vr1_2_1.6,"(130, 260, 390)",0.04,1.05,0.0,0.5,0.5,100,0.16,0.2,40,2.0,True,2.0,1.6,1256,0.2571204297421889,0.1514715477943879,1.5870282604816848,-0.1079137536458313,2.382647448128327,3.1282900292233715,0.7213114754098361,0.1427658761160352,0.0414012738853503,0.8862967966229742,1.354196272694813,13.451918822455946,0.0670460715912883
V7.5,tv0.2_vw40_lev2_vr1_2_1.6,10Y,2016-05-06,2026-05-06,tv0.2_vw40_lev2_vr1_2_1.6,"(130, 260, 390)",0.04,1.05,0.0,0.5,0.5,100,0.16,0.2,40,2.0,True,2.0,1.6,2514,0.2888135154644702,0.1449344486583092,1.82390458878757,-0.1297261267646011,2.2263326799893317,12.568320424651258,0.71900826446281,0.1326059795925677,0.0493237867939538,0.9177081761588664,1.5119952782244692,14.255442528742892,0.1422150099891255
