layer,window,start,end,rows,total_return,annual_return,annual_vol,sharpe,max_drawdown,max_drawdown_date,turnover,cash_days,cash_ratio,avg_weight,held_avg_weight,held_median_weight,max_weight,bond_days,bond_ratio
03_plus_bond_rotation,1Y,2025-05-08,2026-05-08,243,0.7039820212562014,0.7046041674637076,0.20090746849739713,2.7659578003202916,-0.07741172173132282,2025-06-20,26.0,44,0.18106995884773663,0.8189300411522634,1.0,1.0,1.0,7,0.02880658436213992
04_plus_half_entry,FULL_COMMON,2010-09-29,2026-05-08,3788,19.303263903097616,0.2127951286778491,0.19125362142326632,1.1099373216399293,-0.258907827311019,2015-09-30,630.0,937,0.24736008447729674,0.7096092925026399,0.942827078218169,1.0,1.0,603,0.1591869060190074
04_plus_half_entry,10Y,2016-05-09,2026-05-08,2428,2.9066439985830694,0.14605298787422205,0.16914808435399845,0.8941764355619152,-0.22650709542203018,2018-10-11,402.0,590,0.24299835255354202,0.7100494233937397,0.9379760609357998,1.0,1.0,362,0.14909390444810544
04_plus_half_entry,5Y,2021-05-10,2026-05-08,1211,1.2193010180501385,0.17308277446008802,0.17160924580283557,1.021409363511855,-0.17883647927961865,2022-05-24,182.0,285,0.23534269199009084,0.7167630057803468,0.937365010799136,1.0,1.0,183,0.15111478117258464
04_plus_half_entry,3Y,2023-05-08,2026-05-08,727,0.7110832048924032,0.19602238007116024,0.18438543486695763,1.0692386921620125,-0.16134592964837036,2024-01-25,112.0,200,0.2751031636863824,0.671251719394773,0.9259962049335864,1.0,1.0,115,0.15818431911966988
04_plus_half_entry,1Y,2025-05-08,2026-05-08,243,0.7118142297818695,0.7124446144394745,0.19667374795209194,2.8446858664633146,-0.07111266018792772,2026-04-28,24.5,44,0.18106995884773663,0.7860082304526749,0.9597989949748744,1.0,1.0,7,0.02880658436213992
05_plus_switch_buffer,FULL_COMMON,2010-09-29,2026-05-08,3788,21.16421241541727,0.21962967621809826,0.19109599657681434,1.140256011438971,-0.2448912097464121,2016-06-13,588.0,937,0.24736008447729674,0.7094772967265047,0.9426517011574886,1.0,1.0,604,0.15945089757127773
05_plus_switch_buffer,10Y,2016-05-09,2026-05-08,2428,3.2320017199564646,0.15526156539046698,0.16977043779383222,0.938891389452108,-0.22905734488318374,2018-10-11,376.0,590,0.24299835255354202,0.7098434925864909,0.9377040261153428,1.0,1.0,362,0.14909390444810544
05_plus_switch_buffer,5Y,2021-05-10,2026-05-08,1211,1.333085303291961,0.18488689444306305,0.1719154875241536,1.078535433977028,-0.178836479279618,2022-05-24,168.0,285,0.23534269199009084,0.7167630057803468,0.937365010799136,1.0,1.0,183,0.15111478117258464
05_plus_switch_buffer,3Y,2023-05-08,2026-05-08,727,0.7921191434101642,0.21460862799564162,0.18461769085338306,1.1523115999128066,-0.15986630792183731,2024-01-25,98.0,200,0.2751031636863824,0.671251719394773,0.9259962049335864,1.0,1.0,115,0.15818431911966988
05_plus_switch_buffer,1Y,2025-05-08,2026-05-08,243,0.7118142297818695,0.7124446144394745,0.19667374795209194,2.8446858664633146,-0.07111266018792772,2026-04-28,24.5,44,0.18106995884773663,0.7860082304526749,0.9597989949748744,1.0,1.0,7,0.02880658436213992
06_plus_target_vol,FULL_COMMON,2010-09-29,2026-05-08,3788,64.05543042967956,0.30675238513935743,0.28378881435818093,1.0899164522561244,-0.3570351570275063,2016-06-13,879.0,937,0.24736008447729674,1.0574181626187962,1.4049456331111891,1.5,1.5,604,0.15945089757127773
06_plus_target_vol,10Y,2016-05-09,2026-05-08,2428,5.757334783816501,0.21063056556171267,0.25462649372195206,0.8812704074120659,-0.33573495265393316,2018-10-11,564.0,590,0.24299835255354202,1.0647652388797364,1.406556039173014,1.5,1.5,362,0.14909390444810544
06_plus_target_vol,5Y,2021-05-10,2026-05-08,1211,2.138707697461049,0.2573978926778804,0.2578516377485353,1.0217192584469883,-0.26111732095197393,2022-05-24,252.0,285,0.23534269199009084,1.0751445086705202,1.406047516198704,1.5,1.5,183,0.15111478117258464
06_plus_target_vol,3Y,2023-05-08,2026-05-08,727,1.212403928688742,0.30295250614847524,0.27690647494978715,1.0993754226610408,-0.2398999238013565,2024-01-25,147.0,200,0.2751031636863824,1.0068775790921596,1.3889943074003794,1.5,1.5,115,0.15818431911966988
06_plus_target_vol,1Y,2025-05-08,2026-05-08,243,1.1752285389559565,1.1763866851579956,0.29500112106677073,2.794672380622218,-0.10986092499974287,2026-04-28,36.75,44,0.18106995884773663,1.1790123456790123,1.4396984924623115,1.5,1.5,7,0.02880658436213992
07_plus_cash_peak,FULL_COMMON,2010-09-29,2026-05-08,3788,65.31800009251577,0.3083629096371525,0.2457548142439085,1.2225250659359272,-0.2999330053260322,2018-10-11,853.9123728729544,1204,0.31784582893347413,0.9008078625891323,1.3205341267367001,1.5,1.5,604,0.15945089757127773
07_plus_cash_peak,10Y,2016-05-09,2026-05-08,2428,8.043083702020873,0.246438758173124,0.2293798545796306,1.0792737103239314,-0.2999330053260323,2018-10-11,565.4995425915561,759,0.31260296540362437,0.9303353887296006,1.3534178093681668,1.5,1.5,362,0.14909390444810544
07_plus_cash_peak,5Y,2021-05-10,2026-05-08,1211,2.4519310173840734,0.28157836498594224,0.22811606383752664,1.2075201123416668,-0.23433112166463044,2024-01-25,250.24502772732174,398,0.32865400495458297,0.9060533802653958,1.3496071875785907,1.5,1.5,183,0.15111478117258464
07_plus_cash_peak,3Y,2023-05-08,2026-05-08,727,1.3392726384822824,0.32739104770396144,0.2419029016717604,1.2986934473402718,-0.22420262423001847,2024-01-25,142.3595420318067,271,0.37276478679504815,0.8135655263366495,1.2970660913305794,1.5,1.5,115,0.15818431911966988
07_plus_cash_peak,1Y,2025-05-08,2026-05-08,243,1.1221031880840027,1.1231970909630968,0.2599043788145065,3.038977330269733,-0.09816116605472136,2025-06-20,35.78662196651329,80,0.3292181069958848,0.9392777257654954,1.4002729285951865,1.5,1.5,7,0.02880658436213992
08_plus_same_side_overheat,FULL_COMMON,2010-09-29,2026-05-08,3788,79.88743464212625,0.32511939381621713,0.2450391266760315,1.277584179500766,-0.29993300532603107,2018-10-11,861.7805735013952,1218,0.3215417106652587,0.8991099462723015,1.3252250881243106,1.5,1.5,604,0.15945089757127773
08_plus_same_side_overheat,10Y,2016-05-09,2026-05-08,2428,9.073847580357866,0.259971592245825,0.22856824865789027,1.12973457794373,-0.2999330053260323,2018-10-11,567.1876253024406,761,0.31342668863261947,0.9307451592072111,1.3556384202490153,1.5,1.5,362,0.14909390444810544
08_plus_same_side_overheat,5Y,2021-05-10,2026-05-08,1211,2.845394787097444,0.3095813987130498,0.22646327222791246,1.3106900359977707,-0.23433112166463044,2024-01-25,251.93311043820623,400,0.33030553261767137,0.9068749514624537,1.3541622271529363,1.5,1.5,183,0.15111478117258464
08_plus_same_side_overheat,3Y,2023-05-08,2026-05-08,727,1.6059115214985744,0.3760100152335466,0.23927268977321767,1.4617303415899894,-0.22420262423001847,2024-01-25,144.0476247426912,273,0.37551581843191195,0.8149340582756277,1.3049714986043643,1.5,1.5,115,0.15818431911966988
08_plus_same_side_overheat,1Y,2025-05-08,2026-05-08,243,1.1221031880840018,1.123197090963096,0.2599043788145065,3.038977330269732,-0.09816116605472136,2025-06-20,35.78662196651328,80,0.3292181069958848,0.9392777257654954,1.4002729285951865,1.5,1.5,7,0.02880658436213992
09_plus_volume_overlay,FULL_COMMON,2010-09-29,2026-05-08,3788,75.06692495258554,0.3199122225564712,0.21663992779434812,1.396495142887715,-0.3067448723034619,2016-06-13,883.2687328589082,1356,0.3579725448785639,0.7423810893472325,1.1563073875194558,1.5,1.5,604,0.15945089757127773
09_plus_volume_overlay,10Y,2016-05-09,2026-05-08,2428,13.648101508717833,0.30805507399166343,0.19311898715986933,1.493080066301234,-0.19395735765195965,2022-05-24,570.5893313071712,848,0.34925864909390447,0.7297533415381001,1.1214184261104474,1.5,1.5,362,0.14909390444810544
09_plus_volume_overlay,5Y,2021-05-10,2026-05-08,1211,3.378146491967172,0.3440526170684932,0.1881942604639266,1.673815723367823,-0.19395735765195876,2022-05-24,255.2898397170543,447,0.36911643270024774,0.7196617404610038,1.1407203765684235,1.5,1.5,183,0.15111478117258464
09_plus_volume_overlay,3Y,2023-05-08,2026-05-08,727,2.3764249137495845,0.5000722761641405,0.19574510136420356,2.182599704084381,-0.1264850441539661,2023-12-14,129.6648397170543,314,0.43191196698762035,0.6189963792273392,1.089613481109626,1.5,1.5,115,0.15818431911966988
09_plus_volume_overlay,1Y,2025-05-08,2026-05-08,243,1.1510668537693793,1.1521956701390925,0.20568437009271778,3.8461072478319482,-0.06206826712435143,2026-04-28,43.875,97,0.3991769547325103,0.7445987654320988,1.2392979452054795,1.5,1.5,7,0.02880658436213992
