window,layer,annual_return,max_drawdown,sharpe,avg_weight,cash_ratio,bond_ratio,ann_vs_base_pp,dd_vs_base_pp,sharpe_vs_base,ann_step_pp,dd_step_pp,sharpe_step
10Y,02_plus_r2_filter,0.16189302410646356,-0.26981245874373294,0.886551832855533,0.6198517298187809,0.3801482701812191,0.0,3.1191645803053003,8.14168541413599,0.18570350488228238,3.1191645803053003,8.14168541413599,0.18570350488228238
10Y,03_plus_bond_rotation,0.15051334424000617,-0.2535585390932228,0.8378787317901664,0.757001647446458,0.24299835255354202,0.14909390444810544,1.9811965936595621,9.767077379187006,0.13703040381691578,-1.1379679866457382,1.6253919650510151,-0.0486731010653666
10Y,04_plus_half_entry,0.14605298787422205,-0.22650709542203018,0.8941764355619152,0.7100494233937397,0.24299835255354202,0.14909390444810544,1.5351609570811497,12.472221746306268,0.1933281075886646,-0.4460356365784124,2.705144367119261,0.05629770377174881
10Y,05_plus_switch_buffer,0.15526156539046698,-0.22905734488318374,0.938891389452108,0.7098434925864909,0.24299835255354202,0.14909390444810544,2.456018708705643,12.21719680019091,0.23804306147885745,0.9208577516244931,-0.2550249461153564,0.044714953890192866
10Y,06_plus_target_vol,0.21063056556171267,-0.33573495265393316,0.8812704074120659,1.0647652388797364,0.24299835255354202,0.14909390444810544,7.9929187258302115,1.5494360231159687,0.18042207943881527,5.536900017124569,-10.667760777074943,-0.05762098204004218
10Y,07_plus_cash_peak,0.246438758173124,-0.2999330053260323,1.0792737103239314,0.9303353887296006,0.31260296540362437,0.14909390444810544,11.573737986971345,5.1296307559060565,0.3784253823506808,3.5808192611411327,3.5801947327900874,0.19800330291186552
10Y,08_plus_same_side_overheat,0.259971592245825,-0.2999330053260323,1.12973457794373,0.9307451592072111,0.31342668863261947,0.14909390444810544,12.927021394241445,5.1296307559060565,0.4288862499704794,1.3532834072701005,0.0,0.05046086761979862
10Y,09_plus_volume_overlay,0.30805507399166343,-0.19395735765195965,1.493080066301234,0.7297533415381001,0.34925864909390447,0.14909390444810544,17.735369568825288,15.72719552331332,0.7922317383279834,4.808348174583843,10.597564767407263,0.363345488357504
5Y,01_equity_naked,0.19451473964814747,-0.29840042031663205,0.9091864030286714,0.7844756399669695,0.21552436003303055,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5Y,02_plus_r2_filter,0.19908952513832956,-0.20251720761403302,0.9846312977513276,0.620148637489678,0.37985136251032203,0.0,0.4574785490182087,9.588321270259904,0.07544489472265625,0.4574785490182087,9.588321270259904,0.07544489472265625
5Y,03_plus_bond_rotation,0.19606722284884004,-0.20931332654822254,0.9733031682587481,0.7646573080099092,0.23534269199009084,0.15111478117258464,0.1552483200692567,8.908709376840951,0.0641167652300767,-0.302230228948952,-0.6796118934189521,-0.011328129492579553
5Y,04_plus_half_entry,0.17308277446008802,-0.17883647927961865,1.021409363511855,0.7167630057803468,0.23534269199009084,0.15111478117258464,-2.1431965188059454,11.95639410370134,0.1122229604831837,-2.298444838875202,3.047684726860389,0.048106195253107
5Y,05_plus_switch_buffer,0.18488689444306305,-0.178836479279618,1.078535433977028,0.7167630057803468,0.23534269199009084,0.15111478117258464,-0.9627845205084418,11.956394103701406,0.16934903094835652,1.1804119982975037,6.661338147750939e-14,0.05712607046517282
