candidate,segment,start,end,rows,annual_return,annual_vol,sharpe,max_dd,total_return,scenario,rules_json,cost_bps,avg_suba,latest_suba,avg_subd,latest_subd,latest_subb,rebalance_count,allocation_turnover,ann_return,ann_vol,sharpe_repo
suba_dd_7_8_weekly_step5_cost5bps,last_5y,2021-05-10,2026-05-08,1300,0.3927068288899189,0.09966252256399766,3.940366135502387,-0.06252113687138006,4.228923956696944,suba_dd_7_8_weekly_step5,"[{""boost_dd"": 0.07, ""cut_dd"": 0.08, ""execution"": ""weekly"", ""sleeve"": ""Sub-A"", ""step"": 0.05}]",5,0.10932407160032058,0.15000000000000002,0.20000000000000004,0.2,0.35,54,7.3000000000000025,0.3927068288899189,0.09966252256399766,3.940366135502387
suba_dd_7_8_weekly_step5_cost5bps,last_3y,2023-05-08,2026-05-08,781,0.5341126759676484,0.10823602326162761,4.934703436734679,-0.06252113687138017,2.6115945383574295,suba_dd_7_8_weekly_step5,"[{""boost_dd"": 0.07, ""cut_dd"": 0.08, ""execution"": ""weekly"", ""sleeve"": ""Sub-A"", ""step"": 0.05}]",5,0.10932407160032058,0.15000000000000002,0.20000000000000004,0.2,0.35,54,7.3000000000000025,0.5341126759676484,0.10823602326162761,4.934703436734679
suba_dd_7_8_weekly_step5_cost5bps,last_1y,2025-05-08,2026-05-08,260,0.6126260405817543,0.1122909363622572,5.4557033757861495,-0.05236600723077178,0.6120986690507892,suba_dd_7_8_weekly_step5,"[{""boost_dd"": 0.07, ""cut_dd"": 0.08, ""execution"": ""weekly"", ""sleeve"": ""Sub-A"", ""step"": 0.05}]",5,0.10932407160032058,0.15000000000000002,0.20000000000000004,0.2,0.35,54,7.3000000000000025,0.6126260405817543,0.1122909363622572,5.4557033757861495
suba_dd_7_8_weekly_step5_cost10bps,full,2011-12-09,2026-05-08,3743,0.31713093110836965,0.09473528446174549,3.3475482013929927,-0.07119769749622828,51.97829494139453,suba_dd_7_8_weekly_step5,"[{""boost_dd"": 0.07, ""cut_dd"": 0.08, ""execution"": ""weekly"", ""sleeve"": ""Sub-A"", ""step"": 0.05}]",10,0.10932407160032058,0.15000000000000002,0.20000000000000004,0.2,0.35,54,7.3000000000000025,0.31713093110836965,0.09473528446174549,3.3475482013929927
suba_dd_7_8_weekly_step5_cost10bps,last_10y,2016-05-09,2026-05-08,2597,0.3481262050428333,0.09730922326459329,3.577525268044162,-0.06252113687137939,18.80490356871073,suba_dd_7_8_weekly_step5,"[{""boost_dd"": 0.07, ""cut_dd"": 0.08, ""execution"": ""weekly"", ""sleeve"": ""Sub-A"", ""step"": 0.05}]",10,0.10932407160032058,0.15000000000000002,0.20000000000000004,0.2,0.35,54,7.3000000000000025,0.3481262050428333,0.09730922326459329,3.577525268044162
suba_dd_7_8_weekly_step5_cost10bps,last_5y,2021-05-10,2026-05-08,1300,0.39245657509547516,0.09965972682242283,3.9379655916052023,-0.06252113687137939,4.224233533099547,suba_dd_7_8_weekly_step5,"[{""boost_dd"": 0.07, ""cut_dd"": 0.08, ""execution"": ""weekly"", ""sleeve"": ""Sub-A"", ""step"": 0.05}]",10,0.10932407160032058,0.15000000000000002,0.20000000000000004,0.2,0.35,54,7.3000000000000025,0.39245657509547516,0.09965972682242283,3.9379655916052023
suba_dd_7_8_weekly_step5_cost10bps,last_3y,2023-05-08,2026-05-08,781,0.5339595942140838,0.10823582637839027,4.93329807773049,-0.0625211368713795,2.610513248484645,suba_dd_7_8_weekly_step5,"[{""boost_dd"": 0.07, ""cut_dd"": 0.08, ""execution"": ""weekly"", ""sleeve"": ""Sub-A"", ""step"": 0.05}]",10,0.10932407160032058,0.15000000000000002,0.20000000000000004,0.2,0.35,54,7.3000000000000025,0.5339595942140838,0.10823582637839027,4.93329807773049
suba_dd_7_8_weekly_step5_cost10bps,last_1y,2025-05-08,2026-05-08,260,0.6126260405817545,0.11229093636225723,5.4557033757861495,-0.052366007230772116,0.6120986690507895,suba_dd_7_8_weekly_step5,"[{""boost_dd"": 0.07, ""cut_dd"": 0.08, ""execution"": ""weekly"", ""sleeve"": ""Sub-A"", ""step"": 0.05}]",10,0.10932407160032058,0.15000000000000002,0.20000000000000004,0.2,0.35,54,7.3000000000000025,0.6126260405817545,0.11229093636225723,5.4557033757861495
suba_dd_7_8_weekly_step5_cost20bps,full,2011-12-09,2026-05-08,3743,0.31646584913572773,0.09472586089326454,3.3408601004145635,-0.07138356597546314,51.59405736028786,suba_dd_7_8_weekly_step5,"[{""boost_dd"": 0.07, ""cut_dd"": 0.08, ""execution"": ""weekly"", ""sleeve"": ""Sub-A"", ""step"": 0.05}]",20,0.10932407160032058,0.15000000000000002,0.20000000000000004,0.2,0.35,54,7.3000000000000025,0.31646584913572773,0.09472586089326454,3.3408601004145635
suba_dd_7_8_weekly_step5_cost20bps,last_10y,2016-05-09,2026-05-08,2597,0.3476144494135083,0.09730879063691952,3.5722820840568676,-0.06252113687137917,18.72988219670452,suba_dd_7_8_weekly_step5,"[{""boost_dd"": 0.07, ""cut_dd"": 0.08, ""execution"": ""weekly"", ""sleeve"": ""Sub-A"", ""step"": 0.05}]",20,0.10932407160032058,0.15000000000000002,0.20000000000000004,0.2,0.35,54,7.3000000000000025,0.3476144494135083,0.09730879063691952,3.5722820840568676
suba_dd_7_8_weekly_step5_cost20bps,last_5y,2021-05-10,2026-05-08,1300,0.3919561399988165,0.09965456980056976,3.9331476798626004,-0.06252113687137928,4.214864136769147,suba_dd_7_8_weekly_step5,"[{""boost_dd"": 0.07, ""cut_dd"": 0.08, ""execution"": ""weekly"", ""sleeve"": ""Sub-A"", ""step"": 0.05}]",20,0.10932407160032058,0.15000000000000002,0.20000000000000004,0.2,0.35,54,7.3000000000000025,0.3919561399988165,0.09965456980056976,3.9331476798626004
suba_dd_7_8_weekly_step5_cost20bps,last_3y,2023-05-08,2026-05-08,781,0.5336534459637308,0.10823561090278423,4.930479363608444,-0.06252113687137917,2.6083514240316132,suba_dd_7_8_weekly_step5,"[{""boost_dd"": 0.07, ""cut_dd"": 0.08, ""execution"": ""weekly"", ""sleeve"": ""Sub-A"", ""step"": 0.05}]",20,0.10932407160032058,0.15000000000000002,0.20000000000000004,0.2,0.35,54,7.3000000000000025,0.5336534459637308,0.10823561090278423,4.930479363608444
suba_dd_7_8_weekly_step5_cost20bps,last_1y,2025-05-08,2026-05-08,260,0.612626040581755,0.11229093636225713,5.455703375786158,-0.052366007230772005,0.6120986690507899,suba_dd_7_8_weekly_step5,"[{""boost_dd"": 0.07, ""cut_dd"": 0.08, ""execution"": ""weekly"", ""sleeve"": ""Sub-A"", ""step"": 0.05}]",20,0.10932407160032058,0.15000000000000002,0.20000000000000004,0.2,0.35,54,7.3000000000000025,0.612626040581755,0.11229093636225713,5.455703375786158
subd_dd_7_8_weekly_step5_cost0bps,full,2011-12-09,2026-05-08,3743,0.3059292907651163,0.09457074404355542,3.2349252811653653,-0.07994057756495954,45.84244716599942,subd_dd_7_8_weekly_step5,"[{""boost_dd"": 0.07, ""cut_dd"": 0.08, ""execution"": ""weekly"", ""sleeve"": ""Sub-D"", ""step"": 0.05}]",0,0.10000000000000002,0.1,0.21051295752070534,0.25,0.35000000000000003,117,15.899999999999997,0.3059292907651163,0.09457074404355542,3.2349252811653653
subd_dd_7_8_weekly_step5_cost0bps,last_10y,2016-05-09,2026-05-08,2597,0.34146469165552307,0.09741226960100889,3.5053560814682685,-0.06687733732484613,17.848141027821693,subd_dd_7_8_weekly_step5,"[{""boost_dd"": 0.07, ""cut_dd"": 0.08, ""execution"": ""weekly"", ""sleeve"": ""Sub-D"", ""step"": 0.05}]",0,0.10000000000000002,0.1,0.21051295752070534,0.25,0.35000000000000003,117,15.899999999999997,0.34146469165552307,0.09741226960100889,3.5053560814682685
subd_dd_7_8_weekly_step5_cost0bps,last_5y,2021-05-10,2026-05-08,1300,0.39585826970714066,0.10040545258357547,3.942597334319431,-0.06687733732484624,4.288279162217924,subd_dd_7_8_weekly_step5,"[{""boost_dd"": 0.07, ""cut_dd"": 0.08, ""execution"": ""weekly"", ""sleeve"": ""Sub-D"", ""step"": 0.05}]",0,0.10000000000000002,0.1,0.21051295752070534,0.25,0.35000000000000003,117,15.899999999999997,0.39585826970714066,0.10040545258357547,3.942597334319431
subd_dd_7_8_weekly_step5_cost0bps,last_3y,2023-05-08,2026-05-08,781,0.5447466806558938,0.10796803571665722,5.045444024613766,-0.06687733732484624,2.6872372094888806,subd_dd_7_8_weekly_step5,"[{""boost_dd"": 0.07, ""cut_dd"": 0.08, ""execution"": ""weekly"", ""sleeve"": ""Sub-D"", ""step"": 0.05}]",0,0.10000000000000002,0.1,0.21051295752070534,0.25,0.35000000000000003,117,15.899999999999997,0.5447466806558938,0.10796803571665722,5.045444024613766
subd_dd_7_8_weekly_step5_cost0bps,last_1y,2025-05-08,2026-05-08,260,0.6251830461717549,0.11422884767148733,5.473074962374911,-0.053329406595201245,0.6246429428332236,subd_dd_7_8_weekly_step5,"[{""boost_dd"": 0.07, ""cut_dd"": 0.08, ""execution"": ""weekly"", ""sleeve"": ""Sub-D"", ""step"": 0.05}]",0,0.10000000000000002,0.1,0.21051295752070534,0.25,0.35000000000000003,117,15.899999999999997,0.6251830461717549,0.11422884767148733,5.473074962374911
subd_dd_7_8_weekly_step5_cost5bps,full,2011-12-09,2026-05-08,3743,0.30521005420599123,0.09456899927321731,3.227379548811924,-0.08012431789081009,45.472010448189764,subd_dd_7_8_weekly_step5,"[{""boost_dd"": 0.07, ""cut_dd"": 0.08, ""execution"": ""weekly"", ""sleeve"": ""Sub-D"", ""step"": 0.05}]",5,0.10000000000000002,0.1,0.21051295752070534,0.25,0.35000000000000003,117,15.899999999999997,0.30521005420599123,0.09456899927321731,3.227379548811924
subd_dd_7_8_weekly_step5_cost5bps,last_10y,2016-05-09,2026-05-08,2597,0.34068702879788826,0.09741508762535113,3.4972716968457407,-0.06697060065341831,17.73920536332826,subd_dd_7_8_weekly_step5,"[{""boost_dd"": 0.07, ""cut_dd"": 0.08, ""execution"": ""weekly"", ""sleeve"": ""Sub-D"", ""step"": 0.05}]",5,0.10000000000000002,0.1,0.21051295752070534,0.25,0.35000000000000003,117,15.899999999999997,0.34068702879788826,0.09741508762535113,3.4972716968457407
subd_dd_7_8_weekly_step5_cost5bps,last_5y,2021-05-10,2026-05-08,1300,0.3951603755358084,0.10040662308598475,3.9356006943626296,-0.06697060065341798,4.275088590313311,subd_dd_7_8_weekly_step5,"[{""boost_dd"": 0.07, ""cut_dd"": 0.08, ""execution"": ""weekly"", ""sleeve"": ""Sub-D"", ""step"": 0.05}]",5,0.10000000000000002,0.1,0.21051295752070534,0.25,0.35000000000000003,117,15.899999999999997,0.3951603755358084,0.10040662308598475,3.9356006943626296
subd_dd_7_8_weekly_step5_cost5bps,last_3y,2023-05-08,2026-05-08,781,0.5442831242414108,0.10797432039997425,5.040857142931743,-0.0669706006534182,2.6839179870713727,subd_dd_7_8_weekly_step5,"[{""boost_dd"": 0.07, ""cut_dd"": 0.08, ""execution"": ""weekly"", ""sleeve"": ""Sub-D"", ""step"": 0.05}]",5,0.10000000000000002,0.1,0.21051295752070534,0.25,0.35000000000000003,117,15.899999999999997,0.5442831242414108,0.10797432039997425,5.040857142931743
subd_dd_7_8_weekly_step5_cost5bps,last_1y,2025-05-08,2026-05-08,260,0.6246930664475183,0.11424496406531152,5.4680140307138085,-0.0534245212297747,0.624153461156713,subd_dd_7_8_weekly_step5,"[{""boost_dd"": 0.07, ""cut_dd"": 0.08, ""execution"": ""weekly"", ""sleeve"": ""Sub-D"", ""step"": 0.05}]",5,0.10000000000000002,0.1,0.21051295752070534,0.25,0.35000000000000003,117,15.899999999999997,0.6246930664475183,0.11424496406531152,5.4680140307138085
subd_dd_7_8_weekly_step5_cost10bps,full,2011-12-09,2026-05-08,3743,0.30449115890947076,0.09456767517005495,3.2198228238340847,-0.08030803525227237,45.10447525550885,subd_dd_7_8_weekly_step5,"[{""boost_dd"": 0.07, ""cut_dd"": 0.08, ""execution"": ""weekly"", ""sleeve"": ""Sub-D"", ""step"": 0.05}]",10,0.10000000000000002,0.1,0.21051295752070534,0.25,0.35000000000000003,117,15.899999999999997,0.30449115890947076,0.09456767517005495,3.2198228238340847
