rule,full_annual,full_vol,full_sharpe,full_max_dd,full_calmar,full_total_return,full_annual_delta,full_max_dd_delta,full_sharpe_delta,last_10y_annual,last_10y_vol,last_10y_sharpe,last_10y_max_dd,last_10y_calmar,last_10y_total_return,last_10y_annual_delta,last_10y_max_dd_delta,last_10y_sharpe_delta,last_5y_annual,last_5y_vol,last_5y_sharpe,last_5y_max_dd,last_5y_calmar,last_5y_total_return,last_5y_annual_delta,last_5y_max_dd_delta,last_5y_sharpe_delta,last_3y_annual,last_3y_vol,last_3y_sharpe,last_3y_max_dd,last_3y_calmar,last_3y_total_return,last_3y_annual_delta,last_3y_max_dd_delta,last_3y_sharpe_delta,last_1y_annual,last_1y_vol,last_1y_sharpe,last_1y_max_dd,last_1y_calmar,last_1y_total_return,last_1y_annual_delta,last_1y_max_dd_delta,last_1y_sharpe_delta,source,ma,days,scale,trigger_days,defensive_pass,defensive_score
broad_consec_below:hs300:ma58:days8:scale0.00,16.218262827569752,17.6047077818801,0.9728018833812654,-52.668764660128375,0.3079294327905017,2548.9866230575126,-5.194962581504626,-11.706389157610083,-0.1397923100072972,26.411923340492315,18.286483117874017,1.4199449285923842,-16.346292464431635,1.6157745493641922,941.0279035108127,-7.875554568372948,3.659921222919749,-0.17190566347678304,26.608220530558825,18.3740794336473,1.4258208510000043,-16.346292464431656,1.6277832168032218,224.84661234867667,-10.85759653495979,1.0257082531117803,-0.2381706914325521,29.44925483191192,19.11552704852626,1.4992202285552174,-16.34629246443162,1.8015861943001095,116.9578619198555,-5.274894311798793,1.0257082531118158,-0.029853700011472473,27.25904751249566,18.36514434621959,1.451841856313819,-16.346292464431635,1.6675981768838042,27.238052410463197,-3.0452280202705424,-0.6386269477787536,-0.008973571593337226,hs300,58,8,0.0,1255,False,-1.3602782509247386
broad_consec_below:hs300:ma58:days8:scale0.25,17.586351075911864,17.74503826942892,1.0349032276588164,-49.48833974002993,0.35536352943533256,3318.9020712972074,-3.8268743331625146,-8.525964237511637,-0.07769096572974621,28.439497436308248,18.419173692592373,1.5006800489639178,-16.17383180237765,1.7583648565040397,1120.5050336843774,-5.8479804725570155,3.832381884973735,-0.09117054310524941,29.373963539409864,18.544259882104246,1.5356494892510302,-16.173831802377713,1.816141276743808,261.8640357840024,-8.09185352610875,1.1981689151657235,-0.12834205318152625,30.88036968504437,19.280027869064067,1.5474415894935227,-16.173831802377624,1.909279758956367,124.23506940015665,-3.84377945866634,1.1981689151658124,0.01836766092683284,28.09618842364987,18.470861988633263,1.4814091625979424,-16.17383180237765,1.7371386550167762,28.074480434624682,-2.208087109116331,-0.4661662857247677,0.02059373469078629,hs300,58,8,0.25,1255,False,-0.9402497991525979
broad_consec_below:hs300:ma58:days8:scale0.50,18.909329673769193,18.18023019860414,1.0782488054153543,-46.186797635355546,0.4094098452778264,4263.355062339782,-2.5038957353051856,-5.224422132837255,-0.0343453879732083,30.42955937773517,18.850821220268426,1.5552128047425091,-16.00988349272593,1.9006733803878586,1323.2672225505669,-3.8579185311300925,3.996330194625454,-0.03663778732665812,32.10807480672771,19.09961591331502,1.6103562913627414,-16.009883492725898,2.0055158315996513,301.7000388317099,-5.357742258790907,1.3621172248175384,-0.05363525106981504,32.23783747643483,19.8060150806155,1.5657520377822391,-16.00988349272594,2.0136209917506287,131.28649723446722,-2.486311667275885,1.3621172248174958,0.03667810921554926,28.88340508944507,18.81623759543541,1.4914086574066958,-16.00988349272596,1.804098393505996,28.86102331371283,-1.4208704433211317,-0.30221797607308076,0.030593229499539687,hs300,58,8,0.5,1255,False,-0.53597419381848
broad_consec_below:hs300:ma58:days8:scale0.75,20.185505840120264,18.889988032297143,1.1032900175763047,-42.767579013970355,0.47198149405479595,5406.75720211454,-1.2277195689541145,-1.8052035114520635,-0.009304175812257842,32.37968969843001,19.561699921586946,1.5843743272643729,-17.742048895441375,1.825025389640856,1550.8715927278374,-1.9077882104352497,2.2641647919100087,-0.0074762648047943525,34.806663757795775,20.00817068207856,1.6511882268376126,-16.3865503850935,2.1240995169708605,344.3833314999404,-2.659153307722839,0.9854503324499362,-0.012803315594943854,33.51971665566047,20.665988278644008,1.5575427074452737,-16.386550385093624,2.045562724791204,138.07957428252112,-1.2044324880502444,0.9854503324498118,0.02846877887858379,29.619737065915675,19.388597055985034,1.4834839030315032,-15.85448295488976,1.868224725473025,29.596722079464797,-0.6845384668505261,-0.14681743823687832,0.02266847512434711,hs300,58,8,0.75,1255,False,-0.23761880383902018
broad_consec_below:hs300:ma58:days9:scale0.00,16.0147872793996,17.79549977999811,0.9540680815090096,-54.675713032373906,0.29290495525713806,2449.6944172981534,-5.39843812967478,-13.713337529855615,-0.158526111879553,27.6975668961539,18.41971575030206,1.4680002410176272,-16.694175157790347,1.6591156277181394,1051.8346956403673,-6.589911012711362,3.312038529561036,-0.12385035105154008,28.19233894902613,18.537333463998685,1.484654891910208,-16.694175157790305,1.6887530340707027,245.65744053450328,-9.273478116492484,0.6778255597531313,-0.17933665052234837,30.47811213425682,19.31551722015204,1.528349296523611,-16.694175157790347,1.825673436763612,122.17340665551734,-4.246037009453893,0.6778255597530887,-0.0007246320430789321,28.242326826993946,18.702795798290737,1.4716173872920624,-14.051681000556682,2.009889551710936,28.220494006110442,-2.061948705772256,1.6559845160961988,0.010801959384906246,hs300,58,9,0.0,1146,False,-1.2385472900662973
broad_consec_below:hs300:ma58:days9:scale0.25,17.424669124049007,17.920565542453897,1.0185606493209427,-51.116469032499914,0.3408817051305007,3217.865437310597,-3.9885562850253713,-10.154093529981623,-0.09403354406761988,29.411968814933687,18.54467580334543,1.5339782162664133,-16.819561994153766,1.748676263101076,1216.086972382026,-4.875509093931576,3.186651693197618,-0.05787237580275395,30.578483319290804,18.69785962042722,1.576115518349073,-16.819561994153688,1.8180308934275209,279.0044519688623,-6.88733374622781,0.5524387233897485,-0.0878760240834835,31.650563401752805,19.46661260235086,1.565838020895158,-16.819561994153844,1.8817709648297578,128.2180059744956,-3.0735857419579062,0.5524387233895922,0.036764092328468,28.823437521192385,18.78461415753637,1.49099126761406,-14.051681000556627,2.051244795555109,28.80110718826718,-1.480838011573816,1.6559845160962539,0.03017583970690385,hs300,58,9,0.25,1146,False,-0.8802445475975582
broad_consec_below:hs300:ma58:days9:scale0.50,18.795403111598464,18.316412356640978,1.0661701856850085,-47.35891863336157,0.39687145851253053,4173.116075873797,-2.6178222974759144,-6.396543130843277,-0.04642400770355404,31.083058164422496,18.94973953029738,1.575447551890077,-16.974404618951876,1.8311722185365105,1396.1767842822192,-3.2044197444427667,3.0318090683995074,-0.016403040179090222,32.92162983189482,19.220000571301856,1.6346943332473343,-16.974404618951766,1.9394865723383383,314.2065090829934,-4.544187233623795,0.39759609859167,-0.02929720918522216,32.74995329418316,19.951832862511814,1.5759220101026952,-16.974404618951876,1.9293727249566046,133.98463696424056,-1.974195849527554,0.39759609859155987,0.04684808153600528,29.361215034291256,19.06254232053759,1.4946791479340922,-14.495996726049299,2.0254705895131146,29.338422691269848,-0.9430604984749458,1.2116687906035821,0.03386372002693605,hs300,58,9,0.5,1146,False,-0.5390923163727015
broad_consec_below:hs300:ma58:days9:scale0.75,20.125431912820147,18.966158498199547,1.0968909703723004,-43.399414868873585,0.46372588141169324,5347.059152545374,-1.2877934962542312,-2.437039366355293,-0.015703223016262147,32.70887391704655,19.617656063422352,1.593550380614962,-17.838025852613526,1.8336599681659411,1592.3684398193714,-1.57860399181871,2.168187834737857,0.0016997885457947781,35.218497722507514,20.075672809125138,1.662114194692334,-17.15859518316759,2.052528038953708,351.2044031565665,-2.2473193430110996,0.21340553437584475,-0.0018773477402225236,33.77491305115383,20.747797471076375,1.5617931685498705,-17.15859518316768,1.9683961705843207,139.44762339264187,-0.9492360925568804,0.21340553437575593,0.032719239983180604,29.85502631671906,19.5282437773839,1.4838726069926782,-15.101861222274238,1.9769103872233236,29.83180838876871,-0.44924921604714285,0.6058042943786432,0.023057179085522073,hs300,58,9,0.75,1146,False,-0.23890295187329827
broad_consec_below:hs300:ma58:days10:scale0.00,16.84785488659322,17.94996516476192,0.988729587551842,-53.91865020175493,0.31246803886134483,2880.1219933026487,-4.56537052248116,-12.956274699236637,-0.12386460583672054,28.625600637238,18.627668840528465,1.4940087727328086,-15.054109418213047,1.9015140545348792,1138.2980088230165,-5.661877271627262,4.952104269138337,-0.0978418193363586,29.602750392332865,18.78520469331888,1.5281066387794786,-15.054109418212969,1.9664232250443496,265.0710277408766,-7.863066673185749,2.3178912993304674,-0.13588490365307782,31.418429935923697,19.414636414998153,1.5600440844255332,-15.054109418213102,2.0870334513386988,127.01263977009272,-3.305719207787014,2.317891299330334,0.03097015585884333,30.436347175127576,18.787976690217455,1.5594608172959874,-14.051681000556627,2.1660289024439074,30.41262659785662,0.13207164236137459,1.6559845160962539,0.09864538938883127,hs300,58,10,0.0,1049,False,-0.901672872635161
broad_consec_below:hs300:ma58:days10:scale0.25,18.050459658843177,18.066317218960606,1.042301905810491,-50.511308212990855,0.35735482404711966,3625.4951148585997,-3.362765750231201,-9.548932710472563,-0.0702922875780716,30.107417491255916,18.740565347498226,1.5495612411585784,-15.599236176256426,1.9300571612014166,1288.5168463330983,-4.180060417609347,4.406977511094958,-0.04228935091058883,31.6433841724834,18.93310613722426,1.6034841539179,-15.599236176256404,2.02852138495395,294.6932265907651,-5.822432893035213,1.7727645412870316,-0.060507388514656535,32.35665077297709,19.563430526355752,1.5875210605745702,-15.599236176256415,2.074245841743657,131.91062024771213,-2.367498370733621,1.772764541287021,0.05844713200788032,30.468715210623397,18.87635390431211,1.554402781153293,-14.266559822794756,2.135673602401417,30.444966593614488,0.16443967785719593,1.441105693858125,0.09358735324613687,hs300,58,10,0.25,1049,False,-0.6290974578944465
broad_consec_below:hs300:ma58:days10:scale0.50,19.213037212814974,18.43160479762037,1.0803982243138974,-46.92960192988619,0.4094012397871956,4512.886181655756,-2.200188196259404,-5.967226427367898,-0.032195969074665154,31.54601780923838,19.104436085431136,1.5833745202039513,-16.167551299944105,1.9511933021884051,1449.8441562477446,-2.7414600996268845,3.838662387407279,-0.008476071865215928,33.63582595665526,19.405861950149372,1.6496028259593047,-16.167551299943995,2.08045271251261,325.44047546761277,-3.8299911088633536,1.2044494175994416,-0.014388716473251684,33.2209435288211,20.029829169617237,1.588972341303431,-16.167551299943995,2.054791286107512,136.48455442560072,-1.503205614889609,1.2044494175994416,0.059898412736741014,30.457536519150086,19.141293832022573,1.535050671906316,-14.745583137796691,2.0655362513998954,30.433797586623747,0.1532609863838843,0.9620823788561896,0.07423524399915982,hs300,58,10,0.5,1049,False,-0.3727200471014185
broad_consec_below:hs300:ma58:days10:scale0.75,20.334359014700908,19.031553267609745,1.1032420758096673,-43.17134434422134,0.47101519129373015,5557.380632158695,-1.0788663943734704,-2.2089688417030473,-0.009352117578895314,32.939873180935564,19.705454704088996,1.5964803653449513,-17.951421651103527,1.8349450991203615,1622.0461133790832,-1.3476047279296992,2.054792036247857,0.004629773275784066,35.57749023112318,20.180720145723765,1.6681705544982006,-16.7586219263808,2.1229365032167955,357.21835136048065,-1.8883268343954356,0.6133787911626349,0.004179012065644194,34.01039120116629,20.792538330711,1.5676849018465864,-16.758621926380755,2.0294264856962068,140.71460790251552,-0.7137579425444187,0.6133787911626811,0.03861097327989649,30.402735846351714,19.575714181180455,1.5030516928096997,-15.225951277714367,1.9967708612630999,30.379044380043595,0.09846031358551244,0.4817142389385136,0.04223626490254362,hs300,58,10,0.75,1049,False,-0.1742149869627095
broad_consec_below:hs300:ma58:days11:scale0.00,17.15463532584134,18.086454324832555,0.9976573748585844,-53.37505877168998,0.3213979660279105,3055.441458222788,-4.258590083233038,-12.412683269171687,-0.11493681852997817,29.3294727896215,18.784821447066438,1.5132142832760438,-15.707665516652858,1.8672076228340333,1207.7247857213426,-4.9580051192437615,4.298548170698526,-0.07863630879312344,29.870539611147674,18.928900574064272,1.5292884845410954,-15.707665516652769,1.901653659449259,268.85356127023584,-7.59527745437094,1.664335200890667,-0.13470305789146098,31.308530618188858,19.562948245476512,1.5452480989199273,-15.707665516652868,1.9932007455211183,126.44346487722417,-3.415618525521854,1.6643352008905676,0.016174170353237427,27.010165738117053,19.0182117882747,1.3976930514225807,-15.707665516652769,1.7195531512611935,26.98938185205384,-3.294109794649149,1.1191048088221578e-13,-0.06312237648457542,hs300,58,11,0.0,967,False,-0.834055453470471
broad_consec_below:hs300:ma58:days11:scale0.25,18.277435976330956,18.19393318360097,1.0472069775561286,-50.08558596493254,0.3649240719501199,3784.8229019969785,-3.1357894327434224,-9.12321046241425,-0.06538721583243401,30.633726754313038,18.889526317283302,1.560995621401321,-15.707665516652824,1.950240582971163,1345.6945830884117,-3.653751154552225,4.2985481706985595,-0.03085497066784626,31.840373011431232,19.068070402837524,1.6016442691395063,-15.707665516652847,2.027059525661208,297.65147475139486,-5.625444054087382,1.664335200890589,-0.06234727329305012,32.266201181537355,19.70101172233306,1.5741989496045614,-15.707665516652858,2.054169102807134,131.43538911382652,-2.457947962173357,1.6643352008905783,0.04512502103787153,27.879968196021032,19.081874432584016,1.4307684121274717,-15.70766551665278,1.774927545182545,27.85844469377341,-2.4243073367451693,1.0125233984581428e-13,-0.030047015779684383,hs300,58,11,0.25,967,False,-0.548900177258388
broad_consec_below:hs300:ma58:days11:scale0.50,19.362170625160214,18.53199475196362,1.082538845205092,-46.6338422231285,0.4151956969901434,4640.345323585621,-2.0510547839141644,-5.671466720610205,-0.030055348183470665,31.895624760794238,19.222771820251793,1.5891282540092635,-16.08974378069088,1.9823575313282376,1491.5127949218086,-2.391853148071025,3.9164699066605024,-0.0027223380599037394,33.76438693156673,19.51197506578622,1.6468225853459275,-15.707665516652835,2.1495483778777094,327.48830587016784,-3.701430133951881,1.6643352008906014,-0.01716895708662891,33.155244856212065,20.13721792958631,1.5790243066781977,-15.707665516652813,2.1107684538521547,136.13477606772696,-1.568904287498647,1.6643352008906227,0.04995037811150782,28.719369816265395,19.298722139906495,1.4520123576549835,-15.707665516652824,1.8283665249822088,28.69712871186003,-1.5849057165008062,5.684341886080802e-14,-0.00880307025217264,hs300,58,11,0.5,967,False,-0.2907487538818459
broad_consec_below:hs300:ma58:days11:scale0.75,20.407778936048928,19.088437319840644,1.1038334593032972,-43.01756050955367,0.4744057704415064,5633.113512036456,-1.0054464730254509,-2.0551850070353765,-0.008760734085265343,33.11394289999683,19.77302748248972,1.5985617779277925,-18.06161297163508,1.8333879123642354,1644.71830717994,-1.1735350088684342,1.9446007157163052,0.00671118585862529,35.64029111918367,20.24060386930404,1.6662169027701677,-16.27824029683127,2.1894437279022982,358.27696668685024,-1.8255259463349418,1.0937604207121652,0.0022253603376112263,33.974821867630524,20.852890571925702,1.5624281120144692,-16.278240296831235,2.0871311178668464,140.52294206422445,-0.7493272760801872,1.0937604207122007,0.033354183447779295,29.52769247795459,19.66369216333571,1.4616960936693588,-15.707665516652824,1.8798269193248458,29.504756802277555,-0.7765830548116099,5.684341886080802e-14,0.0008806657622026925,hs300,58,11,0.75,967,False,-0.1275061836538485
broad_consec_below:hs300:ma58:days12:scale0.00,17.612767224588666,18.206557444962257,1.0145000888942728,-49.018828969568006,0.35930616040466956,3335.686277805212,-3.800458184485713,-8.056453467049714,-0.09809410449428979,29.568714472656655,18.839051629613905,1.5195795907008156,-15.707665516652835,1.8824385101216166,1232.1081520435962,-4.718763436208608,4.298548170698549,-0.07227100136835163,30.17310372514739,18.99434535221359,1.537419510515943,-15.707665516652881,1.9209158543106617,273.16493652343115,-7.292713340371225,1.6643352008905552,-0.12657203191661348,32.291002288604574,19.6115134722536,1.5814881724512075,-15.707665516652868,2.055748020249761,131.56563191979592,-2.4331468551061377,1.6643352008905676,0.05241424388451765,28.032555882829023,19.02511276389874,1.4409734814016268,-15.707665516652803,1.784641763163962,28.01090221328515,-2.271719649937179,7.815970093361102e-14,-0.019841946505529284,hs300,58,12,0.0,893,False,-0.7554819674985628
broad_consec_below:hs300:ma58:days12:scale0.25,18.619443942338453,18.30709607673419,1.058214813339418,-46.643352620573076,0.39918751325190843,4037.2325510537407,-2.7937814667359255,-5.680977118054784,-0.054379380049144554,30.812586370841345,18.93823035874907,1.5649649078674968,-15.707665516652835,1.9616273556484054,1365.602748581218,-3.4748915380239183,4.298548170698549,-0.02688568420167048,32.06767229406968,19.12818128015641,1.6065819627056617,-15.707665516652758,2.0415301217149406,301.08691208274996,-5.3981447714489335,1.6643352008906778,-0.057409579726894755,33.005282173780955,19.747887784784904,1.6003150891372186,-15.707665516652769,2.101221352007388,135.3376705210255,-1.7188669699297563,1.664335200890667,0.07124116057052876,28.650657780904297,19.09205667059633,1.4627570934994387,-15.707665516652868,1.823992098031983,28.628475559237486,-1.6536177518619048,1.2434497875801753e-14,0.0019416655922825932,hs300,58,12,0.25,893,False,-0.4903923082900382
broad_consec_below:hs300:ma58:days12:scale0.50,19.58899494466271,18.621567477285403,1.0887950969872362,-44.218829311644484,0.44300121123976,4840.6660190327375,-1.82423046441167,-3.2564538091261923,-0.02379909640132638,32.014414784527354,19.26007536513473,1.5912740488876482,-16.408773175795154,1.9510547462349186,1505.8988366253657,-2.2730631243379094,3.597440511556229,-0.000576543181519007,33.91605821195771,19.558552060873343,1.6493960209939629,-15.707665516652792,2.1592042545087895,329.9143854723649,-3.5497588535609026,1.664335200890644,-0.01459552143859355,33.64917360075845,20.174759662128693,1.595573589623046,-15.707665516652813,2.1422135303991907,138.7729100020251,-1.0749755429522594,1.6643352008906227,0.06649966105635619,29.235629601024304,19.308743338286906,1.4728655893708542,-15.707665516652813,1.8612332666512115,29.212945286782134,-1.068645931741898,6.750155989720952e-14,0.012050161463698084,hs300,58,12,0.5,893,False,-0.26321288237612284
