variant,defense_asset,decay_ratio_threshold,recovery_ratio_threshold,annual,vol,sharpe,max_dd,calmar,total_return,monthly_win_rate,signal_days,overlay_days,overlay_ratio,trigger_count,recovery_count,avg_scale,annual_delta,max_dd_delta,sharpe_delta,calmar_delta
switch_cash_decay40_rec80,cash,0.4,0.8,23.47393779326037,21.22103211230976,0.9646480653676743,-31.20312073851427,0.7522945538035974,2558.2034690736973,57.97872340425532,477,76,0.020121789780248873,25,25,1.122343119596603,0.6918406547577796,-0.004839657928165764,0.02621382306671205,0.022058901408013698
switch_cash_decay40_rec90,cash,0.4,0.9,23.47393779326037,21.22103211230976,0.9646480653676743,-31.20312073851427,0.7522945538035974,2558.2034690736973,57.97872340425532,477,76,0.020121789780248873,25,25,1.122343119596603,0.6918406547577796,-0.004839657928165764,0.02621382306671205,0.022058901408013698
switch_bond_decay40_rec60,bond,0.4,0.6,23.142373856874165,21.147338305216206,0.9544952721108211,-31.20669233661792,0.7415836836292616,2449.304595462592,57.97872340425532,487,76,0.020121789780248873,25,25,1.120388559439916,0.36027671837157627,-0.008411256031816805,0.016061029809858796,0.011348031233677891
switch_bond_decay40_rec70,bond,0.4,0.7,23.142373856874165,21.147338305216206,0.9544952721108211,-31.20669233661792,0.7415836836292616,2449.304595462592,57.97872340425532,487,76,0.020121789780248873,25,25,1.120388559439916,0.36027671837157627,-0.008411256031816805,0.016061029809858796,0.011348031233677891
switch_bond_decay40_rec80,bond,0.4,0.8,23.142373856874165,21.147338305216206,0.9544952721108211,-31.20669233661792,0.7415836836292616,2449.304595462592,57.97872340425532,487,76,0.020121789780248873,25,25,1.120388559439916,0.36027671837157627,-0.008411256031816805,0.016061029809858796,0.011348031233677891
switch_bond_decay40_rec90,bond,0.4,0.9,23.142373856874165,21.147338305216206,0.9544952721108211,-31.20669233661792,0.7415836836292616,2449.304595462592,57.97872340425532,487,76,0.020121789780248873,25,25,1.120388559439916,0.36027671837157627,-0.008411256031816805,0.016061029809858796,0.011348031233677891
switch_cash_decay40_rec50,cash,0.4,0.5,23.13837391217217,21.195248691527084,0.9526845384089043,-31.203120738514343,0.7415403768768625,2448.016712110081,57.97872340425532,478,67,0.017738946253640454,25,25,1.1211392798940838,0.3562767736695811,-0.004839657928240371,0.01425029610794204,0.011304724481278727
switch_cash_decay30_rec50,cash,0.3,0.5,22.881090377261582,21.157456033927495,0.9441723262742134,-31.198281080585964,0.7334086874260519,2366.4449782512816,58.51063829787234,470,36,0.009531374106433678,13,13,1.1180164593391928,0.09899323875899313,1.3855583347321954e-13,0.005738083973251151,0.0031730350304681743
switch_cash_decay30_rec60,cash,0.3,0.6,22.881090377261582,21.157456033927495,0.9441723262742134,-31.198281080585964,0.7334086874260519,2366.4449782512816,58.51063829787234,470,36,0.009531374106433678,13,13,1.1180164593391928,0.09899323875899313,1.3855583347321954e-13,0.005738083973251151,0.0031730350304681743
switch_cash_decay30_rec70,cash,0.3,0.7,22.881090377261582,21.157456033927495,0.9441723262742134,-31.198281080585964,0.7334086874260519,2366.4449782512816,58.51063829787234,470,36,0.009531374106433678,13,13,1.1180164593391928,0.09899323875899313,1.3855583347321954e-13,0.005738083973251151,0.0031730350304681743
switch_cash_decay30_rec80,cash,0.3,0.8,22.881090377261582,21.157456033927495,0.9441723262742134,-31.198281080585964,0.7334086874260519,2366.4449782512816,58.51063829787234,470,36,0.009531374106433678,13,13,1.1180164593391928,0.09899323875899313,1.3855583347321954e-13,0.005738083973251151,0.0031730350304681743
switch_cash_decay30_rec90,cash,0.3,0.9,22.881090377261582,21.157456033927495,0.9441723262742134,-31.198281080585964,0.7334086874260519,2366.4449782512816,58.51063829787234,470,36,0.009531374106433678,13,13,1.1180164593391928,0.09899323875899313,1.3855583347321954e-13,0.005738083973251151,0.0031730350304681743
switch_bond_decay30_rec50,bond,0.3,0.5,22.80942659239893,21.137503524670798,0.9420842416335505,-31.19828108058614,0.7311116446922657,2344.1629538913926,58.51063829787234,476,36,0.009531374106433678,13,13,1.1158946187304404,0.027329453896339118,-3.552713678800501e-14,0.0036499993325882496,0.0008759922966820044
switch_bond_decay30_rec60,bond,0.3,0.6,22.80942659239893,21.137503524670798,0.9420842416335505,-31.19828108058614,0.7311116446922657,2344.1629538913926,58.51063829787234,476,36,0.009531374106433678,13,13,1.1158946187304404,0.027329453896339118,-3.552713678800501e-14,0.0036499993325882496,0.0008759922966820044
switch_bond_decay30_rec70,bond,0.3,0.7,22.80942659239893,21.137503524670798,0.9420842416335505,-31.19828108058614,0.7311116446922657,2344.1629538913926,58.51063829787234,476,36,0.009531374106433678,13,13,1.1158946187304404,0.027329453896339118,-3.552713678800501e-14,0.0036499993325882496,0.0008759922966820044
switch_bond_decay30_rec80,bond,0.3,0.8,22.80942659239893,21.137503524670798,0.9420842416335505,-31.19828108058614,0.7311116446922657,2344.1629538913926,58.51063829787234,476,36,0.009531374106433678,13,13,1.1158946187304404,0.027329453896339118,-3.552713678800501e-14,0.0036499993325882496,0.0008759922966820044
switch_bond_decay30_rec90,bond,0.3,0.9,22.80942659239893,21.137503524670798,0.9420842416335505,-31.19828108058614,0.7311116446922657,2344.1629538913926,58.51063829787234,476,36,0.009531374106433678,13,13,1.1158946187304404,0.027329453896339118,-3.552713678800501e-14,0.0036499993325882496,0.0008759922966820044
switch_cash_decay20_rec50,cash,0.2,0.5,22.80397197693027,21.193821025139933,0.9399452595686437,-31.198281080586103,0.7309368076410018,2342.4747176792926,58.51063829787234,466,18,0.004765687053216839,3,3,1.1146074635881293,0.021874838427681453,0.0,0.001511017267681436,0.0007011552454180281
switch_cash_decay20_rec60,cash,0.2,0.6,22.80397197693027,21.193821025139933,0.9399452595686437,-31.198281080586103,0.7309368076410018,2342.4747176792926,58.51063829787234,466,18,0.004765687053216839,3,3,1.1146074635881293,0.021874838427681453,0.0,0.001511017267681436,0.0007011552454180281
