variant,decay_ratio_threshold,recovery_ratio_threshold,neighbor_count,neighbor_better_annual_ratio,neighbor_better_maxdd_ratio,neighbor_better_both_ratio,neighbor_avg_annual_delta,neighbor_avg_maxdd_delta,self_composite_rank,neighbor_avg_calmar_proxy
switch_cash_decay550_rec725,0.55,0.725,8,1.0,1.0,1.0,2.1789793192908737,4.019809738381256,52.666666666666664,6.19878905767213
switch_cash_decay550_rec650,0.55,0.65,5,1.0,1.0,1.0,2.1735913731020275,3.9945325309888595,51.61111111111111,6.168123904090887
switch_cash_decay550_rec700,0.55,0.7,8,1.0,1.0,1.0,2.1329855906722086,4.019809738381256,57.944444444444436,6.152795329053465
switch_cash_decay600_rec675,0.6,0.675,8,1.0,1.0,1.0,1.1110364408109996,4.9883096867661685,82.94444444444444,6.099346127577168
switch_cash_decay600_rec650,0.6,0.65,5,1.0,1.0,1.0,1.084456232356996,4.9647360132661955,68.66666666666667,6.049192245623192
switch_cash_decay600_rec725,0.6,0.725,8,1.0,1.0,1.0,1.0295905482009053,4.988309686766167,72.72222222222223,6.0179002349670725
switch_cash_decay600_rec700,0.6,0.7,8,1.0,1.0,1.0,0.920692336747333,4.988309686766158,76.22222222222223,5.909002023513491
switch_cash_decay625_rec650,0.625,0.65,4,0.75,1.0,0.75,0.7829385092366739,5.652253541907116,67.44444444444444,6.4351920511437894
switch_cash_decay625_rec675,0.625,0.675,7,0.7142857142857143,1.0,0.7142857142857143,0.7067561051994602,5.696587649427387,82.66666666666667,6.403343754626847
switch_cash_decay625_rec825,0.625,0.825,8,0.625,1.0,0.625,1.3344627367134727,5.807422918228006,42.49999999999999,7.141885654941479
switch_cash_decay625_rec850,0.625,0.85,8,0.625,1.0,0.625,1.3483018507970108,5.757279742816094,34.833333333333336,7.105581593613104
switch_cash_decay625_rec875,0.625,0.875,8,0.625,1.0,0.625,1.3908547571683596,5.7071365674041825,35.05555555555556,7.097991324572542
switch_cash_decay625_rec900,0.625,0.9,8,0.625,1.0,0.625,1.3924145061111708,5.656993391992271,35.05555555555556,7.049407898103441
switch_cash_decay625_rec925,0.625,0.925,8,0.625,1.0,0.625,1.3905137481489374,5.656993391992271,36.22222222222222,7.047507140141208
switch_cash_decay625_rec800,0.625,0.8,8,0.625,1.0,0.625,1.1302026147822652,5.807422918228,39.83333333333333,6.937625533010266
switch_cash_decay625_rec775,0.625,0.775,8,0.625,1.0,0.625,0.8973907663013359,5.807422918227987,62.00000000000001,6.704813684529323
switch_cash_decay625_rec750,0.625,0.75,8,0.625,1.0,0.625,0.5631496484622627,5.807422918227987,68.22222222222223,6.3705725666902495
switch_cash_decay625_rec725,0.625,0.725,8,0.625,1.0,0.625,0.3947017259816601,5.8074229182279975,75.83333333333333,6.202124644209658
switch_cash_decay625_rec700,0.625,0.7,8,0.625,1.0,0.625,0.36485962612115763,5.807422918227974,78.33333333333333,6.172282544349132
switch_cash_decay525_rec900,0.525,0.9,8,1.0,0.625,0.625,3.4866708806268103,2.3990382020501286,35.666666666666664,5.885709082676939
switch_cash_decay525_rec925,0.525,0.925,8,1.0,0.625,0.625,3.483301395055402,2.3990382020501286,36.38888888888889,5.882339597105531
switch_cash_decay525_rec875,0.525,0.875,8,1.0,0.625,0.625,3.4681956836426355,2.399038202050125,35.666666666666664,5.867233885692761
switch_cash_decay525_rec850,0.525,0.85,8,1.0,0.625,0.625,3.458186298938065,2.3990382020501277,35.88888888888889,5.857224500988193
switch_cash_decay525_rec825,0.525,0.825,8,1.0,0.625,0.625,3.4436896126663115,2.4016741108459487,35.88888888888889,5.845363723512261
switch_cash_decay525_rec800,0.525,0.8,8,1.0,0.625,0.625,3.2977931766605035,2.4029683707894494,35.0,5.700761547449953
switch_cash_decay525_rec775,0.525,0.775,8,1.0,0.625,0.625,3.1688144561649327,2.405604279585274,58.333333333333336,5.574418735750207
switch_cash_decay525_rec750,0.525,0.75,8,1.0,0.625,0.625,2.9727238340102673,2.405604279585274,58.333333333333336,5.378328113595542
switch_cash_decay525_rec725,0.525,0.725,8,1.0,0.625,0.625,2.902978606977892,2.405604279585274,58.333333333333336,5.3085828865631655
switch_cash_decay525_rec675,0.525,0.675,8,1.0,0.625,0.625,2.9023745076875507,2.405604279585274,64.6111111111111,5.307978787272825
switch_cash_decay525_rec700,0.525,0.7,8,1.0,0.625,0.625,2.8752098744014285,2.405604279585274,63.49999999999999,5.280814153986702
switch_cash_decay625_rec950,0.625,0.95,5,0.6,1.0,0.6,1.3409242209092773,5.677998632174066,36.22222222222222,7.0189228530833425
switch_cash_decay525_rec950,0.525,0.95,5,1.0,0.6,0.6,3.4757305229435524,2.333830991336626,36.38888888888889,5.809561514280178
switch_cash_decay650_rec675,0.65,0.675,5,0.6,1.0,0.6,-0.04437641385383344,5.838456793492183,87.16666666666667,5.794080379638349
switch_cash_decay525_rec650,0.525,0.65,5,1.0,0.6,0.6,2.8807375580173953,2.3401192613195447,56.388888888888886,5.22085681933694
switch_cash_decay650_rec700,0.65,0.7,7,0.42857142857142855,1.0,0.42857142857142855,-0.6381246944826634,6.05126050958932,84.77777777777779,5.413135815106656
switch_cash_decay650_rec950,0.65,0.95,5,0.4,1.0,0.4,-0.032174805553652416,5.573619171398223,52.388888888888886,5.54144436584457
switch_cash_decay500_rec950,0.5,0.95,5,1.0,0.4,0.4,2.824941081715995,1.2983299714694247,68.05555555555556,4.1232710531854195
switch_cash_decay500_rec650,0.5,0.65,5,1.0,0.4,0.4,2.4556570156664295,1.3046940637064537,91.44444444444444,3.7603510793728834
switch_cash_decay650_rec825,0.65,0.825,8,0.375,1.0,0.375,-0.0993385869170762,6.117761670869665,58.111111111111114,6.018423083952589
switch_cash_decay650_rec800,0.65,0.8,8,0.375,1.0,0.375,-0.26453615920326135,6.117761670869692,57.611111111111114,5.85322551166643
switch_cash_decay650_rec850,0.65,0.85,8,0.375,1.0,0.375,-0.08939975481441342,5.932343638098946,48.888888888888886,5.842943883284532
switch_cash_decay650_rec875,0.65,0.875,8,0.375,1.0,0.375,-0.057246642485854426,5.797068780740107,50.333333333333336,5.739822138254253
switch_cash_decay650_rec775,0.65,0.775,8,0.375,1.0,0.375,-0.481593275738017,6.1177616708697045,75.77777777777779,5.636168395131687
switch_cash_decay650_rec900,0.65,0.9,8,0.375,1.0,0.375,-0.05350844911166819,5.611650747969399,50.333333333333336,5.558142298857732
switch_cash_decay650_rec925,0.65,0.925,8,0.375,1.0,0.375,-0.053792655291355906,5.611650747969399,52.388888888888886,5.557858092678043
switch_cash_decay650_rec750,0.65,0.75,8,0.375,1.0,0.375,-0.7721582767010386,6.11776167086971,79.22222222222221,5.345603394168672
switch_cash_decay650_rec725,0.65,0.725,8,0.375,1.0,0.375,-0.8822697527443673,6.1177616708697125,84.27777777777779,5.235491918125345
switch_cash_decay500_rec900,0.5,0.9,8,1.0,0.375,0.375,2.831743904926143,1.2013741262337123,68.05555555555556,4.033118031159855
switch_cash_decay500_rec875,0.5,0.875,8,1.0,0.375,0.375,2.830072279844034,1.201374126233714,68.05555555555556,4.031446406077748
switch_cash_decay500_rec925,0.5,0.925,8,1.0,0.375,0.375,2.82839111718054,1.2013741262337123,68.05555555555556,4.029765243414252
switch_cash_decay500_rec825,0.5,0.825,8,1.0,0.375,0.375,2.821663224822959,1.2040100350295333,66.88888888888889,4.025673259852493
switch_cash_decay500_rec850,0.5,0.85,8,1.0,0.375,0.375,2.819841102862272,1.20137412623371,66.88888888888889,4.021215229095982
switch_cash_decay500_rec800,0.5,0.8,8,1.0,0.375,0.375,2.688564445129293,1.2053516838818572,65.22222222222223,3.89391612901115
switch_cash_decay500_rec775,0.5,0.775,8,1.0,0.375,0.375,2.5991428365829816,1.2079875926776786,87.6111111111111,3.8071304292606603
switch_cash_decay500_rec750,0.5,0.75,8,1.0,0.375,0.375,2.4626113569893353,1.2079875926776786,87.6111111111111,3.670598949667014
switch_cash_decay500_rec675,0.5,0.675,8,1.0,0.375,0.375,2.4493180837000432,1.2079875926776786,91.44444444444444,3.657305676377722
switch_cash_decay500_rec725,0.5,0.725,8,1.0,0.375,0.375,2.4490502224227764,1.2079875926776786,87.6111111111111,3.657037815100455
switch_cash_decay500_rec700,0.5,0.7,8,1.0,0.375,0.375,2.4372828538065567,1.2079875926776786,91.44444444444444,3.6452704464842354
switch_cash_decay675_rec825,0.675,0.825,8,0.0,1.0,0.0,-1.6160679677607495,6.515374691876785,66.33333333333333,4.899306724116036
switch_cash_decay675_rec800,0.675,0.8,8,0.0,1.0,0.0,-1.7336903184895092,6.5153746918768185,65.33333333333333,4.781684373387309
switch_cash_decay675_rec700,0.675,0.7,5,0.0,1.0,0.0,-1.7962820797838184,6.547059075589326,92.33333333333333,4.7507769958055075
switch_cash_decay675_rec850,0.675,0.85,8,0.0,1.0,0.0,-1.6488258502020972,6.308046655849008,58.555555555555564,4.65922080564691
switch_cash_decay675_rec875,0.675,0.875,8,0.0,1.0,0.0,-1.6672852461008323,6.235993477180056,67.16666666666666,4.568708231079224
switch_cash_decay675_rec775,0.675,0.775,8,0.0,1.0,0.0,-1.947351752058741,6.515374691876836,84.05555555555556,4.568022939818095
switch_cash_decay675_rec950,0.675,0.95,5,0.0,1.0,0.0,-1.6710212183500288,6.063838407831693,67.72222222222221,4.392817189481665
switch_cash_decay675_rec725,0.675,0.725,7,0.0,1.0,0.0,-2.1691286317492358,6.531540193770955,89.3888888888889,4.36241156202172
switch_cash_decay675_rec900,0.675,0.9,8,0.0,1.0,0.0,-1.6739503186237474,6.0286654411523175,67.16666666666666,4.35471512252857
switch_cash_decay675_rec925,0.675,0.925,8,0.0,1.0,0.0,-1.68217330859471,6.0286654411523175,67.72222222222221,4.346492132557607
switch_cash_decay675_rec750,0.675,0.75,8,0.0,1.0,0.0,-2.1923868729835294,6.51537469187682,85.8888888888889,4.32298781889329
switch_cash_decay700_rec825,0.7,0.825,5,0.0,1.0,0.0,-2.2632772893650808,6.510848351346408,77.72222222222221,4.247571061981327
switch_cash_decay700_rec800,0.7,0.8,5,0.0,1.0,0.0,-2.3681133595362356,6.510848351346428,75.16666666666667,4.142734991810192
switch_cash_decay700_rec850,0.7,0.85,5,0.0,1.0,0.0,-2.279684592200818,6.259352574361011,71.27777777777779,3.979667982160193
switch_cash_decay700_rec775,0.7,0.775,5,0.0,1.0,0.0,-2.5488359309673,6.510848351346456,94.83333333333333,3.962012420379156
switch_cash_decay700_rec725,0.7,0.725,4,0.0,1.0,0.0,-2.748433988004124,6.538006394528602,101.5,3.789572406524478
switch_cash_decay700_rec750,0.7,0.75,5,0.0,1.0,0.0,-2.729387196827343,6.51084835134643,97.0,3.7814611545190875
switch_cash_decay700_rec875,0.7,0.875,5,0.0,1.0,0.0,-2.2917277050955738,6.042912802586907,74.22222222222221,3.7511850974913337
switch_cash_decay700_rec925,0.7,0.925,5,0.0,1.0,0.0,-2.2894935598132724,5.791417025601541,75.72222222222223,3.501923465788269
switch_cash_decay700_rec900,0.7,0.9,5,0.0,1.0,0.0,-2.2905709130619436,5.791417025601541,74.22222222222221,3.5008461125395978
switch_cash_decay700_rec950,0.7,0.95,3,0.0,1.0,0.0,-2.2451010049105626,5.743026011494898,75.72222222222223,3.4979250065843353
switch_cash_decay475_rec825,0.475,0.825,8,1.0,0.0,0.0,2.182037196885686,-0.09659185837478113,92.44444444444444,2.085445338510905
switch_cash_decay475_rec850,0.475,0.85,8,1.0,0.0,0.0,2.163531504829319,-0.0978861183182973,92.44444444444444,2.065645386511022
switch_cash_decay475_rec875,0.475,0.875,8,1.0,0.0,0.0,2.1533965562762236,-0.09788611831831373,95.44444444444444,2.05551043795791
switch_cash_decay475_rec900,0.475,0.9,8,1.0,0.0,0.0,2.138304699108275,-0.09788611831833238,95.44444444444444,2.0404185807899426
switch_cash_decay475_rec925,0.475,0.925,8,1.0,0.0,0.0,2.138304699108275,-0.09788611831833238,95.44444444444444,2.0404185807899426
switch_cash_decay475_rec950,0.475,0.95,5,1.0,0.0,0.0,2.1368719405141947,-0.1040892156776799,95.44444444444444,2.032782724836515
switch_cash_decay475_rec800,0.475,0.8,8,1.0,0.0,0.0,2.0645693884086875,-0.0952975984312836,92.44444444444444,1.969271789977404
switch_cash_decay450_rec950,0.45,0.95,3,1.0,0.0,0.0,1.9184589743652143,-0.004839657928134973,85.66666666666667,1.9136193164370794
switch_cash_decay450_rec825,0.45,0.825,5,1.0,0.0,0.0,1.9097549050625993,-0.004839657928093289,80.83333333333333,1.9049152471345059
switch_cash_decay475_rec775,0.475,0.775,8,1.0,0.0,0.0,1.9869586056367368,-0.09400333848778608,106.99999999999999,1.8929552671489507
switch_cash_decay450_rec850,0.45,0.85,5,1.0,0.0,0.0,1.8939387562403625,-0.004839657928113894,80.83333333333333,1.8890990983122486
switch_cash_decay450_rec875,0.45,0.875,5,1.0,0.0,0.0,1.8860077024565975,-0.004839657928117446,85.66666666666667,1.8811680445284802
switch_cash_decay450_rec900,0.45,0.9,5,1.0,0.0,0.0,1.8701915536343605,-0.004839657928138052,85.66666666666667,1.8653518957062225
switch_cash_decay450_rec925,0.45,0.925,5,1.0,0.0,0.0,1.8701915536343605,-0.004839657928138052,85.66666666666667,1.8653518957062225
switch_cash_decay450_rec800,0.45,0.8,5,1.0,0.0,0.0,1.7807656136922296,-0.004839657928093289,80.83333333333333,1.7759259557641363
switch_cash_decay475_rec750,0.475,0.75,8,1.0,0.0,0.0,1.8660769622713196,-0.09400333848778608,106.99999999999999,1.7720736237835335
switch_cash_decay475_rec725,0.475,0.725,8,1.0,0.0,0.0,1.8523789346306345,-0.09400333848778608,106.99999999999999,1.7583755961428484
switch_cash_decay475_rec700,0.475,0.7,8,1.0,0.0,0.0,1.8431325221290722,-0.09400333848778608,108.6111111111111,1.7491291836412861
switch_cash_decay475_rec675,0.475,0.675,8,1.0,0.0,0.0,1.8294344944883871,-0.09400333848778608,108.6111111111111,1.735431156000601
switch_cash_decay475_rec650,0.475,0.65,5,1.0,0.0,0.0,1.82839797944195,-0.0999475838584317,108.6111111111111,1.7284503955835184
switch_cash_decay450_rec775,0.45,0.775,5,1.0,0.0,0.0,1.716994372564153,-0.004839657928093289,99.83333333333333,1.7121547146360596
switch_cash_decay450_rec650,0.45,0.65,3,1.0,0.0,0.0,1.6004978455067977,-0.004839657928094709,102.61111111111113,1.595658187578703
switch_cash_decay450_rec750,0.45,0.75,5,1.0,0.0,0.0,1.5880050811937836,-0.004839657928093289,99.83333333333333,1.5831654232656902
switch_cash_decay450_rec725,0.45,0.725,5,1.0,0.0,0.0,1.5733643179937744,-0.004839657928093289,99.83333333333333,1.568524660065681
switch_cash_decay450_rec700,0.45,0.7,5,1.0,0.0,0.0,1.566241733771178,-0.004839657928093289,102.61111111111113,1.5614020758430847
switch_cash_decay450_rec675,0.45,0.675,5,1.0,0.0,0.0,1.5516009705711689,-0.004839657928093289,102.61111111111113,1.5467613126430755
