case_id,family,volume_enabled,old_enabled,clear_enabled,zz_ma,zz_days,cyb_ma,cyb_days,old_scale,ratio_ma,ratio_days,clear_scale,cagr_last_1y,max_dd_last_1y,sharpe_last_1y,calmar_last_1y,old_signal_days_last_1y,clear_signal_days_last_1y,overlay_days_last_1y,avg_weight_last_1y,avg_turnover_last_1y,cagr_last_3y,max_dd_last_3y,sharpe_last_3y,calmar_last_3y,old_signal_days_last_3y,clear_signal_days_last_3y,overlay_days_last_3y,avg_weight_last_3y,avg_turnover_last_3y,cagr_last_5y,max_dd_last_5y,sharpe_last_5y,calmar_last_5y,old_signal_days_last_5y,clear_signal_days_last_5y,overlay_days_last_5y,avg_weight_last_5y,avg_turnover_last_5y,cagr_last_10y,max_dd_last_10y,sharpe_last_10y,calmar_last_10y,old_signal_days_last_10y,clear_signal_days_last_10y,overlay_days_last_10y,avg_weight_last_10y,avg_turnover_last_10y,cagr_full_common,max_dd_full_common,sharpe_full_common,calmar_full_common,old_signal_days_full_common,clear_signal_days_full_common,overlay_days_full_common,avg_weight_full_common,avg_turnover_full_common,recent_weighted_sharpe,mean_recent_cagr,worst_recent_max_dd
cyb_ma20_d5,cyb_scan,True,True,True,15.0,3.0,20.0,5.0,0.25,30.0,15.0,0.0,0.9813593562110534,-0.07248769633199648,3.4313443925710603,13.538288645791546,76,36,89,0.7461260330578512,0.17510330578512398,0.44535575126505833,-0.12648504415396622,1.9870841145937759,3.5210151069160474,288,100,338,0.622948164873658,0.18170088115296734,0.31570079580028354,-0.16882193081988206,1.5688501732215578,1.8700224210627476,453,111,511,0.7180870807423766,0.21439242951822668,0.2935083990852796,-0.16882193081988195,1.4418858770910157,1.7385679553589934,972,183,1057,0.726741603482087,0.23670277236703918,0.30732747021378315,-0.29302057748756816,1.3558248743973882,1.0488255563786197,1377,240,1488,0.7402472727971953,0.23391120034564178,1.975561541184678,0.5089810755904187,-0.16882193081988206
cyb_ma20_d3,cyb_scan,True,True,True,15.0,3.0,20.0,3.0,0.25,30.0,15.0,0.0,0.9987531447223283,-0.06448525839527242,3.480202084828944,15.488084712327828,87,36,96,0.7414772727272727,0.17510330578512398,0.45013150370821653,-0.1257950797723526,2.004686970645148,3.5782918101630474,316,100,356,0.6175222515134701,0.18015026774864853,0.3013355901600532,-0.1648043252859699,1.5246742627267855,1.8284446699877146,509,111,557,0.6971662434700655,0.2137719788310073,0.27889823986928697,-0.16665967316705477,1.3994216653099147,1.6734596592525868,1061,183,1135,0.7086875042956526,0.23360760462822808,0.3043173998701294,-0.2928276578675283,1.3614021842111337,1.0392372157953704,1557,240,1656,0.7204937762170313,0.23244714168934555,1.9672199942010056,0.5072796196149713,-0.16665967316705477
ratio_ma20_d20,ratio_scan,True,True,True,15.0,3.0,10.0,3.0,0.25,20.0,20.0,0.0,1.0180114513991434,-0.0911145385949399,3.09284110227421,11.172876108442251,93,3,93,0.7351186396215216,0.1762436511121708,0.45434777040185814,-0.12987491176935284,1.8639322254476183,3.4983490207003367,318,4,319,0.6278090097224227,0.1976611575880104,0.3584995430321065,-0.13260460559026555,1.6697859752703719,2.703522561952583,507,5,509,0.7092267281475032,0.21870000033793024,0.28503096314140763,-0.20736578237582326,1.3770592128583137,1.374532287225799,1034,14,1037,0.7217046345316408,0.24311685653136952,0.31264598529241994,-0.34790826436470057,1.350317482185519,0.8986448938294942,1480,31,1486,0.7355430590464306,0.24337896491822594,1.907286417521175,0.5289724319936289,-0.20736578237582326
old_only_default,old_only,True,True,False,15.0,3.0,10.0,3.0,0.25,,,1.0,1.0180114513991434,-0.0911145385949399,3.09284110227421,11.172876108442251,93,0,93,0.7351186396215216,0.1762436511121708,0.45465437516930773,-0.12987491176935284,1.8648817628104652,3.500709790484682,318,0,318,0.6288420675736623,0.19559504188553106,0.35867137464672005,-0.13260460559026555,1.6704079995165197,2.7048183813085447,507,0,507,0.709846562858247,0.21746033091644262,0.27928558631290246,-0.21966594065946898,1.3532111262994335,1.2714105130474331,1034,0,1034,0.7238669080077529,0.2424990641096232,0.3093115752328581,-0.34790826436470046,1.337353048987942,0.8890607292634396,1480,0,1480,0.7388517789985852,0.24229054573949804,1.904259251100491,0.5276556968820184,-0.21966594065946898
old_scale_0.75,scale_scan,True,True,True,15.0,3.0,10.0,3.0,0.75,30.0,15.0,0.0,1.0230080721798398,-0.08504952693199719,3.453553297758734,12.02838051054421,93,36,107,0.8003615702479339,0.17045454545454544,0.4276255402842626,-0.14636207161724468,1.8362842237240682,2.921696417378933,318,100,366,0.7022993301772544,0.19456684996857362,0.317064193634093,-0.20386091480130275,1.483372145128626,1.555296629288288,507,111,563,0.8066068708336254,0.21560374634478055,0.2948754799301607,-0.2108879873058933,1.376337902351357,1.3982564094674745,1034,183,1112,0.8249581440949516,0.23447191013924576,0.3239118331012871,-0.29981494763027494,1.372140419826838,1.0803725286596715,1480,240,1588,0.8141294916918538,0.23300331425987852,1.8863634091149564,0.515643321507089,-0.2108879873058933
ratio_ma20_d10,ratio_scan,True,True,True,15.0,3.0,10.0,3.0,0.25,20.0,10.0,0.0,0.7902986916100894,-0.07540496579990652,3.229476001390544,10.48072475368816,93,37,109,0.6345557851239669,0.19369834710743802,0.4128411254942943,-0.12939602638441183,1.8702845009251527,3.1905239830767225,318,79,347,0.5839012730431798,0.20856742516829857,0.3110373714569017,-0.13260460559026555,1.595558244401922,2.3456000647366264,507,113,555,0.6670763010159906,0.22617351295221882,0.22984124882113188,-0.21447703631915238,1.2116580373627202,1.071635699400083,1034,191,1114,0.6801841442694627,0.24680636566261832,0.27431632366350067,-0.3479082643647008,1.256715248453508,0.7884731458288783,1480,250,1585,0.7031763486516729,0.2464148104799399,1.8792150666774656,0.4360046093456043,-0.21447703631915238
ratio_ma40_d10,ratio_scan,True,True,True,15.0,3.0,10.0,3.0,0.25,40.0,10.0,0.0,0.8867625936088759,-0.06206826712435143,3.593157378017994,14.286891429275455,93,48,115,0.637654958677686,0.1890495867768595,0.3075141916675914,-0.09721836803267081,1.7926129804766198,3.163128510491448,318,156,398,0.5865185950413223,0.18956611570247933,0.24386051291351718,-0.1434292941318881,1.4856092528733567,1.7002141326114257,507,203,615,0.6584194214876034,0.21415289256198347,0.2197499799091729,-0.18646147466881302,1.2558416940282968,1.1785275231759582,1034,390,1222,0.6591895708636355,0.23139452436435443,0.24652858687974732,-0.34790826436470046,1.2027173111201204,0.7086022728719078,1480,476,1712,0.6833612776140148,0.2336902695504372,1.8747276424794355,0.41447181952478934,-0.18646147466881302
ratio_ma30_d20,ratio_scan,True,True,True,15.0,3.0,10.0,3.0,0.25,30.0,20.0,0.0,1.015752798254261,-0.0911145385949399,3.0905230548862286,11.148086945486341,93,26,101,0.7261216935106678,0.1748875371587766,0.4350837330119446,-0.11998729175277079,1.8074602326470472,3.626081784631142,318,63,348,0.6139629202474549,0.19204383034734732,0.347674093580004,-0.13260460559026555,1.6327706722845616,2.6218855071616503,507,65,539,0.7009190744625226,0.21532960399353238,0.27984329082297066,-0.20310176846084416,1.3588673131234525,1.3778476324637294,1034,105,1069,0.7161744611548589,0.23958383364145128,0.29084087002679126,-0.34790826436470046,1.2926297558951574,0.8359699950154464,1480,144,1534,0.7288306506434271,0.24109068915713633,1.8714893719275152,0.5195884789172951,-0.20310176846084416
ratio_ma40_d20,ratio_scan,True,True,True,15.0,3.0,10.0,3.0,0.25,40.0,20.0,0.0,1.0114170535856042,-0.0911145385949399,3.081172745322408,11.100501294112615,93,27,101,0.7247011235942693,0.17488301150114896,0.3989556387892583,-0.11757721536841148,1.70100212993134,3.393137331405473,318,76,357,0.6043957002555527,0.18584397468736677,0.3204296669965472,-0.1743400998999326,1.5385924913854478,1.8379573441822437,507,80,550,0.6926994036244061,0.21284936001903162,0.2676575977725366,-0.20490417722695375,1.3182878871132224,1.306257399897107,1034,144,1098,0.7069813797240018,0.23896559014509794,0.2788971172149397,-0.3479082643647011,1.2541991988505314,0.8016398165310059,1480,188,1568,0.7223891253602457,0.24072017024713704,1.7937772123262201,0.4996149892859866,-0.20490417722695375
ratio_ma20_d15,ratio_scan,True,True,True,15.0,3.0,10.0,3.0,0.25,20.0,15.0,0.0,0.8102218291945404,-0.11145004070882747,2.866701061181861,7.269820845658662,93,15,96,0.7143595041322314,0.190599173553719,0.39624028877922046,-0.1299161673726249,1.7263903941053698,3.049969043827517,318,29,327,0.6177901243389403,0.20038021603271383,0.322647044051674,-0.13260460559026555,1.5680250832077056,2.4331511157962327,507,37,521,0.7007360580744386,0.22281077424772747,0.2583349611575547,-0.2109666814542307,1.2888445601829623,1.2245296715898741,1034,67,1060,0.7099053302530542,0.24578326362809713,0.29549080252336024,-0.3479082643647009,1.3017040792815628,0.8493353932334498,1480,97,1516,0.725384332806031,0.24542786703870867,1.7763772602642998,0.4468610307957474,-0.2109666814542307
