cash_enabled,decay_threshold,recovery_threshold,segment,start,end,rows,trigger_count,overlay_days,avg_weight,avg_turnover,cagr,vol,sharpe,max_dd,calmar,final_nav
True,0.55,0.75,last_3y,2023-05-04,2026-04-30,726,12,65,0.6609349266566806,0.20055535975006758,0.4214945843341087,0.19840797742941257,1.8784351147714795,-0.12792186195221633,3.2949378464453005,2.8619853235769677
True,0.55,0.75,last_5y,2021-05-06,2026-04-30,1210,22,102,0.757304757646901,0.22384561254425545,0.30750501936266916,0.18993227334600327,1.512056000360841,-0.17718418266029223,1.735510555997177,3.803857992399501
True,0.55,0.75,last_10y,2016-05-04,2026-04-30,2428,48,156,0.7689705211403299,0.24048752714703944,0.2791654855910237,0.19421984419521482,1.3690943731340646,-0.198462812428031,1.4066387661026325,11.693646347220783
True,0.55,0.75,full_common,2010-09-29,2026-04-30,3785,73,254,0.7686780484786258,0.23917537672735242,0.30319551787174226,0.21631275024557245,1.3382763770813615,-0.3252515443374694,0.9321877886524573,61.98571632059539
True,0.55,0.8,last_1y,2025-05-06,2026-04-30,242,4,36,0.7453512396694215,0.1797520661157025,1.0060285994077138,0.2009478912996212,3.5367165126858144,-0.0718245032646101,14.006760279307239,1.9822738796720243
True,0.55,0.8,last_3y,2023-05-04,2026-04-30,726,12,71,0.6495712902930443,0.19435701264262956,0.44243681757270714,0.19784882504540774,1.957572403012051,-0.12792186195221633,3.458648981657053,2.9899020416457622
True,0.55,0.8,last_5y,2021-05-06,2026-04-30,1210,22,112,0.7473874022750002,0.21888693485830502,0.33245084854331464,0.18898157558289458,1.6193075896088234,-0.17718418266029357,1.8763009403650106,4.179487313532384
True,0.55,0.8,last_10y,2016-05-04,2026-04-30,2428,48,166,0.7640281817663596,0.23801635746005426,0.2912836421140379,0.19376248555054212,1.4207590541310307,-0.198462812428031,1.4676988527493873,12.848388834388105
True,0.55,0.8,full_common,2010-09-29,2026-04-30,3785,73,264,0.7655076389673972,0.23759017197173815,0.31109453670958764,0.21604701620973957,1.3677866041399653,-0.3252515443374694,0.9564736651543984,68.10677882817693
True,0.55,0.85,last_1y,2025-05-06,2026-04-30,242,4,36,0.7453512396694215,0.1797520661157025,1.0060285994077138,0.2009478912996212,3.5367165126858144,-0.0718245032646101,14.006760279307239,1.9822738796720243
True,0.55,0.85,last_3y,2023-05-04,2026-04-30,726,12,71,0.6495712902930443,0.19435701264262956,0.44243681757270714,0.19784882504540774,1.957572403012051,-0.12792186195221633,3.458648981657053,2.9899020416457622
True,0.55,0.85,last_5y,2021-05-06,2026-04-30,1210,22,112,0.7473874022750002,0.21888693485830502,0.33245084854331464,0.18898157558289458,1.6193075896088234,-0.17718418266029357,1.8763009403650106,4.179487313532384
True,0.55,0.85,last_10y,2016-05-04,2026-04-30,2428,48,167,0.7634103893446132,0.23801635746005426,0.29060431053828584,0.1937580305650706,1.4180582475887906,-0.19846281242803088,1.4642758861621419,12.78103739071821
True,0.55,0.85,full_common,2010-09-29,2026-04-30,3785,73,265,0.7651113377784937,0.23759017197173815,0.3106524320125792,0.21604458453295497,1.3662294147426706,-0.3252515443374694,0.9551143950611264,67.74976208958743
True,0.55,0.9,last_1y,2025-05-06,2026-04-30,242,4,36,0.7453512396694215,0.1797520661157025,1.0060285994077138,0.2009478912996212,3.5367165126858144,-0.0718245032646101,14.006760279307239,1.9822738796720243
True,0.55,0.9,last_3y,2023-05-04,2026-04-30,726,12,71,0.6495712902930443,0.19435701264262956,0.44243681757270714,0.19784882504540774,1.957572403012051,-0.12792186195221633,3.458648981657053,2.9899020416457622
True,0.55,0.9,last_5y,2021-05-06,2026-04-30,1210,22,113,0.7461477328535125,0.21888693485830502,0.3376381843769225,0.1887617065081248,1.6416806459718938,-0.1771841826602938,1.9055774579171043,4.261195267372994
True,0.55,0.9,last_10y,2016-05-04,2026-04-30,2428,48,169,0.7621748045011207,0.23801635746005426,0.2924426978401615,0.19364835406373443,1.4261365514091282,-0.19846281242803088,1.473539018531297,12.96403956925313
True,0.55,0.9,full_common,2010-09-29,2026-04-30,3785,73,267,0.7643187354006866,0.23759017197173815,0.3118486500844224,0.21598115921422453,1.3708149275376333,-0.3252515443374694,0.9587922194793929,68.71982059724988
True,0.55,0.95,last_1y,2025-05-06,2026-04-30,242,4,36,0.7453512396694215,0.1797520661157025,1.0060285994077138,0.2009478912996212,3.5367165126858144,-0.0718245032646101,14.006760279307239,1.9822738796720243
True,0.55,0.95,last_3y,2023-05-04,2026-04-30,726,12,71,0.6495712902930443,0.19435701264262956,0.44243681757270714,0.19784882504540774,1.957572403012051,-0.12792186195221633,3.458648981657053,2.9899020416457622
True,0.55,0.95,last_5y,2021-05-06,2026-04-30,1210,22,117,0.7411890551675622,0.21640759601532983,0.33780568980348136,0.18848630876277897,1.6444741206201052,-0.17718418266029323,1.9065228325213435,4.263854835541376
True,0.55,0.95,last_10y,2016-05-04,2026-04-30,2428,48,173,0.7597036348141355,0.23678077261656166,0.29252344076060965,0.19351470563568995,1.427313136922316,-0.19846281242803088,1.473945860092496,12.97213090156915
True,0.55,0.95,full_common,2010-09-29,2026-04-30,3785,73,271,0.7627335306450723,0.23679756959393103,0.3119011745879523,0.21590430660723312,1.3714130648064928,-0.3252515443374694,0.9589537083468381,68.76271115633709
True,0.55,1.0,last_1y,2025-05-06,2026-04-30,242,4,36,0.7453512396694215,0.1797520661157025,1.0060285994077138,0.2009478912996212,3.5367165126858144,-0.0718245032646101,14.006760279307239,1.9822738796720243
True,0.55,1.0,last_3y,2023-05-04,2026-04-30,726,12,71,0.6495712902930443,0.19435701264262956,0.44243681757270714,0.19784882504540774,1.957572403012051,-0.12792186195221633,3.458648981657053,2.9899020416457622
True,0.55,1.0,last_5y,2021-05-06,2026-04-30,1210,22,117,0.7411890551675622,0.21640759601532983,0.33780568980348136,0.18848630876277897,1.6444741206201052,-0.17718418266029323,1.9065228325213435,4.263854835541376
True,0.55,1.0,last_10y,2016-05-04,2026-04-30,2428,47,173,0.7597250305878799,0.2367909109141988,0.2952489921049666,0.19348061723680887,1.438472158222204,-0.19846281242803088,1.4876791701822403,13.24794147960006
True,0.55,1.0,full_common,2010-09-29,2026-04-30,3785,72,271,0.7627472555958388,0.2368040731042779,0.31367349685007695,0.21588420943795986,1.3778115855585114,-0.3252515443374694,0.9644027901205614,70.22472871188765
True,0.6,0.7,last_1y,2025-05-06,2026-04-30,242,5,35,0.7515495867768595,0.21074380165289255,0.8037740800490418,0.19964031951789352,3.0296612694857092,-0.08523104333511733,9.430531982211072,1.7856587404318407
True,0.6,0.7,last_3y,2023-05-04,2026-04-30,726,14,72,0.6475051745905649,0.2026214754525469,0.38976075466755766,0.19639647551058645,1.779993526125864,-0.12792186195221633,3.0468658657669327,2.675177318597667
True,0.6,0.7,last_5y,2021-05-06,2026-04-30,1210,24,131,0.7275526915311984,0.22384561254425545,0.28213994866800607,0.18677752381134716,1.4289359298323498,-0.1771841826602938,1.5923540376566154,3.4500883439081385
