weight_label,window,w_suba,w_adk,w_microcap,w_subb,annual,vol,sharpe,max_dd,calmar,total_return
12.5%/20.0%/32.5%/35.0%,last_1y,0.125,0.2,0.325,0.35,37.66875397156164,7.584388349536483,2.9471623156172497,-3.6800098323560793,10.2360470997559,37.63863407334016
12.5%/20.0%/32.5%/35.0%,last_3y,0.125,0.2,0.325,0.35,33.43221256999938,8.019763611113834,2.5223427589341068,-6.762185938363208,4.943994867152628,137.61168764067477
12.5%/20.0%/32.5%/35.0%,last_5y,0.125,0.2,0.325,0.35,31.60886935548428,8.085512569058865,2.384988620338297,-6.762185938363208,4.674356730737166,294.77000256295355
12.5%/20.0%/32.5%/35.0%,last_10y,0.125,0.2,0.325,0.35,31.012271211175758,7.113335462575894,2.656465844038422,-6.762185938363197,4.586131096342251,1389.221043581136
12.5%/20.0%/32.5%/35.0%,since_2019_05_09,0.125,0.2,0.325,0.35,31.042260023584255,7.674127628445062,2.4697963361233533,-6.762185938363208,4.590565877148604,552.9621079108173
12.5%/20.0%/32.5%/35.0%,full_common,0.125,0.2,0.325,0.35,31.480190464177383,7.093829204769716,2.6982763003904844,-6.762185938363208,4.655327545133606,1675.3926484747965
40.0%/10.0%/22.5%/27.5%,last_1y,0.4,0.1,0.225,0.275,44.953692944007706,7.722846446273398,3.3567515448431213,-4.15477386069516,10.819768885444523,44.916864488467944
40.0%/10.0%/22.5%/27.5%,last_3y,0.4,0.1,0.225,0.275,33.448710115237226,7.859848081745881,2.5730858631014253,-5.7743731794342885,5.792613167844163,137.69985350759418
40.0%/10.0%/22.5%/27.5%,last_5y,0.4,0.1,0.225,0.275,30.97550913225968,7.637938791340068,2.47650678107749,-5.7743731794342885,5.364306768842108,285.3632219581074
40.0%/10.0%/22.5%/27.5%,last_10y,0.4,0.1,0.225,0.275,29.060842601925742,7.145328276804596,2.4998783660509396,-5.774373179434278,5.032726791096114,1181.7203870743365
40.0%/10.0%/22.5%/27.5%,since_2019_05_09,0.4,0.1,0.225,0.275,30.046816565669765,7.524694629143893,2.4473602664340564,-5.774373179434278,5.203476746650705,519.3036491610032
40.0%/10.0%/22.5%/27.5%,full_common,0.4,0.1,0.225,0.275,29.0947762717386,7.284354427216967,2.4560369017654256,-5.7743731794342885,5.038603389084908,1364.5954337393594
5.0%/5.0%/60.0%/30.0%,last_1y,0.05,0.05,0.6,0.3,35.07934522138398,9.30746623380247,2.2762336539808876,-6.231673732213549,5.629201195185722,35.051547055133824
5.0%/5.0%/60.0%/30.0%,last_3y,0.05,0.05,0.6,0.3,32.70819493853534,10.101186357709564,1.9841249435807775,-8.894309439431725,3.677429390249001,133.76384665012725
5.0%/5.0%/60.0%/30.0%,last_5y,0.05,0.05,0.6,0.3,32.149258555086746,10.457365533522351,1.8921101590687817,-8.894309439431725,3.6145873689257235,302.9403781564939
5.0%/5.0%/60.0%/30.0%,last_10y,0.05,0.05,0.6,0.3,31.982407241092027,8.734310705695878,2.2364647234989468,-8.894309439431725,3.595828035766591,1503.2286860209972
5.0%/5.0%/60.0%/30.0%,since_2019_05_09,0.05,0.05,0.6,0.3,30.586711522069088,9.63612841475101,1.9595655403379866,-8.894309439431725,3.438907959112263,537.3695566513161
5.0%/5.0%/60.0%/30.0%,full_common,0.05,0.05,0.6,0.3,34.00935607242521,8.645052081336823,2.3803871540513617,-8.894309439431725,3.8237208075591913,2069.0400058238833
37.5%/10.0%/22.5%/30.0%,last_1y,0.375,0.1,0.225,0.3,44.67121543732166,7.657527432032027,3.367140269105055,-4.219009415184294,10.588081476317432,44.63465185883675
37.5%/10.0%/22.5%/30.0%,last_3y,0.375,0.1,0.225,0.3,33.49539546261959,7.796150531183265,2.596574018466227,-5.781901738989681,5.793145054117179,137.9494666418752
37.5%/10.0%/22.5%/30.0%,last_5y,0.375,0.1,0.225,0.3,30.789485795648485,7.577820506997777,2.482605981031553,-5.781901738989681,5.325148573180107,282.6347172354889
37.5%/10.0%/22.5%/30.0%,last_10y,0.375,0.1,0.225,0.3,29.097413687613138,7.070045416486314,2.528508999938323,-5.781901738989681,5.032498821520541,1185.356446384088
37.5%/10.0%/22.5%/30.0%,since_2019_05_09,0.375,0.1,0.225,0.3,30.03551251874137,7.453310774848681,2.4692801300291047,-5.781901738989681,5.194746274603712,518.9301294890166
37.5%/10.0%/22.5%/30.0%,full_common,0.375,0.1,0.225,0.3,29.121080470476723,7.192648112761832,2.4883853272592242,-5.781901738989681,5.0365920738676,1367.7350951403378
22.5%/10.0%/25.0%/42.5%,last_1y,0.225,0.1,0.25,0.425,42.2758713195984,7.498787027087,3.2830667309239816,-4.372135504078134,9.669387254847281,42.241538603649076
22.5%/10.0%/25.0%/42.5%,last_3y,0.225,0.1,0.25,0.425,33.64777677087629,7.743483332058795,2.6239116972982917,-5.9934457304483875,5.614095511024007,138.76542179089472
22.5%/10.0%/25.0%/42.5%,last_5y,0.225,0.1,0.25,0.425,30.06465318013507,7.611897200216844,2.4214478210796595,-5.993445730448399,5.016255178118679,272.15023567452914
22.5%/10.0%/25.0%/42.5%,last_10y,0.225,0.1,0.25,0.425,29.552117716280147,6.968569995863372,2.599151509388668,-5.993445730448399,4.9307391849978774,1231.3469182902613
22.5%/10.0%/25.0%/42.5%,since_2019_05_09,0.225,0.1,0.25,0.425,30.06055353834507,7.4019895038003725,2.4876979342400003,-5.993445730448399,5.015571157277517,519.7578196886633
22.5%/10.0%/25.0%/42.5%,full_common,0.225,0.1,0.25,0.425,29.661084454333732,7.009575235945668,2.592636686998401,-5.993445730448399,4.948920168517925,1433.550697789336
10.0%/12.5%/32.5%/45.0%,last_1y,0.1,0.125,0.325,0.45,38.76192688801496,7.61537972209318,3.0071817027109806,-3.9668215190281964,9.771532876405029,38.73081678705119
10.0%/12.5%/32.5%/45.0%,last_3y,0.1,0.125,0.325,0.45,33.50787652315503,8.070015359609139,2.5119983901423444,-6.498450038493219,5.156287472346933,138.01622887976364
10.0%/12.5%/32.5%/45.0%,last_5y,0.1,0.125,0.325,0.45,30.524406911715076,8.116517520279935,2.3058096487082147,-6.498450038493219,4.6971826713917,278.77338560562544
10.0%/12.5%/32.5%/45.0%,last_10y,0.1,0.125,0.325,0.45,30.541319999366756,7.195827529254103,2.5922856442026587,-6.498450038493209,4.6997853054893,1336.552651786394
10.0%/12.5%/32.5%/45.0%,since_2019_05_09,0.1,0.125,0.325,0.45,30.45296206339174,7.73563194850124,2.4105537382522617,-6.498450038493198,4.686188534651395,532.8525458706723
10.0%/12.5%/32.5%/45.0%,full_common,0.1,0.125,0.325,0.45,31.028109377721623,7.188195180290055,2.630712915607185,-6.498450038493209,4.774693841443473,1612.2695081116515
7.5%/17.5%/40.0%/35.0%,last_1y,0.075,0.175,0.4,0.35,36.393077688847455,7.829000585240206,2.775369653892372,-4.4517685299386045,8.174970788373258,36.36410579729299
7.5%/17.5%/40.0%/35.0%,last_3y,0.075,0.175,0.4,0.35,33.240728610662,8.41967612982595,2.394687898020103,-6.919995912637966,4.803576335927391,136.58995742637416
7.5%/17.5%/40.0%/35.0%,last_5y,0.075,0.175,0.4,0.35,31.779659021714135,8.602184770861854,2.2571619741599385,-6.919995912637978,4.592438987380757,297.3377842951352
7.5%/17.5%/40.0%/35.0%,last_10y,0.075,0.175,0.4,0.35,31.44327774038178,7.413054393791206,2.582588331526674,-6.919995912637978,4.543828946915557,1438.9384823207195
7.5%/17.5%/40.0%/35.0%,since_2019_05_09,0.075,0.175,0.4,0.35,30.997910794165872,8.063764232512105,2.3513592923189326,-6.919995912637966,4.479469523609759,551.42991347271
7.5%/17.5%/40.0%/35.0%,full_common,0.075,0.175,0.4,0.35,32.33489491249975,7.368069554204161,2.661256073541533,-6.919995912637966,4.6726754351757105,1800.5172734180937
5.0%/22.5%/42.5%/30.0%,last_1y,0.05,0.225,0.425,0.3,35.15899775797966,7.946226457511776,2.656613353485521,-4.506413531651243,7.801990987075853,35.13112867589605
5.0%/22.5%/42.5%/30.0%,last_3y,0.05,0.225,0.425,0.3,33.17694182985387,8.551331879537727,2.355259248542012,-7.167708859897404,4.628667608902958,136.25025212653767
5.0%/22.5%/42.5%/30.0%,last_5y,0.05,0.225,0.425,0.3,32.42381445914779,8.800312001700593,2.2465580198686768,-7.167708859897393,4.523595348655379,307.14301324268496
5.0%/22.5%/42.5%/30.0%,last_10y,0.05,0.225,0.425,0.3,31.93713888181373,7.554962560467309,2.5697529916872863,-7.167708859897393,4.4556970024966835,1497.739036530117
5.0%/22.5%/42.5%/30.0%,since_2019_05_09,0.05,0.225,0.425,0.3,31.37816717821089,8.237025950735466,2.3279047019981176,-7.167708859897393,4.37771229154808,564.6676508286101
5.0%/22.5%/42.5%/30.0%,full_common,0.05,0.225,0.425,0.3,32.945971054873866,7.497078496434935,2.6591663861626866,-7.167708859897393,4.596443814731824,1894.8097702382818
5.0%/20.0%/45.0%/30.0%,last_1y,0.05,0.2,0.45,0.3,35.14677134774611,8.060585259587192,2.619275848402629,-4.774479002525922,7.361383583245801,35.11891315310267
5.0%/20.0%/45.0%/30.0%,last_3y,0.05,0.2,0.45,0.3,33.10459593059751,8.704039773202418,2.311148278619038,-7.152591418165932,4.62833594080594,135.86535783758939
5.0%/20.0%/45.0%/30.0%,last_5y,0.05,0.2,0.45,0.3,32.381469428561395,8.97555195767059,2.201970712212027,-7.296261121248526,4.438090809861301,306.4925598366817
5.0%/20.0%/45.0%/30.0%,last_10y,0.05,0.2,0.45,0.3,31.94407288231225,7.663067130314238,2.53504695762367,-7.296261121248526,4.378142770861526,1498.578817238727
5.0%/20.0%/45.0%/30.0%,since_2019_05_09,0.05,0.2,0.45,0.3,31.254250056651834,8.372430544046539,2.2838159949623225,-7.296261121248526,4.283598069925388,560.3287083803331
5.0%/20.0%/45.0%/30.0%,full_common,0.05,0.2,0.45,0.3,33.10291047743399,7.600118802484217,2.6348547790350207,-7.296261121248515,4.536968993753545,1919.6998038933677
5.0%/15.0%/50.0%/30.0%,last_1y,0.05,0.15,0.5,0.3,35.123207063088735,8.385389741514194,2.5195466349318143,-5.284560708670427,6.646381600926974,35.095369849963596
5.0%/15.0%/50.0%/30.0%,last_3y,0.05,0.15,0.5,0.3,32.96556733056146,9.09471314871688,2.2077703198571035,-7.768369075629544,4.243563482839537,135.12687275017737
5.0%/15.0%/50.0%/30.0%,last_5y,0.05,0.15,0.5,0.3,32.30006376408851,9.402297979802194,2.1016787086437927,-7.768369075629544,4.157895106376744,305.24443925288597
5.0%/15.0%/50.0%/30.0%,last_10y,0.05,0.15,0.5,0.3,31.957451825416182,7.952735642041872,2.4464311195123063,-7.768369075629533,4.113791648451823,1500.200271353307
5.0%/15.0%/50.0%/30.0%,since_2019_05_09,0.05,0.15,0.5,0.3,31.017949102146346,8.721805152039005,2.1814851937099724,-7.768369075629533,3.9928521418291028,552.121823204181
5.0%/15.0%/50.0%/30.0%,full_common,0.05,0.15,0.5,0.3,33.41160827581871,7.879989257906132,2.5643168945704535,-7.768369075629533,4.300981061859641,1969.4798712035397
