date,lookback,return,asset_component,cash_component,trade_cost,turnover,holding,previous_holding,target,top_score,nav
2026-04-21,10,0.00337581085652916,0.00337581085652916,0.0,0.0,0.0,0.399606,0.399606,0.399606,14.72824072777894,4.195055010035642
2026-04-22,10,0.02029911136413065,0.02029911136413065,0.0,0.0,0.0,0.399606,0.399606,0.399606,13.747611278309401,4.280210898863009
2026-04-23,10,-0.008664062818047547,-0.008664062818047547,0.0,0.0,0.0,0.399606,0.399606,0.399606,7.213762162148764,4.243126882760769
2026-04-24,10,-0.014100089620237122,-0.014100089620237122,0.0,0.0,0.0,0.399606,0.399606,0.399606,1.718766911157297,4.183298413443804
2026-04-27,10,-0.007164446796624757,-0.0051747963894035465,0.0,0.002,2.0,1.H00905,0.399606,1.H00905,0.2410802580662883,4.153327394526281
2026-04-28,10,-0.013392698486015875,-0.011415529545106051,0.0,0.002,2.0,1.H00016,1.H00905,1.H00016,0.1342911625906909,4.0977031330176805
2026-04-29,10,0.005789548999499239,0.005789548999499239,0.0,0.0,0.0,1.H00016,1.H00016,1.H00016,0.36956147724325267,4.121426986091688
2026-04-30,10,0.006066462343472523,0.006066462343472523,0.0,0.0,0.0,1.H00016,1.H00016,1.H00016,0.7249432076449192,4.146429467704184
2026-05-06,10,0.013711598783024304,0.013711598783024304,0.0,0.0,0.0,1.H00016,1.H00016,1.H00016,1.382221077718149,4.203283644947453
2026-05-07,10,-0.0010930999472982261,0.0009087174876771797,0.0,0.002,2.0,1.H00905,1.H00016,1.H00905,2.56075169336324,4.198689035816681
2026-05-08,10,-0.0002499673653718615,-0.0002499673653718615,0.0,0.0,0.0,1.H00905,1.H00905,1.H00905,4.934262203403287,4.197639500580382
2010-06-24,15,-0.0008789711797676514,0.0,0.0001211499702025165,0.001,1.0,1.H00016,cash,1.H00016,0.28836472118638834,0.9991210288202323
2010-06-25,15,0.0006594021736554545,0.0006594021736554545,0.0,0.0,0.0,1.H00016,1.H00016,1.H00016,0.40545568025820905,0.9997798513983813
2010-06-28,15,-0.0028397238972959205,-0.0028397238972959205,0.0,0.0,0.0,1.H00016,1.H00016,1.H00016,0.3835074267443494,0.9969407526623304
2010-06-29,15,-0.040149854756890035,-0.040149854756890035,0.0,0.0,0.0,1.H00016,1.H00016,1.H00016,0.0002813409705788131,0.9569137262417132
2010-06-30,15,-0.008595471836427504,-0.007603074911338825,0.0,0.001,1.0,cash,1.H00016,cash,,0.9486886012579117
2010-07-01,15,0.0001211499702025165,0.0,0.0001211499702025165,0.0,0.0,cash,cash,cash,,0.9488035348536855
2010-07-02,15,0.0001211499702025165,0.0,0.0001211499702025165,0.0,0.0,cash,cash,cash,,0.948918482373661
2010-07-05,15,0.0001211499702025165,0.0,0.0001211499702025165,0.0,0.0,cash,cash,cash,,0.9490334438195253
2010-07-06,15,0.0001211499702025165,0.0,0.0001211499702025165,0.0,0.0,cash,cash,cash,,0.9491484191929652
2010-07-07,15,0.0001211499702025165,0.0,0.0001211499702025165,0.0,0.0,cash,cash,cash,,0.9492634084956683
2010-07-08,15,0.0001211499702025165,0.0,0.0001211499702025165,0.0,0.0,cash,cash,cash,,0.9493784117293218
2010-07-09,15,0.0001211499702025165,0.0,0.0001211499702025165,0.0,0.0,cash,cash,cash,,0.9494934288956137
2010-07-12,15,0.0001211499702025165,0.0,0.0001211499702025165,0.0,0.0,cash,cash,cash,,0.9496084599962319
2010-07-13,15,-0.0008789711797676514,0.0,0.0001211499702025165,0.001,1.0,1.H00016,cash,1.H00016,0.014232090835743515,0.9487737815278316
2010-07-14,15,0.007468819138848781,0.007468819138848781,0.0,0.0,0.0,1.H00016,1.H00016,1.H00016,0.159455532604015,0.9558600013057447
2010-07-15,15,-0.01912376502840374,-0.017158081190785324,0.0,0.002,2.0,1.H00852,1.H00016,1.H00852,0.26423576323312953,0.9375803592407239
2010-07-16,15,0.006589972139119382,0.006589972139119382,0.0,0.0,0.0,1.H00852,1.H00852,1.H00852,0.5254724895671669,0.9437589876863058
2010-07-19,15,0.023238177918496472,0.023238177918496472,0.0,0.0,0.0,1.H00852,1.H00852,1.H00852,1.1458239289957657,0.9656902269543404
2010-07-20,15,0.031092401326542563,0.031092401326542563,0.0,0.0,0.0,1.H00852,1.H00852,1.H00852,2.191788429375527,0.9957158550479247
2010-07-21,15,0.001527101822115462,0.001527101822115462,0.0,0.0,0.0,1.H00852,1.H00852,1.H00852,2.955408758151674,0.9972364145444776
2010-07-22,15,0.01622639138587645,0.01622639138587645,0.0,0.0,0.0,1.H00852,1.H00852,1.H00852,4.0148185197859805,1.0134179629111244
2010-07-23,15,0.001509938247092446,0.001509938247092446,0.0,0.0,0.0,1.H00852,1.H00852,1.H00852,4.603738554935809,1.0149481614536144
2010-07-26,15,0.013796885906805167,0.013796885906805167,0.0,0.0,0.0,1.H00852,1.H00852,1.H00852,5.625432027765931,1.0289512854385117
2010-07-27,15,-0.0009297576306872557,-0.0009297576306872557,0.0,0.0,0.0,1.H00852,1.H00852,1.H00852,6.0817773355273905,1.0279946101292698
2010-07-28,15,0.019660287485114614,0.019660287485114614,0.0,0.0,0.0,1.H00852,1.H00852,1.H00852,7.667382576471675,1.0482052796975596
2010-07-29,15,0.0068807286721550565,0.0068807286721550565,0.0,0.0,0.0,1.H00852,1.H00852,1.H00852,8.913322521426878,1.0554176958198789
2010-07-30,15,0.0006598535079547219,0.0006598535079547219,0.0,0.0,0.0,1.H00852,1.H00852,1.H00852,9.112723167356,1.056114116888823
2010-08-02,15,0.02109226153126542,0.02109226153126542,0.0,0.0,0.0,1.H00852,1.H00852,1.H00852,10.511473873461053,1.0783899520491036
2010-08-03,15,-0.015666724021192957,-0.015666724021192957,0.0,0.0,0.0,1.H00852,1.H00852,1.H00852,7.7258190341393576,1.0614951142831228
2010-08-04,15,0.011931949747785664,0.011931949747785664,0.0,0.0,0.0,1.H00852,1.H00852,1.H00852,6.2346768875376775,1.074160820644269
2010-08-05,15,0.005399839373286586,0.005399839373286586,0.0,0.0,0.0,1.H00852,1.H00852,1.H00852,4.888268353433353,1.0799611165368257
2010-08-06,15,0.01922969647068795,0.01922969647068795,0.0,0.0,0.0,1.H00852,1.H00852,1.H00852,4.8723666665401915,1.100728441007974
