classification,version,sleeve,window,start,end,rows,years,cagr,annual_vol,sharpe_0rf,max_drawdown,na_reason
proxy,V7.8,Sub-C,10Y,2016-08-25,2026-08-25,2513,9.998631074606434,0.12558015357449404,0.11634995848562533,1.0779486632463369,-0.18477944226767995,
proxy,V7.8,Sub-C,5Y,2021-08-25,2026-08-25,1255,4.999315537303217,0.1388170422467001,0.127222450831123,1.0895662270256787,-0.18477944226767973,
proxy,V7.8,Sub-C,3Y,2023-08-25,2026-08-25,752,3.0006844626967832,0.25129804128190236,0.13332420533808617,1.7581788502003812,-0.10200150310998068,
proxy,V7.8,Sub-C,1Y,2025-08-25,2026-08-25,252,0.999315537303217,0.24402021986485845,0.14490641907793428,1.5787170868643068,-0.08805728625513687,
proxy,V7.8,B50_C50,Full,2007-06-01,2026-08-25,4839,19.23340177960301,0.0995531475305016,0.10272655509995735,0.976978301988151,-0.16471642236974238,
proxy,V7.8,B50_C50,10Y,2016-08-25,2026-08-25,2513,9.998631074606434,0.13710700876586457,0.10574534098100126,1.2715625908432888,-0.12938031341070655,
proxy,V7.8,B50_C50,5Y,2021-08-25,2026-08-25,1255,4.999315537303217,0.1555389417749562,0.11766955824667868,1.2925710739211427,-0.09197049193560958,
proxy,V7.8,B50_C50,3Y,2023-08-25,2026-08-25,752,3.0006844626967832,0.2653617478313499,0.13309712638547525,1.8455668055880805,-0.09197049193560947,
proxy,V7.8,B50_C50,1Y,2025-08-25,2026-08-25,252,0.999315537303217,0.20991939050763486,0.1430298999329609,1.4033311815592189,-0.08018337020480437,
proxy,V7.9,Sub-B,Full,2002-03-27,2026-08-25,6143,24.413415468856947,0.15211631915736157,0.14407562929959591,1.0567933126391766,-0.29568106715136344,
proxy,V7.9,Sub-B,10Y,2016-08-25,2026-08-25,2513,9.998631074606434,0.21610269557783157,0.15068314526482438,1.3779269326285621,-0.1510269354498115,
proxy,V7.9,Sub-B,5Y,2021-08-25,2026-08-25,1255,4.999315537303217,0.2588914140953802,0.17164210422287024,1.4331290427779992,-0.15102693544981083,
proxy,V7.9,Sub-B,3Y,2023-08-25,2026-08-25,752,3.0006844626967832,0.3643015488946775,0.19094396202729128,1.7325483046877261,-0.1510269354498115,
proxy,V7.9,Sub-B,1Y,2025-08-25,2026-08-25,252,0.999315537303217,0.17697091829926492,0.1997420190847468,0.9158785649907332,-0.1510269354498115,
proxy,V7.9,Sub-C,Full,2007-06-01,2026-08-25,4839,19.23340177960301,0.09191176503470344,0.1151172365369748,0.8228489934000409,-0.2548016900399612,
proxy,V7.9,Sub-C,10Y,2016-08-25,2026-08-25,2513,9.998631074606434,0.12558015357449404,0.11634995848562533,1.0779486632463369,-0.18477944226767995,
proxy,V7.9,Sub-C,5Y,2021-08-25,2026-08-25,1255,4.999315537303217,0.1388170422467001,0.127222450831123,1.0895662270256787,-0.18477944226767973,
proxy,V7.9,Sub-C,3Y,2023-08-25,2026-08-25,752,3.0006844626967832,0.25129804128190236,0.13332420533808617,1.7581788502003812,-0.10200150310998068,
proxy,V7.9,Sub-C,1Y,2025-08-25,2026-08-25,252,0.999315537303217,0.24402021986485845,0.14490641907793428,1.5787170868643068,-0.08805728625513687,
proxy,V7.9,B50_C50,Full,2007-06-01,2026-08-25,4839,19.23340177960301,0.11908847976649795,0.11653472493265371,1.0256579695461339,-0.21861383208877372,
proxy,V7.9,B50_C50,10Y,2016-08-25,2026-08-25,2513,9.998631074606434,0.17213544151040128,0.1201119604407967,1.3864133311523572,-0.14208227559546338,
proxy,V7.9,B50_C50,5Y,2021-08-25,2026-08-25,1255,4.999315537303217,0.20044725509015682,0.13288809830096535,1.4470918584420602,-0.10944041355078349,
proxy,V7.9,B50_C50,3Y,2023-08-25,2026-08-25,752,3.0006844626967832,0.3097403512320218,0.1492498529982603,1.8935611137671455,-0.1094404135507836,
proxy,V7.9,B50_C50,1Y,2025-08-25,2026-08-25,252,0.999315537303217,0.21368622243635493,0.15645633065487335,1.3157207250070468,-0.10944041355078404,
