rule,full_annual,full_vol,full_sharpe,full_max_dd,full_calmar,full_total_return,full_annual_delta,full_max_dd_delta,full_sharpe_delta,last_10y_annual,last_10y_vol,last_10y_sharpe,last_10y_max_dd,last_10y_calmar,last_10y_total_return,last_10y_annual_delta,last_10y_max_dd_delta,last_10y_sharpe_delta,last_5y_annual,last_5y_vol,last_5y_sharpe,last_5y_max_dd,last_5y_calmar,last_5y_total_return,last_5y_annual_delta,last_5y_max_dd_delta,last_5y_sharpe_delta,last_3y_annual,last_3y_vol,last_3y_sharpe,last_3y_max_dd,last_3y_calmar,last_3y_total_return,last_3y_annual_delta,last_3y_max_dd_delta,last_3y_sharpe_delta,last_1y_annual,last_1y_vol,last_1y_sharpe,last_1y_max_dd,last_1y_calmar,last_1y_total_return,last_1y_annual_delta,last_1y_max_dd_delta,last_1y_sharpe_delta,source,family,zz_ma,zz_days,cyb_ma,cyb_days,mode,scale,trigger_days,robust_pass,combo_score
zz2000_cyb:cross_candidates:or:zz_ma13_d3:cyb_ma10_d3:scale0.25,19.209066092518178,15.302428417532388,1.2621563734714953,-32.47080884957052,0.5915795378399467,46813.201892320925,-0.7386207885544671,0.0,0.025088497065612225,25.183002898897545,17.011168208860617,1.4537694399308487,-17.089965489386326,1.473554929911203,844.1762139362394,1.270212216681113,7.476533013546415,0.21367949496804717,35.630784087563704,16.564029501023768,1.9944444355618294,-10.2700284182757,3.4693948873751976,358.1165837806798,4.626120528315258,4.6293647478510955,0.4551276509042461,40.229688759539094,17.736054158660977,2.070623703496328,-8.010594390498794,5.022060386337214,175.81661030708037,6.590887692101212,5.143951569849959,0.4922942160396673,85.68841660336093,18.66518379147633,3.5323725737903944,-5.6682263888582,15.117324313615127,85.6097730680024,4.690513530405397,2.6112634323971715,0.5350830956568844,combo,cross_candidates,13.0,3.0,10.0,3.0,or,0.25,1193.0,True,0.40129966955318663
zz2000_cyb:cross_candidates:or:zz_ma20_d3:cyb_ma60_d8:scale0.00,19.423713992226553,15.375630008768267,1.2689068234190217,-32.47080884957052,0.5981900260696298,49862.5914556045,-0.5239728888460924,0.0,0.03183894701313861,24.248090413072234,17.239618007497086,1.3916021480606386,-15.786896768938563,1.5359630691182737,776.0118891879004,0.33529973085580167,8.779601733994179,0.15151220309783708,33.35503667282771,17.751628530918296,1.7733123475512655,-13.331947643653209,2.5018877634661782,320.9950962626549,2.3503731135792627,1.5674455224735873,0.23399556289368229,46.06988840980088,18.23191458283933,2.252229176253572,-9.524309631192018,4.837084281565402,211.74157706191815,12.431087342363,3.630236329156734,0.6738996887969111,98.98804844373095,19.78307016992839,3.7067569406964154,-6.356277086232431,15.573274591527339,98.89435482223774,17.99014537077541,1.9232127350229398,0.7094674625629054,combo,cross_candidates,20.0,3.0,60.0,8.0,or,0.0,1365.0,True,0.3703545644253686
zz2000_cyb:cross_candidates:or:zz_ma30_d3:cyb_ma10_d3:scale0.25,19.541067642603704,15.49794104254605,1.2667272523013466,-32.47080884957052,0.6018041537903411,51610.30244945244,-0.40661923846894155,0.0,0.029659375895463524,25.87755626297654,17.57759762406474,1.4451337354050129,-18.199431493546715,1.4218881656909113,897.866782177062,1.9647655807601083,6.367067009386027,0.20504379044221133,36.05254461768854,17.53580338565346,1.9117499754897844,-11.385978116622141,3.1663985516585718,365.27496957172633,5.047881058440094,3.5134150495046548,0.37243319083220117,40.2220645904511,18.546885696457743,1.9876189940022124,-8.01018439730472,5.021365625987972,175.77161474563584,6.5832635230132155,5.144361563044033,0.4092895065455515,87.32350718242779,20.401900220001473,3.2927359274690553,-6.586774548042018,13.257400347547273,87.24304755458986,6.325604109472252,1.692715273213353,0.2954464493355453,combo,cross_candidates,30.0,3.0,10.0,3.0,or,0.25,1387.0,True,0.3629884202386928
zz2000_cyb:same_params:or:zz_ma30_d3:cyb_ma30_d3:scale0.00,19.227138485264604,15.380222791977937,1.2575139454324866,-32.47080884957052,0.592136111371273,47062.814105165584,-0.7205483958080414,0.0,0.02044606902660351,24.29526328395777,17.066033388907265,1.406317609517997,-20.495909598943605,1.185371313562487,779.3421324988744,0.38247260174133757,4.070588903989137,0.16622766455519544,33.16653077835918,17.140184949667216,1.8217542653087144,-11.18292003491268,2.9658202575726595,318.03162143552566,2.1618672191107358,3.7164731312141157,0.28243748065113117,44.62329721604272,18.29473124306778,2.1884503213178337,-8.014555218298414,5.567782116487406,202.56901610948543,10.98449614860484,5.139990742050339,0.6101208338611728,98.32630115831702,20.456025506668706,3.5744506932872917,-6.356277086232409,15.469165334420389,98.23337109581745,17.328398085361485,1.923212735022962,0.5771612151537817,combo,same_params,30.0,3.0,30.0,3.0,or,0.0,1372.0,True,0.35390831304100934
zz2000_cyb:cross_candidates:or:zz_ma20_d3:cyb_ma60_d8:scale0.25,19.708176883949303,15.491104401265371,1.2764887048870635,-32.47080884957052,0.6069505990827814,54201.876756787206,-0.2395099971233421,0.0,0.03942082848118034,24.485393787620914,17.526423058627763,1.3830095260558184,-17.64962933205504,1.3873035703447236,792.880512951095,0.5726031054044824,6.916869170877703,0.14291958109301683,32.913576916080586,17.70312238736629,1.7581585723678144,-12.28963127347187,2.678158211884446,314.0812075199755,1.9089133568321408,2.6097618926549266,0.2188417877102311,43.405282756681785,18.448680635141564,2.123871979173676,-9.474706770125806,4.581174257924338,194.98682087578393,9.766481689243903,3.679839190222946,0.5455424917170153,97.43721777806931,20.244758479686073,3.5865267473953195,-6.3495082783038175,15.345632056424108,97.34531120950827,16.439314705113773,1.9299815429515537,0.5892372692618095,combo,cross_candidates,20.0,3.0,60.0,8.0,or,0.25,1365.0,True,0.34780418141757935
zz2000_cyb:cross_candidates:or:zz_ma15_d3:cyb_ma10_d8:scale0.00,19.6794757257863,15.550078068762494,1.2705937148515443,-32.47080884957052,0.606066692608632,53747.971182221605,-0.26821115528634465,0.0,0.03352583844566115,27.36568248139175,17.738925555590555,1.502177760667134,-14.666887382314409,1.8658139091181523,1022.2583464898115,3.452891799175319,9.899611120618333,0.2620878157043325,35.37506226631098,18.05613410881792,1.832940899925792,-13.316824731906706,2.656418701791081,353.8193893876477,4.370398707062531,1.5825684342200894,0.29362411526820864,40.9661190966365,18.564498032365687,2.0156164658481037,-11.772242904779295,3.4798907419762015,180.18591139230185,7.327318029198615,1.3823030555694569,0.4372869783914428,85.59276124953152,20.054555439573637,3.2982485267750805,-6.4719815461642956,13.225124428894453,85.5142236544731,4.594858176575983,1.8075082750910756,0.3009590486415705,combo,cross_candidates,15.0,3.0,10.0,8.0,or,0.0,1005.0,True,0.3451204591486763
zz2000_cyb:cross_candidates:or:zz_ma13_d3:cyb_ma10_d8:scale0.00,19.35436379033686,15.461953142274865,1.2587920932175833,-32.47080884957052,0.5960542553775298,48856.90019181731,-0.5933230907357867,0.0,0.021724216811700225,26.345327253792217,17.45486155763734,1.476013377654074,-14.76099006701489,1.7847940506825384,935.558804679415,2.4325365715757847,9.805508435917853,0.23592343269127247,34.67573664183241,17.515116738617635,1.8533862674490733,-13.579806578699849,2.553477948369447,342.2321932766918,3.6710730825839626,1.3195865874269472,0.31406948279149005,41.137625867059356,18.026589200893817,2.0773917627424057,-11.147147130331925,3.6904174122831743,181.21005676717172,7.498824799621474,2.007398830016827,0.49906227528574476,85.55471507575594,18.28609645008806,3.597839946250764,-6.116925239672566,13.986555617988165,85.47621960826004,4.556812002800399,2.1625645815828047,0.600550468117254,combo,cross_candidates,13.0,3.0,10.0,8.0,or,0.0,988.0,True,0.3371318461386559
zz2000_cyb:cross_candidates:or:zz_ma30_d3:cyb_ma10_d3:scale0.00,18.960842750021456,15.215568236115013,1.2543329508399548,-32.47080884957052,0.5839350303179234,43511.96225868418,-0.9868441310511891,0.0,0.01726507443407166,25.205275654054926,16.842691469850568,1.4677031961478832,-16.765808851940413,1.5033736741629236,845.8567615634362,1.292484971838494,7.800689650992329,0.2276132511850817,34.13816133864114,16.617759893276627,1.9192895031930581,-12.178748523168414,2.8030927212018484,333.4869243018713,3.1334977793926946,2.7206446429583817,0.3799727185354749,40.56879799929711,17.953844973068165,2.061649425353775,-8.014555218298414,5.061890135421683,177.8228857830546,6.929996931859229,5.139990742050339,0.483319937897114,86.83331954019961,20.04227945140488,3.334634410036718,-6.584134882674242,13.188265594117203,86.75340539105854,5.835416467244073,1.6953549385811293,0.3373449319032078,combo,cross_candidates,30.0,3.0,10.0,3.0,or,0.0,1387.0,True,0.33694438062574106
zz2000_cyb:cross_candidates:or:zz_ma15_d3:cyb_ma60_d8:scale0.25,19.75920909038418,15.428375582585046,1.2838774402547786,-32.47080884957052,0.6085222324434191,55018.14176990471,-0.18847779068846648,0.0,0.04680956384889545,25.225072418926242,17.430978347368935,1.4248230271484892,-17.53312001567987,1.438709847213015,847.3527473378606,1.31228173670981,7.033378487252872,0.18473308218568762,33.14755016007251,17.662792450454003,1.7720386360189393,-12.396541857041331,2.673935242774536,317.7341567587601,2.142886600824067,2.5028513090854645,0.23272185136135604,41.6820561792657,18.494671672057,2.050904103145824,-10.433922443574783,3.9948596900807463,184.4776307516869,8.043255111827818,2.720623516773969,0.47257461568916304,88.32126079204461,19.87214875102887,3.402900596873851,-6.51815670959347,13.550036417819282,88.23968816145438,7.323357719089074,1.7613331116619015,0.40561111874034106,combo,cross_candidates,15.0,3.0,60.0,8.0,or,0.25,1381.0,True,0.3343313949508896
zz2000_cyb:cross_candidates:or:zz_ma15_d3:cyb_ma10_d3:scale0.50,19.83740854077356,15.61810685827644,1.2745048182657528,-32.47080884957052,0.6109305324876729,56292.124274927504,-0.1102783402990859,0.0,0.03743694185986968,26.34100458910382,17.937832014034747,1.440836177056452,-19.417704076881392,1.3565457834155208,935.204707958065,2.4282139068873896,5.148794426051349,0.2007462320936504,36.40545570768467,18.110672227709955,1.8715208431528314,-11.198885612013754,3.2508105689221645,371.33329393149336,5.400792148436228,3.7005075541130417,0.33220405849524814,39.23219064869063,19.042764933645156,1.9019794935573036,-9.571364797729476,4.098912900905972,169.97114799959522,5.593389581252751,3.583181162619276,0.32365000610064265,87.35795877588536,20.54065828636026,3.272825660545358,-6.6865346049785,13.064758344455806,87.27746077745107,6.360055702929827,1.592955216276871,0.2755361824118481,combo,cross_candidates,15.0,3.0,10.0,3.0,or,0.5,1244.0,True,0.3339950279047018
