rule,full_annual,full_vol,full_sharpe,full_max_dd,full_calmar,full_total_return,full_annual_delta,full_max_dd_delta,full_sharpe_delta,last_10y_annual,last_10y_vol,last_10y_sharpe,last_10y_max_dd,last_10y_calmar,last_10y_total_return,last_10y_annual_delta,last_10y_max_dd_delta,last_10y_sharpe_delta,last_5y_annual,last_5y_vol,last_5y_sharpe,last_5y_max_dd,last_5y_calmar,last_5y_total_return,last_5y_annual_delta,last_5y_max_dd_delta,last_5y_sharpe_delta,last_3y_annual,last_3y_vol,last_3y_sharpe,last_3y_max_dd,last_3y_calmar,last_3y_total_return,last_3y_annual_delta,last_3y_max_dd_delta,last_3y_sharpe_delta,last_1y_annual,last_1y_vol,last_1y_sharpe,last_1y_max_dd,last_1y_calmar,last_1y_total_return,last_1y_annual_delta,last_1y_max_dd_delta,last_1y_sharpe_delta,family,zz_ma,zz_days,cyb_ma,cyb_days,mode,scale,trigger_days,robust_pass,combo_score
zz2000_cyb:same_params:or:zz_ma30_d3:cyb_ma30_d3:scale0.00,19.227138485264604,15.380222791977937,1.2575139454324866,-32.47080884957052,0.592136111371273,47062.814105165584,-0.7205483958080414,0.0,0.02044606902660351,24.29526328395777,17.066033388907265,1.406317609517997,-20.495909598943605,1.185371313562487,779.3421324988744,0.38247260174133757,4.070588903989137,0.16622766455519544,33.16653077835918,17.140184949667216,1.8217542653087144,-11.18292003491268,2.9658202575726595,318.03162143552566,2.1618672191107358,3.7164731312141157,0.28243748065113117,44.62329721604272,18.29473124306778,2.1884503213178337,-8.014555218298414,5.567782116487406,202.56901610948543,10.98449614860484,5.139990742050339,0.6101208338611728,98.32630115831702,20.456025506668706,3.5744506932872917,-6.356277086232409,15.469165334420389,98.23337109581745,17.328398085361485,1.923212735022962,0.5771612151537817,same_params,30,3,30,3,or,0.0,1372,True,0.35390831304100934
zz2000_cyb:cross_candidates:or:zz_ma20_d3:cyb_ma60_d8:scale0.25,19.708176883949303,15.491104401265371,1.2764887048870635,-32.47080884957052,0.6069505990827814,54201.876756787206,-0.2395099971233421,0.0,0.03942082848118034,24.485393787620914,17.526423058627763,1.3830095260558184,-17.64962933205504,1.3873035703447236,792.880512951095,0.5726031054044824,6.916869170877703,0.14291958109301683,32.913576916080586,17.70312238736629,1.7581585723678144,-12.28963127347187,2.678158211884446,314.0812075199755,1.9089133568321408,2.6097618926549266,0.2188417877102311,43.405282756681785,18.448680635141564,2.123871979173676,-9.474706770125806,4.581174257924338,194.98682087578393,9.766481689243903,3.679839190222946,0.5455424917170153,97.43721777806931,20.244758479686073,3.5865267473953195,-6.3495082783038175,15.345632056424108,97.34531120950827,16.439314705113773,1.9299815429515537,0.5892372692618095,cross_candidates,20,3,60,8,or,0.25,1365,True,0.34780418141757935
zz2000_cyb:cross_candidates:or:zz_ma15_d3:cyb_ma10_d8:scale0.00,19.6794757257863,15.550078068762494,1.2705937148515443,-32.47080884957052,0.606066692608632,53747.971182221605,-0.26821115528634465,0.0,0.03352583844566115,27.36568248139175,17.738925555590555,1.502177760667134,-14.666887382314409,1.8658139091181523,1022.2583464898115,3.452891799175319,9.899611120618333,0.2620878157043325,35.37506226631098,18.05613410881792,1.832940899925792,-13.316824731906706,2.656418701791081,353.8193893876477,4.370398707062531,1.5825684342200894,0.29362411526820864,40.9661190966365,18.564498032365687,2.0156164658481037,-11.772242904779295,3.4798907419762015,180.18591139230185,7.327318029198615,1.3823030555694569,0.4372869783914428,85.59276124953152,20.054555439573637,3.2982485267750805,-6.4719815461642956,13.225124428894453,85.5142236544731,4.594858176575983,1.8075082750910756,0.3009590486415705,cross_candidates,15,3,10,8,or,0.0,1005,True,0.3451204591486763
zz2000_cyb:cross_candidates:or:zz_ma13_d3:cyb_ma10_d8:scale0.00,19.35436379033686,15.461953142274865,1.2587920932175833,-32.47080884957052,0.5960542553775298,48856.90019181731,-0.5933230907357867,0.0,0.021724216811700225,26.345327253792217,17.45486155763734,1.476013377654074,-14.76099006701489,1.7847940506825384,935.558804679415,2.4325365715757847,9.805508435917853,0.23592343269127247,34.67573664183241,17.515116738617635,1.8533862674490733,-13.579806578699849,2.553477948369447,342.2321932766918,3.6710730825839626,1.3195865874269472,0.31406948279149005,41.137625867059356,18.026589200893817,2.0773917627424057,-11.147147130331925,3.6904174122831743,181.21005676717172,7.498824799621474,2.007398830016827,0.49906227528574476,85.55471507575594,18.28609645008806,3.597839946250764,-6.116925239672566,13.986555617988165,85.47621960826004,4.556812002800399,2.1625645815828047,0.600550468117254,cross_candidates,13,3,10,8,or,0.0,988,True,0.3371318461386559
zz2000_cyb:cross_candidates:or:zz_ma30_d3:cyb_ma10_d3:scale0.00,18.960842750021456,15.215568236115013,1.2543329508399548,-32.47080884957052,0.5839350303179234,43511.96225868418,-0.9868441310511891,0.0,0.01726507443407166,25.205275654054926,16.842691469850568,1.4677031961478832,-16.765808851940413,1.5033736741629236,845.8567615634362,1.292484971838494,7.800689650992329,0.2276132511850817,34.13816133864114,16.617759893276627,1.9192895031930581,-12.178748523168414,2.8030927212018484,333.4869243018713,3.1334977793926946,2.7206446429583817,0.3799727185354749,40.56879799929711,17.953844973068165,2.061649425353775,-8.014555218298414,5.061890135421683,177.8228857830546,6.929996931859229,5.139990742050339,0.483319937897114,86.83331954019961,20.04227945140488,3.334634410036718,-6.584134882674242,13.188265594117203,86.75340539105854,5.835416467244073,1.6953549385811293,0.3373449319032078,cross_candidates,30,3,10,3,or,0.0,1387,True,0.33694438062574106
zz2000_cyb:cross_candidates:or:zz_ma20_d3:cyb_ma50_d8:scale0.00,18.842448260180333,15.388497619666678,1.2352449200463447,-32.47080884957052,0.5802888479764359,42017.97572934642,-1.1052386208923117,0.0,-0.0018229563595384413,24.02763899498335,17.269006484608127,1.3788221457647587,-16.96815789349172,1.4160428695798117,760.5987392380472,0.11484831276691665,7.598340609441021,0.13873220080195714,34.436987306679015,17.882320249076074,1.8085984885610893,-13.563359139224996,2.538971869224332,338.3309742269266,3.4323237474305692,1.3360340269017996,0.26928170390350603,48.85831381450523,18.551797418169407,2.3226675698682184,-9.74250244042617,5.014965519717951,229.9419542765839,15.219512747067348,3.412043519922582,0.7443380824115575,106.62633315874439,20.367743653061634,3.7982740065041516,-6.356277086232431,16.774966181020474,106.52371842051367,25.62843008578885,1.9232127350229398,0.8009845283706416,cross_candidates,20,3,50,8,or,0.0,1344,False,0.3354371129110134
zz2000_cyb:cross_candidates:or:zz_ma15_d3:cyb_ma60_d8:scale0.25,19.75920909038418,15.428375582585046,1.2838774402547786,-32.47080884957052,0.6085222324434191,55018.14176990471,-0.18847779068846648,0.0,0.04680956384889545,25.225072418926242,17.430978347368935,1.4248230271484892,-17.53312001567987,1.438709847213015,847.3527473378606,1.31228173670981,7.033378487252872,0.18473308218568762,33.14755016007251,17.662792450454003,1.7720386360189393,-12.396541857041331,2.673935242774536,317.7341567587601,2.142886600824067,2.5028513090854645,0.23272185136135604,41.6820561792657,18.494671672057,2.050904103145824,-10.433922443574783,3.9948596900807463,184.4776307516869,8.043255111827818,2.720623516773969,0.47257461568916304,88.32126079204461,19.87214875102887,3.402900596873851,-6.51815670959347,13.550036417819282,88.23968816145438,7.323357719089074,1.7613331116619015,0.40561111874034106,cross_candidates,15,3,60,8,or,0.25,1381,True,0.3343313949508896
zz2000_cyb:cross_candidates:or:zz_ma15_d3:cyb_ma10_d3:scale0.50,19.83740854077356,15.61810685827644,1.2745048182657528,-32.47080884957052,0.6109305324876729,56292.124274927504,-0.1102783402990859,0.0,0.03743694185986968,26.34100458910382,17.937832014034747,1.440836177056452,-19.417704076881392,1.3565457834155208,935.204707958065,2.4282139068873896,5.148794426051349,0.2007462320936504,36.40545570768467,18.110672227709955,1.8715208431528314,-11.198885612013754,3.2508105689221645,371.33329393149336,5.400792148436228,3.7005075541130417,0.33220405849524814,39.23219064869063,19.042764933645156,1.9019794935573036,-9.571364797729476,4.098912900905972,169.97114799959522,5.593389581252751,3.583181162619276,0.32365000610064265,87.35795877588536,20.54065828636026,3.272825660545358,-6.6865346049785,13.064758344455806,87.27746077745107,6.360055702929827,1.592955216276871,0.2755361824118481,cross_candidates,15,3,10,3,or,0.5,1244,True,0.3339950279047018
zz2000_cyb:cross_candidates:or:zz_ma20_d3:cyb_ma10_d8:scale0.25,19.801996267828393,15.664953934154905,1.2691796621409,-32.47080884957052,0.6098399445349915,55711.702303743186,-0.14569061324425192,0.0,0.03211178573501683,26.068882633372414,18.018107064238347,1.4227411704651631,-16.531261873365032,1.5769445087174065,913.1316019327228,2.1560919511559824,8.03523662956771,0.18265122550236157,34.39089135766591,18.191341123854208,1.7788977316814294,-13.560626937967191,2.5360841733192965,337.5809360064439,3.386227798417462,1.3387662281596047,0.23958094702384614,42.02591221301613,18.85229933603229,2.028933336840505,-10.12356244187319,4.151296784537831,186.55438065083808,8.387111145578245,3.030983518475562,0.45060384938384423,95.75898760381247,20.788877178878977,3.455410837836917,-7.827710591647163,12.23333265616584,95.66900550853113,14.761084530856934,0.45177922960820815,0.45812135970340684,cross_candidates,20,3,10,8,or,0.25,1058,True,0.3294662358369574
zz2000_cyb:cross_candidates:or:zz_ma20_d3:cyb_ma10_d3:scale0.50,19.725088565731074,15.632468029777542,1.2672889009407562,-32.47080884957052,0.6074714263236461,54471.071071016966,-0.22259831534157115,0.0,0.030221024534873075,25.547344394821803,17.986222541805414,1.4011169563665107,-19.37599304790105,1.3185050351568575,872.0073034184088,1.6345537126053706,5.1905054550316905,0.16102701140370912,35.73901203129517,18.12472896822622,1.8421287694206518,-10.452826801547577,3.419076266144952,359.94503672913146,4.734348472046722,4.446566364579219,0.3028119847630686,39.862796645350414,18.92143149711506,1.937810347906773,-8.645526303507122,4.610800458634864,173.65686769955468,6.223995577912532,4.50901965684163,0.35948086045011207,89.4022434688593,20.527599529523286,3.3296098709490125,-7.15838299613708,12.489167388375831,89.31946091436151,8.404340395903759,1.1211068251182912,0.3323203928155025,cross_candidates,20,3,10,3,or,0.5,1318,True,0.328221292994758
zz2000_cyb:cross_candidates:or:zz_ma13_d3:cyb_ma10_d3:scale0.50,19.722772894624963,15.590163116043579,1.2701734870368993,-32.47080884957052,0.6074001108502054,54434.134562115876,-0.22491398644768168,0.0,0.033105610631016136,25.595551872114886,17.828349596698427,1.414170845553458,-19.417704076881325,1.3181554199597105,875.7445194844131,1.6827611898984536,5.148794426051417,0.1740809005906565,35.802836819203954,17.92263417808179,1.8635905056959632,-11.19888561201371,3.196999956923939,361.02605497932404,4.798173259955508,3.700507554113086,0.3242737210383799,39.524503751842154,18.76467288125218,1.939028373681749,-9.39160626932598,4.208492415289335,171.6754952682128,5.885702684404272,3.7629396910227726,0.36069888622508817,88.16727104356923,19.752914407109422,3.4180584019592626,-6.525919695700699,13.510321173834575,88.08587042620968,7.169367970613692,1.7535701255546723,0.4207689238257526,cross_candidates,13,3,10,3,or,0.5,1193,True,0.3282150634988353
zz2000_cyb:same_params:or:zz_ma13_d3:cyb_ma13_d3:scale0.00,18.698323604724166,15.173386302416535,1.2423239729002236,-32.47080884957052,0.5758502564980448,40266.312633307854,-1.249363276348479,0.0,0.005256096494340445,24.250974990127183,16.685097619660723,1.4323191908160393,-16.665463804807036,1.4551635210495708,776.2152041699895,0.33818430791075116,7.901034698125706,0.19222924585323775,33.44938606857841,16.416697232079922,1.908060025947388,-10.510931694479453,3.1823426353485567,322.4846457322313,2.444722509329967,4.388461471647343,0.36874324128980485,40.1058983812207,17.432714141766983,2.0982171364591697,-8.013231908799657,5.004959152271479,175.0866418446265,6.467097313782816,5.141314051549095,0.5198876490025088,82.82019989007043,18.2100035636273,3.52734472203151,-6.153883992609288,13.458199730371277,82.74471824581684,1.8222968171148892,2.1256058286460835,0.530055243898,same_params,13,3,13,3,or,0.0,1205,False,0.3233685102424213
zz2000_cyb:cross_candidates:or:zz_ma13_d3:cyb_ma60_d8:scale0.25,19.55163538865088,15.378423195453427,1.2759296867759056,-32.47080884957052,0.6021296075262222,51770.567834449306,-0.3960514924217655,0.0,0.038861810370022454,24.758609939624066,17.264968334740256,1.4145137339719382,-17.503950163082404,1.4144584341791873,812.6636043773656,0.8458192574076335,7.062548339850338,0.1744237890091367,33.14389385273311,17.365394152324328,1.7993694410865138,-12.68558748523143,2.612720450772915,317.6768744787512,2.139230293484662,2.2138056808953657,0.2600526564289305,40.541550366017745,17.918239989145214,2.06429984859776,-10.773423331054277,3.763107521186619,177.661322009757,6.902749298579863,2.3811226292944756,0.48597036114109926,85.57909399661838,18.353509188374673,3.5859477657553223,-5.62257970097132,15.2206102088396,85.50057153557597,4.581190923662845,2.656910120284051,0.5886582876218123,cross_candidates,13,3,60,8,or,0.25,1378,True,0.32068853727689367
zz2000_cyb:cross_candidates:or:zz_ma50_d8:cyb_ma10_d3:scale0.25,19.110974894536724,15.468144897881059,1.2447926645142686,-32.47080884957052,0.5885586337892996,45480.61171376083,-0.8367119865359207,0.0,0.007724788108385505,25.988312919683597,17.464452337163326,1.4584920637577576,-16.76940193225128,1.5497459614049982,906.6779833486587,2.0755222374671654,7.797096570681461,0.21840211879495608,36.11997496268933,17.606392581152512,1.9076639164761748,-10.396027467577262,3.4744016476811876,366.4276869443068,5.115311403440881,4.503365698549533,0.3683471318185916,39.88463386577619,18.74620330998899,1.9550383513027365,-8.010184397304698,4.9792404128919605,173.78509770489558,6.245832798338306,5.144361563044054,0.3767088638460756,88.2032095744979,20.44551959991988,3.309960079708961,-7.1715431285138465,12.299055864811649,88.12176881994498,7.205306501542367,1.1079466927415247,0.312670601575451,cross_candidates,50,8,10,3,or,0.25,1341,True,0.32027377951275215
zz2000_cyb:cross_candidates:or:zz_ma15_d3:cyb_ma10_d8:scale0.25,19.930377735813476,15.637354394126135,1.2782249953227651,-32.47080884957052,0.6137936947658478,57843.97316025421,-0.017309145259169156,0.0,0.04115711891688201,27.03211051613397,18.005428446593065,1.4674994969034438,-16.37290749076943,1.6510268888634405,993.222057739438,3.1193198339175368,8.193591012163314,0.22740955194064227,35.16221933398409,18.311333147228183,1.8009833478250084,-13.938541244590663,2.5226613543673384,350.26737523475464,4.157555774735645,0.9608519215361326,0.2616665631674251,40.04560136510047,18.874337896307086,1.9494119269845105,-11.804770243523388,3.392323657215712,174.7315487315264,6.406800297662585,1.3497757168253646,0.3710824395278496,88.51811050369831,20.612846906610223,3.2931001696876305,-6.8856281534833474,12.855488058691956,88.43631785808279,7.520207430742772,1.3938616677720237,0.29581069155412054,cross_candidates,15,3,10,8,or,0.25,1005,True,0.3182776162144296
