date,holding,target,pending_entry_target,pending_entry_since,await_fresh_entry_signal
2018-02-09,1.H11077,1.H11077,,,False
2018-03-07,0.399606,0.399606,,,False
2018-03-29,1.H11077,1.H11077,,,False
2018-04-10,1.H11077,1.H11077,,,False
2018-04-26,1.H11077,1.H11077,,,False
2018-05-16,1.H00016,1.H00016,,,False
2018-07-26,1.H00016,1.H00016,,,False
2018-10-08,1.H00016,1.H00016,,,False
2018-10-22,1.H11077,1.H11077,,,False
2018-11-08,0.399606,0.399606,,,False
2018-12-12,1.H11077,1.H11077,,,False
2019-01-22,1.H00016,1.H00016,,,False
2019-05-20,1.H11077,1.H11077,,,False
2019-06-21,1.H00016,1.H00016,,,False
2019-07-31,0.399606,0.399606,,,False
2019-08-19,1.H11077,1.H11077,,,False
2019-08-30,1.H00852,1.H00852,,,False
2019-11-06,0.399606,0.399606,,,False
2019-11-25,1.H11077,1.H11077,,,False
2020-03-16,1.H11077,1.H11077,,,False
2020-04-15,1.H00016,1.H00016,,,False
2020-06-11,1.H00852,1.H00852,,,False
2020-07-31,1.H11077,1.H11077,,,False
2020-08-18,1.H11077,1.H11077,,,False
2020-09-02,1.H11077,1.H11077,,,False
2020-09-30,1.H11077,1.H11077,,,False
2020-10-15,0.399606,0.399606,,,False
2020-11-06,1.H11077,1.H11077,,,False
2020-12-18,0.399606,0.399606,,,False
2021-02-26,1.H20955,1.H20955,,,False
2021-04-07,0.399606,0.399606,,,False
2021-08-26,1.H20955,1.H20955,,,False
2021-10-18,1.H00016,1.H00016,,,False
2022-03-02,1.H00852,1.H00852,,,False
2022-04-11,1.H20955,1.H20955,,,False
2022-05-24,1.H00852,1.H00852,,,False
2022-07-22,1.H11077,1.H11077,,,False
2022-08-26,1.H20955,1.H20955,,,False
2022-11-08,1.H00852,1.H00852,,,False
2022-12-27,1.H11077,1.H11077,,,False
2023-01-18,0.399606,0.399606,,,False
2023-03-21,1.H11077,1.H11077,,,False
2023-04-10,0.399606,0.399606,,,False
2023-05-29,0.399606,0.399606,,,False
2023-07-20,1.H00016,1.H00016,,,False
2023-08-22,1.H11077,1.H11077,,,False
2023-10-27,1.H11077,1.H11077,,,False
2023-11-14,0.399606,0.399606,,,False
2023-12-20,1.H11077,1.H11077,,,False
2024-01-17,1.H20955,1.H20955,,,False
2024-01-23,1.H11077,1.H11077,,,False
2024-02-20,1.H00016,1.H00016,,,False
2024-02-28,0.399606,0.399606,,,False
2024-04-12,1.H20955,1.H20955,,,False
2024-05-10,1.H00852,1.H00852,,,False
2024-06-21,1.H11077,1.H11077,,,False
2024-07-22,1.H00016,1.H00016,,,False
2024-10-09,0.399606,0.399606,,,False
2025-04-11,1.H11077,1.H11077,,,False
2025-05-09,0.399606,0.399606,,,False
2025-06-19,0.399606,0.399606,,,False
2025-10-15,1.H11077,1.H11077,,,False
2025-10-24,1.H20955,1.H20955,,,False
2025-12-15,0.399606,0.399606,,,False
2026-02-06,1.H20955,1.H20955,,,False
2026-03-09,1.H20955,1.H20955,,,False
2026-03-13,1.H20955,1.H20955,,,False
2026-04-09,1.H11077,1.H11077,,,False
