date,holding,target
2012-08-10,0.399606,0.399606
2012-08-21,1.H00852,1.H00852
2012-10-17,1.H00016,1.H00016
2012-11-13,1.H11077,1.H11077
2012-11-21,1.H11077,1.H11077
2012-12-11,1.H00016,1.H00016
2013-04-02,1.H11077,1.H11077
2013-07-19,1.H00016,1.H00016
2013-08-14,1.H00016,1.H00016
2013-09-30,0.399606,0.399606
2013-10-22,1.H00905,1.H00905
2013-11-25,1.H00852,1.H00852
2013-12-27,0.399606,0.399606
2014-03-05,1.H11077,1.H11077
2014-03-20,1.H00016,1.H00016
2014-04-02,1.H00016,1.H00016
2014-04-28,1.H11077,1.H11077
2014-06-04,0.399606,0.399606
2014-06-26,0.399606,0.399606
2015-01-19,0.399606,0.399606
2015-06-25,1.H11077,1.H11077
2015-07-29,1.H00905,1.H00905
2015-08-28,1.H11077,1.H11077
2015-09-22,1.H00016,1.H00016
2015-09-29,0.399606,0.399606
2015-12-04,1.H11077,1.H11077
2016-02-24,0.399606,0.399606
2016-03-07,1.H00016,1.H00016
2016-03-23,0.399606,0.399606
2016-05-11,1.H11077,1.H11077
2016-06-02,0.399606,0.399606
2016-09-28,1.H11077,1.H11077
2016-10-18,1.H00852,1.H00852
2017-01-09,1.H00852,1.H00852
2017-01-12,1.H11077,1.H11077
2017-01-18,1.H20955,1.H20955
2017-02-15,1.H00852,1.H00852
2017-03-30,1.H11077,1.H11077
2017-05-22,1.H00016,1.H00016
2017-06-20,1.H00852,1.H00852
2017-07-18,1.H00016,1.H00016
2017-08-04,1.H00905,1.H00905
2017-10-18,1.H00016,1.H00016
2017-12-08,1.H11077,1.H11077
2018-01-08,1.H00905,1.H00905
2018-02-08,1.H11077,1.H11077
2018-03-06,0.399606,0.399606
2018-03-28,1.H11077,1.H11077
2018-04-04,1.H11077,1.H11077
2018-04-24,1.H11077,1.H11077
2018-05-15,1.H00016,1.H00016
2018-05-25,1.H20955,1.H20955
2018-05-29,1.H20955,1.H20955
2018-07-12,1.H00852,1.H00852
2018-07-24,1.H00016,1.H00016
2018-08-24,1.H00905,1.H00905
2018-09-12,1.H00852,1.H00852
2018-09-17,1.H20955,1.H20955
2018-09-28,1.H00016,1.H00016
2018-10-16,1.H11077,1.H11077
2018-11-07,0.399606,0.399606
2018-12-10,1.H11077,1.H11077
2019-01-08,1.H11077,1.H11077
2019-01-18,1.H00016,1.H00016
2019-04-04,1.H00016,1.H00016
2019-05-15,1.H11077,1.H11077
2019-06-14,1.H00016,1.H00016
2019-07-30,0.399606,0.399606
2019-08-09,1.H11077,1.H11077
2019-08-28,1.H00852,1.H00852
2019-11-01,0.399606,0.399606
2019-11-19,1.H11077,1.H11077
2020-03-13,1.H11077,1.H11077
2020-04-13,1.H00016,1.H00016
2020-06-10,1.H00852,1.H00852
2020-07-30,1.H11077,1.H11077
2020-08-12,1.H11077,1.H11077
2020-08-31,1.H11077,1.H11077
2020-09-17,1.H11077,1.H11077
2020-09-29,1.H11077,1.H11077
2020-10-14,0.399606,0.399606
2020-11-04,1.H11077,1.H11077
2020-11-18,1.H00905,1.H00905
2020-12-14,0.399606,0.399606
2021-02-25,1.H20955,1.H20955
2021-04-06,0.399606,0.399606
2021-07-08,1.H00852,1.H00852
2021-08-19,1.H20955,1.H20955
2021-10-15,1.H00016,1.H00016
2022-02-28,1.H00852,1.H00852
2022-04-08,1.H20955,1.H20955
2022-05-20,1.H00852,1.H00852
2022-07-18,1.H11077,1.H11077
2022-08-25,1.H20955,1.H20955
2022-11-01,1.H00852,1.H00852
2022-12-26,1.H11077,1.H11077
2023-01-11,0.399606,0.399606
2023-03-16,1.H11077,1.H11077
2023-04-06,0.399606,0.399606
2023-05-26,0.399606,0.399606
2023-06-20,1.H00852,1.H00852
2023-07-19,1.H00016,1.H00016
2023-08-18,1.H11077,1.H11077
2023-10-10,1.H00852,1.H00852
2023-10-26,1.H11077,1.H11077
2023-11-10,0.399606,0.399606
2023-12-14,1.H11077,1.H11077
2024-01-15,1.H20955,1.H20955
2024-01-22,1.H11077,1.H11077
2024-02-07,1.H00016,1.H00016
2024-02-27,0.399606,0.399606
2024-04-11,1.H20955,1.H20955
2024-05-09,1.H00852,1.H00852
2024-06-07,1.H11077,1.H11077
2024-07-16,1.H00016,1.H00016
2024-08-30,1.H00016,1.H00016
2024-09-04,0.399606,0.399606
2024-09-27,0.399606,0.399606
2025-02-06,0.399606,0.399606
2025-04-08,1.H11077,1.H11077
2025-05-07,0.399606,0.399606
2025-06-12,1.H00852,1.H00852
2025-06-18,0.399606,0.399606
2025-09-29,1.H00905,1.H00905
2025-10-14,1.H11077,1.H11077
2025-10-20,1.H20955,1.H20955
2025-12-12,0.399606,0.399606
2026-02-05,1.H20955,1.H20955
2026-03-06,1.H20955,1.H20955
2026-03-12,1.H20955,1.H20955
2026-04-08,1.H11077,1.H11077
