date,window,variant,drawdown
2016-07-11,10Y,baseline_all_10_pairs,-0.02392357553537028
2016-07-12,10Y,baseline_all_10_pairs,-0.027547741359265077
2016-07-13,10Y,baseline_all_10_pairs,-0.022440558575914205
2016-07-14,10Y,baseline_all_10_pairs,-0.02083450928792463
2016-07-15,10Y,baseline_all_10_pairs,-0.02155266141194012
2016-07-18,10Y,baseline_all_10_pairs,-0.023249793987814127
2016-07-19,10Y,baseline_all_10_pairs,-0.017207604753984196
2016-07-20,10Y,baseline_all_10_pairs,-0.019502116436402317
2016-07-21,10Y,baseline_all_10_pairs,-0.017565097293274157
2016-07-22,10Y,baseline_all_10_pairs,-0.017318666393401516
2016-07-25,10Y,baseline_all_10_pairs,-0.014856602928218443
2016-07-26,10Y,baseline_all_10_pairs,-0.014143069159464283
2016-07-27,10Y,baseline_all_10_pairs,-0.009218944599054701
2016-07-28,10Y,baseline_all_10_pairs,-0.005082624756269083
2016-07-29,10Y,baseline_all_10_pairs,-0.003847792381197923
2016-08-01,10Y,baseline_all_10_pairs,0.0
2016-08-02,10Y,baseline_all_10_pairs,-0.004266550740820607
2016-08-03,10Y,baseline_all_10_pairs,-0.008317425218688945
2016-08-04,10Y,baseline_all_10_pairs,-0.01386322829938258
2016-08-05,10Y,baseline_all_10_pairs,-0.008727081794078884
2016-08-08,10Y,baseline_all_10_pairs,-0.011190744734847158
2016-08-09,10Y,baseline_all_10_pairs,-0.013103015312132538
2016-08-10,10Y,baseline_all_10_pairs,-0.010352965138542891
2016-08-11,10Y,baseline_all_10_pairs,-0.0012164723181243842
2016-08-12,10Y,baseline_all_10_pairs,0.0
2016-08-15,10Y,baseline_all_10_pairs,-0.0016290830118871336
2016-08-16,10Y,baseline_all_10_pairs,-0.009754072257771362
2016-08-17,10Y,baseline_all_10_pairs,-0.012158985074511963
2016-08-18,10Y,baseline_all_10_pairs,-0.012646044871015727
2016-08-19,10Y,baseline_all_10_pairs,-0.014026327140218897
2016-08-22,10Y,baseline_all_10_pairs,-0.00868728806832808
2016-08-23,10Y,baseline_all_10_pairs,-0.009707549365742474
2016-08-24,10Y,baseline_all_10_pairs,-0.013684564509699904
2016-08-25,10Y,baseline_all_10_pairs,-0.01234487983988486
2016-08-26,10Y,baseline_all_10_pairs,-0.015893977527401515
2016-08-29,10Y,baseline_all_10_pairs,-0.017605484716539443
2016-08-30,10Y,baseline_all_10_pairs,-0.01735679685838487
2016-08-31,10Y,baseline_all_10_pairs,-0.019593129716634183
2016-09-01,10Y,baseline_all_10_pairs,-0.017066117773525735
2016-09-02,10Y,baseline_all_10_pairs,-0.017771388159097734
2016-09-05,10Y,baseline_all_10_pairs,-0.017792070595304632
2016-09-06,10Y,baseline_all_10_pairs,-0.01590489375962878
2016-09-07,10Y,baseline_all_10_pairs,-0.019638391328375415
2016-09-08,10Y,baseline_all_10_pairs,-0.01651596753042306
2016-09-09,10Y,baseline_all_10_pairs,-0.01845827660091548
2016-09-12,10Y,baseline_all_10_pairs,-0.02498617126458491
2016-09-13,10Y,baseline_all_10_pairs,-0.02440480229542985
2016-09-14,10Y,baseline_all_10_pairs,-0.02023010413020876
2016-09-19,10Y,baseline_all_10_pairs,-0.018766921537074044
2016-09-20,10Y,baseline_all_10_pairs,-0.01972915578676726
2016-09-21,10Y,baseline_all_10_pairs,-0.02051032624900595
2016-09-22,10Y,baseline_all_10_pairs,-0.023705547518498626
2016-09-23,10Y,baseline_all_10_pairs,-0.02440003114563216
2016-09-26,10Y,baseline_all_10_pairs,-0.02440003114563216
2016-09-27,10Y,baseline_all_10_pairs,-0.02428321340076678
2016-09-28,10Y,baseline_all_10_pairs,-0.02402977783135507
2016-09-29,10Y,baseline_all_10_pairs,-0.02553448410793313
2016-09-30,10Y,baseline_all_10_pairs,-0.026235064133296127
2016-10-10,10Y,baseline_all_10_pairs,-0.016005912193590155
2016-10-11,10Y,baseline_all_10_pairs,-0.017943717770522838
2016-10-12,10Y,baseline_all_10_pairs,-0.016329976390604406
2016-10-13,10Y,baseline_all_10_pairs,-0.017078658543267844
2016-10-14,10Y,baseline_all_10_pairs,-0.024442183019516284
2016-10-17,10Y,baseline_all_10_pairs,-0.027627786907042484
2016-10-18,10Y,baseline_all_10_pairs,-0.027187129905782426
2016-10-19,10Y,baseline_all_10_pairs,-0.02779329089852356
2016-10-20,10Y,baseline_all_10_pairs,-0.02505807763867396
2016-10-21,10Y,baseline_all_10_pairs,-0.03501533088157871
2016-10-24,10Y,baseline_all_10_pairs,-0.03954298613921248
2016-10-25,10Y,baseline_all_10_pairs,-0.0365609929234646
2016-10-26,10Y,baseline_all_10_pairs,-0.036922719092246314
2016-10-27,10Y,baseline_all_10_pairs,-0.03534115626836287
2016-10-28,10Y,baseline_all_10_pairs,-0.040507095735525134
2016-10-31,10Y,baseline_all_10_pairs,-0.03970145711449835
2016-11-01,10Y,baseline_all_10_pairs,-0.03755625461218681
2016-11-02,10Y,baseline_all_10_pairs,-0.03429013485707677
2016-11-03,10Y,baseline_all_10_pairs,-0.02725876899240942
2016-11-04,10Y,baseline_all_10_pairs,-0.025110802728537385
2016-11-07,10Y,baseline_all_10_pairs,-0.01840468770922543
2016-11-08,10Y,baseline_all_10_pairs,-0.023550051020696183
2016-11-09,10Y,baseline_all_10_pairs,-0.020473129375919386
2016-11-10,10Y,baseline_all_10_pairs,-0.018927409615112745
2016-11-11,10Y,baseline_all_10_pairs,-0.014127178381267647
2016-11-14,10Y,baseline_all_10_pairs,-0.01615484199500694
2016-11-15,10Y,baseline_all_10_pairs,-0.02435508155123478
2016-11-16,10Y,baseline_all_10_pairs,-0.025721796058812307
2016-11-17,10Y,baseline_all_10_pairs,-0.017074042004642243
2016-11-18,10Y,baseline_all_10_pairs,-0.01834811835811856
2016-11-21,10Y,baseline_all_10_pairs,-0.007775639150052749
2016-11-22,10Y,baseline_all_10_pairs,-0.01059454473034438
2016-11-23,10Y,baseline_all_10_pairs,-0.0042119747508597705
2016-11-24,10Y,baseline_all_10_pairs,0.0
2016-11-25,10Y,baseline_all_10_pairs,0.0
2016-11-28,10Y,baseline_all_10_pairs,0.0
2016-11-29,10Y,baseline_all_10_pairs,0.0
2016-11-30,10Y,baseline_all_10_pairs,-0.01238082339803448
2016-12-01,10Y,baseline_all_10_pairs,-0.011848808810485334
2016-12-02,10Y,baseline_all_10_pairs,0.0
2016-12-05,10Y,baseline_all_10_pairs,-0.017364276768527698
2016-12-06,10Y,baseline_all_10_pairs,-0.02481084501975317
2016-12-07,10Y,baseline_all_10_pairs,-0.0357846806884029
2016-12-08,10Y,baseline_all_10_pairs,-0.025709388635042463
2016-12-09,10Y,baseline_all_10_pairs,-0.00042160910697963683
2016-12-12,10Y,baseline_all_10_pairs,0.0
2016-12-13,10Y,baseline_all_10_pairs,-0.012262349765364111
2016-12-14,10Y,baseline_all_10_pairs,-0.0107752441848471
2016-12-15,10Y,baseline_all_10_pairs,-0.04772274571667612
2016-12-16,10Y,baseline_all_10_pairs,-0.06113332660289095
2016-12-19,10Y,baseline_all_10_pairs,-0.06458095484585935
2016-12-20,10Y,baseline_all_10_pairs,-0.07089754660687964
2016-12-21,10Y,baseline_all_10_pairs,-0.06822538094246688
2016-12-22,10Y,baseline_all_10_pairs,-0.06710301875997737
2016-12-23,10Y,baseline_all_10_pairs,-0.06498511785260319
2016-12-26,10Y,baseline_all_10_pairs,-0.06889685435754778
2016-12-27,10Y,baseline_all_10_pairs,-0.06639149349605422
2016-12-28,10Y,baseline_all_10_pairs,-0.062381769813730115
2016-12-29,10Y,baseline_all_10_pairs,-0.06596629226139361
2016-12-30,10Y,baseline_all_10_pairs,-0.06987263023498913
2017-01-03,10Y,baseline_all_10_pairs,-0.07140470086369421
2017-01-04,10Y,baseline_all_10_pairs,-0.06589583589456027
2017-01-05,10Y,baseline_all_10_pairs,-0.06599884572782788
2017-01-06,10Y,baseline_all_10_pairs,-0.06700898842320768
2017-01-09,10Y,baseline_all_10_pairs,-0.06606177505703181
2017-01-10,10Y,baseline_all_10_pairs,-0.0684885872110248
2017-01-11,10Y,baseline_all_10_pairs,-0.07322911864635007
2017-01-12,10Y,baseline_all_10_pairs,-0.07940967101162533
2017-01-13,10Y,baseline_all_10_pairs,-0.10293355644259661
2017-01-16,10Y,baseline_all_10_pairs,-0.15021349551724372
2017-01-17,10Y,baseline_all_10_pairs,-0.15704080842691948
2017-01-18,10Y,baseline_all_10_pairs,-0.15342740828058588
2017-01-19,10Y,baseline_all_10_pairs,-0.1531230361543795
2017-01-20,10Y,baseline_all_10_pairs,-0.1570364918524585
2017-01-23,10Y,baseline_all_10_pairs,-0.16048296908784254
2017-01-24,10Y,baseline_all_10_pairs,-0.1578164029398368
2017-01-25,10Y,baseline_all_10_pairs,-0.15817486822134763
2017-01-26,10Y,baseline_all_10_pairs,-0.16008275436427366
2017-02-03,10Y,baseline_all_10_pairs,-0.16315149557802822
2017-02-06,10Y,baseline_all_10_pairs,-0.1674468018800659
2017-02-07,10Y,baseline_all_10_pairs,-0.16871073510059187
2017-02-08,10Y,baseline_all_10_pairs,-0.17014681449134783
2017-02-09,10Y,baseline_all_10_pairs,-0.17282435660625628
2017-02-10,10Y,baseline_all_10_pairs,-0.17426692156537782
2017-02-13,10Y,baseline_all_10_pairs,-0.1748553965662848
2017-02-14,10Y,baseline_all_10_pairs,-0.1747766672491412
2017-02-15,10Y,baseline_all_10_pairs,-0.17887304108871804
2017-02-16,10Y,baseline_all_10_pairs,-0.17702846983175602
2017-02-17,10Y,baseline_all_10_pairs,-0.17818188139878055
2017-02-20,10Y,baseline_all_10_pairs,-0.1800537394491546
2017-02-21,10Y,baseline_all_10_pairs,-0.17649841601336014
2017-02-22,10Y,baseline_all_10_pairs,-0.17522988258162342
2017-02-23,10Y,baseline_all_10_pairs,-0.17325662771809802
2017-02-24,10Y,baseline_all_10_pairs,-0.17218742221136785
2017-02-27,10Y,baseline_all_10_pairs,-0.17206527710105735
2017-02-28,10Y,baseline_all_10_pairs,-0.1705653199825835
2017-03-01,10Y,baseline_all_10_pairs,-0.16988075319120566
2017-03-02,10Y,baseline_all_10_pairs,-0.1695821238549926
2017-03-03,10Y,baseline_all_10_pairs,-0.16670146845478806
2017-03-06,10Y,baseline_all_10_pairs,-0.15915231749332348
2017-03-07,10Y,baseline_all_10_pairs,-0.1563396491718051
2017-03-08,10Y,baseline_all_10_pairs,-0.16078566881103262
2017-03-09,10Y,baseline_all_10_pairs,-0.16111423868585828
2017-03-10,10Y,baseline_all_10_pairs,-0.1604577582698472
2017-03-13,10Y,baseline_all_10_pairs,-0.15807376763168668
2017-03-14,10Y,baseline_all_10_pairs,-0.16196505936500338
2017-03-15,10Y,baseline_all_10_pairs,-0.16263311805361702
2017-03-16,10Y,baseline_all_10_pairs,-0.16292553615514216
2017-03-17,10Y,baseline_all_10_pairs,-0.16250632037077473
2017-03-20,10Y,baseline_all_10_pairs,-0.16202757184982652
2017-03-21,10Y,baseline_all_10_pairs,-0.16161153350658486
2017-03-22,10Y,baseline_all_10_pairs,-0.1607086742421504
2017-03-23,10Y,baseline_all_10_pairs,-0.16303149038280995
2017-03-24,10Y,baseline_all_10_pairs,-0.16251836808220854
2017-03-27,10Y,baseline_all_10_pairs,-0.16311138420872118
2017-03-28,10Y,baseline_all_10_pairs,-0.16311138420872118
2017-03-29,10Y,baseline_all_10_pairs,-0.16311138420872118
2017-03-30,10Y,baseline_all_10_pairs,-0.1651361455663105
2017-03-31,10Y,baseline_all_10_pairs,-0.16482988637039575
2017-04-05,10Y,baseline_all_10_pairs,-0.17327702976814163
2017-04-06,10Y,baseline_all_10_pairs,-0.17325961003655554
2017-04-07,10Y,baseline_all_10_pairs,-0.17388768011268785
2017-04-10,10Y,baseline_all_10_pairs,-0.16932082366103873
2017-04-11,10Y,baseline_all_10_pairs,-0.1733612392451821
2017-04-12,10Y,baseline_all_10_pairs,-0.16910594708595683
2017-04-13,10Y,baseline_all_10_pairs,-0.1738366102334452
2017-04-14,10Y,baseline_all_10_pairs,-0.17052068374971374
2017-04-17,10Y,baseline_all_10_pairs,-0.1659962899006534
2017-04-18,10Y,baseline_all_10_pairs,-0.16236558800136947
2017-04-19,10Y,baseline_all_10_pairs,-0.16446678119603553
2017-04-20,10Y,baseline_all_10_pairs,-0.15867155360802865
2017-04-21,10Y,baseline_all_10_pairs,-0.15437807993855357
2017-04-24,10Y,baseline_all_10_pairs,-0.14115319675799376
2017-04-25,10Y,baseline_all_10_pairs,-0.14317470363948925
2017-04-26,10Y,baseline_all_10_pairs,-0.1455643435386762
2017-04-27,10Y,baseline_all_10_pairs,-0.1475141684545419
2017-04-28,10Y,baseline_all_10_pairs,-0.15228690796710143
2017-05-02,10Y,baseline_all_10_pairs,-0.15533721259773114
2017-05-03,10Y,baseline_all_10_pairs,-0.15604446320529264
2017-05-04,10Y,baseline_all_10_pairs,-0.15511536008632032
2017-05-05,10Y,baseline_all_10_pairs,-0.14796230868356652
2017-05-08,10Y,baseline_all_10_pairs,-0.13441739953511433
2017-05-09,10Y,baseline_all_10_pairs,-0.14045992926296358
2017-05-10,10Y,baseline_all_10_pairs,-0.12524798083942534
2017-05-11,10Y,baseline_all_10_pairs,-0.12051795866669923
2017-05-12,10Y,baseline_all_10_pairs,-0.11077202452931234
2017-05-15,10Y,baseline_all_10_pairs,-0.11415783359852516
2017-05-16,10Y,baseline_all_10_pairs,-0.13817226483438028
2017-05-17,10Y,baseline_all_10_pairs,-0.14807316684830163
2017-05-18,10Y,baseline_all_10_pairs,-0.14324037063695128
2017-05-19,10Y,baseline_all_10_pairs,-0.14004090732019203
2017-05-22,10Y,baseline_all_10_pairs,-0.1167924464040655
2017-05-23,10Y,baseline_all_10_pairs,-0.08151862998302084
2017-05-24,10Y,baseline_all_10_pairs,-0.08885554044543886
2017-05-25,10Y,baseline_all_10_pairs,-0.07178066810158124
2017-05-26,10Y,baseline_all_10_pairs,-0.07359071618358215
2017-05-31,10Y,baseline_all_10_pairs,-0.06845031407204838
2017-06-01,10Y,baseline_all_10_pairs,-0.03913281052897
2017-06-02,10Y,baseline_all_10_pairs,-0.05639260805749724
2017-06-05,10Y,baseline_all_10_pairs,-0.07327637763016626
2017-06-06,10Y,baseline_all_10_pairs,-0.0725082459895936
2017-06-07,10Y,baseline_all_10_pairs,-0.08242873431836006
2017-06-08,10Y,baseline_all_10_pairs,-0.07520554593541062
2017-06-09,10Y,baseline_all_10_pairs,-0.07223713486667405
2017-06-12,10Y,baseline_all_10_pairs,-0.06152197402041981
2017-06-13,10Y,baseline_all_10_pairs,-0.07436151177897032
2017-06-14,10Y,baseline_all_10_pairs,-0.08492982888716194
2017-06-15,10Y,baseline_all_10_pairs,-0.10240737300688896
2017-06-16,10Y,baseline_all_10_pairs,-0.10288610740890847
2017-06-19,10Y,baseline_all_10_pairs,-0.1093060580208165
2017-06-20,10Y,baseline_all_10_pairs,-0.10523821091600583
2017-06-21,10Y,baseline_all_10_pairs,-0.111728712200718
2017-06-22,10Y,baseline_all_10_pairs,-0.12956667866696048
2017-06-23,10Y,baseline_all_10_pairs,-0.13252559487133886
2017-06-26,10Y,baseline_all_10_pairs,-0.12843921126368274
2017-06-27,10Y,baseline_all_10_pairs,-0.1304201037656354
2017-06-28,10Y,baseline_all_10_pairs,-0.13047921569679877
2017-06-29,10Y,baseline_all_10_pairs,-0.13155986360569305
2017-06-30,10Y,baseline_all_10_pairs,-0.12991395806519268
2017-07-03,10Y,baseline_all_10_pairs,-0.11913053202192547
2017-07-04,10Y,baseline_all_10_pairs,-0.11398919399917318
2017-07-05,10Y,baseline_all_10_pairs,-0.11830126443445643
2017-07-06,10Y,baseline_all_10_pairs,-0.11862416508570361
2017-07-07,10Y,baseline_all_10_pairs,-0.11286533128526122
2017-07-10,10Y,baseline_all_10_pairs,-0.12029210212709518
2017-07-11,10Y,baseline_all_10_pairs,-0.13793823514190895
2017-07-12,10Y,baseline_all_10_pairs,-0.13724298461645268
2017-07-13,10Y,baseline_all_10_pairs,-0.1329851253949963
2017-07-14,10Y,baseline_all_10_pairs,-0.1163583051062761
2017-07-17,10Y,baseline_all_10_pairs,-0.11723529036582303
2017-07-18,10Y,baseline_all_10_pairs,-0.11468684872619994
2017-07-19,10Y,baseline_all_10_pairs,-0.11116048223336017
2017-07-20,10Y,baseline_all_10_pairs,-0.11203851486743155
2017-07-21,10Y,baseline_all_10_pairs,-0.11986692113832387
2017-07-24,10Y,baseline_all_10_pairs,-0.11413688895022012
2017-07-25,10Y,baseline_all_10_pairs,-0.11794414311810231
2017-07-26,10Y,baseline_all_10_pairs,-0.11691801954845105
2017-07-27,10Y,baseline_all_10_pairs,-0.143021657043221
2017-07-28,10Y,baseline_all_10_pairs,-0.13980952771870148
2017-07-31,10Y,baseline_all_10_pairs,-0.14025211654087089
2017-08-01,10Y,baseline_all_10_pairs,-0.13051773979551407
2017-08-02,10Y,baseline_all_10_pairs,-0.1268567936278674
2017-08-03,10Y,baseline_all_10_pairs,-0.1310354701108598
2017-08-04,10Y,baseline_all_10_pairs,-0.1285481929474246
2017-08-07,10Y,baseline_all_10_pairs,-0.12047519639164739
2017-08-08,10Y,baseline_all_10_pairs,-0.1207888131342888
2017-08-09,10Y,baseline_all_10_pairs,-0.11016923870790796
2017-08-10,10Y,baseline_all_10_pairs,-0.11247725952991539
2017-08-11,10Y,baseline_all_10_pairs,-0.10581241519718476
2017-08-14,10Y,baseline_all_10_pairs,-0.09025046505758039
2017-08-15,10Y,baseline_all_10_pairs,-0.09210360999350109
2017-08-16,10Y,baseline_all_10_pairs,-0.0781598516677271
2017-08-17,10Y,baseline_all_10_pairs,-0.07740478207710899
2017-08-18,10Y,baseline_all_10_pairs,-0.08485636648854056
2017-08-21,10Y,baseline_all_10_pairs,-0.08282479620335603
2017-08-22,10Y,baseline_all_10_pairs,-0.09637210255104534
2017-08-23,10Y,baseline_all_10_pairs,-0.10401640509465548
2017-08-24,10Y,baseline_all_10_pairs,-0.10504745353355738
2017-08-25,10Y,baseline_all_10_pairs,-0.11463701741906906
2017-08-28,10Y,baseline_all_10_pairs,-0.110750176040455
2017-08-29,10Y,baseline_all_10_pairs,-0.11770503065398508
2017-08-30,10Y,baseline_all_10_pairs,-0.11442482504657037
2017-08-31,10Y,baseline_all_10_pairs,-0.11173583247812213
2017-09-01,10Y,baseline_all_10_pairs,-0.11183964407079305
2017-09-04,10Y,baseline_all_10_pairs,-0.10696697630290386
2017-09-05,10Y,baseline_all_10_pairs,-0.10743301488505508
2017-09-06,10Y,baseline_all_10_pairs,-0.10209627516664177
2017-09-07,10Y,baseline_all_10_pairs,-0.10104430147465948
2017-09-08,10Y,baseline_all_10_pairs,-0.10783252420505152
2017-09-11,10Y,baseline_all_10_pairs,-0.1091590440510194
2017-09-12,10Y,baseline_all_10_pairs,-0.1231476021137784
2017-09-13,10Y,baseline_all_10_pairs,-0.12018028875942155
2017-09-14,10Y,baseline_all_10_pairs,-0.119454302870595
2017-09-15,10Y,baseline_all_10_pairs,-0.11973685213177665
2017-09-18,10Y,baseline_all_10_pairs,-0.11375457247770615
2017-09-19,10Y,baseline_all_10_pairs,-0.11800435918734475
2017-09-20,10Y,baseline_all_10_pairs,-0.10249472413515859
2017-09-21,10Y,baseline_all_10_pairs,-0.1238298034941101
2017-09-22,10Y,baseline_all_10_pairs,-0.13160706398025346
2017-09-25,10Y,baseline_all_10_pairs,-0.15176319400207428
2017-09-26,10Y,baseline_all_10_pairs,-0.1486280184903791
2017-09-27,10Y,baseline_all_10_pairs,-0.12994176394164325
2017-09-28,10Y,baseline_all_10_pairs,-0.13123462906853278
2017-09-29,10Y,baseline_all_10_pairs,-0.13123462906853278
2017-10-09,10Y,baseline_all_10_pairs,-0.13123462906853278
2017-10-10,10Y,baseline_all_10_pairs,-0.13164409068743965
2017-10-11,10Y,baseline_all_10_pairs,-0.12109275509115103
2017-10-12,10Y,baseline_all_10_pairs,-0.116166193178743
2017-10-13,10Y,baseline_all_10_pairs,-0.12353722305143644
2017-10-16,10Y,baseline_all_10_pairs,-0.10831695920298956
2017-10-17,10Y,baseline_all_10_pairs,-0.10718026200472242
2017-10-18,10Y,baseline_all_10_pairs,-0.0865127072134585
2017-10-19,10Y,baseline_all_10_pairs,-0.07804748120361626
2017-10-20,10Y,baseline_all_10_pairs,-0.10424977931981427
2017-10-23,10Y,baseline_all_10_pairs,-0.11149160089621701
2017-10-24,10Y,baseline_all_10_pairs,-0.09843401067850643
2017-10-25,10Y,baseline_all_10_pairs,-0.10555230671595683
2017-10-26,10Y,baseline_all_10_pairs,-0.1065074285054669
2017-10-27,10Y,baseline_all_10_pairs,-0.08681277916575847
2017-10-30,10Y,baseline_all_10_pairs,-0.06261694984552968
2017-10-31,10Y,baseline_all_10_pairs,-0.07602388593089326
2017-11-01,10Y,baseline_all_10_pairs,-0.07809846691126998
2017-11-02,10Y,baseline_all_10_pairs,-0.06411576252547979
2017-11-03,10Y,baseline_all_10_pairs,-0.052917551324505374
2017-11-06,10Y,baseline_all_10_pairs,-0.06626293917486681
2017-11-07,10Y,baseline_all_10_pairs,-0.06145209075059377
2017-11-08,10Y,baseline_all_10_pairs,-0.06506326359119197
2017-11-09,10Y,baseline_all_10_pairs,-0.06560197579957117
2017-11-10,10Y,baseline_all_10_pairs,-0.05678327397453664
2017-11-13,10Y,baseline_all_10_pairs,-0.05432699556596521
2017-11-14,10Y,baseline_all_10_pairs,-0.051391229858337106
2017-11-15,10Y,baseline_all_10_pairs,-0.04585053889117896
2017-11-16,10Y,baseline_all_10_pairs,-0.03223527322967823
2017-11-17,10Y,baseline_all_10_pairs,0.0
2017-11-20,10Y,baseline_all_10_pairs,-0.0019015086964518924
2017-11-21,10Y,baseline_all_10_pairs,0.0
2017-11-22,10Y,baseline_all_10_pairs,0.0
2017-11-23,10Y,baseline_all_10_pairs,-0.0006237467836943678
2017-11-24,10Y,baseline_all_10_pairs,-0.003077084584927725
2017-11-27,10Y,baseline_all_10_pairs,0.0
2017-11-28,10Y,baseline_all_10_pairs,-0.01988142820665917
2017-11-29,10Y,baseline_all_10_pairs,-0.022959666659441602
2017-11-30,10Y,baseline_all_10_pairs,-0.02708944253394363
2017-12-01,10Y,baseline_all_10_pairs,-0.04085994126524761
2017-12-04,10Y,baseline_all_10_pairs,-0.02630544120254752
2017-12-05,10Y,baseline_all_10_pairs,0.0
2017-12-06,10Y,baseline_all_10_pairs,-0.019354412204087623
2017-12-07,10Y,baseline_all_10_pairs,-0.025995663669313607
2017-12-08,10Y,baseline_all_10_pairs,-0.031120217763156766
2017-12-11,10Y,baseline_all_10_pairs,-0.032425809843394715
2017-12-12,10Y,baseline_all_10_pairs,-0.039278350937958284
2017-12-13,10Y,baseline_all_10_pairs,-0.0430396726133353
2017-12-14,10Y,baseline_all_10_pairs,-0.03604113142533871
2017-12-15,10Y,baseline_all_10_pairs,-0.03182436319792503
2017-12-18,10Y,baseline_all_10_pairs,-0.038987874433096925
2017-12-19,10Y,baseline_all_10_pairs,-0.04621263720961233
2017-12-20,10Y,baseline_all_10_pairs,-0.055455449772706444
2017-12-21,10Y,baseline_all_10_pairs,-0.058372023670958395
2017-12-22,10Y,baseline_all_10_pairs,-0.056180014113003884
2017-12-25,10Y,baseline_all_10_pairs,-0.06588736737043033
2017-12-26,10Y,baseline_all_10_pairs,-0.06630455085549192
2017-12-27,10Y,baseline_all_10_pairs,-0.055764474241734696
2017-12-28,10Y,baseline_all_10_pairs,-0.05923074495739178
2017-12-29,10Y,baseline_all_10_pairs,-0.05446823849979676
2018-01-02,10Y,baseline_all_10_pairs,-0.05861295334033645
2018-01-03,10Y,baseline_all_10_pairs,-0.05123335996248701
2018-01-04,10Y,baseline_all_10_pairs,-0.04873518887810635
2018-01-05,10Y,baseline_all_10_pairs,-0.053291088658585894
2018-01-08,10Y,baseline_all_10_pairs,-0.05405001599313963
2018-01-09,10Y,baseline_all_10_pairs,-0.061556486690890644
2018-01-10,10Y,baseline_all_10_pairs,-0.0767058914795854
2018-01-11,10Y,baseline_all_10_pairs,-0.0740973971033847
2018-01-12,10Y,baseline_all_10_pairs,-0.08537129663138476
2018-01-15,10Y,baseline_all_10_pairs,-0.0773459149928265
2018-01-16,10Y,baseline_all_10_pairs,-0.06447319877692148
2018-01-17,10Y,baseline_all_10_pairs,-0.08190875789627583
2018-01-18,10Y,baseline_all_10_pairs,-0.07070230282766932
2018-01-19,10Y,baseline_all_10_pairs,-0.060975534153213995
2018-01-22,10Y,baseline_all_10_pairs,-0.08123849961922702
2018-01-23,10Y,baseline_all_10_pairs,-0.06576389799863858
2018-01-24,10Y,baseline_all_10_pairs,-0.09152154296131287
2018-01-25,10Y,baseline_all_10_pairs,-0.09749805149331037
2018-01-26,10Y,baseline_all_10_pairs,-0.09275273208819557
2018-01-29,10Y,baseline_all_10_pairs,-0.09901945300376724
2018-01-30,10Y,baseline_all_10_pairs,-0.1167909607285208
