date,return,nav,top_pair,direction,holding,pair_a,pair_b,long_leg,short_leg,pair_changed,direction_changed,is_signal,target,weight,scale_raw,realized_vol,return_before_dk_execution_cost,dk_execution_turnover,dk_execution_cost,actual_position,actual_direction,scale_rebalanced,dk_overlay_execution_cost,same_side_overheat_tc,raw_return,return_before_dk_overlay,base_weight,active_score_overlay,overlay_scale,overlay_on,overlay_triggered,overlay_recovered,trade_id,score_peak_overlay,score_decay_ratio_overlay,waiting_for_new_peak,pre_overheat_return,return_before_dk_overheat,pre_overheat_weight,same_side_overheat_abs_bias,same_side_overheat_signal,same_side_overheat_scale,same_side_overheat_on,same_side_overheat_triggered,same_side_overheat_recovered,dk_total_overlay_scale,raw_nav,risk_gate_scale,risk_gate_on,risk_gate_base_dd
2025-10-10,0.0,9.30273312763643,none,0,none_0,,,,,False,False,False,,0.0,0.0,,0.0,0.0,0.0,none,0,False,0.0,0.0,0.0,0.0,0.0,,1.0,False,False,False,387,,,False,0.0,0.0,0.0,,False,0.0,True,False,False,0.0,10.314748311081154,1.0,False,-0.008111621425442084
2025-10-13,0.00674836033438897,9.365511322876378,ZZ500/CYB,1,ZZ500/CYB_1,ZZ500,CYB,ZZ500,CYB,True,True,True,ZZ500/CYB_1,0.9443291999668835,0.9128105879049436,0.21713655602519194,0.007699960832208273,1.888658399933767,0.0009443291999668835,ZZ500/CYB_1,1,True,0.0,0.0,0.00674836033438897,0.007699960832208273,0.9443291999668835,16.579643937843326,1.0,False,False,False,388,16.579643937843326,1.0,False,0.007699960832208273,0.007699960832208273,0.9443291999668835,0.056510716569480146,False,1.0,False,False,False,1.0,10.38435594944286,1.0,False,-0.0014180012353280924
2025-10-14,0.014396784327385115,9.500344569507511,ZZ500/CYB,1,ZZ500/CYB_1,ZZ500,CYB,ZZ500,CYB,False,False,False,,0.9443291999668835,0.9210793597407718,0.21839926428698206,0.014396784327385025,0.0,0.0,ZZ500/CYB_1,1,False,0.0,0.0,0.014396784327385115,0.014396784327385025,0.9443291999668835,26.035206423107695,1.0,False,False,False,388,26.035206423107695,1.0,False,0.014396784327385025,0.014396784327385025,0.9443291999668835,0.04661911062232105,False,1.0,False,False,False,1.0,10.533857282425787,1.0,False,0.0
2025-10-15,-0.008725431993034771,9.417449959055876,HS300/CYB,1,HS300/CYB_1,HS300,CYB,HS300,CYB,True,False,True,HS300/CYB_1,0.8819010694532367,0.7991507485163354,0.25201425437757313,-0.007788457661059949,1.888658399933767,0.0009443291999668835,HS300/CYB_1,1,True,0.0,0.0,-0.008725431993034771,-0.007788457661059949,0.8819010694532367,39.52510129307574,1.0,False,False,False,389,39.52510129307574,1.0,False,-0.007788457661059949,-0.007788457661059949,0.8819010694532367,0.047805866016753296,False,1.0,False,False,False,1.0,10.441944827083647,1.0,False,-0.008725431993034771
2025-10-16,0.000547042607177417,9.42260170543444,SZ50/CYB,1,SZ50/CYB_1,SZ50,CYB,SZ50,CYB,True,False,True,SZ50/CYB_1,0.6742085607362797,0.6353566451737315,0.3146189110665571,0.001430204975928422,1.7638021389064733,0.0008819010694532367,SZ50/CYB_1,1,True,0.0,0.0,0.000547042607177417,0.001430204975928422,0.6742085607362797,58.960849405950164,1.0,False,False,False,390,58.960849405950164,1.0,False,0.001430204975928422,0.001430204975928422,0.6742085607362797,0.07334250003277232,False,1.0,False,False,False,1.0,10.447657015805857,1.0,False,-0.008183162568923597
2025-10-17,0.01117359870504786,9.527886075648464,SZ50/CYB,1,SZ50/CYB_1,SZ50,CYB,SZ50,CYB,False,False,False,,0.6742085607362797,0.6356896962169268,0.3118079029562357,0.011173598705047893,0.0,0.0,SZ50/CYB_1,1,False,0.0,0.0,0.01117359870504786,0.011173598705047893,0.6742085607362797,71.3411447517609,1.0,False,False,False,390,71.3411447517609,1.0,False,0.011173598705047893,0.011173598705047893,0.6742085607362797,0.06797387793447351,False,1.0,False,False,False,1.0,10.56439494270845,1.0,False,0.0
2025-10-20,-0.01173053470988672,9.416118877326223,SZ50/CYB,1,SZ50/CYB_1,SZ50,CYB,SZ50,CYB,False,False,False,,0.6742085607362797,0.6414205608767758,0.31617998574889206,-0.011730534709886702,0.0,0.0,SZ50/CYB_1,1,False,0.0,0.0,-0.01173053470988672,-0.011730534709886702,0.6742085607362797,82.82942256459226,1.0,False,False,False,390,82.82942256459226,1.0,False,-0.011730534709886702,-0.011730534709886702,0.6742085607362797,0.049044227898699666,False,1.0,False,False,False,1.0,10.440468941144056,1.0,False,-0.01173053470988683
2025-10-21,-0.012986743573276671,9.293834156010897,SZ50/CYB,1,SZ50/CYB_1,SZ50,CYB,SZ50,CYB,False,False,False,,0.6742085607362797,0.6325511070104185,0.3186129352652683,-0.012986743573276721,0.0,0.0,SZ50/CYB_1,1,False,0.0,0.0,-0.012986743573276671,-0.012986743573276721,0.6742085607362797,88.07532998002654,1.0,False,False,False,390,88.07532998002654,1.0,False,-0.012986743573276721,-0.012986743573276721,0.6742085607362797,0.06203055467529317,False,1.0,False,False,False,1.0,10.304881248220658,1.0,False,-0.024564936836908746
2025-10-22,0.005968956322224717,9.349308646154126,SZ50/CYB,1,SZ50/CYB_1,SZ50,CYB,SZ50,CYB,False,False,False,,0.6742085607362797,0.6277209047821162,0.3018752305722491,0.005968956322224798,0.0,0.0,SZ50/CYB_1,1,False,0.0,0.0,0.005968956322224717,0.005968956322224798,0.6742085607362797,93.2779348214968,1.0,False,False,False,390,93.2779348214968,1.0,False,0.005968956322224798,0.005968956322224798,0.6742085607362797,0.07620133558059383,False,1.0,False,False,False,1.0,10.366390634297,1.0,False,-0.01874260754972179
2025-10-23,0.0031381647522692457,9.378648317005574,SZ50/CYB,1,SZ50/CYB_1,SZ50,CYB,SZ50,CYB,False,False,False,,0.6742085607362797,0.6625253738800314,0.29816797824837465,0.0031381647522692366,0.0,0.0,SZ50/CYB_1,1,False,0.0,0.0,0.0031381647522692457,0.0031381647522692366,0.6742085607362797,94.01631840600947,1.0,False,False,False,390,94.01631840600947,1.0,False,0.0031381647522692366,0.0031381647522692366,0.6742085607362797,0.06464395865237016,False,1.0,False,False,False,1.0,10.398922075993804,1.0,False,-0.01566326018783082
