pair,pair_cn,direction,start,end,days,segment_return,win
SZ50/HS300,上证50/沪深300,-1,2024-07-22,2024-08-16,20,-0.0173482780080397,False
SZ50/HS300,上证50/沪深300,1,2024-08-19,2024-09-06,15,-0.0042189199594948,False
SZ50/HS300,上证50/沪深300,-1,2024-09-09,2024-11-26,50,0.0565679204415332,True
SZ50/HS300,上证50/沪深300,1,2024-11-27,2025-01-21,39,-0.0058248140290987,False
SZ50/HS300,上证50/沪深300,-1,2025-01-22,2025-02-21,17,-0.0025498773099742,False
SZ50/HS300,上证50/沪深300,1,2025-02-24,2025-04-30,47,0.0489865256839505,True
SZ50/HS300,上证50/沪深300,-1,2025-05-06,2025-08-07,67,0.0371919569926602,True
SZ50/HS300,上证50/沪深300,1,2025-08-08,2025-08-19,8,-0.0342582572442019,False
SZ50/HS300,上证50/沪深300,-1,2025-08-20,2025-10-15,35,0.0304067999581345,True
SZ50/HS300,上证50/沪深300,1,2025-10-16,2025-12-09,39,-0.0036962732537267,False
SZ50/HS300,上证50/沪深300,-1,2025-12-10,2025-12-23,10,-0.0102336602958197,False
SZ50/HS300,上证50/沪深300,1,2025-12-24,2025-12-30,5,-0.0084101246792452,False
SZ50/HS300,上证50/沪深300,-1,2025-12-31,2026-01-06,3,-0.0179578147962825,False
SZ50/HS300,上证50/沪深300,1,2026-01-07,2026-01-12,4,-0.0099117490442324,False
SZ50/HS300,上证50/沪深300,-1,2026-01-13,2026-02-09,20,0.0039549017695508,True
SZ50/HS300,上证50/沪深300,1,2026-02-10,2026-02-27,8,-0.0210284554375276,False
SZ50/HS300,上证50/沪深300,-1,2026-03-02,2026-04-02,24,0.0161043420758069,True
SZ50/HS300,上证50/沪深300,1,2026-04-03,2026-04-14,7,-0.0389463581836042,False
SZ50/HS300,上证50/沪深300,-1,2026-04-15,2026-05-07,14,0.0058857780415493,True
SZ50/ZZ1000,上证50/中证1000,1,2023-05-08,2023-05-25,14,-0.0329119487760278,False
SZ50/ZZ1000,上证50/中证1000,-1,2023-05-26,2023-06-26,20,0.0185585202134122,True
SZ50/ZZ1000,上证50/中证1000,1,2023-06-27,2023-06-30,4,-0.039511736305715,False
SZ50/ZZ1000,上证50/中证1000,-1,2023-07-03,2023-07-14,10,-0.0435647225999475,False
SZ50/ZZ1000,上证50/中证1000,1,2023-07-17,2023-09-11,41,0.0717477562046697,True
SZ50/ZZ1000,上证50/中证1000,-1,2023-09-12,2023-12-20,66,0.0767018557887955,True
