config_id,equity_lb,real_lb,bond_lb,btc_lb,btc_thr,neighbor_count,self_oos_cagr,self_oos_sharpe,self_worst_dd,nbr_median_cagr,nbr_median_sharpe,nbr_worst_dd,nbr_std_cagr,nbr_std_sharpe,platform_score
eq80_ra60_bd100_btc60_thr05,80.0,60.0,100.0,60.0,0.05,6,0.09006750358072206,0.6447527798689259,-0.1823552793690298,0.087745996594039,0.6387299758991615,-0.16159065641465867,0.0157950216932175,0.06160163838529852,0.5271588723843907
eq200_ra60_bd100_btc120_thr05,200.0,60.0,100.0,120.0,0.05,6,0.06376410502336334,0.731238075886952,-0.12750867685791567,0.06540268349956206,0.738128553034925,-0.15587963184286854,0.012017150856842816,0.4170231372594635,0.31555851026525505
eq200_ra60_bd100_btc120_thr00,200.0,60.0,100.0,120.0,0.0,6,0.06534457960273003,0.745019030182898,-0.11806378269655474,0.06455434231304669,0.7245096157392699,-0.14857606696127856,0.012790076331080041,0.4225037112850011,0.30504687982730483
eq200_ra60_bd100_btc60_thr05,200.0,60.0,100.0,60.0,0.05,6,0.06546078739639409,0.7607033308868673,-0.11806378269655474,0.06461244620987872,0.7245096157392699,-0.14483465534786608,0.012469297163740926,0.43142110620209745,0.3024898136749707
eq200_ra60_bd100_btc60_thr00,200.0,60.0,100.0,60.0,0.0,6,0.06171710680772705,0.7177811555915877,-0.11847150309806873,0.06540268349956206,0.7314000928872428,-0.16159065641465867,0.011965035607235297,0.4165313423873798,0.30237025652909155
eq80_ra60_bd40_btc120_thr00,80.0,60.0,40.0,120.0,0.0,6,0.07746832720866692,0.5575392353852958,-0.1626715843455226,0.07656636082860924,0.5910045549519162,-0.15838322189432819,0.016633294431470356,0.4665867241832494,0.14252485057503672
eq200_ra140_bd40_btc120_thr00,200.0,140.0,40.0,120.0,0.0,6,0.07211514107834975,0.5671408014716337,-0.11950530317264434,0.07105519423878504,0.5958053379950852,-0.15838322189432819,0.016711509764454464,0.4626936867452414,0.1421733136838758
eq80_ra60_bd40_btc60_thr05,80.0,60.0,40.0,60.0,0.05,6,0.07697188875309147,0.5629767438867179,-0.1626715843455226,0.07631814160082151,0.5950325732384557,-0.1581961935950306,0.01631773228184103,0.4759695530419895,0.13889871089205952
eq80_ra60_bd40_btc120_thr05,80.0,60.0,40.0,120.0,0.05,6,0.07566439444855155,0.5477846109412866,-0.1626715843455226,0.0772201079808792,0.5894353691108927,-0.16546041364476757,0.016108976409022948,0.4604401776135065,0.1383608926176852
eq200_ra140_bd40_btc60_thr05,200.0,140.0,40.0,60.0,0.05,6,0.0712080971917904,0.5719843492372849,-0.117665303254789,0.07060167229550536,0.5995363759137391,-0.1581961935950306,0.01638080010707519,0.4721506491524319,0.13788293272101493
eq200_ra140_bd40_btc120_thr05,200.0,140.0,40.0,120.0,0.05,6,0.06999524739922032,0.5562772795851891,-0.11950530317264398,0.07166161913507008,0.5939391717861762,-0.16546041364476757,0.016076675294429816,0.45711812302214305,0.13718460569734575
eq80_ra60_bd40_btc60_thr00,80.0,60.0,40.0,60.0,0.0,6,0.073518340544022,0.537675936574704,-0.1632434045140437,0.0772201079808792,0.5869049727556015,-0.16521728484113354,0.01619962226152808,0.4593285081659785,0.13701158638477723
eq200_ra140_bd40_btc60_thr00,200.0,140.0,40.0,60.0,0.0,6,0.06863854212529012,0.5521249016755466,-0.117665303254789,0.07166161913507008,0.591408775430885,-0.16521728484113354,0.016131545061586466,0.45508637699523413,0.13657136072794251
